text,start,stop
"The following
content is provided",00:00:00.050,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
PROFESSOR: Hi.,00:00:22.730,00:00:23.390
I'm Srini Devadas.,00:00:23.390,00:00:24.750
"I'm a professor of electrical
engineering and computer",00:00:24.750,00:00:27.040
science.,00:00:27.040,00:00:27.650
"I'm going to be co-lecturing
6.006-- Introduction",00:00:27.650,00:00:30.970
"to Algorithms-- this term
with professor Erik Domane.",00:00:30.970,00:00:34.950
"Eric, say hi.",00:00:34.950,00:00:36.001
ERIK DOMANE: Hi.,00:00:36.001,00:00:36.883
[LAUGHTER],00:00:36.883,00:00:38.650
"PROFESSOR: And we
hope you're going",00:00:38.650,00:00:40.210
"to have a fun time
in 6.006 learning",00:00:40.210,00:00:43.710
a variety of algorithms.,00:00:43.710,00:00:45.760
"What I want to do today is
spend literally a minute or so",00:00:45.760,00:00:50.760
"on administrative
details, maybe even less.",00:00:50.760,00:00:55.004
"What I'd like to
do is to tell you",00:00:55.004,00:00:56.420
"to go to the website that's
listed up there and read it.",00:00:56.420,00:01:00.670
"And you'll get all
information you",00:01:00.670,00:01:02.250
"need about what this class
is about from a standpoint",00:01:02.250,00:01:06.430
"of syllabus; what's expected
of you; the problem set",00:01:06.430,00:01:11.590
"schedule; the quiz schedule;
and so on and so forth.",00:01:11.590,00:01:15.660
"I want to dive right in and tell
you about interesting things,",00:01:15.660,00:01:19.460
"like algorithms and
complexity of algorithms.",00:01:19.460,00:01:24.550
"I want to spend
some time giving you",00:01:24.550,00:01:26.490
"an overview of the
course content.",00:01:26.490,00:01:29.380
"And then we're
going to dive right",00:01:29.380,00:01:31.640
"in and look at a
particular problem of peak",00:01:31.640,00:01:35.230
"finding-- both the one
dimensional version and a two",00:01:35.230,00:01:38.360
"dimensional version-- and
talk about algorithms to solve",00:01:38.360,00:01:41.900
"this peak finding problem--
both varieties of it.",00:01:41.900,00:01:46.670
"And you'll find
that there's really",00:01:46.670,00:01:50.000
"a difference between
these various algorithms",00:01:50.000,00:01:53.090
"that we'll look at in
terms of their complexity.",00:01:53.090,00:01:56.480
"And what I mean
by that is you're",00:01:56.480,00:01:59.070
"going to have different run
times of these algorithms",00:01:59.070,00:02:02.750
"depending on input
size, based on how",00:02:02.750,00:02:06.210
efficient these algorithms are.,00:02:06.210,00:02:08.600
"And a prerequisite for
this class is 6.042.",00:02:08.600,00:02:14.370
"And in 6.042 you learned
about asymptotic complexity.",00:02:14.370,00:02:18.620
"And you'll see that
in this lecture",00:02:18.620,00:02:21.240
"we'll analyze relatively
simple algorithms today",00:02:21.240,00:02:25.430
"in terms of their
asymptotic complexity.",00:02:25.430,00:02:28.070
"And you'll be able
to compare and say",00:02:28.070,00:02:30.340
"that this algorithm is fasten
this other one-- assuming",00:02:30.340,00:02:33.940
"that you have large
inputs-- because it's",00:02:33.940,00:02:37.320
asymptotically less complex.,00:02:37.320,00:02:40.840
"So let's dive right in
and talk about the class.",00:02:40.840,00:02:43.185
"So the one sentence
summary of this class",00:02:52.420,00:02:54.550
"is that this is about
efficient procedures",00:02:54.550,00:02:58.910
"for solving problems
on large inputs.",00:02:58.910,00:03:04.850
"And when I say large
inputs, I mean things",00:03:04.850,00:03:06.800
"like the US highway
system, a map",00:03:06.800,00:03:10.720
"of all of the highways
in the United States;",00:03:10.720,00:03:14.110
"the human genome, which
has a billion letters",00:03:14.110,00:03:17.850
"in its alphabet; a social
network responding to Facebook,",00:03:17.850,00:03:23.170
"that I guess has 500
million nodes or so.",00:03:23.170,00:03:26.840
So these are large inputs.,00:03:26.840,00:03:28.280
"Now our definition of large has
really changed with the times.",00:03:28.280,00:03:31.470
"And so really the 21st
century definition of large",00:03:31.470,00:03:35.440
"is, I guess, a trillion.",00:03:35.440,00:03:36.971
Right?,00:03:36.971,00:03:37.470
"Back when I was your age
large was like 1,000.",00:03:37.470,00:03:40.680
[LAUGHTER],00:03:40.680,00:03:42.400
I guess I'm dating myself here.,00:03:42.400,00:03:44.844
"Back when Eric was your
age, it was a million.",00:03:44.844,00:03:46.760
Right?,00:03:46.760,00:03:47.260
[LAUGHTER],00:03:47.260,00:03:48.650
"But what's happening really
the world is moving faster,",00:03:48.650,00:03:55.000
things are getting bigger.,00:03:55.000,00:03:56.420
"We have the capability of
computing on large inputs,",00:03:56.420,00:04:00.880
"but that doesn't
mean that efficiency",00:04:00.880,00:04:03.220
isn't of paramount concern.,00:04:03.220,00:04:05.760
"The fact of matter is
that you can, maybe,",00:04:05.760,00:04:08.690
"scan a billion elements
in a matter of seconds.",00:04:08.690,00:04:13.550
"But if you had an algorithm
that required cubic complexity,",00:04:13.550,00:04:17.750
"suddenly you're not talking
about 10 raised to 9,",00:04:17.750,00:04:19.899
"you're talking about
10 raised to 27.",00:04:19.899,00:04:22.079
"And even current
computers can't really",00:04:22.079,00:04:24.510
"handle those kinds of numbers,
so efficiency is a concern.",00:04:24.510,00:04:30.890
"And as inputs get larger, it
becomes more of a concern.",00:04:30.890,00:04:34.820
All right?,00:04:34.820,00:04:35.320
So we're concerned about--,00:04:35.320,00:04:39.398
"--efficient procedures-- for
solving large scale problems",00:04:43.760,00:04:51.310
in this class.,00:04:51.310,00:04:51.940
"And we're concerned
about scalability,",00:04:58.140,00:05:01.640
"because-- just as,
you know, 1,000",00:05:01.640,00:05:07.030
"was a big number a
couple of decades ago,",00:05:07.030,00:05:09.600
"and now it's kind of
a small number-- it's",00:05:09.600,00:05:12.140
"quite possible that by the
time you guys are professors",00:05:12.140,00:05:16.430
"teaching this class
in some university",00:05:16.430,00:05:18.220
"that a trillion is going
to be a small number.",00:05:18.220,00:05:20.690
"And we're going to be talking
about-- I don't know--",00:05:20.690,00:05:24.430
"10 raised to 18
as being something",00:05:24.430,00:05:27.520
"that we're concerned with from
a standpoint of a common case",00:05:27.520,00:05:32.620
input for an algorithm.,00:05:32.620,00:05:34.510
So scalability is important.,00:05:34.510,00:05:38.120
"And we want to be able to track
how our algorithms are going",00:05:38.120,00:05:41.480
"to do as inputs get
larger and larger.",00:05:41.480,00:05:44.000
"You going to learn a bunch
of different data structures.",00:05:47.210,00:05:52.180
"We'll call them classic
data structures,",00:05:52.180,00:05:56.650
"like binary search
trees, hash tables-- that",00:05:56.650,00:06:01.450
"are called dictionaries
in Python-- and data",00:06:01.450,00:06:06.020
"structures-- such as balanced
binary search trees-- that",00:06:06.020,00:06:09.470
"are more efficient than just
the regular binary search trees.",00:06:09.470,00:06:12.975
"And these are all
data structures",00:06:12.975,00:06:14.350
"that were invented
many decades ago.",00:06:14.350,00:06:18.540
"But they've stood
the test of time,",00:06:18.540,00:06:20.850
and they continue to be useful.,00:06:20.850,00:06:23.530
"We're going to augment these
data structures in various ways",00:06:23.530,00:06:26.210
"to make them more efficient
for certain kinds of problems.",00:06:26.210,00:06:30.330
"And while you're not going to be
doing a whole lot of algorithm",00:06:30.330,00:06:33.980
"design in this
class, you will be",00:06:33.980,00:06:36.180
"doing some design and a
whole lot of analysis.",00:06:36.180,00:06:38.335
"The class following this
one, 6.046 Designing Analysis",00:06:40.880,00:06:46.060
"of Algorithms, is
a class that you",00:06:46.060,00:06:48.530
"should take if
you like this one.",00:06:48.530,00:06:52.080
"And you can do a whole lot more
design of algorithms in 6.046.",00:06:52.080,00:06:57.180
"But you will look at
classic data structures",00:06:57.180,00:06:59.880
"and classical algorithms
for these data structures,",00:06:59.880,00:07:06.260
"including things like sorting
and matching, and so on.",00:07:06.260,00:07:12.470
"And one of the nice
things about this class",00:07:12.470,00:07:17.200
"is that you'll be doing real
implementations of these data",00:07:17.200,00:07:21.800
"structures and
algorithms in Python.",00:07:21.800,00:07:25.130
"And in particular are
each of the problem",00:07:28.220,00:07:30.880
"sets in this class are
going to have both a theory",00:07:30.880,00:07:38.680
"part to them, and a
programming part to them.",00:07:38.680,00:07:41.930
"So hopefully it'll
all tie together.",00:07:41.930,00:07:43.430
"The kinds of things we're going
to be talking about in lectures",00:07:43.430,00:07:46.060
"and recitations are going
to be directly connected",00:07:46.060,00:07:51.200
"to the theory parts
of the problem sets.",00:07:51.200,00:07:53.260
"And you'll be programming the
algorithms that we talk about",00:07:53.260,00:07:55.800
"in lecture, or augmenting
them, running them.",00:07:55.800,00:07:58.680
"Figuring out whether they work
well on large inputs or not.",00:07:58.680,00:08:03.180
"So let me talk a little
bit about the modules",00:08:06.510,00:08:09.530
"in this class and
the problem sets.",00:08:09.530,00:08:11.462
"And we hope that
these problem sets",00:08:11.462,00:08:12.920
are going to be fun for you.,00:08:12.920,00:08:15.470
And by fun I don't mean easy.,00:08:15.470,00:08:19.430
"I mean challenging and
worthwhile, so at the end of it",00:08:19.430,00:08:22.656
"you feel like you've
learned something,",00:08:22.656,00:08:24.280
"and you had some
fun along the way.",00:08:24.280,00:08:26.870
All right?,00:08:26.870,00:08:28.580
So content wise--,00:08:28.580,00:08:30.550
"--we have eight
modules in the class.",00:08:37.350,00:08:41.830
"Each of which,
roughly speaking, has",00:08:41.830,00:08:44.490
"a problem set
associated with it.",00:08:44.490,00:08:47.020
"The first of these is what
we call algorithmic thinking.",00:08:47.020,00:08:51.950
"And we'll kick start
that one today.",00:08:55.710,00:08:59.130
"We'll look at a particular
problem, as I mentioned,",00:08:59.130,00:09:01.480
of peak finding.,00:09:01.480,00:09:02.790
"And as part of
this, you're going",00:09:02.790,00:09:04.350
"to have a problem set that's
going to go out today as well.",00:09:04.350,00:09:07.960
"And you'll find that
in this problem set",00:09:07.960,00:09:12.320
"some of these algorithms
I talk about today will",00:09:12.320,00:09:14.420
be coded in Python and given to.,00:09:14.420,00:09:17.090
"A couple of them are going
to have bugs in them.",00:09:17.090,00:09:20.190
"You'll have to analyze the
complexity of these algorithms;",00:09:20.190,00:09:24.340
"figure out which ones are
correct and efficient;",00:09:24.340,00:09:27.380
"and write a proof
for one of them.",00:09:27.380,00:09:29.760
All right?,00:09:29.760,00:09:30.260
"So that's sort of an
example problem set.",00:09:30.260,00:09:33.320
"And you can expect that
most of the problem sets",00:09:33.320,00:09:37.600
"are going to follow
that sort of template.",00:09:37.600,00:09:40.036
All right.,00:09:40.036,00:09:40.750
"So you'll get a
better sense of this",00:09:40.750,00:09:44.810
"by the end of the
day today for sure.",00:09:44.810,00:09:46.690
"Or a concrete sense
of this, because we'll",00:09:46.690,00:09:48.930
"be done with lecture and you'll
see your first problem set.",00:09:48.930,00:09:52.850
"We're going to be doing a
module on sorting and trees.",00:09:52.850,00:09:57.540
"Sorting you now about,
sorting a bunch of numbers.",00:09:57.540,00:10:00.619
"Imagine if you had
a trillion numbers",00:10:00.619,00:10:02.160
and you wanted to sort them.,00:10:02.160,00:10:04.250
"What kind of algorithm
could use for that?",00:10:04.250,00:10:07.610
"Trees are a wonderful
data structure.",00:10:07.610,00:10:10.280
"There's different varieties, the
most common being binary trees.",00:10:10.280,00:10:14.760
"And there's ways of doing
all sorts of things,",00:10:14.760,00:10:17.580
"like scheduling, and sorting,
using various kinds of trees,",00:10:17.580,00:10:22.560
including binary trees.,00:10:22.560,00:10:24.200
"And we have a problem set on
simulating a logic network",00:10:24.200,00:10:31.330
"using a particular kind of
sorting algorithm in a data",00:10:31.330,00:10:36.660
structure.,00:10:36.660,00:10:38.340
"That is going to be
your second problem set.",00:10:38.340,00:10:41.150
"And more quickly, we're going
to have modules on hashing,",00:10:41.150,00:10:47.190
"where we do things
like genome comparison.",00:10:47.190,00:10:51.240
"In past terms we compared a
human genome to a rat genome,",00:10:51.240,00:10:56.330
"and discovered they
were pretty similar.",00:10:56.330,00:10:59.350
"99% similar, which
is kind of amazing.",00:10:59.350,00:11:01.860
"But again, these things
are so large that you",00:11:01.860,00:11:04.960
"have to have efficiency
in the comparison methods",00:11:04.960,00:11:07.590
that you use.,00:11:07.590,00:11:08.460
"And you'll find that if you
don't get the complexity low",00:11:08.460,00:11:11.690
"enough, you just won't
be able to complete--",00:11:11.690,00:11:15.300
"your program won't be able to
finish running within the time",00:11:15.300,00:11:19.950
that your problem set is do.,00:11:19.950,00:11:21.260
Right?,00:11:21.260,00:11:21.760
Which is a bit of a problem.,00:11:21.760,00:11:24.660
"So that's something to keep
in mind as you test your code.",00:11:24.660,00:11:28.860
"The fact is that you will get
large inputs to run your code.",00:11:28.860,00:11:32.140
"And you want to keep
complexity in mind",00:11:32.140,00:11:34.960
"as you're coding and thinking
about the pseudocode,",00:11:34.960,00:11:40.070
"if you will, of your
algorithm itself.",00:11:40.070,00:11:43.624
We will talk about numerics.,00:11:43.624,00:11:44.790
"A lot of the time we talk
about such large numbers",00:11:47.420,00:11:50.840
that 32 bits isn't enough.,00:11:50.840,00:11:54.290
"Or 64 bits isn't enough to
represent these numbers.",00:11:54.290,00:11:57.130
"These numbers have
thousands of bits.",00:11:57.130,00:11:58.910
"A good example is
RSA encryption,",00:11:58.910,00:12:01.110
"that is used in
SSL, for example.",00:12:01.110,00:12:05.140
"And when you go-- use
https on websites,",00:12:05.140,00:12:09.720
RSA is used at the back end.,00:12:09.720,00:12:12.710
"And typically you work
with prime numbers",00:12:12.710,00:12:15.360
"that are thousands
of bits long in RSA.",00:12:15.360,00:12:18.510
So how do you handle that?,00:12:18.510,00:12:19.930
How does Python handle that?,00:12:19.930,00:12:21.270
"How do you write
algorithms that can",00:12:21.270,00:12:22.950
"deal with what are called
infinite precision numbers?",00:12:22.950,00:12:26.270
"So we have a module on numerics
in the middle of the term that",00:12:26.270,00:12:30.500
talks about that.,00:12:30.500,00:12:31.850
"Graphs, really a
fundamental data structure",00:12:31.850,00:12:35.480
in all of computer science.,00:12:35.480,00:12:37.970
"You might have heard of the
famous Rubik's cube assignment",00:12:37.970,00:12:42.610
from .,00:12:42.610,00:12:43.110
006 a 2 by 2 by 2 Rubik's cube.,00:12:43.110,00:12:46.850
"What's the minimum
number of moves",00:12:46.850,00:12:48.690
"necessary to go from a
given starting configuration",00:12:48.690,00:12:53.240
"to the final end configuration,
where all of the faces-- each",00:12:53.240,00:12:56.640
of the faces has uniform color?,00:12:56.640,00:12:58.940
"And that can be posed
as a graph problem.",00:12:58.940,00:13:01.830
"We'll probably do
that one this term.",00:13:01.830,00:13:04.052
"In previous terms
we've done other things",00:13:04.052,00:13:05.760
like the 15 puzzle.,00:13:05.760,00:13:07.310
"And so some of
these are tentative.",00:13:07.310,00:13:10.170
"We definitely know what the
first problem set is like,",00:13:10.170,00:13:12.420
"but the rest of them are,
at this moment, tentative.",00:13:12.420,00:13:16.420
And to finish up shortest paths.,00:13:16.420,00:13:20.340
"Again in terms past
we've asked you",00:13:20.340,00:13:24.660
"to write code using a
particular algorithm that",00:13:24.660,00:13:27.380
"finds the shortest path
from Caltech to MIT.",00:13:27.380,00:13:30.984
"This time we may do things
a little bit differently.",00:13:30.984,00:13:33.150
"We were thinking maybe we'll
give you a street map of Boston",00:13:33.150,00:13:37.150
"and go figure out
if Paul Revere used",00:13:37.150,00:13:41.360
"the shortest path to get
to where he was going,",00:13:41.360,00:13:44.140
or things like that.,00:13:44.140,00:13:45.025
We'll try and make it fun.,00:13:45.025,00:13:47.540
"Dynamic programming is an
important algorithm design",00:13:47.540,00:13:54.420
"technique that's used
in many, many problems.",00:13:54.420,00:14:00.690
"And it can be used to do a
variety of things, including",00:14:00.690,00:14:04.510
image compression.,00:14:04.510,00:14:06.600
"How do you compress an image
so the number of pixels",00:14:06.600,00:14:10.060
"reduces, but it still
looks like the image",00:14:10.060,00:14:12.960
"that you started out with,
that had many more pixels?",00:14:12.960,00:14:15.761
All right?,00:14:15.761,00:14:16.260
"So you could use dynamic
programming for that.",00:14:16.260,00:14:18.970
"And finally, advanced topics,
complexity theory, research",00:14:18.970,00:14:23.370
and algorithms.,00:14:23.370,00:14:25.760
"Hopefully by now-- by
this time in the course,",00:14:25.760,00:14:28.590
"you have been sold
on algorithms.",00:14:28.590,00:14:30.330
"And most, if not
all of you, would",00:14:30.330,00:14:32.605
"want to pursue a
carrier in algorithms.",00:14:32.605,00:14:34.550
"And we'll give you a sense
of what else is there.",00:14:34.550,00:14:37.680
"We're just scratching the
surface in this class,",00:14:37.680,00:14:40.364
"and there's many, many
classes that you can possibly",00:14:40.364,00:14:42.530
"take if you want to continue
in-- to learn about algorithms,",00:14:42.530,00:14:47.650
"or to pursue a
career in algorithms.",00:14:47.650,00:14:49.790
All right?,00:14:49.790,00:14:51.580
"So that's the
story of the class,",00:14:51.580,00:14:53.990
or the synopsis of the class.,00:14:53.990,00:14:55.840
"And I encourage you to go spend
a few minutes on the website.",00:14:55.840,00:15:01.950
"In particular please read the
collaboration policy, and get",00:15:01.950,00:15:05.850
"a sense of what is
expected of you.",00:15:05.850,00:15:08.440
"What the rules are in terms
of doing the problem sets.",00:15:08.440,00:15:13.580
"And the course
grading break down,",00:15:13.580,00:15:17.100
"the grading policies are all
listed on the website as well.",00:15:17.100,00:15:20.860
All right.,00:15:20.860,00:15:23.000
OK.,00:15:23.000,00:15:23.870
So let's get started.,00:15:23.870,00:15:26.210
"I want to talk about
a specific problem.",00:15:26.210,00:15:28.930
"And talk about algorithms
for a specific problem.",00:15:28.930,00:15:32.000
"We picked this problem, because
it's so easy to understand.",00:15:32.000,00:15:35.560
"And they're fairly
straightforward algorithms",00:15:35.560,00:15:38.790
"that are not particularly
efficient to solve",00:15:38.790,00:15:41.280
this problem.,00:15:41.280,00:15:42.530
"And so this is a, kind
of, a toy problem.",00:15:42.530,00:15:45.060
"But like a lot of
toy problems, it's",00:15:45.060,00:15:49.660
"very evocative in that it
points out the issues involved",00:15:49.660,00:15:55.230
"in designing
efficient algorithms.",00:15:55.230,00:15:57.739
