text,start,stop
"The following content is
provided under a Creative",00:00:00.060,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.236
at ocw.mit.edu.,00:00:17.236,00:00:17.861
"SRINIVAS DEVADAS:
So welcome to 6046.",00:00:21.720,00:00:24.930
My name is Srinivas Devadas.,00:00:24.930,00:00:27.010
"I'm a professor of
computer science.",00:00:27.010,00:00:30.240
This is my 27th year at MIT.,00:00:30.240,00:00:33.650
"I'm teaching this class
with great course staff,",00:00:33.650,00:00:37.740
"with co-lecturers,
Eric Demaine over here",00:00:37.740,00:00:42.010
"and Nancy Lynch,
who's over there,",00:00:42.010,00:00:45.750
"and a whole bunch of TAs, who
you will meet through the term.",00:00:45.750,00:00:50.250
"We just signed up our last TA
yesterday, so at this point,",00:00:50.250,00:00:55.620
even I don't know their names.,00:00:55.620,00:00:58.230
"But we hope to have
a great semester.",00:00:58.230,00:01:01.840
"I'm very excited to be teaching
this class with Eric and Nancy.",00:01:01.840,00:01:05.470
"I recognize some of you folks
from 006 from a year ago,",00:01:05.470,00:01:09.830
"so hello again, and
from other classes.",00:01:09.830,00:01:13.450
And so let's get started.,00:01:13.450,00:01:16.600
I mentioned 006.,00:01:16.600,00:01:18.310
"006 is a prerequisite
for this class,",00:01:18.310,00:01:21.730
"so if by chance you've
skipped a class--",00:01:21.730,00:01:26.030
"MIT or EECS has allowed
you to skip that--",00:01:26.030,00:01:29.490
"make sure you check in with
us to see that you are ready",00:01:29.490,00:01:34.440
"for 6046 because we will
assume that you know the 6006",00:01:34.440,00:01:39.633
material.,00:01:39.633,00:01:40.340
"And by that, I
mean basic material",00:01:40.340,00:01:42.950
"on that data structures,
classical algorithms",00:01:42.950,00:01:46.290
"like sorting, algorithms
for dynamic programming,",00:01:46.290,00:01:52.930
"or algorithms that use dynamic
programming I should say,",00:01:52.930,00:01:56.750
"algorithms for shortest
paths, et cetera.",00:01:56.750,00:02:00.580
"6046 itself, we're
going to run this course",00:02:00.580,00:02:04.550
"pretty much off the Stellar
website in the sense",00:02:04.550,00:02:08.039
"that that'll be our one-stop
shop for getting everything",00:02:08.039,00:02:12.550
"including lecture handouts,
problem sets-- turning",00:02:12.550,00:02:16.490
"in your problem sets, et cetera.",00:02:16.490,00:02:19.590
"And I should mention
that this course is",00:02:19.590,00:02:22.800
"being taped for
OpenCourseWare, and while it'll",00:02:22.800,00:02:27.290
"take a little bit of time for
the videos to be put online,",00:02:27.290,00:02:32.750
"we hope to do that perhaps
in clumps before the quizzes",00:02:32.750,00:02:39.370
"that you will have as we
have to have in our class.",00:02:39.370,00:02:46.020
"So let me just say a couple
more things about logistics,",00:02:46.020,00:02:49.940
"and then we get started
with technical content.",00:02:49.940,00:02:53.580
"As I mentioned, we're
going to be running",00:02:53.580,00:02:55.610
this course off Stellar.,00:02:55.610,00:02:57.610
"Please sign up for
recitations section",00:02:57.610,00:03:00.610
"by going to the stellar website
and choosing a section that",00:03:00.610,00:03:04.390
works for your schedule.,00:03:04.390,00:03:06.270
"Sections go from 10:00 AM
all the way to 3:00 I think,",00:03:06.270,00:03:11.580
"and we've placed a limit on the
number of students per section.",00:03:11.580,00:03:17.390
"We wanted the sections
to be manageable in size,",00:03:17.390,00:03:20.140
"but there's plenty of
room for everybody,",00:03:20.140,00:03:22.600
"and the schedule
flexibility should",00:03:22.600,00:03:24.950
"allows you to choose a
section pretty easily.",00:03:24.950,00:03:29.820
"We have a course information
document and an objectives",00:03:29.820,00:03:32.310
document on the website.,00:03:32.310,00:03:34.270
"That has a lot of details
on the grading policy,",00:03:34.270,00:03:37.460
"the collaboration
policy, et cetera.",00:03:37.460,00:03:40.260
"Please read it very
carefully from the first page",00:03:40.260,00:03:44.700
all the way to the end.,00:03:44.700,00:03:46.230
"And I will mention
one thing that you",00:03:46.230,00:03:48.530
"should be careful about, which
is that while problem sets are",00:03:48.530,00:03:55.650
