text,start,stop
"PATRICK WINSTON: Welcome
to 6034.",00:00:18.200,00:00:26.190
"I don't know if I can deal
with this microphone.",00:00:26.190,00:00:28.230
We'll see what happens.,00:00:28.230,00:00:29.405
It's going to be a good year.,00:00:29.405,00:00:30.380
"We've got [INAUDIBLE] a bunch
of interesting people.",00:00:30.380,00:00:33.530
"It's always interesting to see
what people named their",00:00:33.530,00:00:35.790
children two decades ago.,00:00:35.790,00:00:39.820
"And I find they were overwhelmed
with Emilys.",00:00:39.820,00:00:42.510
"And there are not too many
Peters, Pauls, and Marys, but",00:00:42.510,00:00:45.420
"enough to call forth a suitable
song at some point.",00:00:45.420,00:00:50.540
"We have lots of Jesses
of both genders.",00:00:50.540,00:00:55.630
We have a [INAUDIBLE],00:00:55.630,00:00:57.220
of both genders.,00:00:57.220,00:00:59.890
"And we have a Duncan,
where's Duncan?",00:00:59.890,00:01:02.810
"There you are, Duncan.",00:01:02.810,00:01:04.080
You've changed your hairstyle.,00:01:04.080,00:01:06.900
"I want to assure use that the
Thane of Cawdor is not taking",00:01:06.900,00:01:10.130
the course this semester.,00:01:10.130,00:01:12.390
"What I'm going to do is tell
you about artificial",00:01:12.390,00:01:14.890
"intelligence today, and what
this subject is about.",00:01:14.890,00:01:18.680
"There's been about a 10% percent
turnover in the roster",00:01:18.680,00:01:24.100
in the last 24 hours.,00:01:24.100,00:01:25.320
"I expect another 10% turnover
in the next 24 hours, too.",00:01:25.320,00:01:29.680
"So I know many of you are
sightseers, wanting to know if",00:01:29.680,00:01:32.600
"this is something
you want to do.",00:01:32.600,00:01:33.720
"So I'm going to tell you about
what we're going to do this",00:01:33.720,00:01:36.140
"semester, and what you'll know
when you get out of here.",00:01:36.140,00:01:40.229
"I'm going to walk you through
this outline.",00:01:40.229,00:01:43.620
"I'm going to start by talking
about what artificial",00:01:43.620,00:01:45.539
"intelligence is, and
why we do it.",00:01:45.539,00:01:48.630
"And then I'll give you a little
bit of the history of",00:01:48.630,00:01:50.160
"artificial intelligence, and
conclude with some of the",00:01:50.160,00:01:54.000
"covenants by which we
run the course.",00:01:54.000,00:01:56.570
"One of which is no
laptops, please.",00:01:56.570,00:01:58.140
