text,start,stop
"The following content is
provided under a Creative",00:00:01.610,00:00:03.980
Commons license.,00:00:03.980,00:00:05.370
"Your support will help
MIT OpenCourseWare",00:00:05.370,00:00:07.580
"continue to offer high-quality
educational resources for free.",00:00:07.580,00:00:11.670
"To make a donation or to
view additional materials",00:00:11.670,00:00:14.210
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:14.210,00:00:18.170
at ocw.mit.edu.,00:00:18.170,00:00:19.370
"PHILIPPE RIGOLLET: OK, so the
course you're currently sitting",00:00:23.309,00:00:25.850
in is 18.650.,00:00:25.850,00:00:27.670
"And it's called
Fundamentals of Statistics.",00:00:27.670,00:00:29.570
"And until last spring, it
was still called Statistics",00:00:29.570,00:00:33.200
for Applications.,00:00:33.200,00:00:34.250
"It turned out that really, based
on the content, ""Fundamentals",00:00:34.250,00:00:37.160
"of Statistics"" was a
more appropriate title.",00:00:37.160,00:00:42.399
"I'll tell you a
little bit about what",00:00:42.399,00:00:43.940
"we're going to be covering
in class, what this class is",00:00:43.940,00:00:46.231
"about, what it's not about.",00:00:46.231,00:00:48.470
"I realize there's
several offerings",00:00:48.470,00:00:50.580
in statistics on campus.,00:00:50.580,00:00:52.490
"So I want to make sure that
you've chosen the right one.",00:00:52.490,00:00:56.249
"And I also understand
that for some of you,",00:00:56.249,00:00:58.040
it's a matter of scheduling.,00:00:58.040,00:01:01.190
"I need to actually
throw out a disclaimer.",00:01:01.190,00:01:03.220
I tend to speak too fast.,00:01:03.220,00:01:05.940
I'm aware that.,00:01:05.940,00:01:07.700
"Someone in the back, just
do like that when you",00:01:07.700,00:01:10.580
have no idea what I'm saying.,00:01:10.580,00:01:12.560
"Hopefully, I will repeat
myself many times.",00:01:12.560,00:01:14.520
"So if you average
over time, you'll",00:01:14.520,00:01:15.979
"see that statistics
will tell you",00:01:15.979,00:01:17.353
"that you will get the right
message that I was actually",00:01:17.353,00:01:19.700
trying to stick to send.,00:01:19.700,00:01:22.760
"All right, so what are
the goals of this class?",00:01:22.760,00:01:26.060
"The first one is basically
to give you an introduction.",00:01:26.060,00:01:28.510
"No one here is expected to
have seen statistics before,",00:01:28.510,00:01:31.910
"but as you will see,
you are expected",00:01:31.910,00:01:33.470
to have seen probability.,00:01:33.470,00:01:34.770
"And usually, you do
see some statistics",00:01:34.770,00:01:36.830
in a probability course.,00:01:36.830,00:01:38.270
"So I'm sure some of
you have some ideas,",00:01:38.270,00:01:39.990
but I won't expect anything.,00:01:39.990,00:01:42.090
And we'll be using mathematics.,00:01:42.090,00:01:44.120
"Math class, so there's going
to be a bunch of equations--",00:01:44.120,00:01:48.110
"not so much real data
and statistical thinking.",00:01:48.110,00:01:52.532
"We're going to try to provide
theoretical guarantees.",00:01:52.532,00:01:54.740
"We have two estimators
that are available for me--",00:01:54.740,00:01:58.130
"how theory guides me to choose
between the best of them,",00:01:58.130,00:02:01.580
"how certain can I be of my
guarantees or prediction?",00:02:01.580,00:02:06.320
"It's one thing to
just bid out a number.",00:02:06.320,00:02:08.549
"It's another thing to put
some error bars around.",00:02:08.549,00:02:10.590
"And we'll see how to build
error bars, for example.",00:02:10.590,00:02:14.510
"You will have your
own applications.",00:02:14.510,00:02:16.530
"I'm happy to answer questions
about specific applications.",00:02:16.530,00:02:19.160
"But rather than trying
to tailor applications",00:02:19.160,00:02:21.980
"to an entire institute,
I think we're",00:02:21.980,00:02:24.650
"going to work with pretty
standard applications,",00:02:24.650,00:02:28.040
mostly not very serious ones.,00:02:28.040,00:02:32.510
"And hopefully, you'll be able
to take the main principles back",00:02:32.510,00:02:36.470
"with you and apply them to
your particular problem.",00:02:36.470,00:02:39.290
"What I'm hoping that you will
get out of this class is that",00:02:39.290,00:02:43.250
"when you have a real-life
situation-- and by ""real life"",",00:02:43.250,00:02:46.130
"I mean mostly at MIT, so some
people probably would not call",00:02:46.130,00:02:48.890
that real life--,00:02:48.890,00:02:50.240
"their goal is to formulate
a statistical problem",00:02:50.240,00:02:52.370
in mathematical terms.,00:02:52.370,00:02:53.950
"If I want to say,
is a drug effective,",00:02:53.950,00:02:56.930
"that's not in
mathematical terms,",00:02:56.930,00:02:58.620
"I have to find out
which measure I want",00:02:58.620,00:03:00.570
to have to call it effective.,00:03:00.570,00:03:03.470
"Maybe it's over a
certain period of time.",00:03:03.470,00:03:06.780
"So there's a lot of things
that you actually need.",00:03:06.780,00:03:08.990
"And I'm not really
going to tell you",00:03:08.990,00:03:10.489
"how to go from the application
to the point you need to be.",00:03:10.489,00:03:13.461
"But I will certainly
describe to you",00:03:13.461,00:03:14.960
"what point you need to be at
if you want to start applying",00:03:14.960,00:03:19.160
statistical methodology.,00:03:19.160,00:03:21.320
"Then once you understand
what kind of question",00:03:21.320,00:03:23.750
you want to answer--,00:03:23.750,00:03:24.714
"do I want a yes/no answer,
do I want a number,",00:03:24.714,00:03:26.630
"do I want error bars, do
I want to make predictions",00:03:26.630,00:03:29.300
"five years into future, do
I have side information,",00:03:29.300,00:03:32.330
"or do I not have side
information, all those things--",00:03:32.330,00:03:34.784
"based on that,
hopefully, you will",00:03:34.784,00:03:36.200
"have a catalog of
statistical methods",00:03:36.200,00:03:38.480
"that you're going to be able to
use and apply it in the wild.",00:03:38.480,00:03:44.570
"And also, no statistical
method is perfect.",00:03:44.570,00:03:49.370
"Some of the math people have
agreed upon over the years,",00:03:49.370,00:03:52.470
"and people understand
that this is the standard.",00:03:52.470,00:03:54.980
"But I want you to be
able to understand",00:03:54.980,00:03:57.050
"what the limitations are,
and when you make conclusions",00:03:57.050,00:03:59.360
"based on data, that those
conclusions might be erroneous,",00:03:59.360,00:04:03.020
for example.,00:04:03.020,00:04:03.890
"All right, more practically, my
goal here is to have you ready.",00:04:03.890,00:04:09.220
"So who has taken, for example,
a machine-learning class here?",00:04:09.220,00:04:12.916
"All right, so many of you,
actually-- maybe a third",00:04:12.916,00:04:15.820
"have taken a
machine-learning class.",00:04:15.820,00:04:19.230
"So statistics has somewhat
evolved into machine",00:04:19.230,00:04:21.600
learning in recent years.,00:04:21.600,00:04:22.840
"And my goal is to
take you there.",00:04:22.840,00:04:24.529
"So machine learning has a
strong algorithmic component.",00:04:24.529,00:04:26.820
"So maybe some of you have
taken a machine-learning class",00:04:26.820,00:04:29.310
"that displays mostly the
algorithmic component.",00:04:29.310,00:04:31.890
"But there's also a
statistical component.",00:04:31.890,00:04:33.930
The machine learns from data.,00:04:33.930,00:04:37.140
So this is a statistical track.,00:04:37.140,00:04:39.090
"And there are some statistical
machine-learning classes",00:04:39.090,00:04:43.770
that you can take here.,00:04:43.770,00:04:44.800
"They're offered at the
graduate level, I believe.",00:04:44.800,00:04:47.250
"But I want you to be ready to
be able to take those classes,",00:04:47.250,00:04:51.430
"having the statistical
fundamentals to understand",00:04:51.430,00:04:53.520
what you're doing.,00:04:53.520,00:04:54.270
"And then you're going to be able
to expand to broader and more",00:04:54.270,00:04:58.230
sophisticated methods.,00:04:58.230,00:05:00.780
"Lectures are here from 11:00 to
12:30 on Tuesday and Thursday.",00:05:00.780,00:05:05.250
Victor-Emmanuel will also be--,00:05:05.250,00:05:07.270
and you can call him Victor--,00:05:07.270,00:05:09.260
"will also be holding
mandatory recitation.",00:05:09.260,00:05:12.250
"So please go on Stellar
and pick your recitation.",00:05:12.250,00:05:15.030
"It's either 3:00 to 4:00 or
4:00 to 5:00 on Wednesdays.",00:05:15.030,00:05:19.770
"And it's going to be mostly
focused on problem-solving.",00:05:19.770,00:05:22.890
"They're mandatory in the sense
that we're allowed to do this,",00:05:22.890,00:05:28.510
"but they're not going to
cover entirely new material.",00:05:28.510,00:05:32.840
"But they might cover
some techniques",00:05:32.840,00:05:35.760
"that might save you some time
when it comes to the exam.",00:05:35.760,00:05:39.180
So you might get by.,00:05:39.180,00:05:41.460
"Attendance is not going to be
taken or anything like this.",00:05:41.460,00:05:44.250
"But I highly
recommend that you go,",00:05:44.250,00:05:47.760
"because, well,
they're mandatory.",00:05:47.760,00:05:49.420
"So you cannot really complain
that something was taught only",00:05:49.420,00:05:52.830
in recitation.,00:05:52.830,00:05:54.390
"So please register
on Stellar for which",00:05:54.390,00:05:56.760
"of the two recitations
you would like to be in.",00:05:56.760,00:05:59.520
"They're capped at 40, so
first come, first served.",00:05:59.520,00:06:03.230
Homework will be due weekly.,00:06:03.230,00:06:05.600
"There's a total of
11 problem sets.",00:06:05.600,00:06:08.030
I realize this is a lot.,00:06:08.030,00:06:09.090
"Hopefully, we'll
keep them light.",00:06:09.090,00:06:11.090
"I just want you to
not rush too much.",00:06:11.090,00:06:15.350
"The 10 best will
be kept, and this",00:06:15.350,00:06:17.390
"will count for a total of
30% of the final grade.",00:06:17.390,00:06:20.640
"There are due Mondays
at 8:00 PM on Stellar.",00:06:20.640,00:06:25.280
And this is a new thing.,00:06:25.280,00:06:28.670
"We're not going to use the boxes
outside of the math department.",00:06:28.670,00:06:31.590
"We're going to use
only PDF files.",00:06:31.590,00:06:34.520
"Well, you're always welcome
to type them and practice",00:06:34.520,00:06:37.790
your LaTeX or Word typing.,00:06:37.790,00:06:40.430
"I also understand that this
can be a bit of a strain,",00:06:40.430,00:06:42.830
"so just write them down
on a piece of paper,",00:06:42.830,00:06:45.800
"use your iPhone, and
take a picture of it.",00:06:45.800,00:06:48.800
"Dropbox has a nice, new--",00:06:48.800,00:06:50.810
"so try to find something
that puts a lot of contrast,",00:06:50.810,00:06:53.149
"especially if you use
pencil, because we're going",00:06:53.149,00:06:55.190
to check if they're readable.,00:06:55.190,00:06:56.840
"And this is your responsibility
to have a readable file.",00:06:56.840,00:07:01.160
I've had over the years--,00:07:01.160,00:07:02.450
"not at MIT, I must
admit-- but I've",00:07:02.450,00:07:03.920
"had students who actually
write the doc file",00:07:03.920,00:07:06.170
"and think that
converting it to a PDF",00:07:06.170,00:07:08.180
"consists in erasing
the extension doc",00:07:08.180,00:07:11.360
and replacing it by PDF.,00:07:11.360,00:07:12.680
This is not how it works.,00:07:12.680,00:07:13.850
"So I'm sure you
will figure it out.",00:07:17.450,00:07:19.790
"Please try to keep
them letter-sized.",00:07:19.790,00:07:21.620
"This is not a
strict requirement,",00:07:21.620,00:07:23.480
"but I don't want to
see thumbnails, either.",00:07:23.480,00:07:26.330
"You are allowed to have
two late homeworks.",00:07:26.330,00:07:28.370
"And by late, I
mean 24 hours late.",00:07:28.370,00:07:31.430
No questions asked.,00:07:31.430,00:07:32.510
"You submit them,
this will be counted.",00:07:32.510,00:07:34.630
"You don't have to send
an email to warn us",00:07:34.630,00:07:36.380
or anything like this.,00:07:36.380,00:07:39.350
"Beyond that, even that
you have one slack",00:07:39.350,00:07:42.500
"for one 0 grade and slack
for two late homeworks,",00:07:42.500,00:07:46.490
"you're going to have to come
up with a very good explanation",00:07:46.490,00:07:49.820
"why you need actually more
extensions than that, if you",00:07:49.820,00:07:52.310
ever do.,00:07:52.310,00:07:53.060
"And particularly,
you're going to have",00:07:53.060,00:07:54.643
"to keep track about why you've
used your three options before.",00:07:54.643,00:07:58.220
"There's going to
be two midterms.",00:07:58.220,00:08:00.830
"One is October 3, and
one is November 7.",00:08:00.830,00:08:03.740
"They're both going to be
in class for the duration",00:08:03.740,00:08:05.840
of the lecture.,00:08:05.840,00:08:06.860
"When I say they last for
an hour and 20 minutes,",00:08:06.860,00:08:09.370
"it does not mean that
if you arrive 10 minutes",00:08:09.370,00:08:11.390
"before the end of
lecture, you still",00:08:11.390,00:08:12.889
get an hour and 20 minutes.,00:08:12.889,00:08:14.210
"It will end at the
end of lecture time.",00:08:14.210,00:08:17.780
"For this as well, no pressure.",00:08:17.780,00:08:19.580
"Only the best of the
two will be kept.",00:08:19.580,00:08:22.010
"And this grade will count
for 30% of the grade.",00:08:22.010,00:08:26.120
"This will be closed-books
and closed-notes.",00:08:26.120,00:08:29.120
The purpose is for you to-- yes?,00:08:29.120,00:08:30.941
"AUDIENCE: How many midterms
did you say there are?",00:08:30.941,00:08:33.108
PHILIPPE RIGOLLET: Two.,00:08:33.108,00:08:34.066
"AUDIENCE: You said the best
of the two will be kept?",00:08:34.066,00:08:36.010
"PHILIPPE RIGOLLET: I
said the best of the two",00:08:36.010,00:08:37.885
"will be kept, yes.",00:08:37.885,00:08:39.218
"AUDIENCE: So both the
midterms will be kept?",00:08:39.218,00:08:42.896
"PHILIPPE RIGOLLET: The best
of the two, not the best two.",00:08:42.896,00:08:45.270
AUDIENCE: Oh.,00:08:45.270,00:08:45.811
"PHILIPPE RIGOLLET: We will add
them, multiply the number by 9,",00:08:50.757,00:08:53.340
and that will be grade.,00:08:53.340,00:08:54.298
No.,00:08:54.298,00:08:55.410
"I am trying to be nice, there's
just a limit to what I can do.",00:08:55.410,00:08:59.670
"All right, so the goal is
for you to learn things",00:08:59.670,00:09:02.340
and to be familiar with them.,00:09:02.340,00:09:04.020
"In the final, you
will be allowed",00:09:04.020,00:09:05.700
to have your notes with you.,00:09:05.700,00:09:07.170
"But the midterms are
also a way for you",00:09:07.170,00:09:09.300
"to develop some mechanism so
that you don't actually waste",00:09:09.300,00:09:11.760
"too much time on things that
you should be able to do",00:09:11.760,00:09:14.160
without thinking too much.,00:09:14.160,00:09:16.092
"You will be allowed
to cheat sheet,",00:09:16.092,00:09:17.550
"because, well, you can
always forget something.",00:09:17.550,00:09:20.940
"And it will be
two-sided letters sheet,",00:09:20.940,00:09:23.790
"and you can practice yourself
as writing as small as you want.",00:09:23.790,00:09:27.790
"And you can put whatever you
want on this cheat sheet.",00:09:27.790,00:09:30.510
"All right, the final will
be decided by the register.",00:09:30.510,00:09:33.037
"It's going to be
three hours, and it's",00:09:33.037,00:09:34.620
going to count for 40%.,00:09:34.620,00:09:35.832
"You cannot bring books, but
you can bring your notes.",00:09:35.832,00:09:38.040
Yes.,00:09:38.040,00:09:38.556
"AUDIENCE: I noticed
that the midterm dates",00:09:38.556,00:09:40.306
aren't dated in the syllabus.,00:09:40.306,00:09:41.704
"So I wanted to
make sure you know.",00:09:41.704,00:09:43.120
PHILIPPE RIGOLLET: They are not?,00:09:43.120,00:09:44.453
AUDIENCE: Yeah--,00:09:44.453,00:09:45.470
"PHILIPPE RIGOLLET:
Oh, yeah, there's",00:09:45.470,00:09:45.890
"a ""1"" that's missing on
both of them, isn't there?",00:09:45.890,00:09:47.973
"Yeah, let's figure that out.",00:09:59.030,00:10:03.180
The syllabus is the true one.,00:10:03.180,00:10:05.510
"The slides are so
that we can discuss,",00:10:05.510,00:10:07.422
"but the ones that's
on the syllabus",00:10:07.422,00:10:08.880
are the ones that count.,00:10:08.880,00:10:09.879
"And I think they're also posted
on the calendar on Stellar",00:10:09.879,00:10:13.050
as well.,00:10:13.050,00:10:14.909
Any other question?,00:10:14.909,00:10:15.700
"OK, so the pre-reqs here--",00:10:20.890,00:10:23.380
"and who has looked at the
first problem set already?",00:10:23.380,00:10:28.100
"OK, so those hands
that are raised",00:10:28.100,00:10:30.940
"realize that there is a true
prerequisite of probability",00:10:30.940,00:10:34.160
for this class.,00:10:34.160,00:10:36.300
"It can be at the level
of 18.600 or 604.1.",00:10:36.300,00:10:40.840
"I should say ""B"" now.",00:10:40.840,00:10:42.060
It's two classes.,00:10:42.060,00:10:44.780
"I will require you
to know some calculus",00:10:44.780,00:10:48.230
"and have some notions
of linear algebra,",00:10:48.230,00:10:51.170
"such as, what is a matrix,
what is a vector, how",00:10:51.170,00:10:53.510
"do you multiply those
things together,",00:10:53.510,00:10:55.730
"some notion of what
orthonormal vectors are.",00:10:55.730,00:10:58.400
"We'll talk about
eigenvectors and eigenvalues,",00:11:01.280,00:11:03.350
but I remind you all of that.,00:11:03.350,00:11:05.010
"So this is not this
strict pre-req.",00:11:05.010,00:11:07.550
"But if you've taken
it, for example,",00:11:07.550,00:11:09.910
"it doesn't hurt to
go back to your notes",00:11:09.910,00:11:12.080
"when we get closer
to this chapter",00:11:12.080,00:11:13.940
on principle-component analysis.,00:11:13.940,00:11:15.950
"The chapters, as they're listed
in the syllabus, are in order,",00:11:15.950,00:11:19.520
"so you will see when
it actually comes.",00:11:19.520,00:11:22.430
There's no required textbook.,00:11:22.430,00:11:24.830
"And I know you tend
to not like that.",00:11:24.830,00:11:29.506
"You like to have your textbook
to know where you're going",00:11:29.506,00:11:31.880
and what we're doing.,00:11:31.880,00:11:32.810
"I'm sorry, it's just this class.",00:11:32.810,00:11:34.670
"Either I would have to go
to a mathematical statistics",00:11:34.670,00:11:36.950
"textbook, which
is just too much,",00:11:36.950,00:11:38.970
"or to go to a more
engineering-type statistics",00:11:38.970,00:11:43.010
"class, which is just too little.",00:11:43.010,00:11:45.380
"So hopefully, the
problems will be enough",00:11:45.380,00:11:49.160
"for you to practice
the recitations.",00:11:49.160,00:11:50.690
"We'll have some problems
to solve as well.",00:11:50.690,00:11:52.940
"And the material will
be posted on the slides.",00:11:52.940,00:11:55.520
"So you should have
everything you need.",00:11:55.520,00:11:57.320
"There's plenty of
resources online",00:11:57.320,00:11:58.799
"if you want to expand
on a particular topic",00:11:58.799,00:12:00.590
"or read it as said
by somebody else.",00:12:00.590,00:12:03.080
"The book that I
recommend in the syllabus",00:12:03.080,00:12:07.690
"is this book called All of
Statistics by Wasserman.",00:12:07.690,00:12:11.510
"Mainly because of the
title, I'm guessing",00:12:11.510,00:12:13.580
it has all of it in it.,00:12:13.580,00:12:16.700
It's pretty broad.,00:12:16.700,00:12:18.530
There's actually not that many.,00:12:18.530,00:12:20.030
"It's more of an
intro-grad level.",00:12:20.030,00:12:22.910
"But it's not very deep, but
you see a lot of the overview.",00:12:22.910,00:12:27.890
"Certainly, what
we're going to cover",00:12:27.890,00:12:29.480
"will be a subset
of what's in there.",00:12:29.480,00:12:30.979
"The slides will be
posted on Stellar",00:12:34.190,00:12:35.690
"before lectures before
we start a new chapter",00:12:35.690,00:12:38.420
"and after we're done with the
chapter, with the annotations,",00:12:38.420,00:12:41.960
"and also, with the typos
corrected, like for the exam.",00:12:41.960,00:12:46.784
"There will be some
video lectures.",00:12:46.784,00:12:48.200
"Again, the first one will be
posted on OCW from last year.",00:12:48.200,00:12:52.550
"But all of them will be
available on Stellar--",00:12:52.550,00:12:54.950
"of course, module
technical problems.",00:12:54.950,00:12:57.770
But this is an automated system.,00:12:57.770,00:13:00.317
"And hopefully, it will
work out well for us.",00:13:00.317,00:13:02.150
"So if you somehow have
to miss a lecture,",00:13:02.150,00:13:04.490
"you can always catch
it up by watching it.",00:13:04.490,00:13:08.270
"You can also play
at that speed 0.75",00:13:08.270,00:13:10.760
"in case I end up
speaking too fast,",00:13:10.760,00:13:12.530
"but I think I've
managed myself so far--",00:13:12.530,00:13:15.470
so just last warning.,00:13:15.470,00:13:19.690
"All right, why should
you study statistics?",00:13:19.690,00:13:22.910
"Well, if you read the news, you
will see a lot of statistics.",00:13:22.910,00:13:27.362
I mentioned machine learning.,00:13:27.362,00:13:28.570
"It's built on a
lot of statistics.",00:13:28.570,00:13:32.269
"If I were to teach this
class 10 years ago,",00:13:32.269,00:13:34.060
"I would have to explain to you
that data collection and making",00:13:34.060,00:13:37.480
"decisions based on data was
something that made sense.",00:13:37.480,00:13:40.510
"But now, it's
almost in our life.",00:13:40.510,00:13:43.180
"We're used to this idea that
data helps in making decisions.",00:13:43.180,00:13:47.470
"And people use data
to conduct studies.",00:13:47.470,00:13:51.680
"So here, I found a bunch
of press titles that--",00:13:51.680,00:13:55.344
"I think the key word I was
looking for was ""study finds""--",00:13:55.344,00:13:57.760
if I want to do this.,00:13:57.760,00:13:58.635
"So I actually did not bother
doing it again this year.",00:13:58.635,00:14:01.640
"This is all 2016, 2016, 2016.",00:14:01.640,00:14:04.540
"But the key word that I look
for is usually ""study find""--",00:14:04.540,00:14:07.030
so a new study find--,00:14:07.030,00:14:08.350
traffic is bad for your health.,00:14:08.350,00:14:10.710
"So we had to wait for 2016
for data to tell us that.",00:14:10.710,00:14:13.740
"And there's a bunch of other
slightly more interesting ones.",00:14:13.740,00:14:18.490
"For example, one that you
might find interesting",00:14:18.490,00:14:20.530
"is that this study finds that
students benefit from waiting",00:14:20.530,00:14:24.280
to declare a major.,00:14:24.280,00:14:26.000
"Now, there's a bunch
of press titles.",00:14:26.000,00:14:28.300
"There one in the MIT News
that finds brain connections,",00:14:28.300,00:14:33.385
key to reading.,00:14:33.385,00:14:34.870
"And so here, we have an
idea of what happened there.",00:14:34.870,00:14:37.750
Some data was collected.,00:14:37.750,00:14:39.490
"Some scientific
hypothesis was formulated.",00:14:39.490,00:14:42.580
"And then the data was here
to try to prove or disprove",00:14:42.580,00:14:47.920
this scientific hypothesis.,00:14:47.920,00:14:49.360
"That's the usual
scientific process.",00:14:49.360,00:14:51.600
"And we need to understand how
the scientific process goes,",00:14:51.600,00:14:55.300
"because some of those things
might be actually questionable.",00:14:55.300,00:14:58.030
"Who is 100% sure that
study finds that students--",00:14:58.030,00:15:02.140
"do you think that you
benefit from waiting",00:15:02.140,00:15:04.600
to declare a major?,00:15:04.600,00:15:05.710
"Right I would be
skeptical about this.",00:15:05.710,00:15:09.370
"I would be like, I don't want
to wait to declare a major.",00:15:09.370,00:15:13.360
"So what kind of
thing can we bring?",00:15:13.360,00:15:15.130
"Well maybe this
study studied people",00:15:15.130,00:15:17.170
that were different from me.,00:15:17.170,00:15:18.370
"Or maybe the study
finds that this",00:15:18.370,00:15:21.126
"is beneficial for a
majority of people.",00:15:21.126,00:15:22.750
I'm not a majority.,00:15:22.750,00:15:23.890
I'm just one person.,00:15:23.890,00:15:24.724
"There's a bunch
of things that we",00:15:24.724,00:15:26.098
"need to understand what
those things actually mean.",00:15:26.098,00:15:28.540
"And we'll see that
those are actually not",00:15:28.540,00:15:30.248
statements about individuals.,00:15:30.248,00:15:31.511
"They're not even statements
about the cohort of people",00:15:31.511,00:15:33.760
they've actually looked at.,00:15:33.760,00:15:35.050
"They're statements
about a parameter",00:15:35.050,00:15:37.270
"of a distribution
that was used to model",00:15:37.270,00:15:40.860
the benefit of waiting.,00:15:40.860,00:15:43.720
So there's a lot of questions.,00:15:43.720,00:15:45.040
"And there are a lot of
layers that come into this.",00:15:45.040,00:15:46.840
"And we're going to want to
understand what was going on",00:15:46.840,00:15:49.131
"in there and try to peel it off
and understand what assumptions",00:15:49.131,00:15:52.992
have been put in there.,00:15:52.992,00:15:53.950
"Even though it looks like
a totally legit study, out",00:15:53.950,00:15:59.650
"of those studies,
statistically, I",00:15:59.650,00:16:01.759
"think there's going to be
one that's going to be wrong.",00:16:01.759,00:16:04.050
"Well, maybe not one.",00:16:04.050,00:16:05.140
"But if I put a
long list of those,",00:16:05.140,00:16:07.930
"there would be a few that
would actually be wrong.",00:16:07.930,00:16:10.150
"If I put 20, there would
definitely be one that's wrong.",00:16:10.150,00:16:12.840
So you have to see that.,00:16:12.840,00:16:13.840
"Every time you see 20 studies,
one is probably wrong.",00:16:13.840,00:16:16.600
"When there are studies
about drug effects,",00:16:16.600,00:16:19.000
"out of a list of 100,
one would be wrong.",00:16:19.000,00:16:21.260
"So we'll see what that means
and what I mean by that.",00:16:21.260,00:16:23.590
"Of course, not only studies
that make discoveries",00:16:26.840,00:16:30.980
"are actually making
the press titles.",00:16:30.980,00:16:32.930
"There's also the press
that talks about things",00:16:32.930,00:16:36.890
that make no sense.,00:16:36.890,00:16:38.480
"I love this first experiment--
the salmon experiment.",00:16:38.480,00:16:41.600
"Actually, it was
a grad student who",00:16:41.600,00:16:44.240
"came to a neuroscience
poster session,",00:16:44.240,00:16:47.720
"pulled out this
poster, and explained",00:16:47.720,00:16:50.780
"the scientific experiment
that he was conducting,",00:16:50.780,00:16:53.210
"which consisted in taking a
previously frozen and thawed",00:16:53.210,00:16:59.510
"salmon, putting it
in an MRI, showing it",00:16:59.510,00:17:02.060
"pictures of violent images, and
recording its brain activity.",00:17:02.060,00:17:07.760
"And he was able to discover a
few voxels that were activated",00:17:07.760,00:17:11.780
by those violent images.,00:17:11.780,00:17:14.180
"And can somebody tell
me what happened here?",00:17:14.180,00:17:16.339
"Was the salmon responding
to the violent activity?",00:17:19.200,00:17:23.530
"Basically, this is just
a statistical fluke.",00:17:23.530,00:17:26.020
That's just randomness at play.,00:17:26.020,00:17:27.730
"There's so many voxels
that are recorded,",00:17:27.730,00:17:29.936
"and there's so
many fluctuations.",00:17:29.936,00:17:31.310
"There's always a
little bit of noise",00:17:31.310,00:17:32.630
"when you're in those
things, that some of them,",00:17:32.630,00:17:34.588
"just by chance, got lit up.",00:17:34.588,00:17:36.472
"And so we need to understand
how to correct for that.",00:17:36.472,00:17:38.680
"In this particular
instance, we need",00:17:38.680,00:17:40.210
"to have tools that tell us that,
well, finding three voxels that",00:17:40.210,00:17:43.600
"are activated for
that many voxels",00:17:43.600,00:17:47.020
"that you can find in
the salmon's brain",00:17:47.020,00:17:50.200
is just too small of a number.,00:17:50.200,00:17:53.030
"Maybe we need to find a clump
of 20 of them, for example.",00:17:53.030,00:17:56.050
"All right, so
we're going to have",00:17:56.050,00:17:57.670
"mathematical tools that help us
find those particular numbers.",00:17:57.670,00:18:02.710
"I don't know if you ever
saw this one by John Oliver",00:18:02.710,00:18:07.780
about phacking.,00:18:07.780,00:18:11.230
"Or actually, it said p-hacking.",00:18:11.230,00:18:14.110
"Basically, what John
Oliver is saying",00:18:14.110,00:18:17.710
"is actually a full-length-- like
there's long segments on this.",00:18:17.710,00:18:20.410
"And he was explaining how
there's a sociology question",00:18:20.410,00:18:24.220
"here about how there's a
huge incentive for scientists",00:18:24.220,00:18:28.930
to publish results.,00:18:28.930,00:18:30.005
"You're not going to
say, you know what?",00:18:30.005,00:18:31.630
"This year, I found nothing.",00:18:31.630,00:18:33.400
"And so people are
trying to find things.",00:18:33.400,00:18:35.277
"And just by searching,
it's as if they",00:18:35.277,00:18:36.860
