text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.490
Commons license.,00:00:02.490,00:00:04.030
"Your support will help
MIT OpenCourseWare",00:00:04.030,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.280
at ocw.mit.edu.,00:00:17.280,00:00:18.450
"ERIK DEMAINE: Welcome to 6.851
Advanced Data Structures.",00:00:21.056,00:00:25.280
I am Erik Demaine.,00:00:25.280,00:00:26.420
You can call me Erik.,00:00:26.420,00:00:28.170
"We have two TAs, Tom
Morgan and Justin Zhang.",00:00:28.170,00:00:31.600
Tom's back there.,00:00:31.600,00:00:32.900
Justin is late.,00:00:32.900,00:00:36.260
"And this class is
about all kinds",00:00:36.260,00:00:38.600
of very cool data structures.,00:00:38.600,00:00:40.567
"You should have already
seen basic data structures",00:00:40.567,00:00:42.650
"like balance binary
search trees and things",00:00:42.650,00:00:45.200
"like that, log n
time to do wherever",00:00:45.200,00:00:48.140
you want in one dimension.,00:00:48.140,00:00:50.060
"And here we're going to turn
all those data structures",00:00:50.060,00:00:52.310
"on their head and
consider them in all sorts",00:00:52.310,00:00:54.143
"of different models and
additional cool problems.",00:00:54.143,00:00:56.930
"Today we're going to talk about
time travel or temporal data",00:00:56.930,00:00:59.630
"structures, where
you're manipulating time",00:00:59.630,00:01:02.770
"as any good time
traveler should.",00:01:02.770,00:01:05.510
"Then we'll do geometry where
we have higher dimensional",00:01:05.510,00:01:07.940
"data, more than one dimension.",00:01:07.940,00:01:09.620
"Then we'll look at
a problem called",00:01:09.620,00:01:11.120
"dynamic optimality, which is,
is there one best binary search",00:01:11.120,00:01:14.900
tree that rules them all?,00:01:14.900,00:01:16.642
"Then we'll look at something
called memory hierarchy, which",00:01:16.642,00:01:19.100
"is a way to model more realistic
computers which have cache",00:01:19.100,00:01:22.580
"and then more cache
and then main memory",00:01:22.580,00:01:24.560
"and then dish and all
these different levels.",00:01:24.560,00:01:26.630
How do you optimize for that?,00:01:26.630,00:01:28.580
"Hashing is probably the most
famous, and most popular,",00:01:28.580,00:01:31.770
"most used data structure
in computer science.",00:01:31.770,00:01:33.670
We'll do a little bit on that.,00:01:33.670,00:01:35.960
"Integers, when you know that
your data is integers and not",00:01:35.960,00:01:39.050
"just arbitrary black boxes that
you can compare or do whatever,",00:01:39.050,00:01:42.147
"you can do a lot
better with integers.",00:01:42.147,00:01:43.730
You usually beat log n time.,00:01:43.730,00:01:45.140
Often you can get constant time.,00:01:45.140,00:01:47.100
"For example, if you want
to do priority queues,",00:01:47.100,00:01:49.130
"you can do square
root log log n time.",00:01:49.130,00:01:51.800
"That's the best
known randomized.",00:01:51.800,00:01:55.100
"Dynamic graphs, you have
a graph you want to store,",00:01:55.100,00:01:58.010
"and the edges are being added
and maybe deleted, like you're",00:01:58.010,00:02:01.440
representing a social network.,00:02:01.440,00:02:02.690
"And people are friending
and de-friending.",00:02:02.690,00:02:04.040
"You want to maintain some
interesting information",00:02:04.040,00:02:06.081
about that graph.,00:02:06.081,00:02:07.760
"Strings, you have
a piece of text,",00:02:07.760,00:02:10.669
"such as the entire
worldwide web.",00:02:10.669,00:02:12.555
"And you want to search
for a substring.",00:02:12.555,00:02:14.180
How do you do that efficiently?,00:02:14.180,00:02:15.540
It's sort of the Google problem.,00:02:15.540,00:02:17.420
"Or you searching through
DNA for patterns, whenever.",00:02:17.420,00:02:20.540
"And finally succinct
data structures,",00:02:20.540,00:02:22.350
"which is all about
taking what we normally",00:02:22.350,00:02:24.170
"consider optimal
space or n space",00:02:24.170,00:02:26.660
"and reducing it down to the very
bare minimum of bits of space.",00:02:26.660,00:02:30.440
"Usually if you want
to store something",00:02:30.440,00:02:32.745
"where there's 2 to
the n possibilities,",00:02:32.745,00:02:34.370
"you want to get away
with n bits of space,",00:02:34.370,00:02:36.620
"maybe plus square root of
n or something very tiny.",00:02:36.620,00:02:40.030
"So that's the sync
data structures.",00:02:40.030,00:02:42.740
"So that's an overview
of the entire class.",00:02:42.740,00:02:44.790
"And these are sort of the
sections we'll be following.",00:02:44.790,00:02:47.970
"Let me give you a quick
administrative overview",00:02:47.970,00:02:50.930
of what we're doing.,00:02:50.930,00:02:54.350
Requirements for the class--,00:02:54.350,00:02:55.520
"I guess, first,
attending lecture.",00:02:55.520,00:02:58.317
"Obviously if you
don't attend lecture,",00:02:58.317,00:02:59.900
there'll be videos online.,00:02:59.900,00:03:00.983
So that's resolvable.,00:03:00.983,00:03:02.810
"But let me know if you're
not going to make it.",00:03:02.810,00:03:05.000
"We're going to have problems
sets roughly every week.",00:03:05.000,00:03:07.410
"If you're taking the
class for credit,",00:03:07.410,00:03:09.390
"they have a very simple rule
of one page in, one page out.",00:03:09.390,00:03:12.500
