text,start,stop
"The following content is
provided under a Creative",00:00:00.790,00:00:03.190
Commons license.,00:00:03.190,00:00:04.730
"Your support will help
MIT OpenCourseWare",00:00:04.730,00:00:07.030
"continue to offer high-quality,
educational resources for free.",00:00:07.030,00:00:11.390
"To make a donation, or
view additional materials",00:00:11.390,00:00:13.990
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.990,00:00:17.880
at ocw.mit.edu.,00:00:17.880,00:00:18.850
ANA BELL: All right.,00:00:29.957,00:00:30.790
Let's begin.,00:00:30.790,00:00:33.100
"As I mentioned
before, this lecture",00:00:33.100,00:00:35.830
will be recorded for OCW.,00:00:35.830,00:00:37.690
"Again, in future
lectures, if you",00:00:37.690,00:00:39.309
"don't want to have the
back of your head show up,",00:00:39.309,00:00:41.350
"just don't sit in
this front area here.",00:00:41.350,00:00:44.880
"First of all, wow,
what a crowd, you guys.",00:00:44.880,00:00:46.630
We're finally in 26-100.,00:00:46.630,00:00:48.490
"6.0001 made it big, huh?",00:00:48.490,00:00:52.240
"Good afternoon and welcome to
the very first class of 6.0001,",00:00:52.240,00:00:55.960
"and also 600, this semester.",00:00:55.960,00:00:58.960
My name is Ana Bell.,00:00:58.960,00:01:00.610
"First name, Ana.",00:01:00.610,00:01:01.840
"Last name, Bell.",00:01:01.840,00:01:03.250
"I'm a lecturer in
the EECS Department.",00:01:03.250,00:01:06.460
"And I'll be giving some
of the lectures for today,",00:01:06.460,00:01:08.680
"along with later on in the term,
Professor Eric Grimson, who's",00:01:08.680,00:01:13.030
"sitting right down there, will
be giving some of the lectures,",00:01:13.030,00:01:15.820
as well.,00:01:15.820,00:01:17.620
"Today we're going to go over
some basic administrivia,",00:01:17.620,00:01:21.550
"a little bit of
course information.",00:01:21.550,00:01:23.101
"And then, we're going
to talk a little bit",00:01:23.101,00:01:24.850
about what is computation?,00:01:24.850,00:01:26.164
"We'll discuss at
a very high level",00:01:26.164,00:01:27.580
"what computers do just
to make sure we're all",00:01:27.580,00:01:29.860
on the same page.,00:01:29.860,00:01:31.610
"And then, we're going to dive
right into Python basics.",00:01:31.610,00:01:34.180
"We're going to talk a little bit
about mathematical operations",00:01:34.180,00:01:36.763
you can do with Python.,00:01:36.763,00:01:38.134
"And then, we're going to
talk about Python variables",00:01:38.134,00:01:40.300
and types.,00:01:40.300,00:01:42.010
"As I mentioned in my
introductory email, all",00:01:42.010,00:01:43.907
"the slides and code that I'll
talk about during lectures",00:01:43.907,00:01:46.240
"will be up before
lecture, so I highly",00:01:46.240,00:01:48.250
"encourage you to download
them and to have them open.",00:01:48.250,00:01:52.540
"We're going to go through some
in-class exercises which will",00:01:52.540,00:01:56.020
be available on those slides.,00:01:56.020,00:01:57.820
And it's fun to do.,00:01:57.820,00:01:59.830
"And it's also great if could
take notes about the code just",00:01:59.830,00:02:07.420
for future reference.,00:02:07.420,00:02:09.210
It's true.,00:02:09.210,00:02:10.210
"This is a really
fast-paced course,",00:02:10.210,00:02:12.220
and we ramp up really quickly.,00:02:12.220,00:02:14.110
"We do want to position you
to succeed in this course.",00:02:14.110,00:02:17.842
"As I was writing
this, I was trying",00:02:17.842,00:02:19.300
"to think about when
I was first starting",00:02:19.300,00:02:21.160
"to program what helped
me get through my very",00:02:21.160,00:02:24.580
first programming course.,00:02:24.580,00:02:26.110
And this is really a good list.,00:02:26.110,00:02:29.470
"The first thing was I just
read the psets as soon",00:02:29.470,00:02:31.840
"as they came out, made sure that
the terminology just sunk in.",00:02:31.840,00:02:37.600
"And then, during
lectures, if the lecturer",00:02:37.600,00:02:39.760
"was talking about something
that suddenly I remembered,",00:02:39.760,00:02:42.967
"oh, I saw that word in the pset
and I didn't know what it was.",00:02:42.967,00:02:45.550
