text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.490
Commons license.,00:00:02.490,00:00:04.030
"Your support will help
MIT OpenCourseWare",00:00:04.030,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.280
at ocw.mit.edu.,00:00:17.280,00:00:18.450
"ERIK DEMAINE: All
right, today we're",00:00:20.940,00:00:22.440
"going to do an exciting
topic, which is hashing.",00:00:22.440,00:00:26.550
"Do it all in one
lecture, that's the plan.",00:00:26.550,00:00:28.490
See if we make it.,00:00:28.490,00:00:31.740
"You've probably
heard about hashing.",00:00:31.740,00:00:33.450
"It's probably the most
common data structure",00:00:33.450,00:00:35.970
in computer science.,00:00:35.970,00:00:37.050
"It's covered in pretty much
every algorithms class.",00:00:37.050,00:00:39.804
"But there's a lot
to say about it.",00:00:39.804,00:00:41.220
"And I want to
quickly review things",00:00:41.220,00:00:42.810
"you might know and then
quickly get to things",00:00:42.810,00:00:45.360
you shouldn't know.,00:00:45.360,00:00:47.335
"And we're going to
talk on the one hand",00:00:47.335,00:00:48.960
"about different kinds
of hash functions,",00:00:48.960,00:00:51.930
"fancy stuff like
k-wise independence,",00:00:51.930,00:00:53.790
"and a new technique that's
been analyzed a lot lately,",00:00:53.790,00:00:56.040
"simple tabulation hashing,
just in the last year.",00:00:56.040,00:00:58.819
"And then we'll look
at different ways",00:00:58.819,00:01:00.360
"to use this hash function that
actually build data structures,",00:01:00.360,00:01:03.240
"chaining is the obvious
one; perfect hashing you",00:01:03.240,00:01:05.760
"may have seen; linear probing
is another obvious one,",00:01:05.760,00:01:09.150
"but has only been
analyzed recently;",00:01:09.150,00:01:11.100
"and cuckoo hashing is a new one
that has its own fun feature.",00:01:11.100,00:01:15.690
"So that's where we're
going to go today",00:01:15.690,00:01:18.810
"Remember, the basic
idea of hashing",00:01:18.810,00:01:22.440
"is you want to reduce
a giant universe",00:01:22.440,00:01:25.350
to a reasonably small table.,00:01:25.350,00:01:28.090
"So I'm going to call
our hash function h.",00:01:28.090,00:01:30.640
"I'm going to call the universe
integer 0 up to u minus 1.",00:01:30.640,00:01:35.438
So this is the universe.,00:01:35.438,00:01:38.610
"And I'm going to denote the
universe by a capital U.",00:01:38.610,00:01:42.600
"And we have a table
that we'd like to store.",00:01:42.600,00:01:46.839
"I'm not going to draw
it yet because that's",00:01:46.839,00:01:48.630
"the second half of the lecture,
what is the table actually.",00:01:48.630,00:01:52.290
"But we'll just think of it as
indices 0 through m minus 1.",00:01:52.290,00:01:56.080
So this is the table size.,00:01:56.080,00:02:01.000
"And probably, we want
m to be about n. n",00:02:01.000,00:02:03.780
"is the number of keys we're
actually storing in the table.",00:02:03.780,00:02:06.660
"But that's not necessarily
seen at this level.",00:02:06.660,00:02:10.289
So that's a hash function.,00:02:10.289,00:02:13.110
"m is going to be
much smaller than u.",00:02:13.110,00:02:15.555
"We're just hashing
integers here,",00:02:15.555,00:02:16.930
"so if you don't have integers
you map your whatever space",00:02:16.930,00:02:19.830
of things you have to integers.,00:02:19.830,00:02:21.690
"That's pretty much
always possible.",00:02:21.690,00:02:23.790
"Now, best case scenario would
be to use a totally random hash",00:02:23.790,00:02:28.000
function.,00:02:28.000,00:02:28.500
What does totally random mean?,00:02:31.590,00:02:33.730
"The probability, if you
choose your hash function,",00:02:33.730,00:02:37.800
"that any key x maps to
any particular slot--",00:02:37.800,00:02:41.850
"these table things
are called slots--",00:02:41.850,00:02:44.700
is 1 over m.,00:02:44.700,00:02:47.640
"And this is
independent for all x.",00:02:47.640,00:02:51.925
So this would be ideal.,00:03:08.290,00:03:09.740
"You choose each h of x for
every possible key randomly,",00:03:09.740,00:03:14.900
independently.,00:03:14.900,00:03:16.120
"Then that gives you
perfect hashing.",00:03:16.120,00:03:18.450
"Not perfect in
this sense, sorry.",00:03:18.450,00:03:20.380
It gives you ideal hashing.,00:03:20.380,00:03:22.600
Perfect means no collisions.,00:03:22.600,00:03:24.910
"This actually might
have collisions,",00:03:24.910,00:03:26.410
"there's some chance that two
keys hash to the same value.",00:03:26.410,00:03:29.834
We call this totally random.,00:03:29.834,00:03:31.000
"This is sort of the
ideal thing that we're",00:03:31.000,00:03:32.410
"trying to approximate with
reasonable hash functions.",00:03:32.410,00:03:34.840
Why is this bad?,00:03:34.840,00:03:36.040
Because it's big.,00:03:36.040,00:03:37.990
"The number of bits
of information",00:03:37.990,00:03:39.820
"you'd need if you actually
could flip all these coins,",00:03:39.820,00:03:43.480
"you'd need to write
down, I guess U times",00:03:43.480,00:03:47.840
log m bits of information.,00:03:47.840,00:03:50.790
Which is generally way too big.,00:03:55.800,00:03:57.330
"We can't afford U.
The whole point is",00:03:57.330,00:03:59.220
