text,start,stop
"The following content is
provided under a Creative",00:00:00.070,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.236
at ocw.mit.edu.,00:00:17.236,00:00:17.861
PROFESSOR: All right.,00:00:20.695,00:00:21.570
"Good morning, everyone.",00:00:21.570,00:00:23.150
Thanks for coming on quiz day.,00:00:23.150,00:00:25.450
"I have to have someone
to throw Frisbees to.",00:00:25.450,00:00:28.680
Empty chairs would be difficult.,00:00:28.680,00:00:32.049
"So we're going to be doing
dynamic programming, a notion",00:00:32.049,00:00:36.220
you've learned in 6006.,00:00:36.220,00:00:40.090
"We'll look at three
different examples today.",00:00:40.090,00:00:43.010
"The first one is really
at the level of 006,",00:00:43.010,00:00:46.570
"a cute little problem on
finding the longest palindromic",00:00:46.570,00:00:51.190
"sequence inside of
a longer sequence.",00:00:51.190,00:00:56.630
"Sometimes it's called longest
palindromic subsequence.",00:00:56.630,00:01:00.250
"And as we'll talk
about, subsequence",00:01:00.250,00:01:03.310
"means that it can
be non-contiguous.",00:01:03.310,00:01:06.520
"So you could skip letters
in a sequence of letters",00:01:06.520,00:01:12.840
"and you would still have a
subsequence corresponding",00:01:12.840,00:01:16.770
to that.,00:01:16.770,00:01:17.480
Don't have to be contiguous.,00:01:17.480,00:01:19.100
"And then we'll raise
the stakes a little bit.",00:01:19.100,00:01:21.840
"So each of these problems gets
progressively more complicated,",00:01:21.840,00:01:27.530
more sophisticated.,00:01:27.530,00:01:29.010
"And you'll probably
see problems here,",00:01:29.010,00:01:32.950
"at least alternating coin
game, that are beyond 006",00:01:32.950,00:01:37.070
"in the sense that
it wasn't covered.",00:01:37.070,00:01:39.270
"Those kinds of notions
weren't covered in 006.",00:01:39.270,00:01:42.290
"So just in terms of
review, I wrote this",00:01:42.290,00:01:45.830
"up here because I don't want
to spend a whole lot of time",00:01:45.830,00:01:48.940
on it.,00:01:48.940,00:01:49.760
"This is something that you
should have some familiarity",00:01:49.760,00:01:52.300
"with from the
recitation, for example,",00:01:52.300,00:01:57.590
"that you had on
Friday and from 006.",00:01:57.590,00:02:00.880
"Dynamic programming is
this wonderful hammer.",00:02:00.880,00:02:03.600
"It's an algorithmic
technique that you",00:02:03.600,00:02:05.960
"can use to solve problems that
look exponential in complexity.",00:02:05.960,00:02:11.390
"But if you can find this
optimum substructure associated",00:02:11.390,00:02:15.210
"with the problem and its
connection to it's subproblems,",00:02:15.210,00:02:20.060
"and if you can
characterize that,",00:02:20.060,00:02:22.080
"then you can do a recursive
decomposition of the problem",00:02:22.080,00:02:26.410
"where you show that you can
construct the optimum solution",00:02:26.410,00:02:33.200
from the subproblems.,00:02:33.200,00:02:34.660
"And that's really the key
step in dynamic programming,",00:02:34.660,00:02:38.480
is step two.,00:02:38.480,00:02:40.070
"Once you've made this
characterization,",00:02:40.070,00:02:42.570
"you write this recurrence out
that relates the optimal value",00:02:42.570,00:02:48.630
"of a bigger problem to the
optimal values of subproblems.",00:02:48.630,00:02:53.950
"And you compute the value
of the optimal solution",00:02:53.950,00:02:58.440
through a recursive memoization.,00:02:58.440,00:03:04.800
"And that memoization
is really what",00:03:04.800,00:03:07.750
"gives you the
efficient algorithm,",00:03:07.750,00:03:12.040
"because you don't repeat
the solution of subproblems.",00:03:12.040,00:03:16.540
"You can also do this in
an iterative fashion.",00:03:16.540,00:03:19.640
"Essentially, you're going to
be computing things bottom-up.",00:03:19.640,00:03:22.620
"You might want to think
about it as top-down",00:03:22.620,00:03:24.890
when you write your recurrence.,00:03:24.890,00:03:26.790
"But ultimately, when you
actually execute the program,",00:03:26.790,00:03:29.800
"you'll be computing
things bottom-up,",00:03:29.800,00:03:31.690
"and you'll be checking the memo
table to see if you actually",00:03:31.690,00:03:35.320
solved this problem before.,00:03:35.320,00:03:37.340
"And that would be the
recursive memoized case,",00:03:37.340,00:03:41.340
"which, in some sense,
is a little bit easier",00:03:41.340,00:03:43.430
"to think about and translate
directly from the recurrence.",00:03:43.430,00:03:46.750
"But the other way to do it
is to do it iteratively.",00:03:46.750,00:03:49.170
"And we'll take a look
for this first problem",00:03:49.170,00:03:51.590
"as to how you'd do the two
different ways at least",00:03:51.590,00:03:55.110
"from a conceptual standpoint,
even though I might not",00:03:55.110,00:03:58.720
"write out the code for
each of those cases.",00:03:58.720,00:04:01.400
"So a couple of choices
here, recurse and memoize,",00:04:01.400,00:04:04.880
"or essentially do
it iteratively.",00:04:04.880,00:04:08.726
"And the smaller
subproblems would",00:04:08.726,00:04:10.100
"have to get computed
first in both approaches.",00:04:10.100,00:04:16.279
"The one thing that sometimes we
don't spend a whole lot of time",00:04:16.279,00:04:18.910
"on is this last step, which
is getting the exact solution.",00:04:18.910,00:04:25.210
"So a lot of the time,
you stop with saying,",00:04:25.210,00:04:27.570
"I can compute the value
of the optimum solution,",00:04:27.570,00:04:31.030
"the value in terms of
the length of the longest",00:04:31.030,00:04:34.740
palindromic sequence is 7 or 9.,00:04:34.740,00:04:38.770
"But what is that
sequence or subsequence?",00:04:38.770,00:04:42.270
"That requires some
additional coding,",00:04:42.270,00:04:45.640
some additional accounting.,00:04:45.640,00:04:48.710
"The construction of
this optimal solution",00:04:48.710,00:04:51.100
"typically requires
some back-tracing",00:04:51.100,00:04:53.530
"and some information
to be kept track",00:04:53.530,00:04:58.200
"of during the recurse
and memoize step",00:04:58.200,00:05:00.590
or during the iterative step.,00:05:00.590,00:05:02.491
"So that's something
to keep in mind.",00:05:02.491,00:05:03.990
"You're not quite
done once you've",00:05:03.990,00:05:06.160
"found the value of
the optimum solution.",00:05:06.160,00:05:08.870
"More often than not,
you want the solution.",00:05:08.870,00:05:11.250
"So we'll talk about that
as well a little bit.",00:05:11.250,00:05:14.260
"But let's just dive in and look
at this cute, little problem",00:05:14.260,00:05:21.824
of longest palindromic sequence.,00:05:21.824,00:05:27.280
"And palindromes, of course,
read the same front to back",00:05:27.280,00:05:35.140
or back to front.,00:05:35.140,00:05:36.220
Radar is a palindrome.,00:05:36.220,00:05:38.530
"Just as a trivial example, a
single letter is a palindrome.",00:05:38.530,00:05:43.890
"Maybe I should have used a
since that's actually a word.",00:05:43.890,00:05:48.440
But here I got bb.,00:05:48.440,00:05:50.890
"That's definitely not
a word, at least not",00:05:50.890,00:05:54.090
"a word that-- acronym, maybe.",00:05:54.090,00:05:57.670
Radar is a palindrome.,00:05:57.670,00:06:00.690
"Able was I 'ere I
saw Elba, right?",00:06:00.690,00:06:03.080
That's a palindrome.,00:06:03.080,00:06:05.180
"That's, of course,
not a single word.",00:06:05.180,00:06:06.870
"But it's a famous
palindrome, days of Napoleon.",00:06:06.870,00:06:11.680
"But what we're
trying to do here is,",00:06:11.680,00:06:13.660
"given that we have this
notion of a palindrome,",00:06:13.660,00:06:17.220
"we'd like to discover
palindromes inside longer",00:06:17.220,00:06:22.400
words or longer sequences.,00:06:22.400,00:06:24.700
"So what we have is a string,
and we'll call it x1 through n,",00:06:24.700,00:06:33.921
n greater than or equal to 1.,00:06:33.921,00:06:37.305
"And we want to find the
longest palindrome that",00:06:37.305,00:06:45.920
is a subsequence.,00:06:45.920,00:06:46.720
"And so here's an example
to get you guys warmed up.",00:06:50.420,00:06:54.290
"We'll have a couple of
puzzles here in a second.",00:06:54.290,00:06:58.050
So character.,00:06:58.050,00:06:59.720
"And you want to find
the longest palindrome.",00:06:59.720,00:07:03.420
"And so you go, I'll pick c,
I'll skip h, I'll pick a,",00:07:03.420,00:07:07.450
"I'll pick r, a, and c.",00:07:07.450,00:07:10.150
