text,start,stop
"The following content is
provided under a Creative",00:00:00.790,00:00:03.190
Commons license.,00:00:03.190,00:00:04.730
"Your support will help
MIT OpenCourseWare",00:00:04.730,00:00:07.030
"continue to offer high quality
educational resources for free.",00:00:07.030,00:00:11.390
"To make a donation or
view additional materials",00:00:11.390,00:00:13.990
"from hundreds of
MIT courses, visit",00:00:13.990,00:00:16.450
MITOpenCourseWare@ocw.mit.edu.,00:00:16.450,00:00:18.480
"PROFESSOR: OK, folks.",00:00:24.840,00:00:27.550
Welcome back.,00:00:27.550,00:00:28.930
"Hope you had a nice long
weekend with no classes.",00:00:28.930,00:00:31.000
"You got caught up on all
those problem sets that",00:00:31.000,00:00:33.000
have been sneaking up on you.,00:00:33.000,00:00:34.550
"You enjoyed watching
the Patriots and Tom",00:00:34.550,00:00:36.540
Brady come back.,00:00:36.540,00:00:37.320
"Oh, sorry, I'm
showing my local bias.",00:00:37.320,00:00:40.720
"Before we talk
about today's topic,",00:00:40.720,00:00:44.030
"I want to take a second
to set the stage.",00:00:44.030,00:00:45.940
"And I want you to stop and
think about what you've",00:00:45.940,00:00:48.440
seen so far in this course.,00:00:48.440,00:00:50.322
"We're coming up on the
end of the first section",00:00:50.322,00:00:52.280
of the course.,00:00:52.280,00:00:53.120
And you've already seen a lot.,00:00:53.120,00:00:55.100
"You've certainly learned about
fundamentals of computation.",00:00:55.100,00:00:58.120
"You've seen different
kinds of data structures,",00:00:58.120,00:01:00.760
"both mutable and immutable, so
tuples and lists, dictionaries,",00:01:00.760,00:01:04.180
"different ways of
pulling things together.",00:01:04.180,00:01:07.150
"You've seen a
range of algorithms",00:01:07.150,00:01:08.530
"from simple linear code
to loops, fors and whiles.",00:01:08.530,00:01:12.730
"You've seen
iterative algorithms.",00:01:12.730,00:01:14.380
"You've seen
recursive algorithms.",00:01:14.380,00:01:16.150
"You've seen classes
of algorithms.",00:01:16.150,00:01:19.630
Divide and conquer.,00:01:19.630,00:01:21.280
Greedy algorithms.,00:01:21.280,00:01:22.630
Bisection search.,00:01:22.630,00:01:24.490
A range of things.,00:01:24.490,00:01:25.270
"And then most recently,
you start pulling things",00:01:25.270,00:01:27.520
"together with classes--
a way to group together",00:01:27.520,00:01:30.430
"data that belongs together along
with methods or procedures that",00:01:30.430,00:01:34.570
"are designed to
manipulate that data.",00:01:34.570,00:01:37.120
"So you've had actually
a fairly good coverage",00:01:37.120,00:01:39.520
"already of a lot of the
fundamentals of computation.",00:01:39.520,00:01:43.181
"And you're starting
to get geared up",00:01:43.181,00:01:44.680
"to be able to tackle a pretty
interesting range of problems.",00:01:44.680,00:01:49.180
"Today and Monday,
we're going to take",00:01:49.180,00:01:51.880
"a little bit of a different
look at computation.",00:01:51.880,00:01:54.280
"Because now that you've got
the tools to start building up",00:01:54.280,00:01:57.280
"your own personal
armamentarium of tools,",00:01:57.280,00:02:01.390
"we'd like to ask a couple
of important questions.",00:02:01.390,00:02:04.330
"The primary one of which is how
efficient are my algorithms?",00:02:04.330,00:02:09.840
"And by efficiency, we'll see it
refers both to space and time,",00:02:09.840,00:02:13.060
but primarily to time.,00:02:13.060,00:02:14.610
"And we'd like to know both how
fast are my algorithms going",00:02:14.610,00:02:18.460
"to run and how could I reason
about past performance.",00:02:18.460,00:02:21.771
"And that's what we're going
to do with today's topics.",00:02:21.771,00:02:24.020
"We're going to talk
about orders of growth.",00:02:24.020,00:02:26.020
"We'll define what that
means in a few minutes.",00:02:26.020,00:02:27.980
"We're going to talk about what's
called the big O notation.",00:02:27.980,00:02:30.970
"And we're going to begin to
explore different classes",00:02:30.970,00:02:33.730
of algorithms.,00:02:33.730,00:02:36.160
"Before we do that though,
let's talk about why.",00:02:36.160,00:02:39.685
