text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.490
Commons license.,00:00:02.490,00:00:04.030
"Your support will help
MIT OpenCourseWare",00:00:04.030,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.280
at ocw.mit.edu.,00:00:17.280,00:00:18.450
"ERIK DEMAINE: Today,
we continue our theme",00:00:20.920,00:00:22.670
on integer data structures.,00:00:22.670,00:00:24.217
"And we're going to cover
one data structure called",00:00:24.217,00:00:26.300
"fusion trees, which introduces
a bunch of cool concepts using,",00:00:26.300,00:00:31.070
"you might call bit tricks,
using the word level parallelism",00:00:31.070,00:00:35.060
to do lots of great things.,00:00:35.060,00:00:37.329
"To do those great things we
need to do something called",00:00:37.329,00:00:39.620
"sketching, which is essentially
taking w-bit integers",00:00:39.620,00:00:43.040
"and making them
less than w-bits,",00:00:43.040,00:00:44.600
"but still having enough
stuff that we care about.",00:00:44.600,00:00:47.660
"And then we can actually
compute those sketches",00:00:47.660,00:00:50.660
"using integer multiplication
in a very clever way.",00:00:50.660,00:00:54.680
"And given a bunch of
these slightly less than w",00:00:54.680,00:00:58.520
"bit numbers we can
compare several",00:00:58.520,00:01:01.610
"for the price of one operation
as a parallel comparison.",00:01:01.610,00:01:05.700
"And then a particularly
nifty thing,",00:01:05.700,00:01:08.930
"which is new this time I
haven't covered it before,",00:01:08.930,00:01:11.120
"is how to compute
the leftmost 1 bit",00:01:11.120,00:01:14.330
"in a w-bit integer in
constant time, all very cool.",00:01:14.330,00:01:19.790
"And so we're going to
combine all these techniques",00:01:19.790,00:01:22.040
and get fusion trees.,00:01:22.040,00:01:23.000
"What do fusion trees
give us in the end?",00:01:23.000,00:01:25.040
"Basically, the goal is to get
log base w of n, predecessor",00:01:30.950,00:01:36.620
and successor.,00:01:36.620,00:01:39.050
"So we're again talking about
the predecessor problem.",00:01:39.050,00:01:43.040
"We did log of w last time with
van Emde Boas and y-fast tries.",00:01:43.040,00:01:49.430
"So then with the two
of them together, we",00:01:49.430,00:01:52.430
get log w and log base w of n.,00:01:52.430,00:01:56.750
"The min of those
two things is always",00:01:56.750,00:01:58.400
"at most root log n, but
sometimes much better",00:01:58.400,00:02:03.470
than that.,00:02:03.470,00:02:04.470
"So fusion trees are
great when w is big,",00:02:04.470,00:02:07.230
"van Emde Boas was good
when w was smallish.",00:02:07.230,00:02:10.250
"Like poly log n, van
Emde Boas is optimal.",00:02:10.250,00:02:14.510
"Here, we're thinking
about w being closer to n,",00:02:14.510,00:02:20.120
"or maybe n to the
epsilon or something.",00:02:20.120,00:02:22.400
"Then we get constant time,
if it's n to the epsilon.",00:02:22.400,00:02:25.950
"Anyway, the version we're
going to cover is static.",00:02:25.950,00:02:29.765
"And it's linear space, and
it runs on the good old word",00:02:33.140,00:02:40.850
"RAM, which you may
recall is regular C",00:02:40.850,00:02:45.200
"operations on w-bit words.
w is at least log n,",00:02:45.200,00:02:48.504
so you can do random access.,00:02:48.504,00:02:49.670
And anything else?,00:02:52.310,00:02:55.070
"I think that's the
version we will cover.",00:02:55.070,00:02:56.950
"And that is the original
version of Fredman and Willard,",00:02:56.950,00:03:00.230
"and it was invented
in 1990, which",00:03:00.230,00:03:03.410
"was one year after the
cold fusion debacle.",00:03:03.410,00:03:06.060
"So this may be where
this name came from.",00:03:06.060,00:03:08.831
"There's other reasons it might
be called fusion trees, which",00:03:08.831,00:03:11.330
we'll get to.,00:03:11.330,00:03:11.910
Cool.,00:03:14.450,00:03:15.024
"So now, there's other
versions of fusion trees",00:03:15.024,00:03:16.940
"which I will not cover, but
just so you know about them.",00:03:16.940,00:03:20.450
"And in some sense we
will pseudo cover them.",00:03:20.450,00:03:23.510
"There's a version
for an AC0 RAM.",00:03:26.210,00:03:30.526
"This is a model we
haven't talked about.",00:03:30.526,00:03:33.150
"It's another version of
a trans-dichotomous RAM,",00:03:33.150,00:03:36.800
"somewhere off to the
side next to word RAM.",00:03:36.800,00:03:39.110
AC0 is a circuit model.,00:03:39.110,00:03:41.390
"And it's basically any constant
depth circuit of unbounded fan",00:03:41.390,00:03:50.090
in and fan out.,00:03:50.090,00:03:50.840
"And so in particular
what AC0 forbids",00:03:57.950,00:04:00.920
"are operations like
multiplication.",00:04:00.920,00:04:03.805
"I think this used to be a
bigger deal than it is today.",00:04:08.360,00:04:11.769
"I think multiplication used
to be in order of magnitude",00:04:11.769,00:04:14.060
slower than integer addition.,00:04:14.060,00:04:16.610
"I checked on current
Intel architecture.",00:04:16.610,00:04:18.395
"It's about 3 times
slower than an addition,",00:04:18.395,00:04:20.480
"because of pipelining a
lot of things get cheaper.",00:04:20.480,00:04:23.660
"But in some theoretical
sense, multiplication",00:04:23.660,00:04:27.080
