text,start,stop
"The following content is
provided under a Creative",00:00:00.040,00:00:02.410
Commons license.,00:00:02.410,00:00:03.790
"Your support will help
MIT OpenCourseWare",00:00:03.790,00:00:06.030
"continue to offer high-quality
educational resources for free.",00:00:06.030,00:00:10.100
"To make a donation or to
view additional materials",00:00:10.100,00:00:12.680
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.680,00:00:16.590
at fsae@mit.edu.,00:00:16.590,00:00:18.270
"PATRICK WINSTON: It was in
2010, yes, that's right.",00:00:37.340,00:00:42.313
It was in 2010.,00:00:42.313,00:00:44.630
"We were having our
annual discussion",00:00:44.630,00:00:46.590
"about what we would dump fro
6034 in order to make room",00:00:46.590,00:00:49.970
for some other stuff.,00:00:49.970,00:00:51.720
"And we almost killed
off neural nets.",00:00:51.720,00:00:54.540
"That might seem strange
because our heads",00:00:54.540,00:00:58.010
are stuffed with neurons.,00:00:58.010,00:00:59.860
"If you open up your skull
and pluck them all out,",00:00:59.860,00:01:02.000
you don't think anymore.,00:01:02.000,00:01:03.870
"So it would seem
that neural nets",00:01:03.870,00:01:07.914
"would be a fundamental
and unassailable topic.",00:01:07.914,00:01:12.610
"But many of us felt that
the neural models of the day",00:01:12.610,00:01:16.710
"weren't much in the way
of faithful models of what",00:01:16.710,00:01:23.380
"actually goes on
inside our heads.",00:01:23.380,00:01:25.476
"And besides that,
nobody had ever",00:01:25.476,00:01:26.850
"made a neural net that was
worth a darn for doing anything.",00:01:26.850,00:01:30.270
So we almost killed it off.,00:01:30.270,00:01:33.070
"But then we said,
well, everybody",00:01:33.070,00:01:34.694
"would feel cheated
if they take a course",00:01:34.694,00:01:36.360
"in artificial intelligence,
don't learn anything",00:01:36.360,00:01:38.060
"about neural nets,
and then they'll",00:01:38.060,00:01:39.334
"go off and invent
them themselves.",00:01:39.334,00:01:40.640
"And they'll waste
all sorts of time.",00:01:40.640,00:01:42.240
So we kept the subject in.,00:01:42.240,00:01:44.740
"Then two years
later, Jeff Hinton",00:01:44.740,00:01:48.420
"from the University of
Toronto stunned the world",00:01:48.420,00:01:52.070
"with some neural network
he had done on recognizing",00:01:52.070,00:01:56.450
and classifying pictures.,00:01:56.450,00:01:58.810
"And he published
a paper from which",00:01:58.810,00:02:00.610
"I am now going to show
you a couple of examples.",00:02:00.610,00:02:04.910
"Jeff's neural net, by the
way, had 60 million parameters",00:02:04.910,00:02:08.289
in it.,00:02:08.289,00:02:09.389
"And its purpose was to determine
which of 1,000 categories",00:02:09.389,00:02:15.110
best characterized a picture.,00:02:15.110,00:02:17.087
So there it is.,00:02:22.900,00:02:24.010
"There's a sample of things
that the Toronto neural net",00:02:24.010,00:02:31.280
"was able to recognize
or make mistakes on.",00:02:31.280,00:02:35.416
"I'm going to blow
that up a little bit.",00:02:35.416,00:02:37.040
"I think I'm going
to look particularly",00:02:37.040,00:02:38.623
"at the example labeled
container ship.",00:02:38.623,00:02:42.930
"So what you see here is that
the program returned its best",00:02:42.930,00:02:47.140
"estimate of what it was
ranked, first five, according",00:02:47.140,00:02:51.630
"to the likelihood,
probability, or the certainty",00:02:51.630,00:02:55.090
"that it felt that a
particular class was",00:02:55.090,00:02:59.240
characteristic of the picture.,00:02:59.240,00:03:01.030
"And so you can see this
one is extremely confident",00:03:01.030,00:03:03.420
that it's a container ship.,00:03:03.420,00:03:06.260
"It also was fairly
moved by the idea",00:03:06.260,00:03:09.920
that it might be a lifeboat.,00:03:09.920,00:03:13.590
"Now, I'm not sure about you,
but I don't think this looks",00:03:13.590,00:03:17.390
much like a lifeboat.,00:03:17.390,00:03:18.666
"But it does look like
a container ship.",00:03:18.666,00:03:20.290
"So if I look at only the best
choice, it looks pretty good.",00:03:20.290,00:03:23.450
"Here are the other things
they did pretty well,",00:03:23.450,00:03:25.760
"got the right answer
is the first choice--",00:03:25.760,00:03:27.980
is this first choice.,00:03:27.980,00:03:30.257
"So over on the left,
you see that it's",00:03:30.257,00:03:31.840
"decided that the picture
is a picture of a mite.",00:03:31.840,00:03:35.280
"The mite is not anywhere near
the center of the picture,",00:03:35.280,00:03:37.700
"but somehow it managed to find
it-- the container ship again.",00:03:37.700,00:03:41.440
"There is a motor scooter, a
couple of people sitting on it.",00:03:41.440,00:03:44.110
"But it correctly characterized
the picture as a motor scooter.",00:03:44.110,00:03:48.490
"And then on the
right, a Leopard.",00:03:48.490,00:03:50.160
"And everything else
is a cat of some sort.",00:03:50.160,00:03:52.450
"So it seems to be
doing pretty well.",00:03:52.450,00:03:54.280
"In fact, it does do pretty well.",00:03:54.280,00:03:56.930
"But anyone who does
this kind of work",00:03:56.930,00:03:59.124
"has an obligation
to show you some",00:03:59.124,00:04:00.540
"of the stuff that
doesn't work so well on",00:04:00.540,00:04:03.110
or doesn't get quite right.,00:04:03.110,00:04:04.670
"And so these pictures also
occurred in Hinton's paper.",00:04:04.670,00:04:10.010
"So the first one is
characterized as a grill.",00:04:10.010,00:04:12.840
"But the right answer was
supposed to be convertible.",00:04:12.840,00:04:15.910
"Oh, no, yes, yeah, right
answer was convertible.",00:04:15.910,00:04:19.480
"In the second case,
the characterization",00:04:19.480,00:04:22.430
is of a mushroom.,00:04:22.430,00:04:24.560
"And the alleged right
answer is agaric.",00:04:24.560,00:04:28.320
Is that pronounced right?,00:04:28.320,00:04:29.740
"It turns out that's a kind of
mushroom-- so no problem there.",00:04:29.740,00:04:33.730
"In the next case, it
said it was a cherry.",00:04:33.730,00:04:36.280
"But it was supposed
to be a dalmatian.",00:04:36.280,00:04:37.930
"Now, I think a dalmatian is
a perfectly legitimate answer",00:04:37.930,00:04:41.200
"for that particular picture--
so hard to fault it for that.",00:04:41.200,00:04:44.620
"And the last case,
the correct answer",00:04:44.620,00:04:47.640
was not in any of the top five.,00:04:47.640,00:04:50.700
