text,start,stop
"The following content is
provided under a Creative",00:00:00.050,00:00:02.490
Commons license.,00:00:02.490,00:00:04.010
"Your support will help
MIT OpenCourseWare",00:00:04.010,00:00:06.350
"continue to offer high quality
educational resources for free.",00:00:06.350,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.226
at ocw.mit.edu.,00:00:17.226,00:00:17.851
"PROFESSOR: Today we're going
to introduce graph search",00:00:21.730,00:00:23.980
"in general and talk about
one algorithm, which",00:00:23.980,00:00:25.896
"is breadth-first search, and
understand how in principle you",00:00:25.896,00:00:29.340
"can solve a puzzle
like the Rubik's Cube.",00:00:29.340,00:00:33.180
"So before I get to
Rubik's Cubes let",00:00:33.180,00:00:36.190
"me remind you of some
basic stuff about graphs.",00:00:36.190,00:00:41.942
"Or I can tell you to start
out with, graph search is",00:00:41.942,00:00:50.380
about exploring a graph.,00:00:50.380,00:00:52.905
"And there's many different
notions of exploring a graph.",00:00:55.890,00:00:58.980
"Maybe I give you some
node in a graph, s,",00:00:58.980,00:01:01.950
"and some other
node in a graph, t,",00:01:01.950,00:01:03.790
"and I'd like to
find a path that's",00:01:03.790,00:01:06.940
"going to represent a
problem like I give you",00:01:06.940,00:01:09.390
"a particular state of a
Rubik's Cube and I want to know",00:01:09.390,00:01:13.140
"is there some path that
gets me into a solved state?",00:01:13.140,00:01:16.534
"Do I really want to
solve this on stage?",00:01:16.534,00:01:18.200
What the hell?,00:01:18.200,00:01:19.230
We started.,00:01:19.230,00:01:21.650
"So this is a particularly
easy state to solve,",00:01:21.650,00:01:24.410
which is why I set up this way.,00:01:24.410,00:01:26.816
"All right, so there you go.",00:01:26.816,00:01:27.940
"Seven by seven by seven Rubik's
Cube solved in 10 seconds.",00:01:27.940,00:01:31.510
Amazing.,00:01:31.510,00:01:33.650
New world record.,00:01:33.650,00:01:36.030
"So you're given some initial
state of the Rubik's Cube.",00:01:36.030,00:01:39.327
"You're given the
targets that you",00:01:39.327,00:01:40.702
know what solved looks like.,00:01:40.702,00:01:42.160
You want to find this path.,00:01:42.160,00:01:45.000
"Maybe you want to
find all paths from s.",00:01:45.000,00:01:47.887
"Maybe you just want to
explore all the nodes",00:01:47.887,00:01:49.720
in a graph you can reach from s.,00:01:49.720,00:01:51.160
"Maybe you want to explore all
the nodes in a graph or maybe",00:01:51.160,00:01:53.460
all the edges in a graph.,00:01:53.460,00:01:54.501
"These are all
exploration problems.",00:01:54.501,00:01:56.077
"They're all going to
be solved by algorithms",00:01:56.077,00:01:57.910
from this class and next class.,00:01:57.910,00:02:01.640
"So before we go
further though, I",00:02:01.640,00:02:04.350
"should remind you
what a graph is",00:02:04.350,00:02:07.330
"and sort of basic
features of graphs",00:02:07.330,00:02:10.169
that we're going to be using.,00:02:10.169,00:02:12.230
"This is also 6042 material so
you should know it very well.",00:02:12.230,00:02:15.390
"If you don't,
there's an appendix",00:02:15.390,00:02:17.120
in the textbook about it.,00:02:17.120,00:02:18.820
We have a set of vertices.,00:02:18.820,00:02:20.097
We have a set of edges.,00:02:20.097,00:02:21.055
"Edges are either
unordered pairs--",00:02:33.360,00:02:38.655
some sets of two items--,00:02:41.460,00:02:44.240
or ordered pairs.,00:02:47.140,00:02:50.630
"In this case, we call
the graph undirected.",00:02:58.230,00:03:02.270
"In this case, we call
the graph directed.",00:03:02.270,00:03:04.920
"Usually, there's only one type.",00:03:04.920,00:03:07.630
"Either all the
edges are directed",00:03:07.630,00:03:09.030
