text,start,stop
"The following
content is provided",00:00:00.060,00:00:01.780
"under a Creative
Commons license.",00:00:01.780,00:00:04.019
"Your support will help MIT
OpenCourseWare continue",00:00:04.019,00:00:06.870
"to offer high quality
educational resources for free.",00:00:06.870,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.217
at ocw.mit.edu.,00:00:17.217,00:00:17.842
"PROFESSOR: So we've
been wondering",00:00:20.500,00:00:23.090
"how a gas, such as
the one in this room,",00:00:23.090,00:00:28.180
"with particles following
Newtonian equations of motion,",00:00:28.180,00:00:32.220
comes to equilibrium.,00:00:32.220,00:00:34.710
"We decided to explain that
by relying on the Boltzmann",00:00:34.710,00:00:39.270
equation.,00:00:39.270,00:00:41.120
"Essentially, we said, let's look
at the density, or probability,",00:00:41.120,00:00:46.190
"that we will find particles
with momentum p at location q",00:00:46.190,00:00:50.180
"at time t, and we found that
within some approximations,",00:00:50.180,00:00:56.190
"we could represent
the evolution of this",00:00:56.190,00:01:00.540
"through a linear operator
on the left-hand side",00:01:00.540,00:01:04.379
"equal to some
collision second order",00:01:04.379,00:01:07.340
operator on the right-hand side.,00:01:07.340,00:01:11.090
"The linear operator is
a bunch of derivatives.",00:01:11.090,00:01:16.255
"There is the time derivative,
then the coordinate moves",00:01:16.255,00:01:22.190
"according to the velocity,
which is P over m.",00:01:22.190,00:01:26.580
"And summation over the index
alpha running from 1 to 3,",00:01:26.580,00:01:31.540
"or x, y, z, is assumed.",00:01:31.540,00:01:34.600
"And at this stage,
there is symmetry",00:01:34.600,00:01:38.940
"within the
representation in terms",00:01:38.940,00:01:40.800
of coordinates and momenta.,00:01:40.800,00:01:42.880
"There is also a force that
causes changes of momentum.",00:01:42.880,00:01:48.420
"Actually, for most
of today, we are",00:01:48.420,00:01:50.860
"going to be interested
in something",00:01:50.860,00:01:53.110
"like the gas in this room
far away from the walls,",00:01:53.110,00:01:56.910
"where essentially there
is no external potential.",00:01:56.910,00:02:00.290
"And for the interest of thinking
about modes such as sound,",00:02:00.290,00:02:04.870
"et cetera, we can remove that.",00:02:04.870,00:02:09.729
"The second order operator-- the
collision operator-- however,",00:02:09.729,00:02:17.940
"explicitly because we were
thinking about collisions",00:02:17.940,00:02:22.350
"among particles that
are taking place",00:02:22.350,00:02:24.390
"when they are in close
contact, breaks the symmetry",00:02:24.390,00:02:27.810
"between coordinate and momenta
that were present here.",00:02:27.810,00:02:31.960
"So this collision
operator was an integral",00:02:31.960,00:02:35.320
"over the momentum of
another particle that",00:02:35.320,00:02:39.640
"would come at some
impact parameter",00:02:39.640,00:02:42.590
"with relative
velocity, and then you",00:02:42.590,00:02:46.050
"had a subtraction due to
collisions, and then addition",00:02:46.050,00:02:53.680
due to reverse collisions.,00:02:53.680,00:02:55.940
"Now, what we said is
because of the way",00:03:03.770,00:03:07.500
"that this symmetry is
broken, we can distinguish",00:03:07.500,00:03:12.100
"between averages in
position and in momentum.",00:03:12.100,00:03:17.550
"For example, typically we
are interested in variations",00:03:17.550,00:03:21.530
of various quantities in space.,00:03:21.530,00:03:24.050
"And so what we can do is
we can define the density,",00:03:24.050,00:03:27.860
"let's say at some
particular point,",00:03:27.860,00:03:30.280
by integrating over momentum.,00:03:30.280,00:03:34.330
"So again, I said I don't
really need too much",00:03:37.550,00:03:40.400
"about the dependence
on momentum,",00:03:40.400,00:03:43.630
"but I really am
interested in how",00:03:43.630,00:03:45.770
"things vary from
position to position.",00:03:45.770,00:03:48.940
"Once we have defined density, we
could define various averages,",00:03:48.940,00:03:53.700
"where we would multiply this
integral by some function of P",00:03:53.700,00:03:57.880
"and q, and the average was
defined in this fashion.",00:03:57.880,00:04:03.630
"What we found was
that really what",00:04:03.630,00:04:07.900
"happens through this collision
operator-- that typically",00:04:07.900,00:04:13.510
"is much more important, as
far as the inverse time scales",00:04:13.510,00:04:17.420
"are concerned, than the
operators on the left,",00:04:17.420,00:04:20.010
"it has a much bigger
magnitude-- is",00:04:20.010,00:04:23.170
"that momenta are very rapidly
exchanged and randomized.",00:04:23.170,00:04:31.890
"And the things that are
randomized most slowly",00:04:31.890,00:04:36.560
"are quantities that are
conserved in collision.",00:04:36.560,00:04:38.853
"And so we focused on quantities
that were collision conserved,",00:04:45.000,00:04:49.870
"and we found that for each
one of these quantities,",00:04:49.870,00:04:53.540
"we could write down some kind
of a hydrodynamic equation.",00:04:53.540,00:04:59.000
"In particular, if we looked
at number conservation--",00:04:59.000,00:05:03.770
"two particles come
in, two particles",00:05:03.770,00:05:05.750
"go out-- we found that the
equation that described that",00:05:05.750,00:05:09.480
"was that the time derivative of
the density plus moving along",00:05:09.480,00:05:18.230
"the streamline had
a special form.",00:05:18.230,00:05:24.480
"And here, I defined the quantity
u alpha, which is simply",00:05:24.480,00:05:32.250
"the average of P alpha
over m, defined in the way",00:05:32.250,00:05:38.077
that averages defined over here.,00:05:38.077,00:05:41.660
"And that this is the
number of particles,",00:05:41.660,00:05:45.520
"how it changes if I move
along the streamline",00:05:45.520,00:05:48.820
"And variations of this,
if you are incompressible,",00:05:48.820,00:05:52.300
"comes from the divergence
of your flow velocity.",00:05:52.300,00:05:58.140
"And actually, this operator we
call the total, or streamline,",00:05:58.140,00:06:03.340
derivative.,00:06:03.340,00:06:03.840
"Now, the next thing
that we said is",00:06:08.040,00:06:09.780
"that OK, number is conserved,
but momentum is also conserved.",00:06:09.780,00:06:13.930
"So we can see what equation
I get if I look at momentum.",00:06:13.930,00:06:19.460
"But in fact, we put
the quantity that",00:06:19.460,00:06:22.180
"was momentum divided by mass
to make it like a velocity,",00:06:22.180,00:06:27.770
"and how much you
deviate from the average",00:06:27.770,00:06:31.190
that we just calculated.,00:06:31.190,00:06:33.630
"And this quantity
we also call c.",00:06:33.630,00:06:38.040
"And when we looked at the
equation that corresponded",00:06:38.040,00:06:42.020
"to the conservation of this
quantity in collisions,",00:06:42.020,00:06:45.290
"we found that we had
something like mass times",00:06:45.290,00:06:51.060
"acceleration along
the streamline.",00:06:51.060,00:06:53.310
"So basically this
operator multiplied",00:06:53.310,00:06:56.160
"by mass acting on this
was external force.",00:06:56.160,00:07:01.770
"Well, currently we've
said this external force",00:07:01.770,00:07:04.500
"to be zero-- so when
we are inside the box.",00:07:04.500,00:07:07.290
"Here there was an
additional force",00:07:07.290,00:07:10.140
"that came from variations
of pressure in the gas.",00:07:10.140,00:07:16.940
"And so we had a term here that
was 1 over n d alpha of P alpha",00:07:16.940,00:07:22.410
"beta, and we needed to define
a pressure tensor P alpha",00:07:22.410,00:07:29.330
"beta, which was nm
expectation line of c alpha c.",00:07:29.330,00:07:36.997
"Finally, in collisions
there is another quantity",00:07:41.400,00:07:45.020
"that is conserved, which
is the kinetic energy.",00:07:45.020,00:07:48.720
"So here the third quantity
could be the kinetic energy--",00:07:48.720,00:07:53.470
"or actually, we chose
the combination mc",00:07:53.470,00:07:56.970
"squared over 2, which is the
additional kinetic energy",00:07:56.970,00:08:02.210
on top of this.,00:08:02.210,00:08:03.260
"And it's very easy to check that
if kinetic energy is conserved,",00:08:03.260,00:08:07.000
this quantity is also conserved.,00:08:07.000,00:08:09.630
"We call the average of
this quantity in the way",00:08:09.630,00:08:13.045
"that we have defined
above as epsilon.",00:08:13.045,00:08:18.850
"And then the
hydrodynamic equation",00:08:18.850,00:08:21.630
"is that as you move
along the streams--",00:08:21.630,00:08:26.536
"so you have this derivative
acting on this quantity",00:08:26.536,00:08:29.800
"epsilon-- what we are going to
get is something like minus 1",00:08:29.800,00:08:35.049
"over n d alpha of a
new vector, h alpha.",00:08:35.049,00:08:41.059
"h alpha, basically, tells me how
this quantity is transported.",00:08:41.059,00:08:50.430
"So all I need to do is to
have something like mc squared",00:08:50.430,00:08:55.900
"over 2 transported
along direction alpha.",00:08:55.900,00:09:01.690
"And then there was
another term, which",00:09:01.690,00:09:04.330
"was P alpha beta-- the
P alpha beta that we",00:09:04.330,00:09:09.040
"defined above--
times u alpha beta.",00:09:09.040,00:09:13.060
"U alpha beta was simply the
derivative of this quantity,",00:09:13.060,00:09:20.100
symmetrized.,00:09:20.100,00:09:20.600
"So the statement
is that something",00:09:28.300,00:09:32.050
"like a gas-- or any
other fluid, in fact-- we",00:09:32.050,00:09:38.270
"can describe through
these quantities that",00:09:38.270,00:09:42.020
"are varying from one
location to another location.",00:09:42.020,00:09:45.265
