text,start,stop
"PATRICK WINSTON: I have
extremely bad news.",00:00:15.584,00:00:18.820
"Halloween falls this
year on a Sunday.",00:00:18.820,00:00:21.690
"But we in 6.034 refuse to
suffer the slings and arrows",00:00:21.690,00:00:25.880
of outrageous fortune.,00:00:25.880,00:00:27.890
"So we've decided that
Halloween is today,",00:00:27.890,00:00:30.291
as far 6.034 is concerned.,00:00:30.291,00:00:33.029
"Kenny, could you give
me a hand, please?",00:00:33.029,00:00:34.695
"If you could take that
and put it over there.",00:00:43.910,00:00:47.305
STUDENT: [INAUDIBLE]?,00:00:47.305,00:00:49.002
PATRICK WINSTON: Mm hm.,00:00:49.002,00:00:49.960
Just give it to them.,00:00:49.960,00:00:51.210
"You can take as much
of this as you like.",00:00:54.120,00:00:56.990
"The rest will be given to that
herd of stampeding freshman",00:00:56.990,00:00:59.655
that comes in after.,00:00:59.655,00:01:00.905
"It's a cornucopia
of legal drugs.",00:01:16.039,00:01:21.000
"Chocolate does produce
a kind of mild high,",00:01:21.000,00:01:24.144
"and I recommend it before
quizzes and giving lectures.",00:01:24.144,00:01:30.890
"I have a friend of mine, one of
the Nobel laureates in biology,",00:01:30.890,00:01:33.754
"always eats chocolate
before he lectures.",00:01:33.754,00:01:36.060
Gives him a little edge.,00:01:36.060,00:01:38.750
"Otherwise, he'll be flat.",00:01:38.750,00:01:41.930
So I recommend it.,00:01:41.930,00:01:47.265
"It will take, I
suppose, a little while",00:01:54.200,00:01:55.848
to digest that neural net stuff.,00:01:55.848,00:01:59.020
"A little richer than
usual in mathematics.",00:01:59.020,00:02:02.891
"So today, we're going to
talk about another effort",00:02:02.891,00:02:04.974
at mimicking biology.,00:02:04.974,00:02:06.440
This is easy stuff.,00:02:09.217,00:02:11.550
It's just conceptual.,00:02:11.550,00:02:14.224
"And you won't see
this on the next quiz.",00:02:14.224,00:02:15.890
"But you will see
it on the final.",00:02:15.890,00:02:17.265
"It's one of those quiz
five type problems,",00:02:17.265,00:02:19.440
"where I ask you questions to
see if you were here and awake.",00:02:19.440,00:02:23.690
"So a typical question
might be, Professor Winston",00:02:23.690,00:02:27.250
"is a creationist, or
something like that.",00:02:27.250,00:02:31.540
Not too hard to answer.,00:02:31.540,00:02:34.290
"In any event, if it's been hard
to develop a real understanding",00:02:34.290,00:02:41.067
"of intelligence,
occasionally the hope",00:02:41.067,00:02:42.650
"is that by mimicking biology
or mimicking evolution,",00:02:42.650,00:02:47.152
"you can circumnavigate
all the problems.",00:02:47.152,00:02:53.640
"And one of those
kinds of efforts",00:02:53.640,00:02:55.306
is ever to imitate evolution.,00:02:55.306,00:02:59.740
"So we're going to talk
today about so called",00:02:59.740,00:03:02.035
"genetic algorithms,
which are naive attempts",00:03:02.035,00:03:06.840
to mimic naive evolution.,00:03:06.840,00:03:09.890
"Now, I realize that most MIT
students have a basic grasp",00:03:09.890,00:03:15.357
of sexual reproduction.,00:03:15.357,00:03:17.910
"But I've found in
talking with students",00:03:17.910,00:03:20.192
"that many times, they're
a little fuzzy on some",00:03:20.192,00:03:23.234
of the details.,00:03:23.234,00:03:24.270
"So let's start off by reflecting
a little bit about how",00:03:24.270,00:03:27.466
that works.,00:03:27.466,00:03:29.320
"So let's see, we
need pink and blue.",00:03:29.320,00:03:34.630
"And here's our cell,
and here is its nucleus,",00:03:34.630,00:03:39.400
"and here are mommy and
daddy's chromosomes.",00:03:39.400,00:03:42.590
"We'll just pretend
there's one pair.",00:03:42.590,00:03:45.770
"Now ordinarily, in ordinary cell
division, you get two cells.",00:03:45.770,00:03:53.440
"Both have a nucleus, and the
process of producing them",00:03:53.440,00:03:57.660
"involves the duplication
of those chromosomes.",00:03:57.660,00:04:01.310
"And then one pair ends up
in each of the child cells,",00:04:01.310,00:04:06.890
and that's all there is to that.,00:04:06.890,00:04:08.780
That's mitosis.,00:04:08.780,00:04:10.030
"But then, when we talk
about reproduction,",00:04:16.360,00:04:19.846
"it's more complicated
because those chromosomes",00:04:19.846,00:04:23.530
"get all twisted up, and they
break, and they recombine.",00:04:23.530,00:04:28.520
"So when we talk about
the cells that split off",00:04:28.520,00:04:31.690
"from one of these
germ cells, it's",00:04:31.690,00:04:35.885
"no longer appropriate to
talk about the pink one",00:04:35.885,00:04:40.576
"and the blue one, because
the pink one and the blue one",00:04:40.576,00:04:44.062
are all mixed up.,00:04:44.062,00:04:45.280
"So you get two chromosomes
here and two here.",00:04:45.280,00:04:49.640
"But through some miracle
of nature, which has always",00:04:49.640,00:04:52.920
"amazed me, these two
cells split, in turn,",00:04:52.920,00:04:57.664
into four cells altogether.,00:04:57.664,00:05:00.100
"And each of those four
cells at the bottom",00:05:05.340,00:05:08.688
"gets one of the
chromosomes that was",00:05:08.688,00:05:11.056
"produced by the twisting up
of the rope and recombination.",00:05:11.056,00:05:16.250
"Then, along comes
a special occasion.",00:05:16.250,00:05:23.090
"And now we can think of this
as being a blue one and this",00:05:23.090,00:05:29.390
as being a pink one.,00:05:29.390,00:05:31.480
"And they come together, and
you get a new person, like so.",00:05:31.480,00:05:38.440
"Note that your mother
and father's chromosomes",00:05:38.440,00:05:41.604
"are never, never recombined.",00:05:41.604,00:05:43.335
"It's your grandparents
chromosomes that recombine.",00:05:43.335,00:05:47.700
So that's what it's like.,00:05:47.700,00:05:48.995
"And the main thing
to note about this",00:05:48.995,00:05:50.536
"is-- well, a couple things.",00:05:50.536,00:05:51.660
"If you happen to be female,
this part of the process--",00:05:51.660,00:05:57.260
"this part over here-- took
place before you were born.",00:05:57.260,00:06:01.700
"If you happen to be male, it's
going on right now as we speak,",00:06:01.700,00:06:05.584
"which probably
explains something.",00:06:05.584,00:06:07.400
"But in any event, it's
going on right now.",00:06:07.400,00:06:10.930
"But whenever it
goes on, there are",00:06:10.930,00:06:14.360
"lots of opportunities
for throwing dice.",00:06:14.360,00:06:18.200
"So God threw all
the dice before you",00:06:18.200,00:06:20.656
"were born, if you
happen to be a female,",00:06:20.656,00:06:23.540
"in this part of the
process over here.",00:06:23.540,00:06:26.190
"Then, of course, more
dice got thrown here",00:06:26.190,00:06:28.302
"when the decision
was made about which",00:06:28.302,00:06:30.872
"particular cells got to fuse
to form a new individual.",00:06:30.872,00:06:35.280
"So I want to beat on this
idea of lots of choice.",00:06:35.280,00:06:38.890
"When we talk about
genetic algorithms,",00:06:38.890,00:06:40.996
"and we talk about nature, there
are lots of choices in there.",00:06:40.996,00:06:44.409
"And that means there
are lots of choices",00:06:44.409,00:06:46.689
"to intervene, to screw around,
to make things work out",00:06:46.689,00:06:50.483
the way you want.,00:06:50.483,00:06:52.159
"But in any event, there we are.",00:06:52.159,00:06:54.120
"That's the basic idea, and it
all starts with chromosomes.",00:06:54.120,00:06:58.040
"So we could think of
implementing something",00:06:58.040,00:07:00.084
"that imitates that
with the ACTG stuff",00:07:00.084,00:07:03.590
"that you learned all
about in Seminar 1.",00:07:03.590,00:07:07.030
But we're computer scientists.,00:07:07.030,00:07:08.480
We don't like Base 4.,00:07:08.480,00:07:10.616
We like Base 2.,00:07:10.616,00:07:11.240
"So I'm going to just suggest
that our chromosomes are binary",00:07:11.240,00:07:14.714
"in this system that
we're going to build.",00:07:14.714,00:07:17.870
So that might be a chromosome.,00:07:21.230,00:07:23.590
