text,start,stop
"The following content is
provided under a Creative",00:00:00.530,00:00:02.960
Commons license.,00:00:02.960,00:00:04.370
"Your support will help MIT
OpenCourseWare continue to",00:00:04.370,00:00:07.410
"offer high quality educational
resources for free.",00:00:07.410,00:00:11.060
"To make a donation or view
additional materials from",00:00:11.060,00:00:13.960
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.960,00:00:19.790
ocw.mit.edu.,00:00:19.790,00:00:21.040
PROFESSOR: OK.,00:00:23.292,00:00:24.170
So let's get started.,00:00:24.170,00:00:27.390
"We want to first review Wald's
equality a little bit.",00:00:27.390,00:00:32.060
"Wald's equality is very
tricky thing.",00:00:32.060,00:00:36.230
"If you think you understand
it, you will go along.",00:00:36.230,00:00:40.590
"And at some point, you will be
using it and you will say, I",00:00:40.590,00:00:44.310
"don't understand
what this says.",00:00:44.310,00:00:47.040
"And that will happen
for a long time.",00:00:47.040,00:00:50.340
"It still happens to
me occasionally.",00:00:50.340,00:00:52.870
"What happens is you
work with it for",00:00:52.870,00:00:55.000
longer and longer times.,00:00:55.000,00:00:57.420
"The periods when it becomes
confusing become rarer.",00:00:57.420,00:01:02.280
"And the expected time
to straighten",00:01:02.280,00:01:04.190
it out becomes smaller.,00:01:04.190,00:01:06.045
"It is a strange kind
of result.",00:01:08.810,00:01:12.230
"So we started out with a
stopping trial definition.",00:01:12.230,00:01:18.700
"J is a stopping trial for a
sequence of random variables.",00:01:18.700,00:01:26.500
"If it's a random variable and
it has the property that for",00:01:26.500,00:01:30.600
"each n greater than or equal
to 1, the indicator random",00:01:30.600,00:01:34.460
"variable indicator of J
equals n is a function",00:01:34.460,00:01:38.770
of X1 to X sub n.,00:01:38.770,00:01:41.200
"In other words, the decision of
whether to stop at time n",00:01:41.200,00:01:47.840
is a function of 1 up to n.,00:01:47.840,00:01:51.210
"A possibly effective stopping
trial is the same, except that",00:01:54.437,00:01:58.040
"might be a defective
random variable.",00:01:58.040,00:02:00.000
"And the reason you want to have
possibly defective random",00:02:00.000,00:02:02.780
"variables is that before you
start analyzing something that",00:02:02.780,00:02:06.860
"might be a stopping rule, you
generally have no way of",00:02:06.860,00:02:10.150
"knowing whether that actually is
a stopping rule or whether",00:02:10.150,00:02:15.720
"it's a detective
stopping rule.",00:02:15.720,00:02:17.250
"So you might as well just say
it's a defective stopping rule",00:02:17.250,00:02:20.740
"to start with and show
that it's not.",00:02:20.740,00:02:24.680
"Then from that, we went on to
Wald's equality which added",00:02:24.680,00:02:28.930
"the condition that X sub n that
this is based on is a",00:02:28.930,00:02:33.690
"sequence of IID random
variables.",00:02:33.690,00:02:35.930
"To be a stopping trial,
you don't",00:02:35.930,00:02:38.450
need IID random variables.,00:02:38.450,00:02:40.240
"You don't need any restriction
at all, other than the fact",00:02:40.240,00:02:43.760
"that you can make a decision on
when to stop based on what",00:02:43.760,00:02:46.960
you've already seen.,00:02:46.960,00:02:49.310
"That's the only condition
there.",00:02:49.310,00:02:51.030
"Wald's equality is based on this
extra condition that the",00:02:51.030,00:02:55.270
random variables are IID.,00:02:55.270,00:02:58.030
"Each of them, with
some mean, X bar.",00:02:58.030,00:03:01.710
"If J is a stopping trial and as
the expected value of J is",00:03:01.710,00:03:06.880
"less than infinity, then the
sum S sub J at the stopping",00:03:06.880,00:03:12.570
"trial, J, satisfies this
relationship here.",00:03:12.570,00:03:17.380
"And remember we proved
that last time.",00:03:17.380,00:03:20.040
"And the key to proving it,
the hard part of it--",00:03:20.040,00:03:25.896
"well, it's not hard
if you see it.",00:03:25.896,00:03:28.880
"But what's difficult is when you
start looking at how you",00:03:28.880,00:03:35.810
"find the expected value of S
sub J that's equal to a sum",00:03:35.810,00:03:40.820
