text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.490
Commons license.,00:00:02.490,00:00:04.030
"Your support will help
MIT OpenCourseWare",00:00:04.030,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.280
at ocw.mit.edu.,00:00:17.280,00:00:18.450
"ERIK DEMAINE: All right,
today we continue our theme",00:00:21.364,00:00:23.530
of integer data structures.,00:00:23.530,00:00:25.480
"And today we're going to look
at priority queues instead",00:00:25.480,00:00:28.060
"of the predecessor problem, so
something a little different.",00:00:28.060,00:00:30.850
"Insert, delete, and find min.",00:00:30.850,00:00:33.980
"It turns out priority queues
are equivalent to sorting",00:00:33.980,00:00:38.140
"in the sense that if you have,
normally they say f of n,",00:00:38.140,00:00:54.022
"but here we're going to
depend on both n and the word",00:00:54.022,00:00:56.230
"size, priority queue.",00:00:56.230,00:00:59.170
"Well then, of course you
get a sorting algorithm.",00:01:02.830,00:01:05.530
"Just insert everything
into the priority queue",00:01:05.530,00:01:08.420
"and then find min delete,
find min delete, and so on.",00:01:08.420,00:01:11.560
"So that's the trivial
direction of the equivalence.",00:01:15.350,00:01:20.080
"But it turns out, both
of these are true.",00:01:20.080,00:01:23.550
"If you have a sorting
algorithm with n times f time,",00:01:23.550,00:01:28.060
"then you can convert it
into a priority queue",00:01:28.060,00:01:30.235
"that in the worst case every
operation takes only f of n, w.",00:01:30.235,00:01:37.280
"So that's the equivalence
as the result of Thorpe",00:01:37.280,00:01:41.550
"from a few years ago, 2007.",00:01:41.550,00:01:44.890
Kind of a cool breakthrough.,00:01:44.890,00:01:46.180
"There were earlier versions
that weren't quite as efficient",00:01:46.180,00:01:48.730
"but this gives you perfect
efficiency, turning any sorting",00:01:48.730,00:01:51.700
algorithm into priority queue.,00:01:51.700,00:01:53.050
"Rough sketch of
the data structure",00:01:53.050,00:01:54.610
"is you have a bunch of sorting
algorithms which you run now",00:01:54.610,00:01:57.790
"and then to get little
parts of the input",00:01:57.790,00:02:00.730
"in order to build an
overall priority queue.",00:02:00.730,00:02:02.810
But it's very complicated.,00:02:02.810,00:02:04.990
"There was an entire
class project",00:02:04.990,00:02:06.490
"on assimilating it
and understanding it.",00:02:06.490,00:02:09.699
"It's a bit beyond what we
can cover in the class.",00:02:09.699,00:02:13.010
"So I'm going to
take this as given",00:02:13.010,00:02:14.770
"and tell you instead
about sorting algorithms",00:02:14.770,00:02:16.812
"because there's a major open
problem here which is, can you",00:02:16.812,00:02:19.270
"sort n integers, n w bit
integers in a word ram's,",00:02:19.270,00:02:23.470
word size w in linear time.,00:02:23.470,00:02:25.750
"We still don't know but we
have a bunch of results.",00:02:25.750,00:02:29.524
"In particular,
we're going to talk",00:02:29.524,00:02:30.940
"about a couple
interesting cases where",00:02:30.940,00:02:33.460
we can get linear time sorting.,00:02:33.460,00:02:36.070
"If you've seen radix sort you
know another interesting case",00:02:36.070,00:02:38.830
"where linear time
sorting is possible.",00:02:38.830,00:02:40.495
Interesting open problem here.,00:02:44.410,00:02:48.560
"Can you get constant
time decrease key?",00:02:48.560,00:02:53.620
"And ideally, also insertion?",00:02:53.620,00:02:56.150
"But decrease key would be
handy because then this",00:02:56.150,00:02:58.594
would be useful.,00:02:58.594,00:02:59.260
"In this reduction if you
have a sorting algorithm,",00:03:02.530,00:03:04.630
"like to get a priority queue
with constant time decrease",00:03:04.630,00:03:06.550
"key, that would
have applications",00:03:06.550,00:03:07.750
to Dijkstra's algorithm.,00:03:07.750,00:03:08.750
"Of course, if you can
sort in linear time",00:03:08.750,00:03:10.960
"then everything can be
done in constant time.",00:03:10.960,00:03:13.130
"So this is not the most
interesting open problem",00:03:13.130,00:03:15.430
"but it would be a step
in that direction.",00:03:15.430,00:03:19.400
Cool.,00:03:19.400,00:03:19.900
"So let me tell you some
bounds about sorting.",00:03:19.900,00:03:26.365
So we have n w bit integers.,00:03:32.482,00:03:38.556
"And you take any of
these bounds divide",00:03:38.556,00:03:40.180
"by n you get the priority queue
bound, the best that we know.",00:03:40.180,00:03:46.250
"So of course, there's comparison
sorting, which takes n log n.",00:03:46.250,00:03:52.690
So that's an upper bound.,00:03:52.690,00:03:53.950
Trying to beat that.,00:03:53.950,00:03:55.070
Trying to get rid of the log.,00:03:55.070,00:03:57.610
"There's a counting sort from
undergraduate algorithms.",00:03:57.610,00:04:01.300
"That takes n plus u
time because you need",00:04:01.300,00:04:04.320
to build a table of size u.,00:04:04.320,00:04:06.040
"You've got to zero out
all the initial counts",00:04:06.040,00:04:08.215
so that requires order u time.,00:04:08.215,00:04:11.320
"This is interesting when
the word size equals log n.",00:04:11.320,00:04:20.470
"So that's a case of
potential interest,",00:04:20.470,00:04:23.120
"because then 2 to
the w is just n.",00:04:23.120,00:04:24.740
