text,start,stop
"The following
content is provided",00:00:00.070,00:00:01.780
"under a Creative
Commons license.",00:00:01.780,00:00:04.019
"Your support will help MIT
OpenCourseWare continue",00:00:04.019,00:00:06.870
"to offer high-quality
educational resources for free.",00:00:06.870,00:00:10.730
"To make a donation, or
view additional materials",00:00:10.730,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.217
at ocw.mit.edu.,00:00:17.217,00:00:17.842
"PROFESSOR: OK, let's start.",00:00:20.650,00:00:21.830
"So last time, having
dealt with the ideal gas",00:00:24.530,00:00:29.980
"as much as possible, we started
with interacting systems.",00:00:29.980,00:00:33.225
Let's say interacting gas.,00:00:39.420,00:00:42.660
"And the first topic
that we did was",00:00:42.660,00:00:46.760
"what I called an approach
towards interaction",00:00:46.760,00:00:51.860
through the Cumulant expansion.,00:00:51.860,00:00:54.451
"The idea is that we certainly
solved the problem where",00:00:57.400,00:01:03.720
"we had particles in a box and
it was just a trivial system.",00:01:03.720,00:01:14.550
"Basically, the particles were
independent of each other",00:01:14.550,00:01:20.690
in the canonical ensemble.,00:01:20.690,00:01:23.520
"And things become interesting
if you put interactions",00:01:23.520,00:01:27.540
among all of the particles.,00:01:27.540,00:01:30.710
"Very soon, we will
have a specific form",00:01:30.710,00:01:33.480
of this interaction.,00:01:33.480,00:01:35.520
"But for the beginning,
let's maintain",00:01:35.520,00:01:37.270
it as general as possible.,00:01:37.270,00:01:40.190
"And the idea was
that we are trying",00:01:40.190,00:01:42.240
"to calculate the partition
function for a system that",00:01:42.240,00:01:46.120
has a given temperature.,00:01:46.120,00:01:49.400
"The box has some volume V and
there are N particles in it.",00:01:49.400,00:01:54.410
"And to do so, we have
to integrate over",00:01:54.410,00:01:58.250
"the entirety of the phase
space of N particles.",00:01:58.250,00:02:02.140
"So we have to integrate over all
of the momenta and coordinates",00:02:02.140,00:02:09.100
of e to the minus beta h.,00:02:09.100,00:02:11.710
"But we said that we are
going to first of all,",00:02:11.710,00:02:15.580
"note that for
identical particles,",00:02:15.580,00:02:18.330
"we can't tell apart
the phase space",00:02:18.330,00:02:21.720
"if you were to make these in
[? factorial ?] permutations.",00:02:21.720,00:02:25.340
"And we also made
it dimensionless",00:02:25.340,00:02:27.650
by dividing by h to the 3n.,00:02:27.650,00:02:30.620
"And then we have e
to the minus beta",00:02:30.620,00:02:33.250
"h, which has a part that is
e to the minus sum over i pi",00:02:33.250,00:02:39.340
"squared over 2m, that
depends on the momenta.",00:02:39.340,00:02:43.240
