text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.490
Commons license.,00:00:02.490,00:00:04.030
"Your support will help
MIT OpenCourseWare",00:00:04.030,00:00:06.360
"continue to offer high-quality
educational resources for free.",00:00:06.360,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.280
at osw.mit.edu.,00:00:17.280,00:00:18.450
ERIK DEMAINE: All right.,00:00:20.930,00:00:21.930
"Today we start a new
section of data structures.",00:00:21.930,00:00:24.740
"This is going to be
two lectures long,",00:00:24.740,00:00:26.500
"so this week succinct data
structures, where the goal is",00:00:26.500,00:00:30.310
to get really small space.,00:00:30.310,00:00:32.200
"And first thing to do is to
define what ""small"" means.",00:00:37.810,00:00:43.750
"Most succinct data
structures are also static,",00:00:43.750,00:00:46.270
"although there are a
few that are dynamic.",00:00:46.270,00:00:48.150
"We'll be focusing here on
static data structures.",00:00:48.150,00:00:53.500
"And so in general,
the name of the game",00:00:57.400,00:00:59.380
"is taking a data
structure that you're",00:00:59.380,00:01:01.510
"familiar with-- we're going
to talk about essentially two",00:01:01.510,00:01:04.239
today.,00:01:04.239,00:01:05.150
"One is binary tries,
which has the killer",00:01:05.150,00:01:08.320
"application of doing binary
suffix trees in particular.",00:01:08.320,00:01:12.280
"So it could be a
compressed try, whatever.",00:01:12.280,00:01:14.230
"But we'll assume hear
the alphabet is binary.",00:01:14.230,00:01:16.174
"A lot of this has
been generalized",00:01:16.174,00:01:17.590
to larger alphabets.,00:01:17.590,00:01:18.424
"I'll tell you a
little bit about that.",00:01:18.424,00:01:20.006
"But to keep it
simple in lecture,",00:01:20.006,00:01:21.430
"I'm going to stick
to a binary alphabet.",00:01:21.430,00:01:23.349
"And another data structure
we're going to look at",00:01:23.349,00:01:25.390
"is a bit vector,
so n bits in a row.",00:01:25.390,00:01:29.610
"And you want to do
interesting operations,",00:01:29.610,00:01:32.260
"like find the i-th 1
bit in constant time.",00:01:32.260,00:01:36.760
"These are things
that are easy to do",00:01:36.760,00:01:38.260
"in linear space, where linear
space means order and words.",00:01:38.260,00:01:43.810
"Like if you want
to implement a try,",00:01:43.810,00:01:45.310
"you have a pointer at
every node, two pointers",00:01:45.310,00:01:47.380
"at every node, that's easy.",00:01:47.380,00:01:50.050
"Bit vectors you could store an
array of where all the 1s are.",00:01:50.050,00:01:54.160
"And so it's easy
to do linear space,",00:01:54.160,00:01:56.830
but linear space is not optimal.,00:01:56.830,00:01:59.450
"And there are three
senses of small space",00:01:59.450,00:02:01.870
that we'll be going for.,00:02:01.870,00:02:04.540
The best version is implicit.,00:02:04.540,00:02:08.330
"An implicit data structure means
you use the very optimum number",00:02:08.330,00:02:12.280
"of bits, plus a constant.",00:02:12.280,00:02:14.245
"But here, we're focusing
on bits, not words.",00:02:17.440,00:02:20.440
"And if you translate a
linear word data structure,",00:02:20.440,00:02:23.830
"and words is order
n times w bits,",00:02:23.830,00:02:28.480
"to store something
like an n-bit vector,",00:02:28.480,00:02:30.310
"you should really only use
order n bits, not order nw bits.",00:02:30.310,00:02:36.154
"Now, what would
be ideal is if you",00:02:36.154,00:02:37.570
used n bits plus a constant.,00:02:37.570,00:02:40.210
"The plus a constant
is essentially",00:02:40.210,00:02:42.280
"because sometimes the optimum
number is not an integer.",00:02:42.280,00:02:45.044
"And it's hard to store a
non-integer number of bits,",00:02:45.044,00:02:47.210
so you add a constant.,00:02:47.210,00:02:48.950
"I mean, I wouldn't mind too much
if you added order log n bits",00:02:48.950,00:02:52.270
or something.,00:02:52.270,00:02:53.170
"But typically, the
goal here is constant.",00:02:53.170,00:02:56.620
"Sometimes you can
really get zero.",00:02:56.620,00:02:58.720
"But the next best thing would
be a succinct data structure,",00:02:58.720,00:03:06.460
"where the goal is to get opt
plus little o of opt bits.",00:03:06.460,00:03:14.570
"So the key here is to get a
constant factor of 1 in front.",00:03:14.570,00:03:20.260
"And then the worst thing in this
regime is still pretty good.",00:03:20.260,00:03:27.100
It's order opt bits.,00:03:27.100,00:03:28.765
"So for example, if you're
storing an n-bit vector,",00:03:32.300,00:03:35.865
"if you use order n bits,
that's still better",00:03:35.865,00:03:38.740
than order nw bits.,00:03:38.740,00:03:39.940
"Usually, compact is a
savings of at least a factor",00:03:39.940,00:03:44.350
"of w over what you'd normally
call a linear space data",00:03:44.350,00:03:47.140
structure.,00:03:47.140,00:03:47.690
"So this is the big
savings, factor w.",00:03:47.690,00:03:49.874
But there's a constant here.,00:03:49.874,00:03:51.040
"Sometimes you like to get rid
of that constant, make it 1.",00:03:51.040,00:03:54.460
"And it's not so bad
if you have, say,",00:03:54.460,00:03:56.770
"another square root of
n or something little o",00:03:56.770,00:04:00.650
of n bits of extra space.,00:04:00.650,00:04:04.205
"But of course, the ideal would
be to have no extra space,",00:04:04.205,00:04:06.580
