text,start,stop
"The following content is
provided under a Creative",00:00:00.070,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of
MIT courses, visit",00:00:13.340,00:00:15.325
mitopencourseware@ocw.mit.edu.,00:00:15.325,00:00:16.575
ERIK DEMAINE: All right.,00:00:20.681,00:00:21.680
"Welcome to our second
lecture on what",00:00:21.680,00:00:24.740
"to do when you have
an NP-hard problem.",00:00:24.740,00:00:26.735
"So two lectures ago we saw how
to prove a problem is NP-hard.",00:00:26.735,00:00:30.260
"Last lecture we saw if
you want polynomial time",00:00:30.260,00:00:34.320
"but you're willing to put up
with a not perfect solution,",00:00:34.320,00:00:37.980
"but you want to get within
some factor of the best",00:00:37.980,00:00:40.190
"solution, that's
approximation algorithms.",00:00:40.190,00:00:42.800
"Today we're going to do
a different thing called",00:00:42.800,00:00:45.720
fixed parameter algorithms.,00:00:45.720,00:00:47.110
"These are going to run an
exponential time in the worst",00:00:47.110,00:00:49.450
case.,00:00:49.450,00:00:49.950
"But not so bad in a certain
sense, which we'll get to.",00:00:49.950,00:00:54.310
"In general, the theme of these
last two lectures and this one",00:00:54.310,00:01:03.530
"is that we'd really like
to solve hard problems.",00:01:03.530,00:01:06.110
"We'd like to solve them fast,
meaning polynomial time.",00:01:06.110,00:01:10.660
"And we would like correct
solutions, also known",00:01:16.390,00:01:20.970
as exact solutions.,00:01:20.970,00:01:21.995
OK.,00:01:26.801,00:01:27.300
"We'd love to solve NP-hard
problems in polynomial time",00:01:27.300,00:01:30.200
exactly.,00:01:30.200,00:01:31.470
"But that's not possible
unless P equals nP.",00:01:31.470,00:01:34.450
So pick any two.,00:01:34.450,00:01:37.630
That's the general idea.,00:01:37.630,00:01:41.200
"This is a bastardization of a
joke which is-- sleep, friends,",00:01:41.200,00:01:48.930
work-- pick any two.,00:01:48.930,00:01:50.970
That's the MIT motto.,00:01:50.970,00:01:53.400
"Here in algorithms-- hard,
fast, exact-- pick any two.",00:01:53.400,00:01:57.180
"So most of this class is about
these two-- polynomial time",00:01:57.180,00:02:01.540
"algorithms give
you exact things.",00:02:01.540,00:02:03.970
"That's the class P. Last
lecture was about hard problems.",00:02:03.970,00:02:13.460
We drop exactness.,00:02:13.460,00:02:15.120
We still want polynomial time.,00:02:15.120,00:02:16.709
"We still want to
solve hard problems.",00:02:16.709,00:02:18.250
"So this is approximation
algorithms.",00:02:18.250,00:02:20.900
"And what we're doing today
is the other combination.",00:02:20.900,00:02:25.160
"So we want exact,
but we're going",00:02:25.160,00:02:29.850
"to sacrifice how
fast things are.",00:02:29.850,00:02:31.646
"They're not going to
be polynomial time",00:02:31.646,00:02:33.270
"in a strict sense,
but it's going",00:02:33.270,00:02:35.170
"to be somewhere in between
polynomial and exponential.",00:02:35.170,00:02:38.830
"This is an area called FPT for
fixed parameter tractability.",00:02:38.830,00:02:43.450
"So what's this
parameter business?",00:02:46.050,00:02:48.600
"In general, the idea is that we
really want an exact solution",00:02:48.600,00:03:01.630
"to an NP-hard
problem, which means",00:03:01.630,00:03:03.160
"it has to take exponential
time in the worst case.",00:03:03.160,00:03:06.330
"But we want to confine
the exponential dependence",00:03:06.330,00:03:24.000
to something called a parameter.,00:03:24.000,00:03:25.570
OK.,00:03:32.450,00:03:32.950
"We actually use
parameters all the time.",00:03:32.950,00:03:35.480
"For example, on a graph,
there's two typical parameters",00:03:35.480,00:03:38.104
"you think about-- the
number of vertices",00:03:38.104,00:03:39.770
and the number of edges.,00:03:39.770,00:03:41.120
"If you're sorting an array, the
usual parameter you think about",00:03:41.120,00:03:45.050
is the size of the array.,00:03:45.050,00:03:46.570
OK.,00:03:46.570,00:03:47.070
That's all I mean.,00:03:47.070,00:03:47.819
"A parameter, in general, is just
some kind of size or complexity",00:03:47.819,00:03:55.550
measure.,00:03:55.550,00:03:56.520
"So in general, a
parameter is going",00:03:56.520,00:04:03.300
"to be-- we're going
to call it k of x--",00:04:03.300,00:04:10.940
"should be a non-negative
integer-- and x is the input.",00:04:10.940,00:04:20.870
"So you're thinking
about some problem,",00:04:20.870,00:04:24.729
"like a problem we'll
be looking at today",00:04:24.729,00:04:26.395
"is vertex cover, which we
saw in the last lecture.",00:04:26.395,00:04:30.390
"Vertex cover--
you're given a graph.",00:04:30.390,00:04:33.070
"And based on that
graph, we're going",00:04:33.070,00:04:36.810
"to define some
function of that graph.",00:04:36.810,00:04:40.600
"So this is the input
to the problem,",00:04:40.600,00:04:42.464
"and k is just going to be some
non-negative integer, which",00:04:42.464,00:04:44.880
is a function of that input.,00:04:44.880,00:04:46.330
"Just some measure of how
tough your problem is.",00:04:46.330,00:04:50.227
OK.,00:04:50.227,00:04:51.600
"And what we would
like is a running time",00:04:51.600,00:04:55.080
"that is exponential in k, but
polynomial in everything else.",00:04:55.080,00:04:59.420
"Polynomial in the size of
the problem, in v and E. OK.",00:04:59.420,00:05:03.910
"So that's the general goal
is-- polynomial in the problem",00:05:03.910,00:05:16.780
"size-- which we usually
call n-- and exponential",00:05:16.780,00:05:29.750
"in the parameter--
which I'm calling-- just",00:05:29.750,00:05:36.600
"going to call k--
in general, you",00:05:36.600,00:05:37.980
"could consider more
parameters, but we're",00:05:37.980,00:05:40.220
"just going to think of two--
the overall size of the problem,",00:05:40.220,00:05:44.090
"and some particular parameter
that we look at called k.",00:05:44.090,00:05:48.820
"So if you can
achieve this, which",00:05:48.820,00:05:51.550
"we'll call fixed
parameter tractability--",00:05:51.550,00:05:53.340
"I'll define it formally
in a little bit,",00:05:53.340,00:05:54.830
"because there's
more than one way",00:05:54.830,00:05:56.210
you might think of defining it.,00:05:56.210,00:05:57.390
Some are right.,00:05:57.390,00:05:58.014
Some are wrong.,00:05:58.014,00:05:59.970
"If you can achieve
this, what you get",00:05:59.970,00:06:01.950
"is an exact algorithm
for your problem",00:06:01.950,00:06:04.760
"that runs really fast
provided k is small.",00:06:04.760,00:06:09.012
"So this is sort of a
way of saying, well,",00:06:09.012,00:06:10.720
"you know the problem
is NP-hard in general,",00:06:10.720,00:06:12.850
"but as long as this measure
k is reasonably small,",00:06:12.850,00:06:16.600
"I'm still able to
solve it really fast.",00:06:16.600,00:06:18.590
"So it's a way of
characterizing a wide family",00:06:18.590,00:06:22.220
"of-- a big subset of the
problem that you can solve.",00:06:22.220,00:06:27.100
"You know that in general you're
going to need exponential time,",00:06:27.100,00:06:30.530
"but this gives you a measure
of how hard your input is.",00:06:30.530,00:06:34.130
May not be the only measure.,00:06:34.130,00:06:35.620
"May not be the best
one, in any sense.",00:06:35.620,00:06:37.870
"But if you can
define a parameter,",00:06:37.870,00:06:40.920
"and you know that in
your practical scenarios",00:06:40.920,00:06:43.450
"that parameter will be
small, then you're golden.",00:06:43.450,00:06:46.140
"Then you can actually
solve the problem",00:06:46.140,00:06:47.790
"in a reasonable amount of time
and get an exact solution.",00:06:47.790,00:06:50.320
No approximation here.,00:06:50.320,00:06:53.340
So that's the idea.,00:06:53.340,00:06:57.360
So that was a parameter.,00:06:57.360,00:07:03.140
"We're also going to define
a parameterized problem.",00:07:03.140,00:07:06.530
"This is just a problem
plus a parameter.",00:07:15.540,00:07:18.280
OK.,00:07:25.070,00:07:25.570
"So we already have some
notions of problems.",00:07:25.570,00:07:27.822
"We can take any problem
that we've looked",00:07:27.822,00:07:29.530
"at before, like vertex cover.",00:07:29.530,00:07:31.550
"And if we just define
some parameter,",00:07:31.550,00:07:34.080
"then we get a
parameterized problem",00:07:34.080,00:07:36.160
"when we put these
things together.",00:07:36.160,00:07:37.680
"And usually we would
write it as something",00:07:37.680,00:07:39.430
