text,start,stop
"NARRATOR: The following content
is provided under a",00:00:00.265,00:00:02.550
Creative Commons license.,00:00:02.550,00:00:04.370
"Your support will help MIT
OpenCourseWare continue to",00:00:04.370,00:00:07.410
"offer high quality educational
resources for free.",00:00:07.410,00:00:11.060
"To make a donation or view
additional materials from",00:00:11.060,00:00:13.960
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.960,00:00:19.790
ocw.mit.edu.,00:00:19.790,00:00:21.040
"PROFESSOR: OK, so I guess
we're ready to start.",00:00:22.975,00:00:25.140
"Clearly, you can talk to
us about the exams",00:00:28.430,00:00:31.370
later if you want to.,00:00:31.370,00:00:32.820
"And we will both be around after
class for a bit-- or",00:00:32.820,00:00:37.036
"I'll be around after
class for a bit and",00:00:37.036,00:00:39.310
regular office hours.,00:00:39.310,00:00:42.670
"Wanted to finish talking about
[INAUDIBLE] state Markov",00:00:42.670,00:00:46.220
"change today and go on to talk
about Markov processes.",00:00:46.220,00:00:53.500
"And the first thing we want
to talk about is what does",00:00:53.500,00:00:57.520
reversibility mean.,00:00:57.520,00:01:00.520
"I think reversibility is one
of these very, very tricky",00:01:00.520,00:01:04.459
"concepts that you think you
understand about five times,",00:01:04.459,00:01:09.170
"and then you realize you
don't understand",00:01:09.170,00:01:11.140
it about five times.,00:01:11.140,00:01:12.830
"And hopefully by the sixth time,
and we will see at about",00:01:12.830,00:01:16.270
"six times, so hopefully by the
end of the term, it will look",00:01:16.270,00:01:21.110
almost obvious to you.,00:01:21.110,00:01:23.410
"And then, we're going to talk
about branching processes.",00:01:23.410,00:01:28.380
"I said and what got passed out
to you that I'd be talking",00:01:28.380,00:01:31.880
"about round robin and
processor sharing.",00:01:31.880,00:01:36.010
I decided not to do that.,00:01:36.010,00:01:39.240
"It was too much complexity for
this part of the course.",00:01:39.240,00:01:42.250
"I will talk about it just
for a few minutes.",00:01:42.250,00:01:45.640
"And then we'll go into
Markov processes.",00:01:45.640,00:01:48.470
"And we will see most of the
things we saw in Markov change",00:01:48.470,00:01:54.270
"again but in a different context
and in a slightly more",00:01:54.270,00:01:58.230
complicated context.,00:01:58.230,00:02:01.770
"So for any Markov chain, we
have these equations.",00:02:01.770,00:02:08.479
"Typically, you just state the
equation of the probability of",00:02:12.140,00:02:14.800
"X sub n plus 1 given all the
previous terms is equal to",00:02:14.800,00:02:19.180
"probability of Xn n
plus 1 given Xn.",00:02:19.180,00:02:22.820
"It's an easy extension
to write it this way.",00:02:22.820,00:02:25.070
"The probability of lots of
things in the future given",00:02:25.070,00:02:28.930
"everything in the past is equal
to lots of things in the",00:02:28.930,00:02:32.280
"future just given the most
recent thing in the past.",00:02:32.280,00:02:35.600
"So what we did last time was to
say let's let A plus be any",00:02:35.600,00:02:41.570
"function of all of these things
here, and let's A minus",00:02:41.570,00:02:47.290
"be any function of all of these
things here except for X",00:02:47.290,00:02:52.280
"sub n, namely X sub n
minus 1 down to X0.",00:02:52.280,00:02:56.000
"And then what this says more
generally is the probability",00:02:56.000,00:03:00.990
"of all these future things
condition on Xn, and all the",00:03:00.990,00:03:05.190
