text,start,stop
"The following
content is provided",00:00:00.060,00:00:01.780
"under a Creative
Commons license.",00:00:01.780,00:00:04.019
"Your support will help MIT
OpenCourseWare continue",00:00:04.019,00:00:06.870
"to offer high-quality
educational resources for free.",00:00:06.870,00:00:10.730
"To make a donation, or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.217
at ocw.mit.edu.,00:00:17.217,00:00:17.842
"PROFESSOR: Begin
with a new topic,",00:00:22.410,00:00:24.010
"which is breakdown of classical
statistical mechanics.",00:00:24.010,00:00:28.260
"So we developed a formalism
to probabilistically describe",00:00:43.750,00:00:47.990
collections of large particles.,00:00:47.990,00:00:50.590
"And once we have that, from that
formalism calculate properties",00:00:50.590,00:00:56.560
"of matter that have to do
with heat, temperature,",00:00:56.560,00:01:00.060
"et cetera, and things
coming to equilibrium.",00:01:00.060,00:01:02.210
"So question is, is this
formalism always successful?",00:01:05.870,00:01:14.190
"And by the time you come to
the end of the 19th Century,",00:01:14.190,00:01:21.110
"there were several things
that were hanging around that",00:01:21.110,00:01:25.240
"had to do with thermal
properties of the matter",00:01:25.240,00:01:28.090
"where this formalism
was having difficulties.",00:01:28.090,00:01:33.810
"And the difficulties
ultimately pointed out",00:01:33.810,00:01:36.500
"to emergence of
quantum mechanics.",00:01:36.500,00:01:39.220
"So essentially, understanding
the relationship",00:01:39.220,00:01:42.210
"between thermodynamics,
statistical mechanics,",00:01:42.210,00:01:46.030
"and properties of matter was
very important to development",00:01:46.030,00:01:50.700
of quantum mechanics.,00:01:50.700,00:01:52.020
"And in particular, I will
mention three difficulties.",00:01:52.020,00:01:58.180
"The most important one
that really originally set",00:01:58.180,00:02:03.820
"the first stone for
quantum mechanics",00:02:03.820,00:02:06.490
"is the spectrum of
black body radiation.",00:02:06.490,00:02:08.834
"And it's basically
the observation",00:02:21.010,00:02:23.320
that you heat something.,00:02:23.320,00:02:25.840
"And when it becomes hot,
it starts to radiate.",00:02:25.840,00:02:30.110
"And typically, the color of
the radiation that you get",00:02:30.110,00:02:34.720
"is a function of
temperature, but does not",00:02:34.720,00:02:36.960
"depend on the properties of the
material that you are heating.",00:02:36.960,00:02:40.850
So that has to do with heat.,00:02:40.850,00:02:43.020
"And you should be
able to explain",00:02:43.020,00:02:45.770
"that using
statistical mechanics.",00:02:45.770,00:02:50.570
"Another thing that we
have already mentioned",00:02:50.570,00:02:53.650
"has to do with the third
law of thermodynamics.",00:02:53.650,00:02:57.450
"And let's say the heat capacity
of materials such as solids.",00:02:57.450,00:03:04.270
"We mentioned this
Nernst theorem that",00:03:08.960,00:03:14.780
"was the third law
of thermodynamics",00:03:14.780,00:03:20.160
based on observation.,00:03:20.160,00:03:22.200
"Consequence of it was that
heat capacity of most things",00:03:22.200,00:03:26.150
"that you can measure go to 0
as you go to 0 temperature.",00:03:26.150,00:03:31.650
"We should be able to
explain that again,",00:03:31.650,00:03:33.770
"based on the phenomena of
statistical-- the phenomenology",00:03:33.770,00:03:39.040
"of thermodynamics and the
rules of statistical mechanics.",00:03:39.040,00:03:44.830
"Now, a third thing that
is less often mentioned",00:03:44.830,00:03:47.400
"but is also important has
to do with heat capacity",00:03:47.400,00:03:54.910
"of the atomic gases such as
the air in this room, which",00:03:54.910,00:04:06.380
"is composed of, say,
oxygen and nitrogen that",00:04:06.380,00:04:09.260
are diatomic gases.,00:04:09.260,00:04:12.620
"So probably, historically they
were answered and discussed",00:04:12.620,00:04:20.754
"and resolving the order
that I have drawn for you.",00:04:20.754,00:04:25.570
But I will go backwards.,00:04:25.570,00:04:27.480
"so we will first
talk about this one,",00:04:27.480,00:04:30.590
"then about number two--
heat capacity of solids--",00:04:30.590,00:04:35.070
"and number three about
black body radiation.",00:04:35.070,00:04:39.500
OK.,00:04:39.500,00:04:41.650
"Part of the reason is that
throughout the course,",00:04:41.650,00:04:45.520
"we have been using our
understanding of the gas",00:04:45.520,00:04:49.230
"as the sort of measure
of how well we understand",00:04:49.230,00:04:55.420
"thermal properties
of the matter.",00:04:55.420,00:04:57.870
"And so let's stick with
the gas and ask, what do I",00:04:57.870,00:05:02.230
"know about the heat capacity
of the gas in this room?",00:05:02.230,00:05:06.520
"So let's think
about heat capacity",00:05:06.520,00:05:11.497
of dilute diatomic gas.,00:05:11.497,00:05:16.495
"It is a gas that is sufficiently
dilute that it is practically",00:05:22.290,00:05:28.440
having ideal gas law.,00:05:28.440,00:05:30.290
"So PV is roughly
proportional to temperature.",00:05:30.290,00:05:34.720
"But rather than thinking
about its pressure,",00:05:34.720,00:05:37.160
"I want to make sure I
understand something",00:05:37.160,00:05:39.040
"about the heat capacity, another
quantity that I can measure.",00:05:39.040,00:05:42.810
So what's going on here?,00:05:42.810,00:05:44.270
"I have, let's say, a box.",00:05:44.270,00:05:46.990
"And within this box,
we have a whole bunch",00:05:46.990,00:05:49.640
of these diatomic molecules.,00:05:49.640,00:05:51.910
"Let's stick to the
canonical ensemble.",00:05:56.140,00:06:01.910
"So I tell you the volume
of this gas, the number",00:06:01.910,00:06:05.660
"of diatomic molecules,
and the temperature.",00:06:05.660,00:06:07.690
"And in this formalism, I
would calculate the partition",00:06:10.380,00:06:16.260
function.,00:06:16.260,00:06:16.780
"Out of that, I should
be able to calculate",00:06:16.780,00:06:18.800
"the energy, heat
capacity, et cetera.",00:06:18.800,00:06:22.220
So what do I have to do?,00:06:22.220,00:06:24.470
"I have to integrate over all
possible coordinates that",00:06:24.470,00:06:30.980
occur in this system.,00:06:30.980,00:06:33.340
"To all intents and purposes,
the different molecules",00:06:33.340,00:06:37.060
are identical.,00:06:37.060,00:06:38.890
"So I divide by the
phase space that",00:06:38.890,00:06:42.840
is assigned to each one of them.,00:06:42.840,00:06:45.930
"And I said it is dilute
enough that for all intents",00:06:45.930,00:06:51.210
"and purposes, the pressure is
proportional to temperature.",00:06:51.210,00:06:55.880
"And that occur, I
know, when I can",00:06:55.880,00:06:58.420
"ignore the interactions
between particles.",00:06:58.420,00:07:01.720
"So if I can ignore the
interactions between particles,",00:07:01.720,00:07:05.490
"then the partition function
for the entire system",00:07:05.490,00:07:08.450
"would be the product of
the partition functions",00:07:08.450,00:07:10.820
"that I would write for
the individual molecules,",00:07:10.820,00:07:13.970
"or one of them raised
to the N power.",00:07:13.970,00:07:16.270
"So what's the Z1 that
I have to calculate?",00:07:16.270,00:07:20.230
"Z1 is obtained by
integrating over",00:07:20.230,00:07:23.880
"the coordinates and momenta
of a single diatomic particle.",00:07:23.880,00:07:28.270
So I have a factor of d cubed p.,00:07:28.270,00:07:30.530
I have a factor of d cubed q.,00:07:30.530,00:07:33.600
"But I have two particles, so
I have d cubed p1, d cubed q1,",00:07:33.600,00:07:38.480
"d cubed p2, d cubed
q 2, and I have",00:07:38.480,00:07:43.850
six pairs of coordinate momenta.,00:07:43.850,00:07:48.170
So I divide it by h cubed.,00:07:48.170,00:07:50.800
"I have e to the minus beta
times the energy of this system,",00:07:50.800,00:07:57.820
"which is p1 squared over
2m p2 squared over 2m.",00:07:57.820,00:08:04.230
"And some potential
of interaction",00:08:04.230,00:08:08.160
"that is responsible for bringing
and binding these things",00:08:08.160,00:08:12.220
together.,00:08:12.220,00:08:13.720
"So there is some V that
is function of q1 and q2",00:08:13.720,00:08:18.110
"that binds the two particles
together and does not",00:08:18.110,00:08:21.760
allow them to become separate.,00:08:21.760,00:08:24.290
"All right, so what
do we do here?",00:08:24.290,00:08:26.810
"We realize that immediately for
one of these particle,s there",00:08:26.810,00:08:30.275
"is a center of mass that
can go all over the place.",00:08:30.275,00:08:34.039
"So we change
coordinates to, let's",00:08:34.039,00:08:36.750
"say, Q, which is
q1 plus q2 over 2.",00:08:36.750,00:08:42.049
"And corresponding to the
center of mass position,",00:08:42.049,00:08:45.910
"there is also a center
of mass momentum, P,",00:08:45.910,00:08:51.660
which is related to p1 minus p2.,00:08:51.660,00:08:59.320
"But when I make the change
of variables from these",00:08:59.320,00:09:03.430
"coordinates to these
coordinates, what I will get",00:09:03.430,00:09:06.840
"is that I will have
a simple integral",00:09:06.840,00:09:10.450
over the relative coordinates.,00:09:10.450,00:09:12.380
"So I have d cubed Q d
cubed big P h cubed.",00:09:12.380,00:09:17.230
"And the only thing that
I have over there is",00:09:17.230,00:09:20.580
"e to the minus beta p squared
divided by 2 big M. Big M",00:09:20.580,00:09:27.640
