text,start,stop
"The following content is
provided under a Creative",00:00:00.790,00:00:03.190
Commons license.,00:00:03.190,00:00:04.730
"Your support will help
MIT OpenCourseWare",00:00:04.730,00:00:07.030
"continue to offer high quality
educational resources for free.",00:00:07.030,00:00:11.390
"To make a donation or
view additional materials",00:00:11.390,00:00:13.990
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.990,00:00:17.880
at ocw.mit.edu.,00:00:17.880,00:00:18.840
PROFESSOR: All right.,00:00:31.140,00:00:33.100
"Let's get started, everyone.",00:00:33.100,00:00:35.120
"So, good afternoon.",00:00:35.120,00:00:37.340
"Welcome to the second lecture
of 60001 and also of 600.",00:00:37.340,00:00:42.470
"So as always, if you'd like to
follow along with the lectures,",00:00:42.470,00:00:46.000
"please go ahead and download
the slides and the code",00:00:46.000,00:00:48.190
"that I'll provide at least an
hour before class every day.",00:00:48.190,00:00:53.270
All right.,00:00:53.270,00:00:53.770
"So a quick recap of
what we did last time.",00:00:53.770,00:00:56.420
"So last time, we talked a little
bit about what a computer is.",00:00:56.420,00:01:00.610
"And I think the main takeaway
from the last lecture",00:01:00.610,00:01:03.130
"is really that a computer only
does what it is told, right?",00:01:03.130,00:01:06.730
"So it's not going to
spontaneously make",00:01:06.730,00:01:08.800
decisions on its own.,00:01:08.800,00:01:10.090
"You, as the programmer,
have to tell it",00:01:10.090,00:01:12.670
"what you want it to do
by writing programs.",00:01:12.670,00:01:15.501
OK.,00:01:15.501,00:01:16.000
"So we talked about
simple objects.",00:01:16.000,00:01:18.610
"And these objects were
of different types.",00:01:18.610,00:01:22.000
"So we saw integers,
floats, and Booleans.",00:01:22.000,00:01:25.060
"And then we did a couple of
simple operations with them.",00:01:25.060,00:01:28.390
"Today, we're going to
look at a different--",00:01:28.390,00:01:30.250
"a new type of object
called a string.",00:01:30.250,00:01:33.850
"And then we're
going to introduce",00:01:33.850,00:01:35.230
"some more powerful things
in our programming toolbox.",00:01:35.230,00:01:42.120
"So we're going to look at how
to branch within a program,",00:01:42.120,00:01:44.710
"and how to make things-- how
to make the computer repeat",00:01:44.710,00:01:47.440
"certain tasks
within our program.",00:01:47.440,00:01:50.200
All right.,00:01:50.200,00:01:51.130
"So let's begin by
looking at strings.",00:01:51.130,00:01:53.530
"So strings are a
new object type.",00:01:53.530,00:01:56.530
"We've seen so far
integers, which",00:01:56.530,00:01:58.030
"were whole numbers, floats,
which were decimal numbers,",00:01:58.030,00:02:02.380
"and we have seen Booleans,
which were true and false.",00:02:02.380,00:02:05.910
"So strings are going to be
sequences of characters.",00:02:05.910,00:02:09.789
"And these characters
can be anything.",00:02:09.789,00:02:11.680
"They can be letters,
digits, special characters,",00:02:11.680,00:02:14.840
and also spaces.,00:02:14.840,00:02:17.050
"And you tell Python that you're
talking about a string object",00:02:17.050,00:02:20.560
"by enclosing it in
quotation marks.",00:02:20.560,00:02:23.320
"So in this case, I'm creating an
object whose value is h-e-l-l-o",00:02:23.320,00:02:29.860
space t-h-e-r-e.,00:02:29.860,00:02:32.674
"And Python knows it's a
string object, because we're",00:02:32.674,00:02:34.840
enclosing it in quotations.,00:02:34.840,00:02:36.387
"They can be either double
quotes or single quotes,",00:02:36.387,00:02:38.470
"but as long as you're
consistent, it doesn't matter.",00:02:38.470,00:02:41.260
"And this object, we're binding
it to this variable named hi.",00:02:41.260,00:02:46.740
"And we're using that using
the equals sign, which",00:02:46.740,00:02:49.210
is the assignment operator.,00:02:49.210,00:02:51.540
"So from now on, whenever we
refer to this variable hi,",00:02:51.540,00:02:55.320
"Python is going to say, oh,
I know what the value is,",00:02:55.320,00:02:57.700
"and it's that string
of characters.",00:02:57.700,00:03:00.864
"So we're going to
learn about two things",00:03:00.864,00:03:02.530
