text,start,stop
"The following content is
provided under a Creative",00:00:00.040,00:00:02.460
Commons license.,00:00:02.460,00:00:03.870
"Your support will help MIT
OpenCourseWare continue to",00:00:03.870,00:00:06.910
"offer high quality educational
resources for free.",00:00:06.910,00:00:10.560
"To make a donation or view
additional materials from",00:00:10.560,00:00:13.460
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.460,00:00:19.290
ocw.mit.edu,00:00:19.290,00:00:22.004
"JOHN TSISIKLIS: So here's
the agenda for today.",00:00:22.004,00:00:24.966
"We're going to do a
very quick review.",00:00:24.966,00:00:26.848
"And then we're going
to introduce some",00:00:26.848,00:00:28.936
very important concepts.,00:00:28.936,00:00:30.560
"The idea is that all
information is--",00:00:30.560,00:00:34.060
Information is always partial.,00:00:34.060,00:00:36.450
"And the question is what do we
do to probabilities if we have",00:00:36.450,00:00:40.260
"some partial information about
the random experiments.",00:00:40.260,00:00:43.340
"We're going to introduce the
important concept of",00:00:43.340,00:00:45.770
conditional probability.,00:00:45.770,00:00:47.530
"And then we will see three
very useful ways",00:00:47.530,00:00:50.860
in which it is used.,00:00:50.860,00:00:52.670
"And these ways basically
correspond to divide and",00:00:52.670,00:00:55.410
"conquer methods for breaking
up problems",00:00:55.410,00:00:58.070
into simpler pieces.,00:00:58.070,00:01:00.120
"And also one more fundamental
tool which allows us to use",00:01:00.120,00:01:04.010
"conditional probabilities to do
inference, that is, if we",00:01:04.010,00:01:07.420
"get a little bit of information
about some",00:01:07.420,00:01:09.440
"phenomenon, what can we
infer about the things",00:01:09.440,00:01:12.620
that we have not seen?,00:01:12.620,00:01:14.640
So our quick review.,00:01:14.640,00:01:17.050
"In setting up a model of a
random experiment, the first",00:01:17.050,00:01:22.100
"thing to do is to come up with
a list of all the possible",00:01:22.100,00:01:25.930
outcomes of the experiment.,00:01:25.930,00:01:27.870
"So that list is what we
call the sample space.",00:01:27.870,00:01:31.120
It's a set.,00:01:31.120,00:01:32.480
"And the elements of the
sample space are all",00:01:32.480,00:01:34.580
the possible outcomes.,00:01:34.580,00:01:35.720
Those possible outcomes must be,00:01:35.720,00:01:37.560
distinguishable from each other.,00:01:37.560,00:01:39.690
They're mutually exclusive.,00:01:39.690,00:01:41.020
"Either one happens or the other
happens, but not both.",00:01:41.020,00:01:44.900
"And they are collectively
exhaustive, that is no matter",00:01:44.900,00:01:47.440
"what the outcome of the
experiment is going to be an",00:01:47.440,00:01:50.480
element of the sample space.,00:01:50.480,00:01:52.130
"And then we discussed last
time that there's also an",00:01:52.130,00:01:54.200
"element of art in how to choose
your sample space,",00:01:54.200,00:01:57.510
"depending on how much detail
you want to capture.",00:01:57.510,00:02:01.440
This is usually the easy part.,00:02:01.440,00:02:03.130
"Then the more interesting part
is to assign probabilities to",00:02:03.130,00:02:06.980
"our model, that is to make some
statements about what we",00:02:06.980,00:02:10.660
"believe to be likely and what
we believe to be unlikely.",00:02:10.660,00:02:14.610
"The way we do that is by
assigning probabilities to",00:02:14.610,00:02:17.720
subsets of the sample space.,00:02:17.720,00:02:20.510
"So as we have our sample space
here, we may have a subset A.",00:02:20.510,00:02:26.120
"And we assign a number to that
subset P(A), which is the",00:02:26.120,00:02:31.090
"probability that this
event happens.",00:02:31.090,00:02:33.910
"Or this is the probability that
when we do the experiment",00:02:33.910,00:02:37.080
"and we get an outcome it's the
probability that the outcome",00:02:37.080,00:02:39.860
"happens to fall inside
that event.",00:02:39.860,00:02:41.850
"We have certain rules that
probabilities should satisfy.",00:02:41.850,00:02:44.500
They're non-negative.,00:02:44.500,00:02:46.210
"The probability of the overall
sample space is equal to one,",00:02:46.210,00:02:49.780
"which expresses the fact that
we're are certain, no matter",00:02:49.780,00:02:52.900
"what, the outcome is going
to be an element",00:02:52.900,00:02:55.480
of the sample space.,00:02:55.480,00:02:56.830
"Well, if we set the top right
so that it exhausts all",00:02:56.830,00:02:59.760
"possibilities, this should
be the case.",00:02:59.760,00:03:03.190
"And then there's another
interesting property of",00:03:03.190,00:03:05.480
"probabilities that says that,
if we have two events or two",00:03:05.480,00:03:09.240
"subsets that are disjoint, and
we're interested in the",00:03:09.240,00:03:11.910
"probability, that one or the
other happens, that is the",00:03:11.910,00:03:17.670
"outcome belongs to A or belongs
to B. For disjoint",00:03:17.670,00:03:21.870
"events the total probability of
these two, taken together,",00:03:21.870,00:03:25.320
"is just the sum of their
individual probabilities.",00:03:25.320,00:03:28.030
"So probabilities behave
like masses.",00:03:28.030,00:03:30.270
"The mass of the object
consisting of A and B is the",00:03:30.270,00:03:34.760
"sum of the masses of
these two objects.",00:03:34.760,00:03:37.230
"Or you can think of
probabilities as areas.",00:03:37.230,00:03:39.720
"They have, again, the
same property.",00:03:39.720,00:03:41.240
"The area of A together with B is
the area of A plus the area",00:03:41.240,00:03:45.490
B.,00:03:45.490,00:03:46.410
"But as we discussed at the end
of last lecture, it's useful",00:03:46.410,00:03:50.290
"to have in our hands a more
general version of this",00:03:50.290,00:03:53.970
"additivity property, which says
the following, if we take",00:03:53.970,00:03:58.990
a sequence of sets--,00:03:58.990,00:04:00.982
"A1, A2, A3, A4, and so on.",00:04:00.982,00:04:07.480
"And we put all of those
sets together.",00:04:07.480,00:04:09.630
It's an infinite sequence.,00:04:09.630,00:04:11.410
"And we ask for the probability
that the outcome falls",00:04:11.410,00:04:14.950
"somewhere in this infinite
union, that is we are asking",00:04:14.950,00:04:19.170
"for the probability that the
outcome belongs to one of",00:04:19.170,00:04:22.640
"these sets, and assuming that
the sets are disjoint, we can",00:04:22.640,00:04:27.950
"again find the probability for
the overall set by adding up",00:04:27.950,00:04:32.820
"the probabilities of the
individual sets.",00:04:32.820,00:04:36.000
"So this is a nice and
simple property.",00:04:36.000,00:04:38.910
