text,start,stop
"The following content is
provided under a Creative",00:00:00.120,00:00:02.460
Commons license.,00:00:02.460,00:00:03.880
"Your support will help
MIT OpenCourseWare",00:00:03.880,00:00:06.090
"continue to offer high quality
educational resources for free.",00:00:06.090,00:00:10.180
"To make a donation or to
view additional materials",00:00:10.180,00:00:12.720
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.720,00:00:16.200
at ocw.mit.edu.,00:00:16.200,00:00:17.625
"PHILIPPE RIGOLLET: --of
our limiting distribution,",00:00:20.507,00:00:22.590
which happen to be Gaussian.,00:00:22.590,00:00:24.259
"But if the central
limit theorem told",00:00:24.259,00:00:25.800
"us that the limiting
distribution of some average",00:00:25.800,00:00:28.560
"was something that
looked like a Poisson",00:00:28.560,00:00:30.549
"or an [? exponential, ?]
then we would just",00:00:30.549,00:00:32.340
"have in the same way
taken the quintiles",00:00:32.340,00:00:34.770
of the exponential distribution.,00:00:34.770,00:00:36.700
So let's go back to what we had.,00:00:36.700,00:00:39.440
"So generically if you have a
set of observations X1 to Xn.",00:00:39.440,00:00:46.990
"So remember for the kiss example
they were denoted by R1 to Rn,",00:00:46.990,00:00:52.180
"because they were turning
the head to the right,",00:00:52.180,00:00:55.240
but let's just go back.,00:00:55.240,00:00:56.850
"We say X1 to Xn,
and in this case",00:00:56.850,00:00:59.800
"I'm going to assume
they're IID, and I'm",00:00:59.800,00:01:02.710
"going to make them Bernoulli
with [INAUDIBLE] p,",00:01:02.710,00:01:05.700
"and p is unknown, right?",00:01:05.700,00:01:06.710
So what did we do from here?,00:01:10.150,00:01:11.600
"Well, we said p is
the expectation of Xi,",00:01:11.600,00:01:15.824
"and actually we didn't even
think about it too much.",00:01:15.824,00:01:17.990
"We said, well, if
I need to estimate",00:01:17.990,00:01:19.090
"the proportion of people who
turn their head to the right",00:01:19.090,00:01:21.460
"when they kiss, I
just basically I'm",00:01:21.460,00:01:22.960
going to compute the average.,00:01:22.960,00:01:24.400
"So our p hat was just
Xn bar, which was just 1",00:01:24.400,00:01:28.660
"over n sum from i
over 1 2n of the Xi.",00:01:28.660,00:01:32.170
"The average of the observations
was their estimate.",00:01:32.170,00:01:34.990
"And then we wanted to build
some confidence intervals",00:01:34.990,00:01:37.690
around this.,00:01:37.690,00:01:38.220
"So what we wanted to understand
is, how much that this p hat",00:01:38.220,00:01:41.360
fluctuates.,00:01:41.360,00:01:42.970
This is a random variable.,00:01:42.970,00:01:44.060
"It's an average of
random variables.",00:01:44.060,00:01:45.100
"It's a random
variable, so we want",00:01:45.100,00:01:46.570
"to know what the
distribution is.",00:01:46.570,00:01:47.740
"And if we know what
the distribution is,",00:01:47.740,00:01:49.406
"then we actually know,
well, where it fluctuates.",00:01:49.406,00:01:51.670
What the expectation is.,00:01:51.670,00:01:52.810
"Around which value it tends
to fluctuate et cetera.",00:01:52.810,00:01:55.649
"And so what the
central limit theorem",00:01:55.649,00:01:57.190
"told us was if I take square
root of n times Xn bar minus p,",00:01:57.190,00:02:03.310
which is its average.,00:02:03.310,00:02:04.990
"And then I divide it by
the standard deviation.",00:02:04.990,00:02:07.445
"Then this thing here converges
as n goes to infinity,",00:02:10.840,00:02:15.670
"and we will say
a little bit more",00:02:15.670,00:02:17.380
"about what it means
in distribution",00:02:17.380,00:02:19.360
"to some standard
normal random variable.",00:02:19.360,00:02:23.157
"So that was the
central limit theorem.",00:02:23.157,00:02:24.740
"So what it means is
that when I think",00:02:27.069,00:02:28.610
"of this as a random variable,
when n is large enough",00:02:28.610,00:02:35.410
it's going to look like this.,00:02:35.410,00:02:37.630
"And so I understand
perfectly its fluctuations.",00:02:37.630,00:02:40.030
"I know that this
thing here has--",00:02:40.030,00:02:43.450
"I know the probability
of being in this zone.",00:02:43.450,00:02:45.520
"I know that this
number here is 0.",00:02:45.520,00:02:47.890
I know a bunch of things.,00:02:47.890,00:02:49.600
"And then, in
particular, what I was",00:02:49.600,00:02:51.910
"interested in was that
the probability, that's",00:02:51.910,00:02:55.990
"the absolute value of a
Gaussian random variable,",00:02:55.990,00:02:59.110
"exceeds q alpha over
2, q alpha over 2.",00:02:59.110,00:03:05.111
"We said that this
was equal to what?",00:03:05.111,00:03:06.610
Anybody?,00:03:13.610,00:03:15.527
What was that?,00:03:15.527,00:03:16.110
AUDIENCE: [INAUDIBLE],00:03:16.110,00:03:18.137
"PHILIPPE RIGOLLET: Alpha, right?",00:03:18.137,00:03:19.470
So that's the probability.,00:03:19.470,00:03:21.210
That's my random variable.,00:03:21.210,00:03:23.060
"So this is by definition q
alpha over 2 is the number.",00:03:23.060,00:03:27.050
"So that to the right
of it is alpha over 2.",00:03:27.050,00:03:29.960
"And this is a negative q
alpha over 2 by symmetry.",00:03:29.960,00:03:34.100
"And so the probability
that i exceeds-- well,",00:03:34.100,00:03:36.120
"it's not very symmetric,
but the probability",00:03:36.120,00:03:38.150
"that i exceeds this
value, q alpha over 2,",00:03:38.150,00:03:41.020
"is just the sum of
the two gray areas.",00:03:41.020,00:03:46.250
All right?,00:03:46.250,00:03:47.360
"So now I said that this thing
was approximately equal,",00:03:47.360,00:03:50.605
"due to the central
limit theorem,",00:03:50.605,00:03:51.980
"to the probability,
that square root of n.",00:03:51.980,00:03:55.320
"Xn bar minus p divided by
square root p 1 minus p.",00:03:55.320,00:03:59.063
"Well, absolute value was
larger than q alpha over 2.",00:04:04.970,00:04:10.180
"Well, then this thing by default
is actually approximately equal",00:04:10.180,00:04:12.870
