text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.490
Commons license.,00:00:02.490,00:00:04.030
"Your support will help
MIT OpenCourseWare",00:00:04.030,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.280
at ocw.mit.edu.,00:00:17.280,00:00:18.450
"ERIK DEMAINE: All right,
welcome back to 6.851.",00:00:22.110,00:00:25.092
"We continue our theme
of time travel today.",00:00:25.092,00:00:28.530
"Before I get started, I
wanted to briefly talk",00:00:28.530,00:00:30.776
"about the project,
which I forgot",00:00:30.776,00:00:32.150
to talk about in lecture one.,00:00:32.150,00:00:33.650
"Project is sort of the focus of
your evaluation in the class,",00:00:33.650,00:00:36.710
"other than problems
sets inscribing,",00:00:36.710,00:00:38.380
"it's supposed to be
the bulk of the work.",00:00:38.380,00:00:40.590
"Project can be
theoretical, trying",00:00:40.590,00:00:42.110
to solve an open problem.,00:00:42.110,00:00:43.151
You don't have to succeed.,00:00:43.151,00:00:44.510
"If you want to do that, you
should come to the open problem",00:00:44.510,00:00:46.968
sessions.,00:00:46.968,00:00:47.480
"Could be a survey of
things, especially not",00:00:47.480,00:00:51.590
"covered in class, or not
covered in class in much detail.",00:00:51.590,00:00:54.500
Look at a few papers.,00:00:54.500,00:00:55.790
"Could be an implementation of
one of these data structures.",00:00:55.790,00:00:58.490
"A lot of the data structures
we're talking about here",00:00:58.490,00:01:00.890
have never been implemented.,00:01:00.890,00:01:02.056
"We don't know how well
they perform in practice,",00:01:02.056,00:01:04.069
and it'd cool to find out.,00:01:04.069,00:01:05.300
"Many of them have though,
so you should do one",00:01:05.300,00:01:07.216
that hasn't been done already.,00:01:07.216,00:01:09.980
"Those are the main
project types.",00:01:09.980,00:01:11.840
"There will in a
month or so, there",00:01:11.840,00:01:14.300
"will be a project proposal
deadline where you",00:01:14.300,00:01:16.280
have to pick what you're doing.,00:01:16.280,00:01:17.750
"And then the project itself
is due last day of classes.",00:01:17.750,00:01:21.500
"And in the last
few lectures, there",00:01:21.500,00:01:24.200
will be project presentations.,00:01:24.200,00:01:25.457
"So you'll also have to
give a talk about it.",00:01:25.457,00:01:27.290
You can do group projects.,00:01:27.290,00:01:28.550
"And for more people we
expect more stuff to be done,",00:01:28.550,00:01:31.850
that's all.,00:01:31.850,00:01:33.210
Otherwise unconstrained.,00:01:33.210,00:01:34.880
"So in time travel land,
I guess the most sort",00:01:34.880,00:01:40.340
"of physically
realistic physics land,",00:01:40.340,00:01:43.450
"if time travel is
branching universes",00:01:43.450,00:01:45.567
"where if you make a
change in the past",00:01:45.567,00:01:47.150
you get a totally new universe.,00:01:47.150,00:01:48.441
That's full persistence.,00:01:48.441,00:01:50.370
That's last class.,00:01:50.370,00:01:51.772
"Today we're going to do the
more science fiction-y approach",00:01:51.772,00:01:54.230
"to time travel, which
is you can-- like in",00:01:54.230,00:01:57.769
Back to the Future.,00:01:57.769,00:01:58.560
"You can go back in
time, make a change,",00:01:58.560,00:02:00.560
"and then return to the
present and see all the",00:02:00.560,00:02:02.690
"intervening-- the result of
all the intervening things that",00:02:02.690,00:02:05.750
happen meanwhile.,00:02:05.750,00:02:08.120
"A fun example of this,
if you haven't seen it,",00:02:08.120,00:02:10.250
"is the movie Time
Cop, where there's",00:02:10.250,00:02:12.830
"this guy going back
in time, trying",00:02:12.830,00:02:14.810
to fight evil time travelers.,00:02:14.810,00:02:17.810
"And when he returns
to the present,",00:02:17.810,00:02:20.420
"sometimes, like the
whole time travel",00:02:20.420,00:02:22.820
service is starting to fail.,00:02:22.820,00:02:24.140
"And there's this worry
that he'll never be",00:02:24.140,00:02:25.370
able to return to the present.,00:02:25.370,00:02:26.900
"So anyway, we want to do
that with the data structure.",00:02:26.900,00:02:30.240
"So this is the idea
of retroactivity.",00:02:30.240,00:02:33.440
"In general, we think of a data
structure as having a timeline.",00:02:33.440,00:02:37.190
"We're going to maintain one
linear timeline of updates.",00:02:46.460,00:02:52.520
So here's time.,00:02:52.520,00:02:54.650
"And the idea is, well, maybe at
time 0 you do an insert of 7.",00:02:57.990,00:03:05.810
"And then at time 1, you
maybe did an insert of 3.",00:03:05.810,00:03:11.600
"And then at time 2,
you did a delete-min.",00:03:11.600,00:03:14.630
"OK, what's that spell?",00:03:18.860,00:03:19.960
"Or, at the end you have--",00:03:19.960,00:03:21.200
"right now, you'd have
just the element 7.",00:03:21.200,00:03:23.810
"In general, every data structure
you can think of is this.",00:03:23.810,00:03:26.900
"Now normally, we're always
appending to the timeline",00:03:26.900,00:03:30.590
that's working in the present.,00:03:30.590,00:03:33.200
"You're doing operations
on the present.",00:03:33.200,00:03:35.900
"But we'd like to allow--
with retroactive data",00:03:35.900,00:03:38.300
