text,start,stop
"The following
content is provided",00:00:00.070,00:00:01.780
"under a Creative
Commons license.",00:00:01.780,00:00:04.019
"Your support will help MIT
OpenCourseWare continue",00:00:04.019,00:00:06.870
"to offer high-quality
educational resources for free.",00:00:06.870,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.217
at ocw.mit.edu.,00:00:17.217,00:00:17.842
"PROFESSOR: So I'll
briefly review",00:00:20.475,00:00:21.850
what we were doing last time.,00:00:21.850,00:00:24.560
"We are gradually
developing the structure",00:00:24.560,00:00:28.747
that we need for thermodynamics.,00:00:28.747,00:00:30.080
"And the first thing that we
did was to state that it wholly",00:00:33.870,00:00:40.730
"depends on the existence
of equilibrim--",00:00:40.730,00:00:46.070
"is the first and foremost
thing that we need to know,",00:00:46.070,00:00:50.460
"is that the objects that we
are studying in thermodynamics",00:00:50.460,00:00:54.590
are in equilibrium.,00:00:54.590,00:00:56.180
"And once they're
in equilibrium, we",00:00:56.180,00:00:58.370
"can characterize them
by a set of properties.",00:00:58.370,00:01:01.310
"So there's a list of
coordinates that I",00:01:01.310,00:01:03.330
would have the list here.,00:01:03.330,00:01:05.160
"And we saw that
since we will also",00:01:05.160,00:01:09.460
"need to think in terms of
mechanical work, a good place",00:01:09.460,00:01:13.690
"to start-- and since we are
familiar with mechanical",00:01:13.690,00:01:16.420
"coordinates-- is to enumerate
here the mechanical coordinates",00:01:16.420,00:01:21.480
"that we would describe
the system with.",00:01:21.480,00:01:23.730
"And we said that we could,
in principal, characterize",00:01:23.730,00:01:29.080
"or divide those
coordinates in the form",00:01:29.080,00:01:31.910
"of some generalized
displacements",00:01:31.910,00:01:37.750
"and the corresponding
conjugate forces.",00:01:37.750,00:01:41.910
"And typically, the displacements
are extensive proportional",00:01:41.910,00:01:46.960
to the size of your system.,00:01:46.960,00:01:48.320
The forces are intensive.,00:01:48.320,00:01:50.280
"And the work is related to
the product of those two",00:01:50.280,00:01:53.330
in some fashion.,00:01:53.330,00:01:55.600
"One of the things that
I will do throughout",00:01:55.600,00:01:58.340
"is to emphasize that one of
the main materials that we",00:01:58.340,00:02:03.010
"are going to look at, and
illustrate the concept with,",00:02:03.010,00:02:07.960
is the gas.,00:02:07.960,00:02:08.585
"And in particular,
the version of the gas",00:02:08.585,00:02:12.220
that is the ideal gas.,00:02:12.220,00:02:14.330
"But forgetting the ideal
part for the time being,",00:02:14.330,00:02:17.120
