text,start,stop
"The following
content is provided",00:00:00.050,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
"PROFESSOR: All right, today we
continue our exciting adventure",00:00:22.537,00:00:25.120
into dynamic programming.,00:00:25.120,00:00:27.320
Are you excited?,00:00:27.320,00:00:28.630
"I'm excited, super excited.",00:00:28.630,00:00:31.810
"Dynamic programming,
as you recall way back",00:00:31.810,00:00:34.190
"before Thanksgiving, is a super
exciting powerful technique",00:00:34.190,00:00:37.920
"to design algorithms, especially
to solve optimization problems",00:00:37.920,00:00:41.690
"where you want to maximize
or minimize something.",00:00:41.690,00:00:44.670
"Last time, we saw how
two algorithms we already",00:00:44.670,00:00:48.500
"knew-- namely, how to compute
the nth Fibonacci number",00:00:48.500,00:00:52.380
"and how to compute shortest
paths via Bellman-Ford--",00:00:52.380,00:00:56.130
"are really dynamic
programs in disguise.",00:00:56.130,00:00:58.780
"And indeed for, at
least for Bellman-Ford,",00:00:58.780,00:01:01.270
"that's how they
were invented, was",00:01:01.270,00:01:03.700
"to apply a general
technique which",00:01:03.700,00:01:05.170
"we're going to see today
in full generality,",00:01:05.170,00:01:09.160
"more or less-- most of
this is generality--",00:01:09.160,00:01:11.240
in five easy steps.,00:01:11.240,00:01:13.230
"And we're going to see
that technique applied",00:01:13.230,00:01:15.570
"to two new problems
which are much more",00:01:15.570,00:01:17.840
"interesting than the ones
we've already solved-- namely,",00:01:17.840,00:01:20.600
"how to make your text
look nice in a paragraph,",00:01:20.600,00:01:23.170
where to break the lines.,00:01:23.170,00:01:24.660
That's text justification.,00:01:24.660,00:01:26.320
"And how to win and make
loads of money at blackjack.",00:01:26.320,00:01:29.340
"So lots of practical
stuff here, and we're",00:01:29.340,00:01:31.950
"going to see one
new technique for",00:01:31.950,00:01:35.980
general dynamic programming.,00:01:35.980,00:01:37.820
"These are some things
I wrote last time.",00:01:37.820,00:01:40.470
"Actually, one of them I
didn't write last time.",00:01:40.470,00:01:42.500
"In general, you can think
of dynamic programming",00:01:42.500,00:01:44.500
"as a carefully executed
brute force search.",00:01:44.500,00:01:47.720
"So in some sense,
your algorithm is",00:01:47.720,00:01:49.880
"going to be trying
all the possibilities,",00:01:49.880,00:01:52.720
"but somehow avoiding
the fact that there",00:01:52.720,00:01:54.650
are exponentially many of them.,00:01:54.650,00:01:56.550
"By thinking of it
in a clever way,",00:01:56.550,00:01:58.600
"you can reduce the
exponential search space",00:01:58.600,00:02:00.410
"down to a polynomial one,
even though you're still",00:02:00.410,00:02:02.700
"not being very intelligent
you're still blindly trying",00:02:02.700,00:02:05.490
all possibilities.,00:02:05.490,00:02:07.280
So that's the brute force part.,00:02:07.280,00:02:10.630
"In more detail, the
three main techniques",00:02:10.630,00:02:12.970
"in dynamic programming are
the idea of guessing, the idea",00:02:12.970,00:02:16.610
"that, oh, I want to find the
best way to solve a problem.",00:02:16.610,00:02:20.280
"Let's pick out some
feature of the solution",00:02:20.280,00:02:23.740
that I want to know.,00:02:23.740,00:02:25.540
"I don't know it, so
I'll guess the answer--",00:02:25.540,00:02:28.680
"meaning I'll try all the
possibilities for that choice",00:02:28.680,00:02:32.540
and take the best one.,00:02:32.540,00:02:34.920
"So guessing is really central
to dynamic programming.",00:02:34.920,00:02:38.020
"Then we also use a
recursion, some way",00:02:38.020,00:02:42.240
"to express the solution to our
problem in terms of solutions",00:02:42.240,00:02:46.250
to sub-problems.,00:02:46.250,00:02:47.970
"So it's usually very
easy to get a recursion",00:02:47.970,00:02:50.119
"for a lot of problems
as long as they",00:02:50.119,00:02:51.660
have some kind of substructure.,00:02:51.660,00:02:53.810
"Like shortest paths, we had that
some paths of shortest paths",00:02:53.810,00:02:56.390
"were also shortest
paths, so that was handy.",00:02:56.390,00:02:59.310
"Usually the recursion by
itself is exponential time,",00:02:59.310,00:03:02.190
"like even with
Fibonacci numbers.",00:03:02.190,00:03:04.140
"But we add in this
technique of memoization,",00:03:04.140,00:03:06.240
"which is just once we compute an
answer we've stored in a lookup",00:03:06.240,00:03:09.480
"table, if we ever
need that answer again",00:03:09.480,00:03:11.180
"we reuse it instead
of recomputing it.",00:03:11.180,00:03:13.900
So we store it.,00:03:13.900,00:03:15.170
"We write down in our memo
pad anything that we compute.",00:03:15.170,00:03:19.610
"Those techniques, all
these techniques together",00:03:19.610,00:03:22.360
"give you, typically,
a polynomial time",00:03:22.360,00:03:24.610
"dynamic program-- when
they work, of course.",00:03:24.610,00:03:26.880
"Memoization makes the
recursion polynomial time.",00:03:26.880,00:03:29.500
"The guessing is what is
doing a brute force search.",00:03:29.500,00:03:33.260
"And magically, it all
works if you're careful.",00:03:33.260,00:03:37.610
"Another perspective-- kind
of an orthogonal perspective",00:03:37.610,00:03:41.397
"or another way of thinking
about it, which I think",00:03:41.397,00:03:43.480
"should be comfortable
for you because we",00:03:43.480,00:03:45.146
"spent a lot of time
doing shortest paths",00:03:45.146,00:03:47.430
"and expressing problems that we
care about in terms of shortest",00:03:47.430,00:03:50.730
"paths even if they don't look
like it at first glance--",00:03:50.730,00:03:53.750
"dynamic programming
in some sense",00:03:53.750,00:03:55.340
"is always computing
shortest paths in a DAG.",00:03:55.340,00:04:00.079
"So you have some problem
you want to solve,",00:04:00.079,00:04:01.870
"like you have text you want to
split up into lines so it looks",00:04:01.870,00:04:05.020
"nice in a paragraph, you
express that problem somehow",00:04:05.020,00:04:11.100
as a directed acyclic graph.,00:04:11.100,00:04:13.530
"And then we know how to
compute shortest path",00:04:13.530,00:04:15.620
"in directed acyclic
graphs in linear time.",00:04:15.620,00:04:18.160
"And that's basically what
dynamic programming is doing.",00:04:18.160,00:04:21.019
"I didn't realize
this until last week,",00:04:21.019,00:04:23.760
so this is a new perspective.,00:04:23.760,00:04:24.990
"It's an experimental
perspective.",00:04:24.990,00:04:26.399
But I think it's helpful.,00:04:26.399,00:04:27.440
"It's actually-- dynamic
programming is not that new.",00:04:27.440,00:04:30.910
"It's all about how to be
clever in setting up that DAG.",00:04:30.910,00:04:33.700
"But in the end, the
algorithm is very simple.",00:04:33.700,00:04:37.680
"And then we had this
other perspective--",00:04:37.680,00:04:41.300
"back to this
perspective, I guess.",00:04:41.300,00:04:43.580
"In general, we have-- the
real problem we want to solve,",00:04:43.580,00:04:47.020
"we generalize it in some
sense by considering",00:04:47.020,00:04:50.560
"lots of different sub-problems
that we might care about.",00:04:50.560,00:04:53.750
"Like with Fibonacci, we had
the nth Fibonacci number.",00:04:53.750,00:04:56.700
"We really just wanted
the nth Fibonacci number.",00:04:59.082,00:05:01.040
"But along the way, we're going
to compute all f1 up to fn.",00:05:01.040,00:05:04.410
So those are our sub-problems.,00:05:04.410,00:05:06.430
"And if we compute
the amount of time",00:05:06.430,00:05:08.180
"we need to solve
each sub-problem",00:05:08.180,00:05:10.389
"and multiply that by the
number of sub-problems we get,",00:05:10.389,00:05:12.680
"the total time required
by the algorithm.",00:05:12.680,00:05:14.900
This is a general true fact.,00:05:14.900,00:05:18.130
"And the fun part here is we get
to treat any recursive calls",00:05:18.130,00:05:21.710
"in this recursion as
free, as constant time,",00:05:21.710,00:05:26.010
"because we really only
pay for it first time.",00:05:26.010,00:05:29.310
That's counted out here.,00:05:29.310,00:05:30.990
"The second time we call
it, it's already memoized,",00:05:30.990,00:05:33.360
so we don't have to pay for it.,00:05:33.360,00:05:36.300
"So this is, in some
sense, an amortization,",00:05:36.300,00:05:38.430
"if you remember amortization
from table doubling.",00:05:38.430,00:05:42.100
"We're just changing
around when we",00:05:42.100,00:05:44.030
"count the cost of
each sub-problem,",00:05:44.030,00:05:46.000
"and then this is the
total running time.",00:05:46.000,00:05:49.390
"OK, so that's the
spirit we saw already.",00:05:49.390,00:05:53.300
"I'm going to give you
the five general steps,",00:05:53.300,00:05:55.180
"and then we're going to apply
them to two new problems.",00:05:55.180,00:05:59.700
"So five easy steps to
dynamic programming.",00:05:59.700,00:06:07.590
"Unfortunately, these are not
necessarily sequential steps.",00:06:13.974,00:06:16.390
"They're a little
bit interdependent,",00:06:16.390,00:06:17.980
"and so ""easy""
should be in quotes.",00:06:17.980,00:06:21.390
"This is how you would
express a dynamic program,",00:06:21.390,00:06:26.510
"and in some sense
how you'd invent one,",00:06:26.510,00:06:29.550
"but in particular how
you would explain one.",00:06:29.550,00:06:32.740
"OK, let me get to
the main steps first.",00:06:32.740,00:06:35.800
"First step is to figure out
what your sub-problems are",00:06:42.890,00:06:46.230
going to be.,00:06:46.230,00:06:48.540
"Second part is to
guess something.",00:06:48.540,00:06:51.280
"Third step is to relate
sub-problem solutions, usually",00:06:51.280,00:06:59.780
with a recurrence.,00:06:59.780,00:07:02.610
"I guess always
with a recurrence.",00:07:02.610,00:07:03.985
"Fourth step is to actually
build an algorithm.",00:07:08.100,00:07:11.595
"And we saw two ways
to do that last time.",00:07:20.730,00:07:22.700
"One is to use recursion
and memoization, which",00:07:22.700,00:07:24.970
"is the way I like
to think about it.",00:07:24.970,00:07:26.470
"But if you prefer, you can
follow the bottom up approach.",00:07:26.470,00:07:33.150
"And usually that's
called building a table.",00:07:33.150,00:07:35.905
"And that one's basically to turn
our recursion and memoization,",00:07:40.910,00:07:43.630
"which is kind of
fancy, into a bunch",00:07:43.630,00:07:46.680
"of for loops, which
is pretty simple.",00:07:46.680,00:07:48.790
"And this is going to be more
practical, faster, and so on.",00:07:48.790,00:07:52.550
"And depending on your
preference, one of them",00:07:52.550,00:07:54.680
"is more intuitive
than the other.",00:07:54.680,00:07:56.290
It doesn't matter.,00:07:56.290,00:07:57.060
"They have the same running
time, more or less,",00:07:57.060,00:08:02.306
in the worst case.,00:08:02.306,00:08:03.420
"Then the fifth step is to
solve the original problem.",00:08:07.860,00:08:10.895
"All right, so we've sort
of seen this before.",00:08:18.946,00:08:22.670
"In fact I have, over
here, a convenient table.",00:08:22.670,00:08:25.740
It's called cheating.,00:08:28.320,00:08:30.520
"The two problems we saw
last time, Fibonacci numbers",00:08:30.520,00:08:32.925
and shortest paths.,00:08:32.925,00:08:34.929
"And I've got steps
one, two, three,",00:08:34.929,00:08:36.840
"four-- I ran out of room,
so I didn't write five yet.",00:08:36.840,00:08:39.440
But we'll get there.,00:08:39.440,00:08:40.690
So what are our sub-problems?,00:08:40.690,00:08:42.890
"Well, for Fibonacci,
they were f1 through fn.",00:08:42.890,00:08:47.430
"So there were n
different sub-problems.",00:08:47.430,00:08:49.300
"And in general because
of this formula,",00:08:49.300,00:08:53.010
"we want to count how many
sub-problems are there.",00:08:53.010,00:08:57.360
"So number of
sub-problems is-- this",00:08:57.360,00:09:07.830
"is what we need to
do algorithmically.",00:09:07.830,00:09:10.610
"And then for analysis,
we want to counter",00:09:10.610,00:09:13.130
"number of sub-problems
for step one.",00:09:13.130,00:09:15.640
"And so for Fibonacci
there were n of them.",00:09:15.640,00:09:17.680
"For shortest paths, we defined
this delta sub k of sv.",00:09:17.680,00:09:24.490
"This was the
shortest path from s",00:09:24.490,00:09:26.260
to v they uses at most k edges.,00:09:26.260,00:09:29.170
"That was sort of what
Bellman-Ford was doing.",00:09:29.170,00:09:31.840
"And the number of
different sub-problems",00:09:31.840,00:09:34.690
"here was v squared, because we
had to do this for every vertex",00:09:34.690,00:09:37.990
"v and we had to do it for
every value of k between 0",00:09:37.990,00:09:41.660
"and v minus 1. v minus was
is the number of rounds",00:09:41.660,00:09:44.850
we need in Bellman-Ford.,00:09:44.850,00:09:46.970
"So it's v times v,
different sub-problems,",00:09:46.970,00:09:50.720
b squared of them.,00:09:50.720,00:09:52.460
"OK, second thing was we
wanted to solve our problem.",00:09:52.460,00:09:56.540
"And we do that by guessing
some feature of the solution.",00:09:56.540,00:10:00.990
"In Fibonacci, there
was no guessing.",00:10:00.990,00:10:03.150
"So the number of different
choices for your guess is one.",00:10:03.150,00:10:06.360
There's nothing.,00:10:06.360,00:10:07.190
"There's only one choice,
which is to do nothing.",00:10:07.190,00:10:11.120
"And for shortest paths,
what we guessed was--",00:10:11.120,00:10:15.280
"we know we're looking for some
path from s v. B Let's guess",00:10:15.280,00:10:18.800
what the last edge is.,00:10:18.800,00:10:21.220
"There's some last
edge from u to v,",00:10:21.220,00:10:25.020
"assuming the path has more
than one edge-- or more",00:10:25.020,00:10:27.140
than zero edges.,00:10:27.140,00:10:29.330
When could the edge possibly be?,00:10:29.330,00:10:31.230
"Well, it's some
incoming edge to v.",00:10:31.230,00:10:33.890
"So there's going to be
indegree of v different choices",00:10:33.890,00:10:36.420
for that.,00:10:36.420,00:10:37.740
"And to account for the case that
that's zero, we do a plus 1.",00:10:37.740,00:10:41.280
But that's not a big deal.,00:10:41.280,00:10:43.790
"So that was the number
of different choices.",00:10:43.790,00:10:47.560
"In general if we're
going to guess something,",00:10:47.560,00:10:49.640
"we need to write down
the number of choices.",00:10:49.640,00:10:55.456
"For the guess, how many
different possibilities",00:10:55.456,00:10:59.310
are there?,00:10:59.310,00:11:01.250
That's our analysis.,00:11:01.250,00:11:04.620
"OK, the next thing
is the recurrence.",00:11:04.620,00:11:09.150
That's step three.,00:11:09.150,00:11:10.750
"We want to relate all
the sub-problem solutions",00:11:10.750,00:11:13.200
to each other.,00:11:13.200,00:11:14.310
"For Fibonacci,
that's the definition",00:11:14.310,00:11:15.865
of Fibonacci numbers.,00:11:15.865,00:11:16.740
So it's really easy.,00:11:16.740,00:11:19.180
"For shortest paths,
we wrote this min.",00:11:19.180,00:11:22.775
"In general, typically
it's a min or a max,",00:11:22.775,00:11:25.179
"whatever you're
trying to solve here.",00:11:25.179,00:11:26.720
We're doing shortest paths.,00:11:26.720,00:11:28.830
"You could do longest
paths in the same way.",00:11:28.830,00:11:31.780
"So you compute them in of
delta sub sk minus 1 of su.",00:11:31.780,00:11:36.550
"The idea is we want to compute
this part of the path, the s",00:11:36.550,00:11:41.245
to u part.,00:11:41.245,00:11:42.450
"And we know that has one
fewer edge, because we just",00:11:42.450,00:11:44.970
guessed what the last edge was.,00:11:44.970,00:11:46.975
"Except we don't really know
what the last edge was,",00:11:46.975,00:11:49.100
so we have to try them all.,00:11:49.100,00:11:50.250
"We try all the incoming edges
into v-- that's this part--",00:11:50.250,00:11:54.380
"and for each of
them we compute--",00:11:54.380,00:11:56.810
I forgot something here.,00:11:56.810,00:11:58.770
"This is the cost of the
first part of the path.",00:11:58.770,00:12:01.360
"Then I also need to do plus
the weight of the uv edge.",00:12:01.360,00:12:05.470
"That will be the total
cost of that path.",00:12:05.470,00:12:09.080
"You add those up, you do
it for every incoming edge.",00:12:09.080,00:12:12.350
"That is, in some sense,
considering all possible paths.",00:12:12.350,00:12:16.250
"Assuming you find the
shortest path from s to u,",00:12:16.250,00:12:18.250
"that's going to be the
best way to get there.",00:12:18.250,00:12:20.360
"And then use some edge from
u to v for some choice of u.",00:12:20.360,00:12:25.380
This will try all of them.,00:12:25.380,00:12:26.500
"So it's really trying
all the possibilities.",00:12:26.500,00:12:28.333
"So it's pretty clear
this is correct",00:12:28.333,00:12:30.636
"if there are no
negative weight cycles.",00:12:30.636,00:12:32.260
You have to prove some things.,00:12:32.260,00:12:33.509
We've already proved them.,00:12:33.509,00:12:35.840
"It's just slow, but once you
add memoization, it's fast.",00:12:35.840,00:12:40.390
"Now, how long does it take
to evaluate this recurrence,",00:12:40.390,00:12:44.300
"constant time, if you
don't count the recursive",00:12:44.300,00:12:46.380
calls or count them as constant?,00:12:46.380,00:12:48.630
"Over here, we're taking a min
over n degree of v things.",00:12:48.630,00:12:52.770
"So we have to pay
n degree of v time,",00:12:52.770,00:12:56.210
again the recursions as free.,00:12:56.210,00:12:58.020
"But for each one of them,
we have to do an addition.",00:12:58.020,00:13:00.620
So it's constant work per guess.,00:13:00.620,00:13:04.459
And this is quite common.,00:13:04.459,00:13:05.500
"Often, the number of
guesses and the running time",00:13:05.500,00:13:09.110
"per sub-problem are the
same, the constant factors.",00:13:09.110,00:13:11.554
Sometimes they're different.,00:13:11.554,00:13:12.720
We'll see some examples today.,00:13:12.720,00:13:15.860
"OK, step four.",00:13:15.860,00:13:17.065
Let's see.,00:13:19.700,00:13:20.220
"So here we evaluate the
time per sub-problem.",00:13:20.220,00:13:24.770
"Once you have the recurrence,
that becomes clear.",00:13:24.770,00:13:26.950
"You want to make sure
that's polynomial.",00:13:26.950,00:13:29.130
Often these are the same.,00:13:29.130,00:13:30.450
"And then we add the recursive
memorize or build a DP table.",00:13:33.910,00:13:38.062
I'm not going to write those.,00:13:38.062,00:13:39.270
"We did it for Fibonacci
last time, shortest paths.",00:13:39.270,00:13:41.580
Pretty easy.,00:13:41.580,00:13:43.780
"And in general, what
we need to check here",00:13:43.780,00:13:49.470
"is that the sub problem
recurrence is acyclic.",00:13:49.470,00:13:55.000
"In other words, that it
has a topological order so",00:14:04.750,00:14:08.260
we can use topological sort.,00:14:08.260,00:14:11.400
"We don't actually use
topological algorithm usually.",00:14:11.400,00:14:14.110
You can just think about it.,00:14:14.110,00:14:16.226
"In the case of
Fibonacci numbers,",00:14:16.226,00:14:17.600
"it's clear you want to
start with the smallest one",00:14:17.600,00:14:19.430
and end up with the biggest one.,00:14:19.430,00:14:20.430
"You can't do the reverse,
because then when",00:14:20.430,00:14:22.310
"you're trying to computer the
nth you don't have the ones",00:14:22.310,00:14:24.684
"you need, the n minus
1 and n minus 2.",00:14:24.684,00:14:26.490
"But if you do it in
this order, you always",00:14:26.490,00:14:28.240
"have the one you need by
the time you get there.",00:14:28.240,00:14:30.560
"In general, there's
a DAG there--",00:14:30.560,00:14:33.630
"and for Fibonacci,
it was like this.",00:14:33.630,00:14:40.450
"Every node depends
on the previous",00:14:40.450,00:14:42.080
