text,start,stop
"The following
content is provided",00:00:00.070,00:00:01.780
"under a Creative
Commons license.",00:00:01.780,00:00:04.019
"Your support will help MIT
OpenCourseWare continue",00:00:04.019,00:00:06.870
"to offer high-quality
educational resources for free.",00:00:06.870,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.217
at ocw.mit.edu.,00:00:17.217,00:00:17.842
PROFESSOR: OK.,00:00:20.980,00:00:21.890
Let's start.,00:00:21.890,00:00:24.330
"So last lecture, what we
talked about was limitations",00:00:24.330,00:00:30.470
"of classical
statistical mechanics,",00:00:30.470,00:00:33.280
"and what I will
contrast with what",00:00:33.280,00:00:37.180
"I will talk about today,
which is new version.",00:00:37.180,00:00:41.860
"The old version of
quantum mechanics,",00:00:41.860,00:00:45.320
"which was based on the
observation originally from",00:00:45.320,00:00:48.770
"Planck, and then
expanded by Einstein,",00:00:48.770,00:00:51.680
"that for a harmonic
oscillator, a frequency omega,",00:00:51.680,00:01:01.220
"the energies cannot
take all values.",00:01:01.220,00:01:05.850
"But values that are multiples of
the frequency of the oscillator",00:01:05.850,00:01:11.010
and then some integer n.,00:01:11.010,00:01:13.220
"What we did with
this observation",00:01:17.094,00:01:19.890
"to extract thermal
properties was to simply say",00:01:19.890,00:01:23.820
"that we will
construct a partition",00:01:23.820,00:01:25.600
"function for the
harmonic oscillator",00:01:25.600,00:01:28.870
"by summing over all of the
states of e to the minus beta e",00:01:28.870,00:01:34.382
"n according to the
formula given above.",00:01:34.382,00:01:38.860
"Just thinking that
these are allowed states",00:01:38.860,00:01:44.100
"of this oscillator-- and
this you can very easily do.",00:01:44.100,00:01:50.600
"It starts with the
first term and then",00:01:50.600,00:01:53.660
"it's a algebraic series, which
will give you that formula.",00:01:53.660,00:02:01.930
"Now, if you are sitting
at some temperature t,",00:02:01.930,00:02:06.720
"you say that the
average energy that you",00:02:06.720,00:02:10.990
"have in your system, well,
the formula that you have is",00:02:10.990,00:02:16.090
"minus the log z by the beta,
which if I apply to the z",00:02:16.090,00:02:22.170
"that I have about, essentially
weighs each one of these",00:02:22.170,00:02:27.010
"by these Boltzmann weights
by the corresponding energy",00:02:27.010,00:02:30.170
and sums them.,00:02:30.170,00:02:31.910
"What we do is we get,
essentially, the contribution",00:02:31.910,00:02:36.740
of the ground state.,00:02:36.740,00:02:38.660
"Actually, for all intents and
purposes, we can ignore this,",00:02:38.660,00:02:44.390
"and, hence, this.",00:02:44.390,00:02:45.870
