text,start,stop
"The following content is
provided under a Creative",00:00:00.060,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.236
at ocw.mit.edu.,00:00:17.236,00:00:17.861
SRINIVAS DEVADAS: All right.,00:00:20.364,00:00:21.530
"Good morning, everyone.",00:00:21.530,00:00:23.860
"So more of the same in terms of
cryptography and cryptographic",00:00:23.860,00:00:29.780
"techniques similar
to Tuesday's lecture.",00:00:29.780,00:00:32.750
"So if you liked it,
you'll like this one.",00:00:32.750,00:00:35.430
"If you didn't like
it, well, it's",00:00:35.430,00:00:37.180
"going to be more of
the same, so sorry.",00:00:37.180,00:00:41.020
"But what we're
going to do today is",00:00:41.020,00:00:44.340
"do a couple of things a
little bit differently.",00:00:44.340,00:00:47.840
"We're going to talk
about encryption.",00:00:47.840,00:00:49.760
"So we talked about
hashing, which, of course,",00:00:49.760,00:00:51.660
"you know about from the
use of dictionaries.",00:00:51.660,00:00:55.150
"We haven't really talked about
encryption in 046 or even",00:00:55.150,00:00:58.770
in 006 previously.,00:00:58.770,00:01:02.770
"But we look at two different
kinds of encryption algorithms.",00:01:02.770,00:01:07.940
"We spend a little bit of time
on symmetric key encryption,",00:01:07.940,00:01:11.950
"which is really something that
was used in encoding machines",00:01:11.950,00:01:15.310
"including the enigma from World
War II that you probably saw",00:01:15.310,00:01:21.180
if you saw The Imitation Game.,00:01:21.180,00:01:23.190
"So there you have
a shared secret.",00:01:23.190,00:01:26.410
"And it's that single,
what's called,",00:01:26.410,00:01:28.560
symmetric shared secret.,00:01:28.560,00:01:29.910
Both parties know the secret.,00:01:29.910,00:01:32.320
"And very quickly, we'll
talk about what it means",00:01:32.320,00:01:37.570
to actually exchange a secret.,00:01:37.570,00:01:39.620
"So we'll talk
about key exchange.",00:01:39.620,00:01:41.360
"And then I'll move to
asymmetric key encryption, which",00:01:41.360,00:01:45.350
"I alluded to a
little bit when we",00:01:45.350,00:01:47.240
"talked about digital
signatures last time.",00:01:47.240,00:01:49.520
"I talked about public
keys and private keys.",00:01:49.520,00:01:51.860
"But we're going to
actually look at a couple",00:01:51.860,00:01:53.700
"of different public key
encryption algorithms today.",00:01:53.700,00:01:56.840
"The classical algorithm, the
very first algorithm really",00:01:56.840,00:02:00.650
"that stayed secure,
the RSA algorithm.",00:02:00.650,00:02:04.520
"It stands for Rivest,
Shamir, and Adleman,",00:02:04.520,00:02:07.270
"the initials of the
three inventors,",00:02:07.270,00:02:09.139
"invented at MIT in 1977
and still in use today.",00:02:09.139,00:02:14.990
"And the last part
of today's lecture",00:02:14.990,00:02:17.410
"is going to be
looking at hardness.",00:02:17.410,00:02:21.220
"So in encryption, if you
don't know the secret key,",00:02:21.220,00:02:25.840
"it should be hard
for an adversary",00:02:25.840,00:02:28.830
"to discover what the
message corresponds to.",00:02:28.830,00:02:33.040
"The adversary sees what's
called the cipher text, which",00:02:33.040,00:02:36.040
is the encrypted text.,00:02:36.040,00:02:38.270
"The adversary does not
know the secret key.",00:02:38.270,00:02:40.890
"If he or she knows the
secret key, game over.",00:02:40.890,00:02:43.990
"But assuming that adversary
does not know the secret key,",00:02:43.990,00:02:47.280
"it should be computational hard
to discover the message, right?",00:02:47.280,00:02:51.810
That makes sense.,00:02:51.810,00:02:53.340
"So there's clearly
a relationship",00:02:53.340,00:02:55.510
"between this hardness
and NP-complete problems,",00:02:55.510,00:02:59.840
which are computationally hard.,00:02:59.840,00:03:01.930
"And it's not
surprising that people",00:03:01.930,00:03:04.520
"have tried to build what are
called cryptosystems, which",00:03:04.520,00:03:08.230
"are essentially cryptographic
techniques, based",00:03:08.230,00:03:10.830
"on the hardness of
NP-complete problems,",00:03:10.830,00:03:13.540
"including graph
coloring and knapsack",00:03:13.540,00:03:15.430
and so on and so forth.,00:03:15.430,00:03:16.810
"But it turns out there's
a real subtle difference",00:03:16.810,00:03:21.260
"between the kinds of problems
that have been useful in terms",00:03:21.260,00:03:28.520
