text,start,stop
"The following
content is provided",00:00:00.050,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
"PROFESSOR: Today's
our last lecture",00:00:27.322,00:00:28.780
"on dynamic programming,
the grand finale.",00:00:28.780,00:00:31.270
"And we have a bunch of fun
examples today on piano,",00:00:31.270,00:00:35.550
"guitar, Tetris and
Super Mario Brothers.",00:00:35.550,00:00:39.440
What could be better?,00:00:39.440,00:00:42.090
"We are, again, going to
follow this five-step plan",00:00:42.090,00:00:44.830
"to dynamic programming, define
sub-problems, guess something",00:00:44.830,00:00:48.260
"in order to solve a sub-problem,
write a recurrence that",00:00:48.260,00:00:51.110
"uses that guessing to relate
different sub-problems,",00:00:51.110,00:00:53.920
"then build your dynamic
programming either",00:00:53.920,00:00:56.220
"by just implementing as
a recursive algorithm",00:00:56.220,00:00:58.130
"and memorizing or
building it bottom up.",00:00:58.130,00:01:01.940
"For the first, you need to check
with the recurrence is acyclic.",00:01:01.940,00:01:05.360
"For the second, you need an
actual topological order.",00:01:05.360,00:01:08.020
"These are, of course,
equivalent constraints.",00:01:08.020,00:01:10.880
"Personally, I like to write
down on topological order",00:01:10.880,00:01:13.220
"because that proves to
me that it is acyclic,",00:01:13.220,00:01:15.310
if I think about it.,00:01:15.310,00:01:17.400
But either way is fine.,00:01:17.400,00:01:19.955
"Then we get that the
total running time",00:01:19.955,00:01:21.580
"is number of sub-problems
times time per sub-problems,",00:01:21.580,00:01:24.292
"and then we need to solve
our original problem.",00:01:24.292,00:01:26.250
"Usually it's just one
of the sub-problems,",00:01:26.250,00:01:27.999
"but sometimes we have to
look at a few of them.",00:01:27.999,00:01:31.056
"So that's what
we're going to do.",00:01:31.056,00:01:32.430
"And we have one
new concept today",00:01:32.430,00:01:34.320
"that all these examples
will illustrate,",00:01:34.320,00:01:38.200
"which is a kind of
second kind of guessing.",00:01:38.200,00:01:41.570
"We've talked about
guessing in part two",00:01:41.570,00:01:44.270
"here in which we saw
the obvious thing.",00:01:44.270,00:01:46.620
"In the recurrence, we
usually take the min",00:01:46.620,00:01:48.400
"of a bunch of options or the
max of a bunch of options.",00:01:48.400,00:01:51.830
"And those options correspond
to a guessed feature.",00:01:51.830,00:01:54.744
"We don't know whether
the go left or go right,",00:01:54.744,00:01:56.660
so we try them both.,00:01:56.660,00:01:57.493
That's guessing.,00:01:57.493,00:01:59.000
"But there's another
way to guess.",00:01:59.000,00:02:02.110
So two kinds of guessing.,00:02:02.110,00:02:11.640
So you can do it in step two.,00:02:17.590,00:02:21.377
"Let's see what I have
to say about these.",00:02:21.377,00:02:23.085
"In step two and three,
you are guessing usually",00:02:26.320,00:02:36.270
"which sub-problems
to use in order",00:02:36.270,00:02:38.250
"to solve your
bigger sub-problem.",00:02:38.250,00:02:44.140
"So that's what we've seen
many, many times by now.",00:02:50.470,00:02:52.720
"Every DP that we've covered
except for Fibonacci numbers",00:02:52.720,00:02:55.940
has used this kind of guessing.,00:02:55.940,00:02:58.020
"And it's sort of the most
common, I guess you might say.",00:02:58.020,00:03:00.980
"But there's a higher
level of guessing",00:03:00.980,00:03:03.160
"that you can use, which
we've sort of seen",00:03:03.160,00:03:05.750
"in the knapsack dynamic
programming, dynamic program,",00:03:05.750,00:03:09.200
"which is when you define your
sub-problems, you can add more.",00:03:09.200,00:03:13.680
"Add more sub-problems to
guess or you can think of it",00:03:21.140,00:03:26.350
"as remembering more
features of the solution.",00:03:26.350,00:03:31.315
And we just leave it at that.,00:03:38.820,00:03:40.300
"Essentially what this does--
so remember with knapsack,",00:03:43.240,00:03:49.400
we had a sequence of items.,00:03:49.400,00:03:50.950
They had values and sizes.,00:03:50.950,00:03:54.460
"And we had some target
knapsack, some capacity.",00:03:54.460,00:03:57.115
"We wanted to pack those
items into that knapsack.",00:03:57.115,00:03:59.340
"And the obvious sub-problems
were suffixes of the items.",00:03:59.340,00:04:02.370
"Because we always know
suffixes, prefixes, substrings,",00:04:02.370,00:04:04.620
"those are the obvious
things to try.",00:04:04.620,00:04:06.370
"But suffixes wasn't
quite enough.",00:04:06.370,00:04:07.970
"Because if we
looked at a suffix,",00:04:07.970,00:04:09.630
"we didn't know of
the prefix that we've",00:04:09.630,00:04:12.290
"skipped over how
many of those items",00:04:12.290,00:04:14.251
"were in-- and in particular,
how much of the capacity",00:04:14.251,00:04:16.459
we'd used up.,00:04:16.459,00:04:17.722
"And so we needed to
add more sub-problems",00:04:17.722,00:04:19.430
"to remember how much capacity
had we used up in the prefix.",00:04:19.430,00:04:23.440
"We did that by multiplying
every sub-problem",00:04:23.440,00:04:25.610
"by s different choices, which is
how many units of the knapsack",00:04:25.610,00:04:32.190
still remain.,00:04:32.190,00:04:34.234
"So in some sense,
we're remembering more",00:04:34.234,00:04:35.900
about the prefix.,00:04:35.900,00:04:37.460
"You can also think of it as--
in the more forward direction,",00:04:37.460,00:04:41.110
we have the suffix problem.,00:04:41.110,00:04:42.480
"I'm going to solve
it s different times,",00:04:42.480,00:04:44.420
or s plus 1 different times.,00:04:44.420,00:04:45.664
I'm going to solve it.,00:04:45.664,00:04:46.580
What if I had a big knapsack?,00:04:46.580,00:04:47.816
"What if I had a
smaller knapsack?",00:04:47.816,00:04:49.190
"What if I had a
zero-size knapsack?",00:04:49.190,00:04:50.780
"All of those different
versions of the problem.",00:04:50.780,00:04:53.130
"In some sense, you were
solving more sub-problems.",00:04:53.130,00:04:57.270
"You're, in some, sense
finding more solutions",00:04:57.270,00:04:59.330
to that sub-problem.,00:04:59.330,00:05:00.286
You're looking at a suffix.,00:05:00.286,00:05:01.410
"And I want to know all these
different solutions that",00:05:01.410,00:05:04.750
"use different amounts
of the knapsack.",00:05:04.750,00:05:07.619
"So in that sense, you're just
adding more sub-problems.",00:05:07.619,00:05:09.910
"But from a guessing
perspective, you're",00:05:09.910,00:05:11.534
remembering more about the past.,00:05:11.534,00:05:12.980
"We're going to see a bunch of
examples of this type today.",00:05:12.980,00:05:16.220
"We'll always use
this type, but we'll",00:05:16.220,00:05:18.780
"see more of this where the
obvious sub-problems don't work",00:05:18.780,00:05:23.230
and we need to add more.,00:05:23.230,00:05:25.940
"So the first example is
piano and guitar fingering.",00:05:25.940,00:05:33.080
"This is a practical problem for
any musicians in the audience.",00:05:38.030,00:05:42.940
"How many people here play
piano, or have played piano?",00:05:42.940,00:05:45.770
"OK, about a quarter.",00:05:45.770,00:05:46.740
"How many people
have played guitar?",00:05:46.740,00:05:49.740
"A few, all right.",00:05:49.740,00:05:51.560
I brought my guitar.,00:05:51.560,00:05:52.480
"I've been learning
this semester.",00:05:52.480,00:05:53.855
"I'm not very good yet,
but we'll fool around",00:05:53.855,00:05:56.320
with it a little bit.,00:05:56.320,00:05:58.010
"So the general idea is you're
given some musical piece",00:05:58.010,00:06:03.553
that you want to play.,00:06:03.553,00:06:05.810
"And on a piano, there's
a bunch of keys.",00:06:05.810,00:06:07.870
"You have all these
keyboards, so you",00:06:07.870,00:06:09.480
"know what a piano looks
like, more or less.",00:06:09.480,00:06:11.045
"It's just like a
keyboard, but only row.",00:06:11.045,00:06:12.711
It's crazy.,00:06:12.711,00:06:13.470
"Each key that you
press makes a note,",00:06:16.910,00:06:18.930
"and every key has
a different note.",00:06:18.930,00:06:20.800
"So it's very simple from
a computer scientist's",00:06:20.800,00:06:23.900
perspective.,00:06:23.900,00:06:24.480
"You want to play a
note, you push the key.",00:06:24.480,00:06:26.229
"But you could push it with
any one of these fingers.",00:06:26.229,00:06:29.630
Humans have 10 fingers.,00:06:29.630,00:06:30.840
Most humans.,00:06:30.840,00:06:31.940
I guess a few have more.,00:06:31.940,00:06:33.560
"But you want to know,
which finger should I",00:06:33.560,00:06:37.800
use to play each note?,00:06:37.800,00:06:39.340
It may not seem like a big deal.,00:06:39.340,00:06:40.680
"And if you're only playing
one note, it's not a big deal.",00:06:40.680,00:06:43.140
"But if you're going to play
a long sequence of notes,",00:06:43.140,00:06:46.250
"some transitions are
easier than others.",00:06:46.250,00:06:48.760
"So let's say we're given
a sequence of n notes",00:06:48.760,00:06:55.620
we want to play.,00:06:55.620,00:06:58.470
"And we want to find a
fingering for each note.",00:06:58.470,00:07:07.060
"So fingering, so let's
say there are-- I'm",00:07:12.100,00:07:15.780
"going to label the fingers
on your hand, 1 up to f.",00:07:15.780,00:07:21.540
"For humans, f is
5 or 10, depending",00:07:21.540,00:07:24.820
"on if you're doing one
hand or two hand stuff.",00:07:24.820,00:07:27.480
"I think to keep it simple, let's
think about piano, right hand",00:07:27.480,00:07:33.040
"only, and just you're playing
one note at the time, OK?",00:07:33.040,00:07:36.320
"We're going to make it
more complicated later.",00:07:36.320,00:07:38.320
"But let's just think of a
note as being a single note.",00:07:38.320,00:07:41.470
"OK, or you can think of
guitar, single note, left hand",00:07:44.816,00:07:48.710
is playing things.,00:07:48.710,00:07:50.590
"You want to assign one of
these fingers to each node.",00:07:50.590,00:07:54.160
"And then you have a
difficulty measure, d.",00:07:54.160,00:08:04.870
"And this you need to
think about for awhile",00:08:04.870,00:08:06.850
"musically, or anatomically,
how to define.",00:08:06.850,00:08:12.620
"If we have some note p
and we're on finger f",00:08:12.620,00:08:16.380
"and we want to transition
to note q using figure g,",00:08:16.380,00:08:20.980
how hard is that?,00:08:20.980,00:08:23.410
"So this is-- the p and
q are notes to play.",00:08:23.410,00:08:28.280
I guess p stands for pitch.,00:08:28.280,00:08:30.730
And f and g are fingers.,00:08:30.730,00:08:34.400
"So this is how hard is it
to transition from f on p",00:08:34.400,00:08:39.340
to g on q.,00:08:39.340,00:08:40.470
"There's a huge
literature on for piano.",00:08:43.580,00:08:47.960
"There are a lot of
rules like, well,",00:08:47.960,00:08:51.350
"if p is much smaller than
q, unless they're stretched,",00:08:51.350,00:08:55.420
then that becomes hard.,00:08:55.420,00:08:58.370
"And if you want to
stretch, you probably",00:08:58.370,00:09:00.520
"need to use fingers that are
far away from each other.",00:09:00.520,00:09:04.230
"If your playing legato-- so you
have to smoothly go from one",00:09:04.230,00:09:07.460
"note the other-- you can't use
the same finger on both keys.",00:09:07.460,00:09:10.150
"So if f equals g and
you're playing legato,",00:09:10.150,00:09:13.950
"then p better be the
same as q sort of thing.",00:09:13.950,00:09:17.680
There's a weak finger rule.,00:09:20.166,00:09:21.290
"You tend to avoid fingers
four and five, these two.",00:09:21.290,00:09:25.730
"Apparently going from-- I'm
not much of a pianist-- so",00:09:25.730,00:09:29.120
"going from between
three and four,",00:09:29.120,00:09:31.547
"which I can barely hold them
up, it's kind of difficult,",00:09:31.547,00:09:33.880
"is ""annoying.""",00:09:33.880,00:09:34.975
That's what I wrote down.,00:09:34.975,00:09:36.880
"So between three and four
transitions you try and avoid.",00:09:36.880,00:09:40.170
"And so you can encode
into this function.",00:09:40.170,00:09:42.210
It's a giant table.,00:09:42.210,00:09:43.190
"You can just put
in whatever values",00:09:43.190,00:09:44.720
"you want that you're
most comfortable with.",00:09:44.720,00:09:46.690
"And music theorists
work a lot on trying",00:09:46.690,00:09:48.940
to define these function so.,00:09:48.940,00:09:51.735
So you can do that.,00:09:51.735,00:09:53.880
"And for guitar, maybe I
should do a little example.",00:09:53.880,00:09:58.736
Get this out.,00:09:58.736,00:10:01.770
"I can't play much,
so bear with me.",00:10:01.770,00:10:04.605
"Bet you didn't think
this would happen in 006.",00:10:07.984,00:10:09.900
[LAUGHTER],00:10:09.900,00:10:12.220
So let's see.,00:10:12.220,00:10:15.100
"So let's say you're trying
to play your favorite song.",00:10:15.100,00:10:17.670
"[STRUMS ""SUPER MARIO BROTHERS""
 THEME]",00:10:17.670,00:10:20.484
[LAUGHTER],00:10:20.484,00:10:22.360
OK.,00:10:22.360,00:10:23.300
"So when I'm playing that, I have
to think about the fingering.",00:10:23.300,00:10:26.530
"Which finger is going to
go where to play each note?",00:10:26.530,00:10:29.060
"OK, so the first notes
are actually open,",00:10:29.060,00:10:31.920
so it's really easy.,00:10:31.920,00:10:33.230
"And then I go up to holding the
first fret on the fifth string.",00:10:33.230,00:10:40.730
"OK, and I'm using my index
finger because everyone",00:10:40.730,00:10:43.840
loves to use their index finger.,00:10:43.840,00:10:45.230
"And in particular because
the very next note",00:10:45.230,00:10:48.010
"I'm going to play-- well,
actually it's down here.",00:10:48.010,00:10:50.720
"Then the next note is
going to be this one.",00:10:50.720,00:10:53.640
"So I'm holding on the third
fret of the bottom string.",00:10:53.640,00:10:57.860
"And then I've got to
transition over here.",00:10:57.860,00:10:59.770
"And actually, usually I do
it with my middle finger.",00:10:59.770,00:11:02.370
"I don't know quite why I
find that easier, but I do.",00:11:02.370,00:11:05.553
"OK, and so I've actually
played that opening a zillion",00:11:05.553,00:11:09.731
"times with lots of
different things.",00:11:09.731,00:11:11.230
"This is the one I found to
be the most comfortable.",00:11:11.230,00:11:13.355
"And there's this issue, right?",00:11:13.355,00:11:14.604
"If your pinky is here, where
can I reach with this finger?",00:11:14.604,00:11:17.150
"Where can I reach
with this finger?",00:11:17.150,00:11:19.690
It gets difficult.,00:11:19.690,00:11:20.444
"And in particular,
it's very hard for me",00:11:20.444,00:11:22.110
"to reach down here
when my pink is there.",00:11:22.110,00:11:25.440
"And so you can encode
that in this d function",00:11:25.440,00:11:28.440
however you want.,00:11:28.440,00:11:30.410
You get the idea.,00:11:30.410,00:11:33.038
[APPLAUSE],00:11:33.038,00:11:35.930
Thanks.,00:11:35.930,00:11:37.499
"I'll skip to our lessons.
[? We're ?] [? worth ?]",00:11:37.499,00:11:39.540
"[? it. ?] So let's solve this
with dynamic programming, OK?",00:11:39.540,00:11:46.350
That's the cool thing.,00:11:46.350,00:11:47.420
So we can do it.,00:11:47.420,00:11:49.710
"And we follow our
five step procedure.",00:11:49.710,00:11:54.450
"So the first thing is
to define sub-problems.",00:11:54.450,00:11:56.340
"What are the sub-problems
for a set-up like this?",00:11:56.340,00:11:59.530
"What are the three
obvious candidates?",00:12:04.710,00:12:06.370
Do you remember last lecture?,00:12:20.990,00:12:22.400
How many people know the answer?,00:12:27.367,00:12:28.700
Just checking.,00:12:28.700,00:12:29.283
One person.,00:12:32.544,00:12:34.432
Go for it.,00:12:34.432,00:12:35.376
"AUDIENCE: Prefixes,
suffixes, and substrings.",00:12:35.376,00:12:37.262
PROFESSOR: Right.,00:12:37.262,00:12:37.970
"Prefixes, suffixes,
and substrings.",00:12:37.970,00:12:39.428
We have a sequence of notes.,00:12:39.428,00:12:40.595
"We're not going to worry
about the sequence of fingers.",00:12:40.595,00:12:42.886
"I don't think that's
too big a deal.",00:12:42.886,00:12:44.530
That's what we're finding.,00:12:44.530,00:12:45.800
"What we're given is
a sequence of notes,",00:12:45.800,00:12:48.030
"so we should try suffixes,
prefixes, or substrings.",00:12:48.030,00:12:50.530
"I'll just tell you,
suffixes are fine.",00:12:50.530,00:12:54.318
Kind of.,00:12:54.318,00:12:55.690
"So a sub-problem
will be suffixes,",00:12:55.690,00:13:01.500
"so how to play notes
from i onwards.",00:13:01.500,00:13:10.440
"Intuitively, we
want to figure out,",00:13:10.440,00:13:12.120
"how should we play
the first note?",00:13:12.120,00:13:13.782
"And then we go on to the
second note and so on.",00:13:13.782,00:13:15.740
"So we're applying
them one by one",00:13:15.740,00:13:17.770
"from left to right
from the prefix side.",00:13:17.770,00:13:19.930
"And so we'll always
be left with a suffix.",00:13:19.930,00:13:22.040
"OK, then we need
to guess something.",00:13:24.940,00:13:28.340
"What's the obvious
thing to guess,",00:13:28.340,00:13:30.510
"given I need to
play notes i onward?",00:13:30.510,00:13:32.390
Think little harder.,00:13:36.315,00:13:38.939
"This one you shouldn't
have to think.",00:13:38.939,00:13:40.480
That's what I tell you.,00:13:40.480,00:13:43.080
"Try suffixes, try
prefixes, try substrings.",00:13:43.080,00:13:45.195
Yeah?,00:13:55.121,00:13:55.621
"AUDIENCE: Maybe which
finger to just put around i?",00:13:55.621,00:13:58.050
"PROFESSOR: Yeah, which we're
going to use for note i.",00:13:58.050,00:14:00.330
"Our whole point is
to assign fingering.",00:14:00.330,00:14:02.555
The first note here is i.,00:14:02.555,00:14:03.850
"So let's think about i,
what could you do for i?",00:14:03.850,00:14:06.090
We'll try all the possibilities.,00:14:06.090,00:14:07.960
Which finger to use for note i?,00:14:07.960,00:14:14.660
"OK, now the really hard part--
because it's impossible--",00:14:19.460,00:14:22.680
is to write a recurrence.,00:14:22.680,00:14:23.960
"This is wrong, by the way, but
it's the first thing to try.",00:14:23.960,00:14:28.936
"So this is what
I want to ask you",00:14:28.936,00:14:30.310
to do because it's not possible.,00:14:30.310,00:14:31.980
"But intuitively, what
we might try to do",00:14:31.980,00:14:34.060
"is we're trying
to solve DP for i.",00:14:34.060,00:14:37.930
"And we want to find--
this is difficulty,",00:14:37.930,00:14:40.110
"so you want to
minimize difficulty.",00:14:40.110,00:14:42.450
"So we'll take a min
over all of our guesses",00:14:42.450,00:14:45.550
"of what it would take to
solve the rest of the notes,",00:14:45.550,00:14:50.730
"to play the rest of the
notes, plus somehow the cost",00:14:50.730,00:14:53.720
of playing the first note.,00:14:53.720,00:14:56.640
"So what's the cost of
playing the first note?",00:14:56.640,00:14:59.750
"And then is going to be
a for loop over fingers.",00:14:59.750,00:15:01.770
"OK, that's going to be the min.",00:15:05.649,00:15:06.940
"We want to try all possible
fingers for note i.",00:15:06.940,00:15:11.700
"Then we have to play
all the remaining notes.",00:15:11.700,00:15:13.700
"And then there's
this transition cost",00:15:13.700,00:15:15.241
"where you're going from
note i to i plus 1.",00:15:15.241,00:15:17.300
"So it's going to
be something like d",00:15:17.300,00:15:19.470
"of if-- we know that we use
finger f to play i-- then",00:15:19.470,00:15:23.010
