text,start,stop
"NARRATOR: The following content
is provided under a Creative",00:00:00.090,00:00:02.590
Commons license.,00:00:02.590,00:00:04.059
"Your support will help
MIT OpenCourseWare",00:00:04.059,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.350
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.350,00:00:17.310
at ocw.mit.edu.,00:00:17.310,00:00:18.450
ERIK DEMAINE: Yeah.,00:00:25.719,00:00:26.510
"I'm going to talk
about I/O models.",00:00:26.510,00:00:28.340
"Just to get a sense,
how many people",00:00:28.340,00:00:29.840
know a model called I/O model?,00:00:29.840,00:00:33.510
And how many people don't?,00:00:33.510,00:00:35.851
It doesn't matter.,00:00:35.851,00:00:36.600
I'm just curious.,00:00:36.600,00:00:38.990
"As some of you may
know, I/O models",00:00:38.990,00:00:41.210
have a really rich history.,00:00:41.210,00:00:42.440
And they're pretty fascinating.,00:00:42.440,00:00:44.030
"They are all central to this
problem of modeling the memory",00:00:44.030,00:00:48.770
hierarchy in a computer.,00:00:48.770,00:00:50.210
"We have things like RAM
model of computation",00:00:50.210,00:00:52.970
"where you can access anything at
the same price in your memory.",00:00:52.970,00:00:56.390
"But the reality of
computers is you",00:00:56.390,00:00:58.040
"have things that are
very close to you that",00:00:58.040,00:01:00.200
"are very cheap to
access, and you",00:01:00.200,00:01:02.030
"have things that are very
far from you that are big.",00:01:02.030,00:01:05.630
"You can get 3 terabyte
disks these days,",00:01:05.630,00:01:08.090
but are very slow to access.,00:01:08.090,00:01:10.880
"And one of the big
costs there is latency.",00:01:10.880,00:01:13.010
"Because here, the head has to
move to the right position,",00:01:13.010,00:01:17.000
"and then you can read
lots of data really fast.",00:01:17.000,00:01:19.820
"The disk actually can
give you data very fast,",00:01:19.820,00:01:22.460
"but the hard part is getting
started in reading stuff.",00:01:22.460,00:01:26.167
"And so this is the sort
of thing we want to model.",00:01:26.167,00:01:28.250
"These kinds of computers
have been around for decades,",00:01:28.250,00:01:31.190
as we'll see.,00:01:31.190,00:01:31.820
"And people have been
trying to model them",00:01:31.820,00:01:33.528
"in as clean a way as possible
that works well theoretically",00:01:33.528,00:01:36.050
"and matches practice
in some ways.",00:01:36.050,00:01:39.920
"I have just some fun
additions to this slide.",00:01:39.920,00:01:41.795
"You can keep getting
bigger, go to the internet,",00:01:41.795,00:01:44.120
get to an exa- or a zettabyte.,00:01:44.120,00:01:45.910
"You have to look up all
the words for these.",00:01:45.910,00:01:48.620
"In the universe,
you've got about 10",00:01:48.620,00:01:50.180
"to the 83 atoms, so maybe
roughly that many bits.",00:01:50.180,00:01:54.250
"But I don't know if
there's a letter for them.",00:01:54.250,00:01:57.570
So how do we model this?,00:01:57.570,00:02:00.140
"Well, there's a lot of models.",00:02:00.140,00:02:01.410
This is a partial list.,00:02:01.410,00:02:02.620
"These are sort of the core
models that were around,",00:02:02.620,00:02:05.950
"let's say, since
this millennium.",00:02:05.950,00:02:10.280
"So we start in 1972 and
work our way forward.",00:02:10.280,00:02:13.820
"And I'm going to go
through all of these",00:02:13.820,00:02:15.500
in different levels of detail.,00:02:15.500,00:02:18.030
"There's a couple of
key features in a cache",00:02:18.030,00:02:20.270
"that we want to model or
maybe a few key features.",00:02:20.270,00:02:23.467
"And then there's some
measure of simplicity, which",00:02:23.467,00:02:25.550
is a little hard to define.,00:02:25.550,00:02:26.674
"The goal is to get all four
of these things at once.",00:02:29.390,00:02:32.690
"And we get that more
or less by the end.",00:02:32.690,00:02:36.750
"So first section is on this
idealized two-level storage,",00:02:36.750,00:02:40.545
"which was introduced
by Bob Floyd in 1972.",00:02:40.545,00:02:44.930
"This is what the first page
of the paper looks like.",00:02:44.930,00:02:48.220
"It's probably typeset
on a typewriter",00:02:48.220,00:02:51.200
"it looks like and underline,
good old days of computer",00:02:51.200,00:02:54.560
"science, very early days
of computer science.",00:02:54.560,00:02:57.740
"And this was published
in a conference",00:02:57.740,00:03:00.470
"called The Complexity of
Computer Computations.",00:03:00.470,00:03:02.720
"How many people have
heard of that conference?",00:03:02.720,00:03:06.001
No one.,00:03:06.001,00:03:06.500
Wow.,00:03:06.500,00:03:06.999
There it is.,00:03:06.999,00:03:07.880
"It's a kind of a
classic, because it",00:03:07.880,00:03:09.380
"had Karp's original
paper on NP-completeness.",00:03:09.380,00:03:11.870
"So you've definitely
read this paper.",00:03:11.870,00:03:14.220
"But there are a lot of
neat papers in there",00:03:14.220,00:03:16.884
"and a panel discussion including
what should we call algorithms,",00:03:16.884,00:03:19.550
which is kind of a fun read.,00:03:19.550,00:03:21.830
"So this is in the day when
one of the state of the art",00:03:21.830,00:03:25.190
computers was the PDP-11.,00:03:25.190,00:03:27.650
"This is what PDP-11,
or one of them,",00:03:27.650,00:03:30.770
"looks like by probably
owned by Bell Labs.",00:03:30.770,00:03:34.850
"But Dennis Ritchie
and Ken Thompson's",00:03:34.850,00:03:36.710
"the inventors of C and
Unix, working away there.",00:03:36.710,00:03:39.590
"It has disks, each of which is
about 2 megabytes in capacity.",00:03:39.590,00:03:45.860
"And it has internal memory which
was core memory at the time.",00:03:45.860,00:03:50.040
"So each of these is a little
circular magnetic core.",00:03:50.040,00:03:53.360
And it stores 1 bit.,00:03:53.360,00:03:55.010
"And in total, there
are 8 kilobytes.",00:03:55.010,00:03:56.930
"So you get a sense of
already this being an issue.",00:03:56.930,00:04:01.220
