text,start,stop
"The following content is
provided under a Creative",00:00:00.530,00:00:02.960
Commons license.,00:00:02.960,00:00:04.370
"Your support will help MIT
OpenCourseWare continue to",00:00:04.370,00:00:07.410
"offer high quality educational
resources for free.",00:00:07.410,00:00:11.060
"To make a donation or view
additional materials from",00:00:11.060,00:00:13.960
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.960,00:00:17.890
ocw.mit.edu,00:00:17.890,00:00:23.400
"PROFESSOR: OK, we have
a busy day today,",00:00:23.400,00:00:25.290
so let's get started.,00:00:25.290,00:00:26.540
"Want to go through Chernoff
bounds and the Wald identity,",00:00:32.580,00:00:36.310
"which are closely related, as
you'll see, and that involves",00:00:36.310,00:00:42.770
"coming back to the TG1Q a little
bit and making use of",00:00:42.770,00:00:47.220
what we did for that.,00:00:47.220,00:00:49.290
"It also means coming
back to hypothesis",00:00:49.290,00:00:54.320
testing and using that.,00:00:54.320,00:00:57.140
"Would probably have been better
to start out with",00:00:57.140,00:00:59.100
"Wald's identity and the Chernoff
bound and then do the",00:00:59.100,00:01:04.319
"applications when it was at
the natural time for them.",00:01:04.319,00:01:08.620
"But anyway, this is the way it
is this time, and next time",00:01:08.620,00:01:12.730
"we'll probably do
it differently.",00:01:12.730,00:01:14.080
"Suppose you have a random
variable z.",00:01:16.610,00:01:19.580
"It has a moment generating
function.",00:01:19.580,00:01:21.520
"Remember, not all random
variables have moment",00:01:21.520,00:01:24.200
generating functions.,00:01:24.200,00:01:25.250
"It's a pretty strong
restriction.",00:01:25.250,00:01:27.810
You need a variance.,00:01:27.810,00:01:28.970
"You need moments
of all orders.",00:01:28.970,00:01:31.570
"You need all sorts of things,
s but we'll assume it exists",00:01:31.570,00:01:35.100
"in some region between
r and r plus.",00:01:35.100,00:01:41.010
"There's always a question,
with moment generating",00:01:41.010,00:01:43.310
"functions, if they exist up
to some maximum value of r",00:01:43.310,00:01:49.240
"because some of them exist at
that value of r and then",00:01:49.240,00:01:53.490
"disappear immediately after
that, and others just sort of",00:01:53.490,00:01:59.650
"peter away as r approaches
r plus from below.",00:01:59.650,00:02:08.210
"I think in the homework this
week, you have an example of",00:02:08.210,00:02:10.750
both of those.,00:02:10.750,00:02:12.030
"I mean, it's a very
simple issue.",00:02:12.030,00:02:13.900
"If you have an exponential
distribution, then as r",00:02:13.900,00:02:18.000
"approaches, the rate of that
exponential distribution,",00:02:18.000,00:02:23.900
"obviously, the moment generating
function blows up",00:02:23.900,00:02:26.620
"because you're taking e to the
minus lambda x, and you're",00:02:26.620,00:02:30.700
multiplying it by a the r x.,00:02:30.700,00:02:33.390
"And when r is equal to lambda,
bingo, you're integrating 1",00:02:33.390,00:02:39.280
"over an infinite range, so
you've got infinity.",00:02:39.280,00:02:42.290
"If you multiply that exponential
by something which",00:02:42.290,00:02:46.150
"makes the integral finite when
you set r equal to lambda,",00:02:46.150,00:02:52.360
"then of course, you have
something which",00:02:52.360,00:02:53.900
is finite at r star.,00:02:53.900,00:02:57.460
"That is a big pain
in the neck.",00:02:57.460,00:02:59.450
It's usually not important.,00:02:59.450,00:03:01.570
"The notes deal with it very
carefully, so we're not going",00:03:01.570,00:03:06.240
to deal with it here.,00:03:06.240,00:03:07.100
"We will just assume here that
we're talking about r less",00:03:07.100,00:03:11.210
"than r plus and not worry about
that special case, which",00:03:11.210,00:03:16.040
"usually is not all
that important.",00:03:16.040,00:03:17.690
"But sometimes you have
to worry about it.",00:03:17.690,00:03:19.940
"OK, the Chernoff bound says
that the probability that",00:03:19.940,00:03:23.610
"random variable is greater than
or equal to alpha is less",00:03:23.610,00:03:28.140
"than or equal to the moment
generating function evaluated",00:03:28.140,00:03:32.060
