text,start,stop
"The following
content is provided",00:00:00.080,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.226
at ocw.mit.edu.,00:00:17.226,00:00:17.851
"PROFESSOR: Today, we are going
to do computational complexity.",00:00:22.720,00:00:26.270
"This is rather different
from every other thing",00:00:26.270,00:00:28.989
we've seen in this class.,00:00:28.989,00:00:30.030
"This class is basically about
polynomial time algorithms",00:00:32.729,00:00:36.120
"and problems where we
can solve your problem",00:00:36.120,00:00:38.580
in polynomial time.,00:00:38.580,00:00:40.290
"And today, it's about
when you can't do that.",00:00:40.290,00:00:43.130
"Sometimes, we can prove
you can't do that.",00:00:43.130,00:00:44.880
"Sometimes, we're pretty
sure you can't do that.",00:00:44.880,00:00:47.020
"But it's all about
negative results",00:00:47.020,00:00:49.140
"when your problems
are really complex.",00:00:49.140,00:00:52.850
"And there's a lot
of fun topics, here.",00:00:52.850,00:00:55.040
"This is the topic of
entire classes, like 6045.",00:00:55.040,00:00:59.280
"We're just going to get
a 1 hour flavor of it.",00:00:59.280,00:01:02.950
"So think of it as
a high level intro.",00:01:02.950,00:01:04.519
"But we're going to prove real
theorems and do real things",00:01:04.519,00:01:06.893
"and you'll get a sense
of how all this works.",00:01:06.893,00:01:09.580
"So I'm going to start out with
three complexity classes--",00:01:09.580,00:01:13.680
"P, EXP, and R. How many
people know what P is?",00:01:13.680,00:01:21.390
And it is?,00:01:21.390,00:01:23.760
Polynomial time.,00:01:23.760,00:01:25.990
"More precisely, it's
the set of all problems",00:01:25.990,00:01:28.510
"you can solve in
polynomial time.",00:01:28.510,00:01:30.060
"This is what the
class is all about.",00:01:35.590,00:01:37.090
"Almost every
problem we have seen",00:01:39.736,00:01:41.110
"in this class-- there's
one exception-- is",00:01:41.110,00:01:44.410
"in P. Does anyone
know the exception?",00:01:44.410,00:01:48.960
It's a good puzzle for you.,00:01:48.960,00:01:51.150
Not NP.,00:01:51.150,00:01:51.940
What's next?,00:01:51.940,00:01:52.440
EXP.,00:01:52.440,00:01:55.120
"How many people
know what EXP is?",00:01:55.120,00:01:56.660
Or you can guess.,00:01:56.660,00:01:58.810
Any guesses?,00:01:58.810,00:02:00.400
Exponential.,00:02:00.400,00:02:01.569
"These are all the problems you
can solve in exponential time.",00:02:01.569,00:02:04.110
"If you want to be formal
about it, in this case,",00:02:21.190,00:02:23.210
"exponential means 2 to
the n to some constant.",00:02:23.210,00:02:29.200
"So not just 2 the n, but also
2 to the n squared, 2 to the n",00:02:29.200,00:02:31.700
cubed.,00:02:31.700,00:02:32.199
"Those are all
considered-- exponential",00:02:32.199,00:02:34.350
"and a polynomial is
considered in the class EXP.",00:02:34.350,00:02:38.050
"Now, basically, almost every
problem you can dream of you",00:02:38.050,00:02:42.010
can solve in EXP.,00:02:42.010,00:02:43.170
"Exponential time
is so much time.",00:02:43.170,00:02:45.370
"And this class has always
been about taking things that",00:02:45.370,00:02:47.705
"are obviously in EXP and showing
that they're actually in P.",00:02:47.705,00:02:51.460
"So if you want to
draw a picture,",00:02:51.460,00:02:53.120
"you could say, OK,
here's all the problems",00:02:53.120,00:02:54.870
we can solve in polynomial time.,00:02:54.870,00:02:57.070
"Here's all the problems we
can solve in exponential time.",00:02:57.070,00:03:00.287
And there are problems out here.,00:03:00.287,00:03:01.620
These are different classes.,00:03:01.620,00:03:03.390
"And we want to sort
of bring things",00:03:03.390,00:03:06.070
into here as much as possible.,00:03:06.070,00:03:09.620
"I actually want to
draw this picture",00:03:09.620,00:03:11.940
"in a different way, which
is as a horizontal line.",00:03:11.940,00:03:16.050
So an axis.,00:03:20.760,00:03:21.715
"I'm going to call this
computational difficulty.",00:03:24.860,00:03:27.949
"You could call it
computational complexity,",00:03:27.949,00:03:29.740
"but that's a bit of
a loaded term that",00:03:29.740,00:03:30.930
actually has formal meaning.,00:03:30.930,00:03:32.470
Difficulty is nice and vague.,00:03:32.470,00:03:34.000
"So I can draw an
abstract picture.",00:03:34.000,00:03:36.040
"This is not a true
diagram, but it's",00:03:36.040,00:03:38.460
"a very good guideline
of what's going on.",00:03:38.460,00:03:40.770
"So we have-- I'm going to draw--
I believe-- three notches.",00:03:40.770,00:03:46.905
"No, eventually four, so let
me give myself some room.",00:03:50.200,00:03:52.770
"We have over here, the
easy problems are P. Then,",00:03:56.480,00:04:01.920
"we have these problems,
which are EXP.",00:04:01.920,00:04:05.180
"We're going to fill in
something in the middle.",00:04:05.180,00:04:08.930
"And then this is
something called R.",00:04:08.930,00:04:11.910
"So you've got P is
everything, here.",00:04:11.910,00:04:13.410
"EXP is all the way out to
here, in some abstract view.",00:04:13.410,00:04:19.140
"The next thing is R. How
many people know what R is?",00:04:19.140,00:04:23.290
