text,start,stop
"The following content is
provided under a Creative",00:00:00.120,00:00:02.460
Commons license.,00:00:02.460,00:00:03.880
"Your support will help
MIT OpenCourseWare",00:00:03.880,00:00:06.090
"continue to offer high quality
educational resources for free.",00:00:06.090,00:00:10.180
"To make a donation or to
view additional materials",00:00:10.180,00:00:12.720
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.720,00:00:16.680
at oct.mit.edu.,00:00:16.680,00:00:17.880
PHILIPPE RIGOLLET: All right.,00:00:32.680,00:00:34.120
"So let's continue talking about
maximum likelihood estimation",00:00:34.120,00:00:41.180
"in the context of generalized
linear models, all right?",00:00:41.180,00:00:43.640
"So in those generalized
linear models,",00:00:43.640,00:00:45.570
"what we spent most of the
past lectures working on",00:00:45.570,00:00:49.730
"is the conditional
distribution of Y given",00:00:49.730,00:00:55.680
"X. And we're going
to assume that this",00:00:55.680,00:00:59.940
"follows some distribution
in the exponential family.",00:00:59.940,00:01:08.990
OK.,00:01:12.861,00:01:13.360
"And so what it means is that if
we look at the density, say--",00:01:13.360,00:01:18.170
"or the PMF, but let's
talk about density",00:01:18.170,00:01:21.970
to make things clearer--,00:01:21.970,00:01:23.440
"we're going to assume that
Y given X has distribution.",00:01:23.440,00:01:29.020
"So X is now fixed, because
we're conditioning on it.",00:01:29.020,00:01:31.860
"And it has a density, which
is of this form, c of Yi phi.",00:01:31.860,00:01:50.240
OK.,00:01:50.240,00:01:50.740
"So this c, again, we don't
really need to think about it.",00:01:50.740,00:01:53.290
"This is something that's
going to come up naturally",00:01:53.290,00:01:55.415
"as soon as you need
normalization factor.",00:01:55.415,00:01:58.690
"And so here what it means, if
this is the distribution of Y",00:01:58.690,00:02:02.710
"given Xi, so that's
the density of Yi",00:02:02.710,00:02:08.080
given Xi is equal to little xi.,00:02:08.080,00:02:11.830
"So if it's the conditional
distribution of Yi given Xi,",00:02:11.830,00:02:15.760
it should depend on xi somehow.,00:02:15.760,00:02:18.040
"And it does not appear
to depend on Xi.",00:02:18.040,00:02:20.980
"And here, the model is going
to be on theta i, which is just",00:02:20.980,00:02:26.640
"a function, theta i of Xi.",00:02:26.640,00:02:29.137
"And we're going to take
a very specific one.",00:02:29.137,00:02:30.970
"It's going to be a function
of a linear form of the Xi.",00:02:30.970,00:02:38.430
"So really we're going to take
something which is of the form",00:02:38.430,00:02:40.930
"theta I, which is really
just-- as theta does not depend",00:02:40.930,00:02:43.270
on Xi--,00:02:43.270,00:02:44.080
of Xi transposed from beta.,00:02:44.080,00:02:47.310
OK?,00:02:47.310,00:02:47.980
"So all these parts here,
this is really some modeling",00:02:47.980,00:02:50.800
"assumptions that we're
making once we've agreed",00:02:50.800,00:02:54.140
on what distribution we want.,00:02:54.140,00:02:55.740
OK.,00:02:55.740,00:02:56.240
"So to do that, our
goal, of course,",00:02:56.240,00:02:58.730
"is going to try to
understand what this beta is.",00:02:58.730,00:03:01.010
There's one beta here.,00:03:01.010,00:03:02.810
"What's important is that this
beta does not depend on i.",00:03:02.810,00:03:12.660
"So if they observe
pairs Xi, Yi--",00:03:12.660,00:03:17.480
"let's say I observe n of
them, i equals 1 to n--",00:03:17.480,00:03:22.460
"the hope is that as a
accumulate more and more pairs",00:03:22.460,00:03:25.940
"of this form where there's
always the same parameter that",00:03:25.940,00:03:29.360
"links Xi to Yi, that's
this parameter beta,",00:03:29.360,00:03:32.960
"that I should have a better and
better estimation of this beta.",00:03:32.960,00:03:35.960
Because it's always the same.,00:03:35.960,00:03:37.232
"And that's essentially
with couples",00:03:37.232,00:03:38.690
all of our distribution.,00:03:38.690,00:03:40.040
"If I did not assume
this, then I could",00:03:40.040,00:03:42.620
"have a different distribution
for each pair Xi given YI.",00:03:42.620,00:03:46.220
"And I would not be able
to do any statistics.",00:03:46.220,00:03:48.830
"Nothing would
average in the end.",00:03:48.830,00:03:50.420
"But here I have the
same beta, which",00:03:50.420,00:03:52.267
"means that I can hope to
do statistics and average",00:03:52.267,00:03:54.350
errors in them.,00:03:54.350,00:03:56.310
OK.,00:03:56.310,00:03:56.810
"So I'm going to collect,
so I'll come back to this.",00:03:56.810,00:04:00.540
"But as usual in the
linear regression model,",00:04:00.540,00:04:02.910
"we're going to collect
all our observations Yi.",00:04:02.910,00:04:05.740
"So I'm going to assume
that they're real valued",00:04:05.740,00:04:08.060
"and that my Xi's
takes value in Rp",00:04:08.060,00:04:10.940
"just like in the
regression model.",00:04:10.940,00:04:12.560
"And I'm going to collect all my
Yi's into one big vector of Y",00:04:12.560,00:04:16.410
"in our n and all my X's into
one big matrix in Rn times p",00:04:16.410,00:04:23.480
"just like for the
linear regression model.",00:04:23.480,00:04:26.420
"All right, so, again, what
I'm interested in here",00:04:26.420,00:04:30.020
"is the conditional
distribution of Yi given Xi.",00:04:30.020,00:04:36.361
OK.,00:04:36.361,00:04:36.860
"I said this is
this distribution.",00:04:36.860,00:04:39.020
"When we're talking
about regression,",00:04:39.020,00:04:40.520
"I defined last time
what the definition",00:04:40.520,00:04:42.470
of regression function was.,00:04:42.470,00:04:44.675
"It's just one
particular aspect of",00:04:44.675,00:04:46.760
this conventional distribution.,00:04:46.760,00:04:48.240
"It's the conditional
expectation of Yi given Xi.",00:04:48.240,00:04:51.580
OK.,00:04:51.580,00:04:52.080
"And so this conditional
expectation,",00:04:52.080,00:04:53.780
I will denote it by--,00:04:53.780,00:04:57.180
"so I talk about the
conditional, I'm",00:04:57.180,00:05:06.950
