text,start,stop
"The following content is
provided under a Creative",00:00:00.530,00:00:02.960
Commons license.,00:00:02.960,00:00:04.370
"Your support will help MIT
OpenCourseWare continue to",00:00:04.370,00:00:07.410
"offer high quality educational
resources for free.",00:00:07.410,00:00:11.060
"To make a donation or view
additional materials from",00:00:11.060,00:00:13.960
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.960,00:00:17.890
ocw.mit.edu.,00:00:17.890,00:00:19.140
"PROFESSOR: OK, I guess we're all
set for getting close to",00:00:23.140,00:00:27.360
"the end, coming now to a race
about whether we could say",00:00:27.360,00:00:31.550
"anything meaningful about
Martingales or not.",00:00:31.550,00:00:35.140
But I think we can.,00:00:35.140,00:00:37.370
"I want to spend a little time
reviewing the Wald identity",00:00:37.370,00:00:43.040
"today and also sequential
tests.",00:00:43.040,00:00:47.380
"It turns out that last
time on the slides--",00:00:47.380,00:00:51.446
"I didn't get the thresholds
confused--",00:00:55.750,00:00:57.690
"I got hypothesis 0 and
hypothesis 1 interchanged from",00:00:57.690,00:01:01.760
the way we usually do them.,00:01:01.760,00:01:03.560
"And it doesn't make
any difference.",00:01:03.560,00:01:05.780
"There's no difference between
hypothesis 0 and hypothesis 1.",00:01:05.780,00:01:11.520
"And you can do it either
way you want to.",00:01:11.520,00:01:13.900
"But it gets very confusing when
you switch from one to",00:01:13.900,00:01:18.000
"the other when you're halfway
through an argument.",00:01:18.000,00:01:20.520
"So I'm going to go through
part of that again today.",00:01:20.520,00:01:25.960
"And we will get revised slides
on the web, so that if you",00:01:25.960,00:01:30.370
"want to see them with the
hypotheses done in a",00:01:30.370,00:01:37.310
"consistent way, you
will see it there.",00:01:37.310,00:01:40.690
"That should be on there by
this afternoon I hope.",00:01:40.690,00:01:44.750
"OK, so let's go on and review
what Mr. Wald said.",00:01:44.750,00:01:52.590
"He was talking about
a random walk.",00:01:55.530,00:01:58.820
"Random walk consists of a bunch
of a sequence of IID",00:01:58.820,00:02:02.910
random variables.,00:02:02.910,00:02:04.510
"The random walk consists of the
sequence of partial sums",00:02:04.510,00:02:08.949
of those random variables.,00:02:08.949,00:02:11.100
"And the question is if this
random walk is taking place",00:02:11.100,00:02:16.260
"and you have two thresholds, one
at alpha and one of beta--",00:02:16.260,00:02:21.000
"and beta is below 0 and
alpha is above 0--",00:02:21.000,00:02:24.080
"and you start at 0, of course,
and the question is when do",00:02:24.080,00:02:29.510
"you cross one of these two
thresholds and which",00:02:29.510,00:02:33.550
threshold do cross?,00:02:33.550,00:02:34.790
"What's the probability of
crossing each other, and",00:02:34.790,00:02:38.190
"everything else you can say
about this problem.",00:02:38.190,00:02:41.090
"And it turns out this is a very
major problem as far as",00:02:41.090,00:02:44.990
"stochastic processes are
concerned, because it comes up",00:02:44.990,00:02:49.300
almost everywhere.,00:02:49.300,00:02:50.670
It certainly comes up as far as,00:02:50.670,00:02:54.210
hypothesis testing is concerned.,00:02:54.210,00:02:57.110
"It's probably the major problem
there when you get",00:02:57.110,00:02:59.940
into sequential analysis.,00:02:59.940,00:03:02.710
It's the major problem there.,00:03:02.710,00:03:05.090
"So it's a very important
problem.",00:03:05.090,00:03:07.060
"And what Wald said was if you
let the random variable J be",00:03:07.060,00:03:14.820
"the stopping time of this random
walk, namely, the time",00:03:14.820,00:03:18.960
"in which the walk first crosses
either alpha or",00:03:18.960,00:03:23.340
"crosses the beta, and then he
said no matter what r you",00:03:23.340,00:03:29.090
"choose and the range of points
where the moment generating",00:03:29.090,00:03:34.100
function g sub X of r exists.,00:03:34.100,00:03:38.525
"Y You can pick any r in that
range, and then what you get",00:03:38.525,00:03:43.980
"is this strange looking
equality here.",00:03:43.980,00:03:48.910
