text,start,stop
"The following content is
provided under a Creative",00:00:00.080,00:00:02.500
Commons license.,00:00:02.500,00:00:04.010
"Your support will help
MIT OpenCourseWare",00:00:04.010,00:00:06.360
"continue to offer high-quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.236
at ocw.mit.edu.,00:00:17.236,00:00:17.861
"PROFESSOR: All right, welcome
to the final lecture of 6046.",00:00:21.720,00:00:25.520
"Today we continue our theme
of cache oblivious algorithms.",00:00:25.520,00:00:28.617
"We're going to look
at two of the most",00:00:28.617,00:00:30.200
"basic problems in
computer science--",00:00:30.200,00:00:32.259
"searching and sorting,
a little bit of each.",00:00:32.259,00:00:36.080
"And then I'll tell you a
little bit about what class",00:00:36.080,00:00:38.510
you might take after this one.,00:00:38.510,00:00:41.450
"So brief recap of the model,
we introduced two models",00:00:41.450,00:00:44.970
"of computation although one was
just a variation of the other.",00:00:44.970,00:00:48.430
"The base model is an
external memory model.",00:00:48.430,00:00:51.020
"This is a two-level
memory hierarchy.",00:00:51.020,00:00:53.820
"CPU and cache, we view as one.",00:00:53.820,00:00:55.890
"So there's instant
communication between them,",00:00:55.890,00:00:58.240
"which means what
you're computing on",00:00:58.240,00:01:00.760
"can involve this cache of size
m-- total size of the cache",00:01:00.760,00:01:05.469
is m-- words.,00:01:05.469,00:01:07.320
"The cache is divided into
these blocks of size b each.",00:01:07.320,00:01:11.110
So they're m over b blocks.,00:01:11.110,00:01:14.110
"And your problem doesn't
fit here, presumably,",00:01:14.110,00:01:17.710
"or the problem's not
very interesting.",00:01:17.710,00:01:19.730
"So your problem size n is
going to require storing",00:01:19.730,00:01:22.990
your information on disk.,00:01:22.990,00:01:24.220
"So the input is really
provided over here.",00:01:24.220,00:01:26.400
"Disk is basically
infinite in size.",00:01:26.400,00:01:28.370
"It's also partitioned
into blocks.",00:01:28.370,00:01:30.170
"And you can't access
individual items here.",00:01:30.170,00:01:32.930
"You can only access
entire blocks.",00:01:32.930,00:01:34.480
"So the model is you say,
I want to read this block",00:01:34.480,00:01:37.390
and put it here.,00:01:37.390,00:01:38.670
"I want to write this
block out and put it here.",00:01:38.670,00:01:40.667
"That's what you're allowed to
do in the external memory model.",00:01:40.667,00:01:43.250
"And what we count is how many
block-memory transfers we do.",00:01:43.250,00:01:46.609
We call those memory transfers.,00:01:46.609,00:01:47.900
So you want to minimize that.,00:01:47.900,00:01:49.520
"And usually you
don't worry too much",00:01:49.520,00:01:51.450
"about what happens in here,
although you could also",00:01:51.450,00:01:53.575
"minimize regular running
time as we usually do.",00:01:53.575,00:01:57.010
"The cache oblivious variation
is that the algorithm is not",00:01:57.010,00:02:00.260
"allowed to know the
cache parameters.",00:02:00.260,00:02:01.870
"It's not allowed to
know the block size.",00:02:01.870,00:02:04.150
"Sorry, it's also block
size b in the disk.",00:02:04.150,00:02:06.700
So they match.,00:02:06.700,00:02:08.509
"And you're not allowed to
know the cache size, m.",00:02:08.509,00:02:13.150
"Because of that, all the
block reads and writes",00:02:13.150,00:02:16.150
are done automatically.,00:02:16.150,00:02:17.160
"So the model is, whenever
you access an item,",00:02:17.160,00:02:20.190
"you view the disk
as just written row",00:02:20.190,00:02:22.650
"by row-- sequentially
block by block.",00:02:22.650,00:02:25.570
"So in linear eyes, it looks like
this, partitioned into blocks.",00:02:25.570,00:02:30.610
"And so whenever
you touch an item,",00:02:30.610,00:02:32.780
"the system automatically
loads that block.",00:02:32.780,00:02:35.330
"If it's not already in
cache, it loads it in.",00:02:35.330,00:02:37.520
"If it's already in
cache, it's free.",00:02:37.520,00:02:40.490
"When you load a block
in, you probably",00:02:40.490,00:02:43.042
already have something there.,00:02:43.042,00:02:44.250
"So if the cache is
already full, you",00:02:44.250,00:02:46.570
"have to decide
which one to evict.",00:02:46.570,00:02:48.250
"And we had a couple
of strategies.",00:02:48.250,00:02:49.800
"But the one I defined was the
least-recently-used block.",00:02:49.800,00:02:53.130
"So whichever one in the
cache that's least recently",00:02:53.130,00:02:55.290
"been used by the
CPU, that's the one",00:02:55.290,00:02:57.320
"that gets written
out, back to disk",00:02:57.320,00:02:58.970
where it originally came from.,00:02:58.970,00:03:01.460
And that's it.,00:03:01.460,00:03:02.062
That's the model.,00:03:02.062,00:03:03.830
"OK, this is a pretty good
model of how real caches work.",00:03:03.830,00:03:08.970
"Although this last part is
not how all real caches work.",00:03:08.970,00:03:12.410
It's close.,00:03:12.410,00:03:14.280
"And at the very end, I
mentioned this theorem",00:03:14.280,00:03:16.560
that Why LRU is good.,00:03:16.560,00:03:20.610
"And if you take
the number of block",00:03:20.610,00:03:24.830
"evictions-- the
number of block reads,",00:03:24.830,00:03:28.930
"equivalently-- then LRU has
to do on a cache of size m.",00:03:28.930,00:03:34.530
"Then that's going to be,
at most, twice whatever",00:03:34.530,00:03:37.280
"the best possible
thing you could do",00:03:37.280,00:03:40.260
"is given a cache
of size m over 2.",00:03:40.260,00:03:43.370
So we're restricting OPT.,00:03:43.370,00:03:44.860
"We're kind of tying OPT's hands
behind his back a little bit",00:03:44.860,00:03:47.680
