text,start,stop
"The following
content is provided",00:00:00.060,00:00:01.780
"under a Creative
Commons license.",00:00:01.780,00:00:04.019
"Your support will help MIT
OpenCourseWare continue",00:00:04.019,00:00:06.870
"to offer high-quality
educational resources for free.",00:00:06.870,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.236
at ocw.mit.edu.,00:00:17.236,00:00:17.861
"PROFESSOR: Last time, we looked
at the case of a Bose gas,",00:00:20.980,00:00:28.555
"and we found that there
was this condensation",00:00:28.555,00:00:31.240
phenomena into the ground state.,00:00:31.240,00:00:32.895
Let's go over it one more time.,00:00:36.710,00:00:39.850
"So the idea was
that when you have",00:00:39.850,00:00:43.420
"a Bose system, the occupation
of the different one-particle",00:00:43.420,00:00:48.350
"states, which you can specify
for a non-interacting system",00:00:48.350,00:00:54.210
"in the grand canonical
ensemble, these entities",00:00:54.210,00:00:58.990
"are independent for each one
of the one-particle states",00:00:58.990,00:01:03.240
"and have a form that is related
to the chemical potential",00:01:03.240,00:01:07.340
"and the energy of these states
through this form, epsilon",00:01:07.340,00:01:16.890
"[? kd ?] in the
one-particle state,",00:01:16.890,00:01:19.880
"and z standing for e to the
beta mu, chemical potential",00:01:19.880,00:01:25.100
divided by temperature.,00:01:25.100,00:01:27.950
OK?,00:01:27.950,00:01:30.110
"Now, if we go and look
at this in the limit",00:01:30.110,00:01:35.140
"where z is much
less than 1, which",00:01:35.140,00:01:39.110
"is appropriate to
high temperatures",00:01:39.110,00:01:41.530
"or when the case where the
gas is mostly classical,",00:01:41.530,00:01:45.390
you can expand this.,00:01:45.390,00:01:46.680
"You can see that in
the lowest order,",00:01:46.680,00:01:49.160
"it is z e to the minus
beta epsilon of k.",00:01:49.160,00:01:53.270
"So it looks like a
standard Boltzmann weight",00:01:53.270,00:01:57.840
"that we would use in classical
statistical mechanics.",00:01:57.840,00:02:01.540
"But then there are
higher order terms.",00:02:01.540,00:02:03.440
"And in particular there
would be a correction",00:02:03.440,00:02:05.415
"that is e to the minus
beta epsilon of k squared",00:02:05.415,00:02:10.130
"and so forth that would
modify this result.",00:02:10.130,00:02:15.270
"But I think this is
something that I mentioned.",00:02:15.270,00:02:17.910
"If you look at a form such
as this at high temperatures,",00:02:17.910,00:02:22.790
it's like a Boltzmann weight.,00:02:22.790,00:02:24.970
"So the state that has
this lowest energy,",00:02:24.970,00:02:29.470
"in this case if we
say epsilon of k",00:02:29.470,00:02:32.040
"is h bar squared k squared
over 2m corresponding to k",00:02:32.040,00:02:37.640
"equals to 0 for
the lowest energy,",00:02:37.640,00:02:40.360
"has the highest mean
occupation number of weight.",00:02:40.360,00:02:46.244
OK?,00:02:46.244,00:02:47.690
Now that is always the case.,00:02:47.690,00:02:50.060
"This is a function
that, as epsilon of k",00:02:50.060,00:02:54.310
"becomes larger, no matter
whether you expand it or not,",00:02:54.310,00:02:57.610
becomes less and less.,00:02:57.610,00:03:00.790
"The other limit that
is of interest to us",00:03:00.790,00:03:04.310
is how big can z be?,00:03:04.310,00:03:06.370
"We said that the largest it
can be is when it approaches 1.",00:03:06.370,00:03:12.890
"And when it is 1, this
quantity, the occupation number,",00:03:12.890,00:03:17.340
"is e to the beta
epsilon of k minus 1.",00:03:17.340,00:03:22.750
"Again, something that is
largest as k becomes smaller,",00:03:22.750,00:03:27.650
and you go to the lowest energy.,00:03:27.650,00:03:31.050
"But there is the difficulty that
the one energy that corresponds",00:03:31.050,00:03:34.560
"to k equals to 0, if I
look at this formula,",00:03:34.560,00:03:38.450
it is 1 divided by 0.,00:03:38.450,00:03:41.300
"It just doesn't
make too much sense.",00:03:41.300,00:03:45.970
"Now, of course, we
said that typically we",00:03:45.970,00:03:49.130
"don't want to work
in this variable.",00:03:49.130,00:03:54.490
"We want to figure out
things as a function",00:03:54.490,00:03:56.730
"of the number of particles or
the number of particles divided",00:03:56.730,00:04:00.580
"by volume density, which is
a nice intensive quantity.",00:04:00.580,00:04:06.220
OK?,00:04:06.220,00:04:06.720
"So typically, what should we do?",00:04:06.720,00:04:09.010
"We said that in the
grand canonical ensemble,",00:04:09.010,00:04:11.650
"N is the sum over k
these expectation values.",00:04:11.650,00:04:19.930
"I should really put
an average here,",00:04:19.930,00:04:22.060
"but we said that in the
thermodynamic sense,",00:04:22.060,00:04:24.820
"fluctuations being of the
order of square root of N,",00:04:24.820,00:04:27.580
we are going to ignore.,00:04:27.580,00:04:29.074
"So this is what
you would normally",00:04:29.074,00:04:30.490
"call the number that
we have in the system.",00:04:30.490,00:04:34.530
"And then you have to replace
this sum in the limit",00:04:34.530,00:04:41.240
"where we have a large
system with an integral.",00:04:41.240,00:04:44.420
"So we have the integral
d cubed k 2 pi cubed V.",00:04:44.420,00:04:51.540
"And then we have this N of k,
which is 1 over z inverse e",00:04:51.540,00:05:00.230
"to the beta epsilon
of k minus 1.",00:05:00.230,00:05:03.710
"Now if I go like I did in
the line above to the limit",00:05:07.790,00:05:13.040
"where z is much less
than 1, then the integral",00:05:13.040,00:05:17.650
"that I have to do is
simply the integral of z e",00:05:17.650,00:05:25.670
"to the minus beta epsilon k
h bar squared k squared 2m.",00:05:25.670,00:05:29.840
We know what this is.,00:05:33.220,00:05:34.290
"This is simply, up
to a factor of z,",00:05:34.290,00:05:37.520
"these are the integrals
that have given me",00:05:37.520,00:05:40.680
"these factors of 1
over lambda cubed.",00:05:40.680,00:05:42.745
"Actually, there's
the factor of V",00:05:47.130,00:05:48.890
"here, so it is V
over lambda cubed.",00:05:48.890,00:05:51.004
"So normally, you would
then solve for z,",00:05:53.730,00:05:57.790
"and you would find that z is
the density times lambda cubed.",00:05:57.790,00:06:04.760
"And this is a formula that we
have seen a number of times,",00:06:04.760,00:06:08.450
"that the chemical potential
is kt log of n lambda cubed.",00:06:08.450,00:06:14.356
OK?,00:06:14.356,00:06:16.690
Fine.,00:06:16.690,00:06:17.190
"But now we are interested
in the other limit.",00:06:17.190,00:06:19.140
"Now in the other limit,
we have this difficulty",00:06:22.210,00:06:26.791
"that this quantity, if I look
at it as a function of z,",00:06:26.791,00:06:32.430
"this is the quantity
that we would",00:06:32.430,00:06:34.140
"call f-- it is
related to f 3/2 of z.",00:06:34.140,00:06:40.420
"So this is going to be 1 over
lambda cubed f 3/2 plus of z.",00:06:40.420,00:06:48.080
"It's a function that increases
with z up to the limiting value",00:06:48.080,00:07:00.560
"that we are allowed to have,
which is at z equals to 1.",00:07:00.560,00:07:04.240
"It's a function that starts
linearly, as we have discussed,",00:07:04.240,00:07:08.380
"but then up here, it comes to
a finite value of zeta 3/2.",00:07:08.380,00:07:14.360
OK?,00:07:17.490,00:07:17.990
"So basically, we know that when
I evaluate this for finite z,",00:07:20.540,00:07:26.030
I'm less than where I was here.,00:07:26.030,00:07:28.730
"So this is certainly less
than 1 over lambda cubed zeta",00:07:28.730,00:07:33.650
"of 3/2, the limiting value
that we have over here.",00:07:33.650,00:07:36.970
So now I have a difficulty.,00:07:39.880,00:07:42.730
"This function over here,
I can only make it so big.",00:07:42.730,00:07:50.710
"But I need to make
it big enough so",00:07:50.710,00:07:53.670
"that I can put enough particles,
the total number of particles",00:07:53.670,00:07:57.740
that I have in the system.,00:07:57.740,00:08:00.200
So what is happening over here?,00:08:00.200,00:08:02.720
"What is happening is that when
I make this density larger",00:08:02.720,00:08:09.490
"and larger, ultimately
when I hit this point at z",00:08:09.490,00:08:13.730
"equals to 1, as
we have discussed",00:08:13.730,00:08:17.470
"there is an uncertainty as to
what happens to this expression",00:08:17.470,00:08:23.160
"when z is equal to 1,
and you are at this state",00:08:23.160,00:08:26.600
"that corresponds
to k equals to 0.",00:08:26.600,00:08:30.020
Right?,00:08:30.020,00:08:30.520
"I don't know how many
things are over there.",00:08:30.520,00:08:33.559
"So I can have, in
principle, the freedom",00:08:33.559,00:08:36.400
"to take advantage of the fact
that I don't know what 1 over 0",00:08:36.400,00:08:41.380
"is to call that the number
that I need to make up",00:08:41.380,00:08:47.950
"the difference between
here and there.",00:08:47.950,00:08:51.342
OK?,00:08:51.342,00:08:53.440
"And so, in principle,
when z goes to 1,",00:08:53.440,00:09:02.460
"then this becomes 1 over lambda
cubed, or V over lambda cubed,",00:09:02.460,00:09:09.670
"zeta of 3/2, obtained
by essentially",00:09:09.670,00:09:14.130
"doing the integration
with z equals to 1,",00:09:14.130,00:09:17.290
