text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high-quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.217
at ocw.mit.edu.,00:00:17.217,00:00:17.842
"ERIK DEMAINE: All right,
let's get started.",00:00:21.240,00:00:24.360
I am Erik Demaine.,00:00:24.360,00:00:25.510
You can call me Erik.,00:00:25.510,00:00:27.130
"Today we're going
to do another divide",00:00:27.130,00:00:29.020
"and conquer algorithm called
the fast Fourier transform.",00:00:29.020,00:00:31.970
"It's probably the most
taught algorithm at MIT.",00:00:31.970,00:00:35.870
"It's used in all
sorts of contexts,",00:00:35.870,00:00:39.300
"especially digital
signal processing",00:00:39.300,00:00:41.440
"like MP3 compression,
and all sorts of things.",00:00:41.440,00:00:45.046
"But we're going to
think about it today",00:00:45.046,00:00:46.670
"in the context of divide
and conquer and polynomials.",00:00:46.670,00:00:51.560
"So let me remind you-- I
mean, this class is all",00:00:51.560,00:00:55.540
"about polynomial time, but
usually with polynomial time",00:00:55.540,00:00:59.160
"we only care about
the lead term.",00:00:59.160,00:01:01.250
"Today-- and today
only, pretty much--",00:01:01.250,00:01:04.250
"we're going to be thinking about
all the terms in a polynomial.",00:01:04.250,00:01:09.670
"So I'll talk about
polynomials mostly a and b.",00:01:09.670,00:01:13.080
"You have a constant
term, and then",00:01:13.080,00:01:15.480
"a linear term, and a quadratic
term, and so on up to-- I",00:01:15.480,00:01:22.170
"will say that there are
n terms-- which means",00:01:22.170,00:01:24.160
the last one is a n minus 1.,00:01:24.160,00:01:28.150
"Normally the degree the
polynomial here is n minus 1.",00:01:28.150,00:01:32.320
"I wish the degree was defined
to be n here, but whatever.",00:01:32.320,00:01:35.819
"That's-- I'm not-- I can't
change the definitions",00:01:35.819,00:01:37.860
in algebra.,00:01:37.860,00:01:39.110
"So this is the
traditional algebraic way",00:01:39.110,00:01:42.060
of thinking about a polynomial.,00:01:42.060,00:01:44.680
"Of course, you can write
it with summation notation.",00:01:44.680,00:01:48.640
"akx to the k, k
equals 0 to n minus 1.",00:01:48.640,00:01:52.990
"We'll jump back and
forth between them.",00:01:52.990,00:01:54.790
"I'm also going to introduce a
vector notation for polynomials",00:01:54.790,00:01:59.350
"because-- so the ai's are
real numbers, typically.",00:01:59.350,00:02:06.770
"We might change
that at some point,",00:02:06.770,00:02:09.620
"but usually-- a common
reason-- maybe you",00:02:09.620,00:02:11.904
"don't care much
about polynomials,",00:02:11.904,00:02:13.320
"but you definitely
care about vectors.",00:02:13.320,00:02:15.260
"Any kind of
one-dimensional data set",00:02:15.260,00:02:17.180
"is a string of real
numbers, like if you're",00:02:17.180,00:02:20.780
"sampling audio--
like right now we're",00:02:20.780,00:02:22.530
"recording this
microphone-- you're",00:02:22.530,00:02:25.240
"seeing lots of different--
the movement of the membrane",00:02:25.240,00:02:29.800
in this microphone over time.,00:02:29.800,00:02:32.120
"You're sampling-- whatever--
40,000 times the second.",00:02:32.120,00:02:35.875
"Each one you're
measuring a real number",00:02:35.875,00:02:37.500
about where that thing is.,00:02:37.500,00:02:38.860
"That is a sequence
of real numbers.",00:02:38.860,00:02:40.910
"Now, you can convert it into
a polynomial if you want.",00:02:40.910,00:02:43.610
They're the same thing.,00:02:43.610,00:02:44.740
"x is not necessarily
meaningful here.",00:02:44.740,00:02:46.990
"We really care about
other coefficients.",00:02:46.990,00:02:49.770
"Now, given such a
polynomial there",00:02:49.770,00:02:52.000
"are three typical
things we want to do.",00:02:52.000,00:02:55.330
"So these are the
operations on polynomials.",00:02:55.330,00:02:58.670
"I'll say why we want
to do them in a second.",00:03:04.730,00:03:08.800
"So the obvious one, if
you do care about x,",00:03:08.800,00:03:11.740
is some kind of evaluation.,00:03:11.740,00:03:14.650
"So maybe I give you
a polynomial-- a",00:03:14.650,00:03:18.140
"of x-- and I give you a
number-- let's call it x0--",00:03:18.140,00:03:23.390
"and I want to compute
what is a of x0.",00:03:23.390,00:03:26.660
"So if I plug in-- x here
is a general variable,",00:03:26.660,00:03:29.600
"but if I give you an
actual real number,",00:03:29.600,00:03:31.490
"say, for the x's, what
does that add up to?",00:03:31.490,00:03:36.060
"So, how would you
solve evaluation",00:03:39.070,00:03:41.390
"before we go to the
other operations?",00:03:41.390,00:03:43.220
There's an obvious way.,00:03:48.230,00:03:50.300
"We, you know-- you compute
all the terms and add them up,",00:03:50.300,00:03:53.580
"but if you do that
naively, computing",00:03:53.580,00:03:59.190
"x to the k-- in this form,
maybe-- computing x to the k",00:03:59.190,00:04:03.700
"maybe takes k
multiplications, and so",00:04:03.700,00:04:06.540
"the total runtime
of the quadratic,",00:04:06.540,00:04:08.139
but we can do better than that.,00:04:08.139,00:04:09.430
"I know it's 11 o'clock-- too
early in the morning think.",00:04:15.307,00:04:17.640
Yeah.,00:04:25.850,00:04:26.654
"AUDIENCE: When you've already
calculated x to the i,",00:04:26.654,00:04:28.820
"you can calculate x to the
i plus 1 by multiplying it.",00:04:28.820,00:04:31.030
ERIK DEMAINE: Good.,00:04:31.030,00:04:31.390
"Once you've computed
x to the k, you",00:04:31.390,00:04:33.230
"can compute x to the k plus
1 with one multiplication,",00:04:33.230,00:04:36.920
"and so you can compute all
x to n's in linear time",00:04:36.920,00:04:42.150
"and then you're basically
doing a dot product between x",00:04:42.150,00:04:48.300
to the k's and the a vector.,00:04:48.300,00:04:51.330
"Cool, my first Frisbee.",00:04:51.330,00:04:52.785
"So, that's one way to do it.",00:04:56.510,00:04:59.550
"There's a slightly
slicker way to write",00:04:59.550,00:05:01.360
"it called Horner's
Rule, but it's",00:05:01.360,00:05:02.850
"doing exactly the same
thing that you said.",00:05:02.850,00:05:04.641
"It's a-- this is just a nice
algebraic way of writing it.",00:05:08.410,00:05:11.950
"a of x is the same as a0 plus
x times a1 plus x times a2",00:05:11.950,00:05:18.580
"plus, and so on.",00:05:18.580,00:05:21.340
"x times a n minus 1, and then
lots of-- close parentheses.",00:05:21.340,00:05:28.250
"So this is, of course,
equivalent to that expression",00:05:28.250,00:05:31.380
"by the law of distribution,
and this is essentially doing",00:05:31.380,00:05:36.440
the x-products one at a time.,00:05:36.440,00:05:38.940
"So, this is clearly order n
additions and multiplication,",00:05:38.940,00:05:41.890
so we get order n time.,00:05:41.890,00:05:45.530
"In this lecture,
time is the number",00:05:45.530,00:05:48.260
of arithmetic operations.,00:05:48.260,00:05:50.065
That's our model.,00:05:50.065,00:05:50.950
"Assume it takes constant
time to multiply or add",00:05:50.950,00:05:54.850
two real numbers.,00:05:54.850,00:05:55.675
OK.,00:06:00.971,00:06:01.470
Cool.,00:06:04.550,00:06:05.050
"So, evaluation-- that's easy.",00:06:05.050,00:06:07.850
"Linear time, for today, is good.",00:06:07.850,00:06:10.330
Quadratic is bad.,00:06:10.330,00:06:12.260
We want to beat quadratic.,00:06:12.260,00:06:14.200
"OK, second thing you might
want to do with polynomials",00:06:14.200,00:06:16.690
is add them.,00:06:16.690,00:06:18.430
"The third thing
is multiply them.",00:06:18.430,00:06:21.280
"So, we're given two
polynomials-- a of x and b",00:06:21.280,00:06:25.220
"of x-- and we want to compute
a new polynomial-- c of x--",00:06:25.220,00:06:29.950
that is the summation.,00:06:29.950,00:06:31.730
How do you define the summation?,00:06:31.730,00:06:33.900
"Well, you would like
c of x to equal a of x",00:06:33.900,00:06:36.570
plus b of x for all x.,00:06:36.570,00:06:39.390
That's the definition.,00:06:39.390,00:06:41.010
"Of course, we can do it
algebraically as well",00:06:41.010,00:06:43.570
"because these are
numbers in the end--",00:06:43.570,00:06:47.110
"for any x this
evaluates to a number--",00:06:47.110,00:06:49.610
