text,start,stop
"The following content is
provided under a Creative",00:00:00.040,00:00:02.460
Commons license.,00:00:02.460,00:00:03.870
"Your support will help MIT
OpenCourseWare continue to",00:00:03.870,00:00:06.910
"offer high quality educational
resources for free.",00:00:06.910,00:00:10.560
"To make a donation or view
additional materials from",00:00:10.560,00:00:13.460
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.460,00:00:19.290
ocw.mit.edu.,00:00:19.290,00:00:20.540
PROFESSOR: Let us start.,00:00:23.750,00:00:26.970
"So as always, we're to have
a quick review of what we",00:00:26.970,00:00:30.080
discussed last time.,00:00:30.080,00:00:31.240
"And then today we're going
to introduce just one new",00:00:31.240,00:00:34.240
"concept, the notion of
independence of two events.",00:00:34.240,00:00:38.120
"And we will play with
that concept.",00:00:38.120,00:00:41.030
"So what did we talk
about last time?",00:00:41.030,00:00:43.110
"The idea is that we have an
experiment, and the experiment",00:00:43.110,00:00:46.410
has a sample space omega.,00:00:46.410,00:00:48.800
"And then somebody comes and
tells us you know the outcome",00:00:48.800,00:00:52.300
"of the experiments happens to
lie inside this particular",00:00:52.300,00:00:56.840
"event B. Given this information,
it kind of",00:00:56.840,00:01:00.470
"changes what we know about
the situation.",00:01:00.470,00:01:03.070
"It tells us that the outcome
is going to be somewhere",00:01:03.070,00:01:05.510
inside here.,00:01:05.510,00:01:06.630
"So this is essentially
our new sample space.",00:01:06.630,00:01:09.800
"And now we need to we reassign
probabilities to the various",00:01:09.800,00:01:13.130
"possible outcomes, because, for
example, these outcomes,",00:01:13.130,00:01:16.550
"even if they had positive
probability beforehand, now",00:01:16.550,00:01:20.340
"that we're told that B occurred,
those outcomes out",00:01:20.340,00:01:22.890
"there are going to have
zero probability.",00:01:22.890,00:01:25.220
"So we need to revise
our probabilities.",00:01:25.220,00:01:27.670
"The new probabilities are
called conditional",00:01:27.670,00:01:29.740
"probabilities, and they're
defined this way.",00:01:29.740,00:01:33.390
"The conditional probability that
A occurs given that we're",00:01:33.390,00:01:37.000
"told that B occurred is
calculated by this formula,",00:01:37.000,00:01:40.670
which tells us the following--,00:01:40.670,00:01:42.880
"out of the total probability
that was initially assigned to",00:01:42.880,00:01:45.750
"the event B, what fraction of
that probability is assigned",00:01:45.750,00:01:49.760
"to outcomes that also
make A to happen?",00:01:49.760,00:01:54.310
"So out of the total probability
assigned to B, we",00:01:54.310,00:01:58.650
"see what fraction of that total
probability is assigned",00:01:58.650,00:02:03.080
"to those elements here that
will also make A happen.",00:02:03.080,00:02:06.650
"Conditional probabilities are
left undefined if the",00:02:06.650,00:02:09.360
denominator here is zero.,00:02:09.360,00:02:12.860
"An easy consequence of the
definition is if we bring that",00:02:12.860,00:02:16.030
"term to the other side, then we
can find the probability of",00:02:16.030,00:02:18.670
"two things happening by taking
the probability that the first",00:02:18.670,00:02:22.040
"thing happens, and then, given
that the first thing happened,",00:02:22.040,00:02:25.170
"the conditional probability that
the second one happens.",00:02:25.170,00:02:28.230
"Then we saw last time that we
can divide and conquer in",00:02:28.230,00:02:31.680
"calculating probabilities of
mildly complicated events by",00:02:31.680,00:02:36.010
"breaking it down into
different scenarios.",00:02:36.010,00:02:39.070
"So event B can happen
in two ways.",00:02:39.070,00:02:41.350
"It can happen either together
with A, which is this",00:02:41.350,00:02:44.810
"probability, or it can happen
together with A complement,",00:02:44.810,00:02:48.700
which is this probability.,00:02:48.700,00:02:49.880
"So basically what we're saying
that the total probability of",00:02:49.880,00:02:53.100
"B is the probability of this,
which is A intersection B,",00:02:53.100,00:02:57.960
"plus the probability of that,
which is A complement",00:02:57.960,00:03:02.620
intersection B.,00:03:02.620,00:03:07.530
"So these two facts here,
multiplication rule and the",00:03:07.530,00:03:11.355
"total probability theorem, are
basic tools that one uses to",00:03:11.355,00:03:14.760
"break down probability
calculations",00:03:14.760,00:03:16.990
into a simpler parts.,00:03:16.990,00:03:18.930
"So we find probabilities of
two things happening by",00:03:18.930,00:03:21.600
looking at each one at a time.,00:03:21.600,00:03:24.300
"And this is what we do to break
up a situation with two",00:03:24.300,00:03:27.830
different possible scenarios.,00:03:27.830,00:03:29.760
"Then we also have
the Bayes rule,",00:03:29.760,00:03:32.110
which does the following.,00:03:32.110,00:03:33.600
"Given a model that has
conditional probabilities of",00:03:33.600,00:03:36.640
"this kind, the Bayes rule
allows us to calculate",00:03:36.640,00:03:38.970
"conditional probabilities in
which the events appear in",00:03:38.970,00:03:41.570
different order.,00:03:41.570,00:03:43.020
"You can think of these
probabilities as describing a",00:03:43.020,00:03:45.740
"causal model of a certain
situation, whereas these are",00:03:45.740,00:03:49.270
"the probabilities that you get
after you do some inference",00:03:49.270,00:03:52.670
"based on the information that
you have available.",00:03:52.670,00:03:55.480
"Now the Bayes rule, we derived
it, and it's a trivial",00:03:55.480,00:03:59.200
half-line calculation.,00:03:59.200,00:04:01.040
"But it underlies lots
and lots of useful",00:04:01.040,00:04:03.670
things in the real world.,00:04:03.670,00:04:05.290
"We had the radar example
last time.",00:04:05.290,00:04:07.650
"You can think of more
complicated situations in",00:04:07.650,00:04:10.410
"which there's a bunch or lots of
different hypotheses about",00:04:10.410,00:04:14.570
the environment.,00:04:14.570,00:04:15.920
"Given any particular setting in
the environment, you have a",00:04:15.920,00:04:18.899
"measuring device that
can produce",00:04:18.899,00:04:21.140
many different outcomes.,00:04:21.140,00:04:23.670
"And you observe the final
outcome out of your measuring",00:04:23.670,00:04:29.210
"device, and you're trying
to guess which",00:04:29.210,00:04:31.820
particular branch occurred.,00:04:31.820,00:04:34.210
"That is, you're trying to guess
the state of the world",00:04:34.210,00:04:36.640
"based on a particular
measurement.",00:04:36.640,00:04:38.500
"That's what inference
is all about.",00:04:38.500,00:04:40.770
"So real world problems only
differ from the simple example",00:04:40.770,00:04:44.450
