text,start,stop
"The following
content is provided",00:00:00.080,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.228
at ocw.mit.edu.,00:00:17.228,00:00:17.853
"PROFESSOR: So today's
lecture is on sorting.",00:00:23.290,00:00:27.010
"We'll be talking about specific
sorting algorithms today.",00:00:27.010,00:00:31.310
"I want to start
by motivating why",00:00:31.310,00:00:34.570
"we're interested in sorting,
which should be fairly easy.",00:00:34.570,00:00:37.105
"Then I want to discuss
a particular sorting",00:00:39.690,00:00:42.490
"algorithm that's
called insertion sort.",00:00:42.490,00:00:45.470
"That's probably the
simplest sorting algorithm",00:00:45.470,00:00:47.860
"you can write, it's
five lines of code.",00:00:47.860,00:00:51.942
"It's not the best
sorting algorithm",00:00:51.942,00:00:53.400
"that's out there and so
we'll try and improve it.",00:00:53.400,00:00:57.430
"We'll also talk about merge
sort, which is a divide",00:00:57.430,00:01:00.470
"and conquer algorithm
and that's going",00:01:00.470,00:01:03.250
"to motivate the last thing
that I want to spend time on,",00:01:03.250,00:01:09.010
"which is recurrences and
how you solve recurrences.",00:01:09.010,00:01:12.300
"Typically the
recurrences that we'll",00:01:12.300,00:01:14.230
"be looking at in double o six
are going to come from divide",00:01:14.230,00:01:18.120
"and conquer problems
like merge sort",00:01:18.120,00:01:20.760
"but you'll see
this over and over.",00:01:20.760,00:01:24.300
"So let's talk about why
we're interested in sorting.",00:01:24.300,00:01:26.965
"There's some fairly
obvious applications",00:01:30.110,00:01:34.370
"like if you want to
maintain a phone book,",00:01:34.370,00:01:37.490
"you've got a bunch of names
and numbers corresponding",00:01:37.490,00:01:42.010
"to a telephone
directory and you want",00:01:42.010,00:01:44.830
"to keep them in
sorted order so it's",00:01:44.830,00:01:46.330
"easy to search, mp3 organizers,
spreadsheets, et cetera.",00:01:46.330,00:01:51.510
"So there's lots of
obvious applications.",00:01:51.510,00:01:54.590
"There's also some
interesting problems",00:01:54.590,00:01:59.630
"that become easy once
items are sorted.",00:01:59.630,00:02:05.900
"One example of that
is finding a median.",00:02:13.790,00:02:18.170
"So let's say that you
have a bunch of items",00:02:23.860,00:02:27.220
"in an array a zero through
n and a zero through n",00:02:27.220,00:02:36.210
"contains n numbers and
they're not sorted.",00:02:36.210,00:02:38.650
"When you sort, you
turn this into b 0",00:02:44.850,00:02:48.950
"through n, where if
it's just numbers, then",00:02:48.950,00:02:52.760
"you may sort them in increasing
order or decreasing order.",00:02:52.760,00:02:55.660
"Let's just call it
increasing order for now.",00:02:55.660,00:02:58.690
"Or if they're records,
and they're not numbers,",00:02:58.690,00:03:01.650
"then you have to provide
a comparison function",00:03:01.650,00:03:04.520
"to determine which record is
smaller than another record.",00:03:04.520,00:03:08.050
"And that's another
input that you",00:03:08.050,00:03:09.520
"have to have in order
to do the sorting.",00:03:09.520,00:03:12.980
"So it doesn't really
matter what the items are",00:03:12.980,00:03:15.310
"as long as you have the
comparison function.",00:03:15.310,00:03:17.580
"Think of it as less
than or equal to.",00:03:17.580,00:03:19.930
"And if you have that and
it's straightforward,",00:03:19.930,00:03:23.750
"obviously, to check that 3
is less than 4, et cetera.",00:03:23.750,00:03:27.090
"But it may be a little
more complicated",00:03:27.090,00:03:29.640
"for more sophisticated
sorting applications.",00:03:29.640,00:03:32.990
"But the bottom line is that if
you have your algorithm that",00:03:32.990,00:03:36.570
"takes a comparison
function as an input,",00:03:36.570,00:03:39.120
"you're going to be able to,
after a certain amount of time,",00:03:39.120,00:03:42.670
get B 0 n.,00:03:42.670,00:03:45.100
"Now if you wanted to find the
median of the set of numbers",00:03:45.100,00:03:48.680
"that were originally
in the array A,",00:03:48.680,00:03:51.720
"what would you do once you
have the sorted array B?",00:03:51.720,00:03:56.090
"AUDIENCE: Isn't there a more
efficient algorithm for median?",00:03:56.090,00:03:59.124
PROFESSOR: Absolutely.,00:03:59.124,00:04:00.040
"But this is sort of a side
effect of having a sorted list.",00:04:00.040,00:04:08.120
"If you happen to
have a sorted list,",00:04:08.120,00:04:10.240
"there's many ways
that you could imagine",00:04:10.240,00:04:15.090
building up a sorted list.,00:04:15.090,00:04:16.310
"One way is you have something
that's completely unsorted",00:04:16.310,00:04:19.779
"and you run insertion
sort or merge sort.",00:04:19.779,00:04:22.620
"Another way would be to
maintain a sorted list as you're",00:04:22.620,00:04:25.140
getting items put into the list.,00:04:25.140,00:04:27.660
"So if you happened
to have a sorted list",00:04:27.660,00:04:29.640
"and you need to have this
sorted list for some reason,",00:04:29.640,00:04:32.600
"the point I'm making here
is that finding the median",00:04:32.600,00:04:35.440
is easy.,00:04:35.440,00:04:37.140
"And it's easy because
all you have to do",00:04:37.140,00:04:39.430
