text,start,stop
"PROFESSOR PATRICK WINSTON:
Ladies and gentlemen, the",00:00:09.330,00:00:10.970
engineers drinking song.,00:00:10.970,00:00:13.670
"Back in the day, I've drunk
quite a lot to that song.",00:00:13.670,00:00:16.309
"And as drinking songs
go, it's not bad.",00:00:16.309,00:00:20.420
"I caution you, however, before
playing this song in the",00:00:20.420,00:00:24.260
"presence of small children,
audition it first.",00:00:24.260,00:00:28.240
"Some of the verses are
sufficiently gross as to make",00:00:28.240,00:00:32.460
a sailor go beyond blushing.,00:00:32.460,00:00:37.130
"It's an interesting song because
there are an infinite",00:00:37.130,00:00:39.380
number of verses.,00:00:39.380,00:00:41.580
Here's the mathematical proof.,00:00:41.580,00:00:43.840
"Suppose there were a finite
number of verses.",00:00:43.840,00:00:46.920
"Then there would be
a last verse.",00:00:46.920,00:00:49.080
"And if there were a last verse,
then some drunk alumni",00:00:49.080,00:00:52.540
would compose a new one.,00:00:52.540,00:00:54.570
"Therefore, there is no last
verse, the size is not finite,",00:00:54.570,00:00:58.400
"and there are an infinite
number of verses.",00:00:58.400,00:01:02.430
"I play it for you today because
I'm an engineer.",00:01:02.430,00:01:05.610
I like to build stuff.,00:01:05.610,00:01:07.336
I build stuff out of wood.,00:01:07.336,00:01:09.010
I build stuff out of metal.,00:01:09.010,00:01:10.810
I build stuff out of rocks.,00:01:10.810,00:01:12.830
"And I especially like
to write programs.",00:01:12.830,00:01:16.470
"I don't know, sometimes people
come to me and say, I'm",00:01:16.470,00:01:20.180
"majoring in computer science,
but I don't",00:01:20.180,00:01:21.960
like to write programs.,00:01:21.960,00:01:23.030
"I've always been mystified
by that.",00:01:23.030,00:01:26.470
"I mean, if you want to show how
tough you are, you can go",00:01:26.470,00:01:29.900
"bungee jumping or drive a nail
through your hand or something",00:01:29.900,00:01:32.430
like that instead.,00:01:32.430,00:01:33.680
"But I've written quite a few
programs for demonstrating",00:01:35.850,00:01:38.750
stuff in this subject.,00:01:38.750,00:01:42.650
"They're all written in Java,
principally because I can",00:01:42.650,00:01:46.520
"therefore make them available to
you and to the rest of the",00:01:46.520,00:01:48.660
world by way of Web Start.,00:01:48.660,00:01:50.785
"A few weeks ago, I was mucking
around with the system and",00:01:50.785,00:01:55.050
"broke the version on the server,
and within 15 minutes,",00:01:55.050,00:01:57.490
"I got an email from somebody
in the depths of Anatolia",00:01:57.490,00:02:01.490
"complaining about it and asking
me to bring it back up.",00:02:01.490,00:02:03.960
"This particular program
is patterned",00:02:07.500,00:02:09.699
after an early AI classic.,00:02:09.699,00:02:14.830
"And it was the business end of
a program written by Terry",00:02:14.830,00:02:19.130
"Winograd, who became, and is,
a professor of computer",00:02:19.130,00:02:24.290
"science at Stanford
University--",00:02:24.290,00:02:27.220
"which is on the west coast
for those of you--",00:02:27.220,00:02:28.940
"on the strength of his work on
the natural language front end",00:02:31.990,00:02:35.510
of this program.,00:02:35.510,00:02:37.100
"But the natural language part
is not what makes it of",00:02:37.100,00:02:40.260
interest for us today.,00:02:40.260,00:02:44.080
"It's more the other
kinds of stuff.",00:02:44.080,00:02:48.440
Let's pile these things up.,00:02:48.440,00:02:51.550
"Now, I'm going to ask to
do something, maybe put",00:02:51.550,00:02:55.320
B2 on top of B7.,00:02:55.320,00:02:58.970
Not bad.,00:03:07.140,00:03:07.840
How about B6 on B3?,00:03:07.840,00:03:09.320
This program's kind of clever.,00:03:18.500,00:03:20.880
Let me do one more.,00:03:25.140,00:03:26.580
Let's put B7 on B2.,00:03:26.580,00:03:28.280
"OK, now let's see.",00:03:39.250,00:03:40.510
Maybe B5 on B2?,00:03:40.510,00:03:42.530
"B4 on B3 first, maybe?",00:03:46.170,00:03:49.730
"Oh, I must have clicked
the wrong button.",00:03:52.820,00:03:55.885
"Oh, there it goes.",00:03:55.885,00:03:56.675
OK.,00:03:56.675,00:03:58.780
Let's put B4 on B1.,00:03:58.780,00:04:02.716
"Agh, my mouse keeps getting
out of control.",00:04:02.716,00:04:08.190
"Now, let's put B1 on B2.",00:04:15.660,00:04:17.519
"This is an example I'm
actually going to",00:04:17.519,00:04:18.779
work out on the board.,00:04:18.779,00:04:20.029
"Oh, I see.",00:04:23.646,00:04:25.740
"My touch pad accidentally
got activated.",00:04:25.740,00:04:27.750
B1 on B2.,00:04:27.750,00:04:30.440
"Now, let's ask a question.",00:04:44.550,00:04:45.800
OK.,00:04:58.075,00:04:59.560
Well.,00:04:59.560,00:05:00.190
SPEAKER 2: [SINGING],00:05:00.190,00:05:01.636
"PROFESSOR PATRICK
WINSTON: Stop.",00:05:01.636,00:05:03.564
SPEAKER 3: [LAUGHTER],00:05:03.564,00:05:07.420
"PROFESSOR PATRICK WINSTON:
Had enough of that.",00:05:07.420,00:05:08.866
Let's see.,00:05:11.760,00:05:12.550
Why did you put--,00:05:12.550,00:05:15.460
"why did you want to
get rid of B4?",00:05:15.460,00:05:22.720
"OK, one--",00:05:22.720,00:05:24.660
SPEAKER 2: [SINGING],00:05:24.660,00:05:28.540
"PROFESSOR PATRICK WINSTON: Maybe
they think, that's what",00:05:28.540,00:05:34.010
"happens when you use software
you write yourself.",00:05:34.010,00:05:35.575
"Why did you want to clear
the top of B2?",00:05:42.010,00:05:51.662
Did I do that?,00:05:51.662,00:05:55.050
"Why did you clear
the top of B1?",00:05:55.050,00:06:01.050
OK.,00:06:01.050,00:06:01.520
SPEAKER 2: [SINGING],00:06:01.520,00:06:03.400
SPEAKER 3: [LAUGHTER],00:06:03.400,00:06:06.700
