text,start,stop
"The following content is
provided under a Creative",00:00:00.040,00:00:02.460
Commons license.,00:00:02.460,00:00:03.870
"Your support will help MIT
OpenCourseWare continue to",00:00:03.870,00:00:06.910
"offer high quality educational
resources for free.",00:00:06.910,00:00:10.560
"To make a donation, or view
additional materials from",00:00:10.560,00:00:13.460
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.460,00:00:19.290
ocw.mit.edu.,00:00:19.290,00:00:21.996
PROFESSOR: OK.,00:00:21.996,00:00:22.490
"So today's lecture will be on
the subject of counting.",00:00:22.490,00:00:26.380
"So counting, I guess, is
a pretty simple affair",00:00:26.380,00:00:29.620
"conceptually, but it's a
topic that can also get",00:00:29.620,00:00:33.060
to be pretty tricky.,00:00:33.060,00:00:34.410
"The reason we're going to talk
about counting is that there's",00:00:34.410,00:00:37.840
"a lot of probability problems
whose solution actually",00:00:37.840,00:00:41.000
"reduces to successfully counting
the cardinalities of",00:00:41.000,00:00:45.050
various sets.,00:00:45.050,00:00:46.110
"So we're going to see the basic,
simplest methods that",00:00:46.110,00:00:49.270
"one can use to count
systematically in various",00:00:49.270,00:00:52.350
situations.,00:00:52.350,00:00:53.660
"So in contrast to previous
lectures, we're not going to",00:00:53.660,00:00:56.600
"introduce any significant
new concepts of a",00:00:56.600,00:00:59.700
probabilistic nature.,00:00:59.700,00:01:01.460
"We're just going to use the
probability tools that we",00:01:01.460,00:01:04.340
already know.,00:01:04.340,00:01:05.680
"And we're going to apply them
in situations where there's",00:01:05.680,00:01:08.460
also some counting involved.,00:01:08.460,00:01:10.840
"Now, today we're going
to just touch the",00:01:10.840,00:01:13.000
surface of this subject.,00:01:13.000,00:01:14.490
"There's a whole field of
mathematics called",00:01:14.490,00:01:16.650
"combinatorics who are people who
actually spend their whole",00:01:16.650,00:01:19.920
"lives counting more and
more complicated sets.",00:01:19.920,00:01:24.220
"We were not going to get
anywhere close to the full",00:01:24.220,00:01:27.580
"complexity of the field, but
we'll get just enough tools",00:01:27.580,00:01:31.360
"that allow us to address
problems of the type that one",00:01:31.360,00:01:36.260
"encounters in most common
situations.",00:01:36.260,00:01:39.730
"So the basic idea, the basic
principle is something that",00:01:39.730,00:01:43.250
we've already discussed.,00:01:43.250,00:01:45.400
"So counting methods apply in
situations where we have",00:01:45.400,00:01:49.820
"probabilistic experiments with
a finite number of outcomes",00:01:49.820,00:01:53.660
and where every outcome--,00:01:53.660,00:01:56.070
every possible outcome--,00:01:56.070,00:01:57.770
"has the same probability
of occurring.",00:01:57.770,00:02:00.260
"So we have our sample space,
omega, and it's got a bunch of",00:02:00.260,00:02:04.440
discrete points in there.,00:02:04.440,00:02:06.520
"And the cardinality of the set
omega is some capital N. So,",00:02:06.520,00:02:10.539
"in particular, we assume that
the sample points are equally",00:02:10.539,00:02:14.960
"likely, which means that every
element of the sample space",00:02:14.960,00:02:18.490
"has the same probability
equal to 1 over N.",00:02:18.490,00:02:22.420
"And then we are interested in a
subset of the sample space,",00:02:22.420,00:02:26.650
"call it A. And that
subset consists",00:02:26.650,00:02:29.860
of a number of elements.,00:02:29.860,00:02:31.350
"Let the cardinality of that
subset be equal to little n.",00:02:31.350,00:02:36.080
"And then to find the probability
of that set, all",00:02:36.080,00:02:39.370
"we need to do is to add the
probabilities of the",00:02:39.370,00:02:42.060
individual elements.,00:02:42.060,00:02:43.610
"There's little n elements, and
each one has probability one",00:02:43.610,00:02:47.030
"over capital N. And
that's the answer.",00:02:47.030,00:02:50.340
"So this means that to solve
problems in this context, all",00:02:50.340,00:02:53.250
"that we need to be able to do
is to figure out the number",00:02:53.250,00:02:56.580
"capital N and to figure out
the number little n.",00:02:56.580,00:03:00.800
"Now, if somebody gives you a set
by just giving you a list",00:03:00.800,00:03:04.330
"and gives you another set,
again, giving you a list, it's",00:03:04.330,00:03:07.660
easy to count there element.,00:03:07.660,00:03:09.120
"You just count how much
there is on the list.",00:03:09.120,00:03:11.510
"But sometimes the sets are
described in some more",00:03:11.510,00:03:15.030
"implicit way, and we may have to
do a little bit more work.",00:03:15.030,00:03:20.590
There's various tricks that are,00:03:20.590,00:03:22.360
involved in counting properly.,00:03:22.360,00:03:24.410
"And the most common
one is to--",00:03:24.410,00:03:27.080
"when you consider a set of
possible outcomes, to describe",00:03:27.080,00:03:31.350
"the construction of those
possible outcomes through a",00:03:31.350,00:03:33.800
sequential process.,00:03:33.800,00:03:35.440
"So think of a probabilistic
experiment that involves a",00:03:35.440,00:03:38.130
"number of stages, and in each
one of the stages there's a",00:03:38.130,00:03:42.560
"number of possible choices
that there may be.",00:03:42.560,00:03:45.890
"The overall experiment consists
of carrying out all",00:03:45.890,00:03:48.630
the stages to the end.,00:03:48.630,00:03:49.930
"And the number of points in the
sample space is how many",00:03:52.855,00:03:55.830
"final outcomes there can be in
this multi-stage experiment.",00:03:55.830,00:03:59.920
"So in this picture we have an
experiment in which of the",00:03:59.920,00:04:02.910
"first stage we have
four choices.",00:04:02.910,00:04:07.230
"In the second stage, no matter
what happened in the first",00:04:07.230,00:04:11.640
"stage, the way this is drawn
we have three choices.",00:04:11.640,00:04:16.010
"No matter whether we ended up
here, there, or there, we have",00:04:16.010,00:04:19.720
"three choices in the
second stage.",00:04:19.720,00:04:22.860
"And then there's a third stage
and at least in this picture,",00:04:22.860,00:04:27.830
"no matter what happened in the
first two stages, in the third",00:04:27.830,00:04:31.520
"stage we're going to have
two possible choices.",00:04:31.520,00:04:35.930
"So how many leaves are there
at the end of this tree?",00:04:35.930,00:04:41.070
That's simple.,00:04:41.070,00:04:42.170
"It's just the product of
these three numbers.",00:04:42.170,00:04:45.460
"The number of possible leaves
that we have out there is 4",00:04:45.460,00:04:48.520
times 3 times 2.,00:04:48.520,00:04:50.430
