text,start,stop
"The following content is
provided under a Creative",00:00:00.790,00:00:03.190
Commons license.,00:00:03.190,00:00:04.730
"Your support will help
MIT OpenCourseWare",00:00:04.730,00:00:07.030
"continue to offer high quality
educational resources for free.",00:00:07.030,00:00:11.390
"To make a donation or
view additional materials",00:00:11.390,00:00:13.990
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.990,00:00:17.880
at ocw.mit.edu.,00:00:17.880,00:00:18.840
"PROFESSOR: All right
everyone let's get started.",00:00:31.056,00:00:34.080
"All right good afternoon on
this rainy, rainy sad afternoon.",00:00:34.080,00:00:37.290
"So-- I'm glad we're
inside though-- all right",00:00:37.290,00:00:39.900
so Lecture 4 of 6.0001 in 600.,00:00:39.900,00:00:44.630
"Quick, quick recap of
what we did last time.",00:00:44.630,00:00:46.850
"So last time we did a little
bit more string manipulations,",00:00:46.850,00:00:50.420
"and then we saw how you can
use for loops over strings",00:00:50.420,00:00:53.630
directly.,00:00:53.630,00:00:54.380
"So instead of having for
loops that iterate over",00:00:54.380,00:00:57.310
"range-- so 0, 1, 2,
3, 4, and so on--",00:00:57.310,00:01:00.050
"you saw that it was more
powerful to sometimes use",00:01:00.050,00:01:02.600
"for loops that iterate over
string objects directly.",00:01:02.600,00:01:08.351
"So that was the first
half of the lecture.",00:01:08.351,00:01:10.100
"In the second half, we started
looking at different ways",00:01:10.100,00:01:13.040
"that you can implement the
different implementations",00:01:13.040,00:01:18.920
to the same problem.,00:01:18.920,00:01:19.820
"So we saw the problem of
finding the cube root,",00:01:19.820,00:01:22.880
and we saw some implementations.,00:01:22.880,00:01:25.970
"We saw the Guess
and Check method,",00:01:25.970,00:01:28.160
and the approximation method.,00:01:28.160,00:01:30.170
"And then we looked
at what I thought",00:01:30.170,00:01:32.270
"was the most powerful method,
which was the bisection method.",00:01:32.270,00:01:35.334
"And this one, if you
remember, I played a game",00:01:35.334,00:01:37.250
"with someone in the
audience where I guessed",00:01:37.250,00:01:39.680
a number between 0 and 100.,00:01:39.680,00:01:42.170
"And we saw that I was able
to guess that number really,",00:01:42.170,00:01:44.660
"really quickly using
the bisection method.",00:01:44.660,00:01:47.120
"And that's the
method that you're",00:01:47.120,00:01:48.754
"going to implement-- that you
are currently implementing--",00:01:48.754,00:01:51.170
in your problem set.,00:01:51.170,00:01:53.990
"OK so today-- so that sort
of finishes introduction",00:01:53.990,00:02:03.900
"to some of the more basic
mechanisms in Python.",00:02:03.900,00:02:07.134
"And today we're going
to talk about how",00:02:07.134,00:02:08.759
"to structure your programs
such that you write",00:02:08.759,00:02:11.640
"nice, coherent code-- reusable
code-- by hiding away some",00:02:11.640,00:02:15.660
of the details in your code.,00:02:15.660,00:02:17.867
"And to do that we're going
to look at these things",00:02:17.867,00:02:19.950
called functions.,00:02:19.950,00:02:22.860
"All right so just
stepping back and sort",00:02:22.860,00:02:25.450
"of getting a high-level view of
how we write the code so far.",00:02:25.450,00:02:28.870
"So so far the way that
you've been writing code",00:02:28.870,00:02:32.440
"for your programs
is you open a file,",00:02:32.440,00:02:34.850
"you type some code to solve
a particular problem given,",00:02:34.850,00:02:37.760
"like in your problem
sets, each file",00:02:37.760,00:02:41.620
"contains some piece of code, you
have sequences of instructions",00:02:41.620,00:02:45.680
"that contain maybe assignments,
loops, conditionals,",00:02:45.680,00:02:49.040
and so on and so on.,00:02:49.040,00:02:50.700
"But really you have one
file that contains each code",00:02:50.700,00:02:54.350
"and you write everything
in that particular file.",00:02:54.350,00:02:58.190
"But this is OK for
smaller problems",00:02:58.190,00:03:01.035
"that we've been seeing
so far, but when",00:03:01.035,00:03:02.660
"you're starting to write
large pieces of code",00:03:02.660,00:03:04.700
"it's going to get really
messy, really quickly.",00:03:04.700,00:03:07.520
