text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.490
Commons license.,00:00:02.490,00:00:04.030
"Your support will help
MIT OpenCourseWare",00:00:04.030,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.280
at ocw.mit.edu.,00:00:17.280,00:00:18.450
ERIK DEMAINE: All right.,00:00:21.530,00:00:22.530
"Time for some more geometry,
and, in particular,",00:00:22.530,00:00:25.349
"some more fractional
cascading, which",00:00:25.349,00:00:26.890
"is a cool topic we
saw last lecture.",00:00:26.890,00:00:31.150
"And then we're going to do
a different kind of data",00:00:31.150,00:00:33.340
"structure called
kinetic data structures,",00:00:33.340,00:00:35.048
where you have moving data.,00:00:35.048,00:00:37.690
"And that will actually
be most of the lecture.",00:00:37.690,00:00:39.880
"But last time, we saw this
nice general black box",00:00:39.880,00:00:42.550
"transformation,
fractional cascading,",00:00:42.550,00:00:44.410
"and we didn't really see a
lot of applications of it.",00:00:44.410,00:00:47.230
"We saw a simple example in
orthogonal range searching.",00:00:47.230,00:00:49.680
"But I want to show you
today a much cooler",00:00:49.680,00:00:51.430
"one in the original
fractional cascading papers.",00:00:51.430,00:00:55.210
"So remember, in
general, what it lets",00:00:55.210,00:00:56.980
"you do is search for
a common element x,",00:00:56.980,00:00:59.650
"find its predecessor and
successor in k sorted lists,",00:00:59.650,00:01:04.180
"in order log n plus
k time, instead",00:01:04.180,00:01:06.430
"of the obvious k
times log n, where",00:01:06.430,00:01:09.650
n is the length of each list.,00:01:09.650,00:01:12.310
"And the general version
that we talked about",00:01:12.310,00:01:15.790
"is, if you're
navigating a graph,",00:01:15.790,00:01:18.160
"and at each node of the graph,
you have one of these lists,",00:01:18.160,00:01:20.740
"then you can instantly know
where x fits in that list",00:01:20.740,00:01:25.300
"in constant time per thing, as
long as you spend log n time",00:01:25.300,00:01:28.360
"to get started, provided your
graph has bounded degree.",00:01:28.360,00:01:32.140
"That was necessary to do
all the fractional cascading",00:01:32.140,00:01:34.510
"stuff of copying half
into the next level up.",00:01:34.510,00:01:38.950
"So we're going to
use this result",00:01:38.950,00:01:41.860
"to get a lag factor improvement
in our old friend orthogonal",00:01:41.860,00:01:45.310
range searching.,00:01:45.310,00:01:46.660
"So let's do orthogonal
range searching.",00:01:46.660,00:01:53.800
"So last time, we
saw how to do two",00:01:53.800,00:01:56.515
"dimensional orthogonal range
searching in log n per query.",00:01:56.515,00:02:00.250
"That was using fractional
cascading, or, really,",00:02:00.250,00:02:03.570
"half of fractional
cascading, which",00:02:03.570,00:02:05.050
was just a cross-linking idea.,00:02:05.050,00:02:06.520
"This time we're going to do
3D orthogonal range searching",00:02:09.729,00:02:13.720
in log n time.,00:02:13.720,00:02:17.100
"Our space is going to go
up by a couple log factors.",00:02:17.100,00:02:20.580
But this is pretty cool.,00:02:20.580,00:02:21.580
"In general, for d
dimensions, this",00:02:21.580,00:02:23.170
"gives us log to the d minus
two, whereas last class, we saw",00:02:23.170,00:02:27.100
how to do log the d minus 1.,00:02:27.100,00:02:28.690
"Now, this is static only.",00:02:28.690,00:02:31.180
"You could probably
do poly-log update.",00:02:31.180,00:02:33.574
"But let's not worry
about updates.",00:02:33.574,00:02:34.990
We're just trying to do static.,00:02:34.990,00:02:38.350
"So 3D orthogonal range search
using fractional cascading--",00:02:38.350,00:02:43.300
this is kind of a tour de force.,00:02:43.300,00:02:44.890
"There's a really
cool result. It's",00:02:44.890,00:02:47.230
"in the ""Applications of
Fractional Cascading""",00:02:47.230,00:02:50.350
paper by Chazelle and Guibas.,00:02:50.350,00:02:52.150
"And it proceeds in
four easy steps.",00:02:52.150,00:02:55.360
"Each of the steps are easy,
but it's kind of amazing",00:02:55.360,00:02:57.850
where we get to.,00:02:57.850,00:02:59.600
"We're going to start out with
a two dimensional restricted",00:02:59.600,00:03:04.300
orthogonal range query.,00:03:04.300,00:03:05.850
We'll see why at the very end.,00:03:05.850,00:03:09.160
"But this is actually
from another paper",00:03:09.160,00:03:11.140
of Chazelle in the same year.,00:03:11.140,00:03:15.590
"OK, in general,
remember, in 3-D,",00:03:15.590,00:03:19.660
"we're trying to do
querying with a rectangle--",00:03:19.660,00:03:25.270
"a1, b1, a2, b2, a3, b3.",00:03:25.270,00:03:32.770
"We want to know all the
points in that rectangle.",00:03:32.770,00:03:34.830
"So I'm going to start out with
a very restricted form, which",00:03:34.830,00:03:37.330
"is only two dimensional,
for whatever reason.",00:03:37.330,00:03:39.805
And we'll see why later.,00:03:39.805,00:03:41.350
"y-coordinate and
z-coordinate, skipping x--",00:03:41.350,00:03:44.560
"and the left end
point doesn't exist.",00:03:44.560,00:03:46.510
"So you go all the way up to
b2, and you go all the way up",00:03:46.510,00:03:49.030
