text,start,stop
"The following
content is provided",00:00:00.080,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
"PROFESSOR: One of the cutest
little data structures",00:00:22.210,00:00:24.990
"that was ever invented
is called the heap.",00:00:24.990,00:00:27.890
"And we're going to use
the heap as an example",00:00:27.890,00:00:31.490
"implementation of
a priority queue.",00:00:31.490,00:00:35.390
"And we'll also use heaps to
build a sorting algorithm,",00:00:35.390,00:00:40.850
"called heap sort,
that is very, very",00:00:40.850,00:00:43.840
"different from either
insertion sort or merge sort.",00:00:43.840,00:00:48.790
"And it has some nice properties
that neither insertions sort",00:00:48.790,00:00:52.460
nor merge sort have.,00:00:52.460,00:00:54.520
"But what I want to
do is get started",00:00:54.520,00:00:57.540
"with motivating the
heap data structure,",00:00:57.540,00:01:02.870
"regardless of whether you're
interested in sorting or not.",00:01:02.870,00:01:06.670
"So the notion of a
priority queue, I think,",00:01:06.670,00:01:08.790
"makes intuitive
sense to all of you.",00:01:08.790,00:01:11.640
"It's essentially
a structure that",00:01:11.640,00:01:14.750
implements a set S of elements.,00:01:14.750,00:01:21.785
"And each of these elements
is associated with the key.",00:01:28.340,00:01:34.180
"And as you can imagine, a
priority queue is something",00:01:43.890,00:01:46.300
"where you queue
up for something,",00:01:46.300,00:01:49.250
"you want to buy something,
you want to sell something.",00:01:49.250,00:01:52.140
"You have certain
priorities assigned to you,",00:01:52.140,00:01:55.580
"and you want to pick the maximum
priority or the min priority.",00:01:55.580,00:01:59.970
"You want to be able to
delete it from the queue.",00:01:59.970,00:02:02.010
"You want to be able to insert
things into this queue.",00:02:02.010,00:02:04.650
"You want to be able to change
priorities in the queue.",00:02:04.650,00:02:07.430
"So all of these operations
are interesting operations",00:02:07.430,00:02:12.620
"that should run fast, and
for some definition of fast.",00:02:12.620,00:02:17.197
"Obviously we are interested
in the asymptotic complexity",00:02:17.197,00:02:19.530
definition of fast.,00:02:19.530,00:02:20.730
"In that case, we'll be saying
does this operation run",00:02:20.730,00:02:23.380
"an order n time, order
log n time, et cetera.",00:02:23.380,00:02:27.400
"So in general, I think
for the next few lectures,",00:02:27.400,00:02:30.810
"you're going to see a
specification of data structure",00:02:30.810,00:02:36.600
"in terms of the operations
that the data structure should",00:02:36.600,00:02:39.420
perform.,00:02:39.420,00:02:40.490
"And those of you who have
taken six double O five,",00:02:40.490,00:02:42.660
"you'll see that it's basically
an abstract data type that's",00:02:42.660,00:02:45.560
"associated with
these operations.",00:02:45.560,00:02:48.690
"So it's a spec for the
abstract data type.",00:02:48.690,00:02:51.540
"In six double O
five, you had really",00:02:51.540,00:02:54.200
"spent a lot of time on
asymptotic complexity,",00:02:54.200,00:02:56.940
"or the efficiency of operations
on the abstract data type.",00:02:56.940,00:03:00.400
"Here, in double O six,
you'll specify this ADT,",00:03:00.400,00:03:04.505
"and specify the set of
operations or methods",00:03:04.505,00:03:07.320
in the ADT.,00:03:07.320,00:03:08.450
"And we'll talk about whether
these are order end complexity",00:03:08.450,00:03:12.610
"log end complexity, and compare
and contrast different ADTs.",00:03:12.610,00:03:17.250
So today's ADT is a heap.,00:03:17.250,00:03:20.740
"And what is the
set of operations",00:03:20.740,00:03:24.630
"that we'd like to perform
on a priority queue?",00:03:24.630,00:03:28.030
"So we can use that to motivate
the development of the heap.",00:03:28.030,00:03:31.580
"And those are, insert s x.",00:03:31.580,00:03:35.080
"So you have a set of
elements s, and you",00:03:35.080,00:03:37.270
"want to be able to insert
element x into set s.",00:03:37.270,00:03:47.420
"You want to be able
to do max of s, which",00:03:47.420,00:03:51.740
"is return the element of
s with the largest key.",00:03:51.740,00:04:03.130
"And different from
max of s is extract",00:04:06.740,00:04:11.900
"max of x, which not only returns
the element with the largest",00:04:11.900,00:04:18.579
"key, but also removes it from s.",00:04:18.579,00:04:27.840
"So you have a queue, and
the person in the queue",00:04:27.840,00:04:31.149
"was serviced, or the element
in the queue was serviced,",00:04:31.149,00:04:33.440
and then removed from the queue.,00:04:33.440,00:04:36.320
"And finally you can
imagine changing",00:04:36.320,00:04:41.950
"the priority of a particular
element x in the set s.",00:04:41.950,00:04:46.610
"And this priority,
there's an associated key",00:04:46.610,00:04:50.740
"as we have up there
with each element.",00:04:50.740,00:04:54.240
And that key is called a k.,00:04:54.240,00:04:56.900
"And increase key s x k would
increase the value of x's key",00:04:56.900,00:05:13.980
to the new value k.,00:05:13.980,00:05:15.160
"And k could correspond to,
it's just called increase.",00:05:21.900,00:05:27.990
"Most of the time, you're
increasing the value",00:05:27.990,00:05:31.280
"in maybe a particular
application.",00:05:31.280,00:05:32.780
"You could have suddenly
a decrease key,",00:05:32.780,00:05:34.970
