text,start,stop
"The following content is
provided under a Creative",00:00:00.040,00:00:02.480
Commons license.,00:00:02.480,00:00:04.010
"Your support will help
MIT OpenCourseWare",00:00:04.010,00:00:06.340
"continue to offer high quality
educational resources for free.",00:00:06.340,00:00:10.700
"To make a donation or
view additional materials",00:00:10.700,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.035
at ocw.mit.edu.,00:00:17.035,00:00:17.660
ERIK DEMAINE: All right.,00:00:20.410,00:00:21.410
Welcome back to 6046.,00:00:21.410,00:00:23.870
"Today we continue our
theme of data structures",00:00:23.870,00:00:28.030
"but this time, instead of doing
a fancy cool data structure,",00:00:28.030,00:00:30.700
"we're going to look
at fancy cool analysis",00:00:30.700,00:00:33.370
techniques for data structures.,00:00:33.370,00:00:34.850
"And these are useful for tons
of different data structures,",00:00:34.850,00:00:37.880
"especially in the context when
you're using a data structure",00:00:37.880,00:00:41.800
to implement an algorithm.,00:00:41.800,00:00:44.380
"For example, in Dijkstra, when
you learn Dijkstra's algorithm,",00:00:44.380,00:00:48.950
"you had lots of
different heap structures",00:00:48.950,00:00:50.660
"you could use for the
priority queue in Dijkstra,",00:00:50.660,00:00:54.850
"and they gave different
running times with Dijkstra.",00:00:54.850,00:00:57.930
"But the key thing
in that context",00:00:57.930,00:01:00.230
"is that you cared about
the total running time",00:01:00.230,00:01:02.230
"of the algorithm,
less than you cared",00:01:02.230,00:01:05.390
"about the individual running
time of each operation.",00:01:05.390,00:01:08.370
"That's what
amortization is about.",00:01:08.370,00:01:10.910
"It's, I guess, a technique
from financial analysis,",00:01:10.910,00:01:13.910
"but we've appropriated
it in computer science",00:01:13.910,00:01:16.910
"as an analysis technique
to say, well, let's not",00:01:16.910,00:01:19.280
"worry about every single
operation worst case cost,",00:01:19.280,00:01:22.360
"let's just worry about the
total operation, the sum",00:01:22.360,00:01:25.630
of all the operations cost.,00:01:25.630,00:01:27.640
"That's the whole
idea of amortization,",00:01:27.640,00:01:29.540
"but there's a lot of
different ways to do it.",00:01:29.540,00:01:31.535
"We're going to cover four
different methods for doing it,",00:01:31.535,00:01:33.910
"and three-ish examples
of doing it today.",00:01:33.910,00:01:38.390
"You've seen some essentially
in recitation last time,",00:01:38.390,00:01:42.180
"and you've seen a
little bit in 6006,",00:01:42.180,00:01:44.460
"so let me first remind you of
the example of table doubling",00:01:44.460,00:01:50.040
from 6006.,00:01:50.040,00:01:56.330
"This came up in the
context of hash tables.",00:01:56.330,00:01:59.270
"As you may recall,
if you store n items",00:01:59.270,00:02:04.910
"in a hash table of size m--
there are m slots in the table,",00:02:04.910,00:02:12.280
"let's say, using chaining--
hashing with chaining-- then we",00:02:12.280,00:02:16.290
"got an expected
cost constant plus",00:02:16.290,00:02:27.270
"the load factor, size
of the table divided",00:02:27.270,00:02:29.520
by the number of items.,00:02:29.520,00:02:31.680
"So we wanted to get
constant expected,",00:02:31.680,00:02:34.030
"and so we wanted this to
always be, at most, a constant.",00:02:34.030,00:02:38.220
"I guess we could handle
a larger table size,",00:02:38.220,00:02:40.250
"although then we are
unhappy about our space,",00:02:40.250,00:02:42.600
"but we definitely want m to be
at least around n so that this",00:02:42.600,00:02:46.350
works out to order one.,00:02:46.350,00:02:48.770
"And the solution for doing
that was table doubling.",00:02:48.770,00:02:51.230
"Whenever the table is
too big, double it--",00:02:51.230,00:02:53.275
"or sorry-- whenever
the table is too small",00:02:53.275,00:02:55.025
"and we have too many items,
double the size of the table.",00:02:55.025,00:02:58.080
"If n-- n is the thing
that we can't control.",00:03:01.260,00:03:08.522
"That's the number
of items somebody",00:03:08.522,00:03:09.980
is inserting into the table.,00:03:09.980,00:03:11.790
"If n grows to the value
to match m, then double m.",00:03:11.790,00:03:18.650
"So m prime equals 2m, and
to double the table size,",00:03:22.400,00:03:29.935
"you have to allocate a new
array of double the size",00:03:29.935,00:03:32.060
"and copy over all the items,
and that involves hashing.",00:03:32.060,00:03:35.750
"But overall this will take
order, size of the table, work.",00:03:35.750,00:03:42.320
"Doesn't matter whether I'm
using m or m prime here,",00:03:42.320,00:03:45.469
"because they're within a
constant factor of each other,",00:03:45.469,00:03:47.760
and that's bad.,00:03:47.760,00:03:48.770
"Linear time to do an
insertion is clearly bad.",00:03:48.770,00:03:51.110
"This is all during one
insertion operation",00:03:51.110,00:03:53.070
"that this would happen,
but overall it's",00:03:53.070,00:03:55.400
"not going to be bad, because
you only double log n times.",00:03:55.400,00:03:58.550
"And if you look at
the total cost--",00:03:58.550,00:04:06.130
"so maybe you think, oh,
is it log n per operation,",00:04:06.130,00:04:09.130
"but it's not so bad because
total cost for n insertions",00:04:09.130,00:04:14.070
"starting from an empty structure
is something like 2 to the 0--",00:04:14.070,00:04:21.352
"this is a big theta outside--
2 to the 1, 2 to the 2.",00:04:21.352,00:04:24.890
