text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.490
Commons license.,00:00:02.490,00:00:04.059
"Your support will help
MIT OpenCourseWare",00:00:04.059,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.280
at ocw.mit.edu,00:00:17.280,00:00:21.110
"PROFESSOR: All right today we
begin a topic dear to my heart.",00:00:21.110,00:00:24.240
"It's a problem that's
still pretty open,",00:00:24.240,00:00:26.430
but I've worked on a lot.,00:00:26.430,00:00:27.840
Dynamic optimality.,00:00:27.840,00:00:29.400
"Central question here is, is
there one binary search tree",00:00:29.400,00:00:32.850
"that's at least as good as
all other binary search trees?",00:00:32.850,00:00:35.310
"Is there one binary search
tree to rule them all?",00:00:35.310,00:00:38.580
"It's kind of a
fundamental question.",00:00:38.580,00:00:40.230
Goes back to the '80s.,00:00:40.230,00:00:42.980
"In particular splay trees, which
you have probably seen before.",00:00:42.980,00:00:46.580
We'll review them briefly here.,00:00:46.580,00:00:49.080
"And there's a lot of
technology built up,",00:00:49.080,00:00:50.820
"which we'll talk about this
lecture and next lecture,",00:00:50.820,00:00:53.670
"about how to tackle
this problem.",00:00:53.670,00:00:56.050
"It's still active
area of research.",00:00:56.050,00:00:59.310
"So before I get to-- well
the central question here is,",00:00:59.310,00:01:06.580
"is there one best
binary search tree?",00:01:06.580,00:01:13.500
"It's a natural question because
we use binary search trees",00:01:16.634,00:01:19.050
all the time.,00:01:19.050,00:01:19.591
"Already in this class,
probably every lecture,",00:01:19.591,00:01:21.510
"we've used a binary
search tree for something.",00:01:21.510,00:01:24.190
"And we all know how to do order
log in balanced binary search",00:01:24.190,00:01:30.880
trees.,00:01:30.880,00:01:31.380
"And the question becomes,
is this the best you can do?",00:01:35.760,00:01:38.940
"To make this more formal
of a problem, well, yeah.",00:01:49.590,00:01:59.260
"I want to define binary search
tree as a model of computation.",00:01:59.260,00:02:05.340
"OK we've talked about
pointer machine model.",00:02:05.340,00:02:07.640
"Binary search tree model is
a more restricted version",00:02:07.640,00:02:10.930
of pointer machine.,00:02:10.930,00:02:11.980
"So it's less than
pointer machine.",00:02:11.980,00:02:14.920
"Just so it's clear what
the name of this game is,",00:02:18.270,00:02:21.940
"we require the data to be
stored in a binary search",00:02:21.940,00:02:30.820
tree as it's keys.,00:02:30.820,00:02:34.525
"And then we allow
basic operations.",00:02:40.120,00:02:42.550
"Let me make sure I
get the right list.",00:02:46.610,00:02:51.910
"You can follow
pointers, and we're",00:03:01.950,00:03:03.930
"going to assume our BST
has left triad pointers,",00:03:03.930,00:03:07.140
"right triad pointers,
and parent pointers.",00:03:07.140,00:03:09.270
"You can do each of
these in constant time.",00:03:09.270,00:03:11.370
"And then the interesting one,
interesting thing you can do,",00:03:11.370,00:03:14.850
is rotate a node and its parent.,00:03:14.850,00:03:18.210
"So sure you've seen
rotations before.",00:03:23.550,00:03:26.960
"If this is my node
x, and I do rotate",00:03:34.160,00:03:36.410
"x, it's going to be my
definition of rotation,",00:03:36.410,00:03:43.070
x moves to the root.,00:03:43.070,00:03:44.840
"It's in this case because x
is to the right of it's parent",00:03:44.840,00:03:47.770
"it remains now to the
right of it's, what",00:03:47.770,00:03:51.870
now becomes it's child.,00:03:51.870,00:03:52.940
"These sub-trees come
along for the ride.",00:03:56.100,00:03:58.250
"This preserves the binary
search tree property.",00:03:58.250,00:04:01.280
"And you could get
back by rotating y.",00:04:01.280,00:04:03.564
"OK by this definition
of rotate we",00:04:06.230,00:04:08.547
"don't need to
distinguish between left",00:04:08.547,00:04:10.130
and right rotations.,00:04:10.130,00:04:12.230
"We always name the child and
it's parent is well defined.",00:04:12.230,00:04:15.490
That's who we rotate with.,00:04:15.490,00:04:17.190
So it's just flipping this edge.,00:04:17.190,00:04:20.010
"So these are the operations
you can do, and in this model",00:04:20.010,00:04:23.120
"really the only thing
you can do is a search.",00:04:23.120,00:04:25.190
"Suppose I want to
search for a key.",00:04:25.190,00:04:27.650
"The model is to do a search I
start at the root of the tree,",00:04:27.650,00:04:38.300
of the binary search tree.,00:04:38.300,00:04:39.620
I can do these walks.,00:04:39.620,00:04:40.670
I could do rotations.,00:04:40.670,00:04:42.500
And I must visit--,00:04:42.500,00:04:44.930
"if I'm going to search for x,
must visit the node with key",00:04:44.930,00:04:55.970
equal to x.,00:04:55.970,00:04:58.160
"And we're going to assume
throughout these lectures",00:04:58.160,00:05:00.290
"that searches are
always successful.",00:05:00.290,00:05:01.850
