text,start,stop
"The following content is
provided under a Creative",00:00:00.790,00:00:03.190
Commons license.,00:00:03.190,00:00:04.730
"Your support will help
MIT OpenCourseWare",00:00:04.730,00:00:07.030
"continue to offer high quality
educational resources for free.",00:00:07.030,00:00:11.390
"To make a donation or
view additional materials",00:00:11.390,00:00:13.990
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.990,00:00:17.880
at ocw.mit.edu.,00:00:17.880,00:00:18.840
"PROFESSOR: Quick, quick recap
of what we did last time.",00:00:30.709,00:00:33.000
"So last time we introduced
this idea of decomposition",00:00:33.000,00:00:36.830
and abstraction.,00:00:36.830,00:00:37.610
"And we started putting
that into our programs.",00:00:37.610,00:00:39.719
"And these were sort of
high level concepts,",00:00:39.719,00:00:41.510
"and we achieved them using
these concrete things called",00:00:41.510,00:00:45.170
functions in our programs.,00:00:45.170,00:00:46.544
"And functions
allowed us to create",00:00:46.544,00:00:47.960
"code that was coherent, that
had some structure to it,",00:00:47.960,00:00:53.180
and was reusable.,00:00:53.180,00:00:55.160
OK.,00:00:55.160,00:00:57.220
"And from now on in problem
sets and in lectures,",00:00:57.220,00:00:59.487
"I'm going to be using
functions a lot.",00:00:59.487,00:01:01.070
"So make sure that you
understand how they work",00:01:01.070,00:01:04.019
and all of those details.,00:01:04.019,00:01:05.450
"So today, we're going to
introduce two new data types.",00:01:05.450,00:01:09.676
"And they're called
compound data types,",00:01:09.676,00:01:11.300
"because they're actually
data types that are made up",00:01:11.300,00:01:13.466
"of other data types,
particularly ints, floats,",00:01:13.466,00:01:17.120
"Booleans, and strings.",00:01:17.120,00:01:19.020
"And actually not just these,
but other data types as well.",00:01:19.020,00:01:22.220
"So that's why they're
called compound data types.",00:01:22.220,00:01:24.390
"So we're going to
look at a new data",00:01:24.390,00:01:27.080
"type called a tuple and a
new data type called a list.",00:01:27.080,00:01:30.776
"And then we're going to
talk about these ideas that",00:01:30.776,00:01:32.900
"come about with--
specifically with lists.",00:01:32.900,00:01:38.110
All right.,00:01:38.110,00:01:38.610
So let's go right into tuples.,00:01:38.610,00:01:41.790
"So if you recall
strings, strings",00:01:41.790,00:01:44.130
were sequences of characters.,00:01:44.130,00:01:47.710
"Tuples are going to be similar
to strings in that they're",00:01:47.710,00:01:50.640
"going to be sequences
of something,",00:01:50.640,00:01:52.915
"except that tuples aren't
just sequences of characters,",00:01:52.915,00:01:55.350
"they can be sequences
of anything.",00:01:55.350,00:01:57.540
"They're a collection
of data where",00:01:57.540,00:01:59.310
that data can be of any type.,00:01:59.310,00:02:01.070
"So a tuple can contain
elements that are integers,",00:02:05.310,00:02:08.680
"floats, strings, and so on.",00:02:08.680,00:02:10.470
Tuples are immutable.,00:02:13.110,00:02:14.640
"And if you recall, we talked
about this word a little bit",00:02:14.640,00:02:17.280
when we talked about strings.,00:02:17.280,00:02:19.020
"So that means once you
create a tuple object,",00:02:19.020,00:02:21.330
you can't modify it.,00:02:21.330,00:02:22.720
"So when you created
a string object,",00:02:22.720,00:02:24.960
"you were not allowed
to modify it.",00:02:24.960,00:02:27.690
"So the way we create tuples
are with these open and close",00:02:30.280,00:02:33.520
parentheses.,00:02:33.520,00:02:36.270
"This shouldn't be
confused with a function,",00:02:36.270,00:02:38.180
"because there's
nothing-- there's no--",00:02:38.180,00:02:41.330
this isn't a function call.,00:02:41.330,00:02:42.740
"It's just how you
represent a tuple.",00:02:42.740,00:02:44.922
"For a function call,
you'd have something right",00:02:44.922,00:02:46.880
before the parentheses.,00:02:46.880,00:02:48.950
"This is just how we chose
to represent a tuple.",00:02:48.950,00:02:53.010
"And just a plain open
and close parentheses",00:02:53.010,00:02:54.920
represents an empty tuple.,00:02:54.920,00:02:56.390
So it's of length 0.,00:02:56.390,00:02:57.350
