text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.490
Commons license.,00:00:02.490,00:00:04.030
"Your support will help
MIT OpenCourseWare",00:00:04.030,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.280
at ocw.mit.edu.,00:00:17.280,00:00:18.450
"ERIK DEMAINE: All right, welcome
back to Dynamic Optimality.",00:00:22.100,00:00:24.680
"This is the second
of two lectures.",00:00:24.680,00:00:27.020
"And today we're going to
focus mainly on lower bounds.",00:00:27.020,00:00:29.770
"So last time we saw this
geometric connection",00:00:29.770,00:00:32.479
to binary search trees.,00:00:32.479,00:00:34.020
"So again, this is about is there
one best binary search tree.",00:00:34.020,00:00:37.760
"And we represented binary
search trees, or at least",00:00:37.760,00:00:40.070
"the execution of
those algorithms,",00:00:40.070,00:00:42.080
as point sets in time space.,00:00:42.080,00:00:45.920
"And of course a point
set corresponded",00:00:45.920,00:00:49.340
"to a valid execution of a BST
tree where each of these points",00:00:49.340,00:00:52.410
"represented which nodes got
touched during an access.",00:00:52.410,00:00:55.970
"If and only if the point
set was arborally satisfied,",00:00:55.970,00:00:59.300
"meaning you take any two
points in the point set,",00:00:59.300,00:01:01.910
"if they span a
rectangle that is not",00:01:01.910,00:01:03.530
"just a horizontal or
vertical line segment,",00:01:03.530,00:01:05.720
"there must be a
third point somewhere",00:01:05.720,00:01:07.640
"inside that rectangle,
which in the end",00:01:07.640,00:01:09.410
"implies that there's a monotone
path between those two points.",00:01:09.410,00:01:14.310
"And then we saw, on
the upper bound side,",00:01:14.310,00:01:16.190
"we saw a greedy algorithm, which
was the obvious offline thing",00:01:16.190,00:01:19.100
"to do, which is as
these points come along,",00:01:19.100,00:01:22.010
"as you do the accesses,
the white dots,",00:01:22.010,00:01:24.170
"you add the necessary
red dots in order",00:01:24.170,00:01:26.540
"to make it arborally
satisfied row by row.",00:01:26.540,00:01:30.867
"And so that seemed like the
obvious offline thing to do.",00:01:30.867,00:01:33.200
"Turns out it could be done
online up to constant factors.",00:01:33.200,00:01:36.140
I sketched that last time.,00:01:36.140,00:01:37.790
"And this is conjectured to
be within a constant factor",00:01:37.790,00:01:40.100
of optimal.,00:01:40.100,00:01:41.060
We can't prove it.,00:01:41.060,00:01:41.810
"What I'm going to show
today is our best attempts",00:01:41.810,00:01:43.851
at proving this is optimal.,00:01:43.851,00:01:45.166
"In particular, there's
something called",00:01:45.166,00:01:46.790
"the signed greedy algorithm,
which is almost the same as",00:01:46.790,00:01:49.730
"greedy, but it's a lower bound.",00:01:49.730,00:01:52.100
And greedy is an upper bound.,00:01:52.100,00:01:54.007
"So all you need to do is
show these two things are",00:01:54.007,00:01:56.090
"within a constant factor of
each other and we're done.",00:01:56.090,00:01:59.564
"We're not going to
get there, obviously,",00:01:59.564,00:02:01.230
"because we haven't
solved that yet.",00:02:01.230,00:02:02.830
"But along the way,
we're going to see",00:02:02.830,00:02:05.900
"tango trees, which achieve this
log log n competitive bound.",00:02:05.900,00:02:10.639
"So we think greedy is
constant competitive.",00:02:10.639,00:02:13.120
"The best we know right
now is log log n,",00:02:13.120,00:02:14.840
"this is an improvement
over red black trees,",00:02:14.840,00:02:17.330
which achieve log n.,00:02:17.330,00:02:19.340
"Any balance binary search
tree is within a log n",00:02:19.340,00:02:21.710
factor of optimal.,00:02:21.710,00:02:23.030
"So it's all between constant and
log n that we're trying to do.",00:02:23.030,00:02:27.350
"Another fun consequence
of lower bounds",00:02:27.350,00:02:29.450
"is a particular
sense in which log n",00:02:29.450,00:02:31.450
"is necessary for some
access sequences.",00:02:31.450,00:02:34.350
"So I argued last time
that if you take, like,",00:02:34.350,00:02:37.340
"a random access sequence, or--",00:02:37.340,00:02:39.650
"for example, if you look
at a binary search tree",00:02:39.650,00:02:42.487
"and you say, oh, I'll just
access the thing that's",00:02:42.487,00:02:44.570
"deepest in the
tree, there's always",00:02:44.570,00:02:46.160
"something that's deep in the
tree of depth, at least log n.",00:02:46.160,00:02:48.950
"And so for any
binary search tree",00:02:48.950,00:02:50.450
there is an access sequence.,00:02:50.450,00:02:51.710
"No matter what that
binary search tree does,",00:02:51.710,00:02:53.543
"I can choose the next
access to force you",00:02:53.543,00:02:56.300
to take log n per operation.,00:02:56.300,00:02:58.520
"What we're going to see
today in these lower bounds",00:02:58.520,00:03:01.370
"is one access sequence that
for all binary search trees,",00:03:01.370,00:03:05.600
they must spend log n time.,00:03:05.600,00:03:08.780
"Just changing the
quantifiers around.",00:03:08.780,00:03:11.240
"So instead of for every
binary search tree",00:03:11.240,00:03:13.970
"there is an access
sequence, there's",00:03:13.970,00:03:15.470
"going to be there is
an access sequence",00:03:15.470,00:03:17.480
"such that for every
binary search tree",00:03:17.480,00:03:19.070
