text,start,stop
"PATRICK WINSTON: Many of you,
maybe most of you, will never",00:00:10.110,00:00:12.660
"have to work another search
problem by hand in your",00:00:12.660,00:00:14.850
natural life.,00:00:14.850,00:00:17.510
"Others will want to
take another run",00:00:17.510,00:00:19.870
at it on the final.,00:00:19.870,00:00:22.100
"I've been much criticized
for this way of doing",00:00:22.100,00:00:25.030
grading in the class.,00:00:25.030,00:00:26.000
"But the way I look at it is that
the relationship between",00:00:26.000,00:00:31.490
"students and instructors ought
to be less adversarial than it",00:00:31.490,00:00:34.330
"used to be in the good old days
when I was a student.",00:00:34.330,00:00:39.910
"I especially remember an
examination we took--",00:00:39.910,00:00:44.100
"all of us took-- on Rayleigh
scattering.",00:00:44.100,00:00:46.450
"That was 803, I think.",00:00:46.450,00:00:48.670
"And back in the old days, we
had to take four physics",00:00:48.670,00:00:51.720
"courses, not just two.",00:00:51.720,00:00:53.640
"And we had to take four math
courses, not just two.",00:00:53.640,00:00:57.100
Back in the days when--,00:00:57.100,00:00:59.830
"well, I was going to
say men were men.",00:00:59.830,00:01:01.450
"But most of us were
men in those days.",00:01:01.450,00:01:03.130
"I think we only had 20
women in our class.",00:01:03.130,00:01:06.110
"Anyway, we had a quiz on
Rayleigh scattering.",00:01:06.110,00:01:09.950
"And I thought, well, this
is pretty hard.",00:01:09.950,00:01:11.910
And then I got my quiz back.,00:01:11.910,00:01:16.790
26.,00:01:16.790,00:01:19.370
"I thought, well, I've
been found out.",00:01:19.370,00:01:22.730
I'm going to flunk out.,00:01:22.730,00:01:25.030
"My father will make me
go to law school.",00:01:25.030,00:01:28.350
"I'll never attract
anyone to marry.",00:01:28.350,00:01:31.810
Horrible things will happen.,00:01:31.810,00:01:34.480
"Then the instructor announced
the class average was 18.",00:01:34.480,00:01:36.885
"I was two standard deviations
above that.",00:01:36.885,00:01:39.220
"They gave us the same exam
two weeks later,",00:01:41.960,00:01:44.420
and accounts vary.,00:01:44.420,00:01:46.030
"Some people say that the class
average went down.",00:01:46.030,00:01:49.340
"Anyway, today we're going
to study some stuff.",00:01:49.340,00:01:51.720
"We're going to study some
stuff that will make it",00:01:54.760,00:01:56.780
"possible for you to understand
how you can do that",00:01:56.780,00:02:00.230
"computation in just a couple
of seconds, even with the",00:02:00.230,00:02:02.990
"delays introduced by
the redrawing.",00:02:02.990,00:02:06.610
Now this particular program--,00:02:06.610,00:02:09.660
"I'm not real sure and I don't
have a proof, but I think it",00:02:09.660,00:02:11.970
"will take more than the lifetime
of the universe to",00:02:11.970,00:02:15.530
"find a legitimate coloring of
the continental United States.",00:02:15.530,00:02:19.910
"But by the end of the next
class, you'll see how to do",00:02:19.910,00:02:21.860
"that lickety-split in just
couple of seconds, even with",00:02:21.860,00:02:24.820
the re-display delays.,00:02:24.820,00:02:26.580
"Now we could, of course,
do this in two ways.",00:02:31.750,00:02:36.590
"One way is I could start off
by saying, let C be a",00:02:36.590,00:02:39.950
"constraint satisfaction
problem and just",00:02:39.950,00:02:42.490
give you the result.,00:02:42.490,00:02:45.170
And anybody can do that.,00:02:45.170,00:02:46.950
That's great.,00:02:46.950,00:02:48.406
"And you needed to learn
some stuff that way.",00:02:48.406,00:02:53.030
"But there are some things that
you needed to learn, I think,",00:02:53.030,00:02:55.740
a different way.,00:02:55.740,00:02:56.630
"And that different way involves
my telling you the",00:02:56.630,00:02:59.100
"story of how it all
came to be.",00:02:59.100,00:03:01.750
"This is a new field, pretty
much, and therefore I know",00:03:01.750,00:03:06.440
most of the people in it.,00:03:06.440,00:03:07.730
"And I know all of the people
who did the work that I'm",00:03:07.730,00:03:09.730
going to tell you about today.,00:03:09.730,00:03:10.720
"I'm going to tell you a little
bit about the struggle for",00:03:10.720,00:03:13.220
"coming up with the ideas that
led to one of the most",00:03:13.220,00:03:23.160
"powerful methods you'll learn
about in the subject.",00:03:23.160,00:03:26.130
"It all has to do, originally,
with an attempt to make a",00:03:26.130,00:03:29.670
computer capable of seeing.,00:03:29.670,00:03:31.832
"And everybody said to
themselves, well, let's start",00:03:31.832,00:03:33.890
"with seeing simple things,
like children's blocks.",00:03:33.890,00:03:37.280
"And so Adolfo Guzman, a graduate
student of Marvin",00:03:37.280,00:03:40.040
"Minsky's, was charged with the
summer project, which led to",00:03:40.040,00:03:43.480
"his Ph.D. thesis, of writing a
program that could look at a",00:03:43.480,00:03:47.590
"line drawing and determine
how many objects",00:03:47.590,00:03:50.440
are in the line drawing.,00:03:50.440,00:03:52.730
"So for example, there behind my
outline is a line drawing.",00:03:52.730,00:04:00.870
"And you believe instantly that
there are two objects there,",00:04:00.870,00:04:06.400
"even though in some deep
sense, it's ambiguous.",00:04:06.400,00:04:08.690
"There are all sorts of ways
that you could, through",00:04:08.690,00:04:12.540
"trickery, arrange something with
even seven objects that",00:04:12.540,00:04:16.579
look that way.,00:04:16.579,00:04:17.709
"But most people would say
there are two objects.",00:04:17.709,00:04:21.269
"So Guzman set about the
problem of figuring",00:04:21.269,00:04:23.350
out how to do that.,00:04:23.350,00:04:24.650
"And then his work was followed
by Dave Huffman.",00:04:24.650,00:04:26.860
"And his work was followed
up by Dave Waltz.",00:04:26.860,00:04:29.440
"And his work was followed up by
Jane [? Froyter ?], who's",00:04:29.440,00:04:31.850
not listed there quite yet.,00:04:31.850,00:04:33.880
"And I want to tell you a little
bit of story how that",00:04:33.880,00:04:35.580
all happened.,00:04:35.580,00:04:37.510
"So Guzman took a lot
of pictures.",00:04:37.510,00:04:40.440
"He went to Boston Baby, the
precursor to Toys R Us,",00:04:40.440,00:04:44.870
"purchased a large block set on
a government contract, and",00:04:44.870,00:04:51.990
"went about the business of
taking a lot of pictures of",00:04:51.990,00:04:54.640
"them so he'd get a feel
for the domain.",00:04:54.640,00:04:57.390
"And eventually he decided that
he could build a program that",00:04:57.390,00:05:00.370
"could determine that there are
two objects here by using the",00:05:00.370,00:05:03.910
"lines as a quanta of evidence
about which faces belong",00:05:03.910,00:05:10.800
together in an object.,00:05:10.800,00:05:13.090
"So he said, after studying these
for a long time, that",00:05:13.090,00:05:16.870
"these drawings tend to have a
lot of arrow-type junctions",00:05:16.870,00:05:20.060
"and a lot of fork-type
junctions.",00:05:20.060,00:05:22.460
"And when you see an arrow, it's
a little bit of evidence",00:05:22.460,00:05:24.980
"that the objects on either
side of the shaft are the",00:05:24.980,00:05:27.490
"same-- the face on either side
of the shaft belong to the",00:05:27.490,00:05:30.010
same object.,00:05:30.010,00:05:31.880
"And over here, the fork-type
junction suggests that",00:05:31.880,00:05:37.590
"pairwise, three pairs
of faces seem to",00:05:37.590,00:05:40.590
belong to the same object.,00:05:40.590,00:05:42.910
"So with that idea, he could come
back to a drawing like",00:05:42.910,00:05:46.660
"this and start decorating it
with these so-called links,",00:05:46.660,00:05:49.570
"these quanta of evidence
that faces",00:05:49.570,00:05:53.090
belong to the same object.,00:05:53.090,00:05:54.340
"And if I've done it right,
you get something",00:06:00.408,00:06:02.200
that looks like so.,00:06:02.200,00:06:04.230
"It's a little hard to
see what's going on",00:06:04.230,00:06:06.650
on the drawing itself.,00:06:06.650,00:06:07.920
So let me number these.,00:06:07.920,00:06:09.170
"Now I have an
easier-to-deal-with picture.",00:06:26.550,00:06:29.180
"There are two links between
1 and 2 and 1 and 3.",00:06:29.180,00:06:35.080
One link between 2 and 3.,00:06:35.080,00:06:37.890
One between 2 and 4.,00:06:37.890,00:06:39.820
Two here.,00:06:39.820,00:06:41.470
Two here.,00:06:41.470,00:06:43.120
"And one each from
all of these.",00:06:43.120,00:06:46.700
"So Guzman produces this evidence
for how the problem",00:06:46.700,00:06:49.760
"ought to be solved and then he
begins to think about various",00:06:49.760,00:06:52.960
ways of using the evidence.,00:06:52.960,00:06:55.050
"So he could, and did, decide
that one link is enough to",00:06:55.050,00:07:01.830
"presume that the faces belong
to the same object.",00:07:01.830,00:07:04.720
"And you can see that that's
a little bit too liberal.",00:07:04.720,00:07:07.730
"Because that says
that the whole",00:07:07.730,00:07:08.840
thing is just one object.,00:07:08.840,00:07:11.710
"So Guzman rejected the one-link
theory and went to",00:07:11.710,00:07:17.695
the two-link theory.,00:07:17.695,00:07:18.945
"And the two-link theory says,
oh, well, let's see.",00:07:22.330,00:07:27.110
"If we insist that two links
should be there before we are",00:07:27.110,00:07:30.390
"willing to decide that it's the
same object, then these",00:07:30.390,00:07:35.910
"three faces are pulled together
into one object.",00:07:35.910,00:07:39.090
"These three are pulled together
into one object.",00:07:39.090,00:07:41.790
"But alas, 7 doesn't share two
links with anything, so it's",00:07:41.790,00:07:44.410
left dangling out there.,00:07:44.410,00:07:46.830
"So plainly, the two-link theory
is too conservative.",00:07:46.830,00:07:50.990
"So that as you would soon
discover in any [INAUDIBLE]",00:07:50.990,00:07:54.110
"project, would lead you to a
third theory, which is two",00:07:54.110,00:07:57.030
lengths repeated.,00:07:57.030,00:08:01.960
"So now that we've formed these
super regions, we can come",00:08:01.960,00:08:07.430
"back and say we'll merge super
regions if they're connected",00:08:07.430,00:08:11.270
together by two or more links.,00:08:11.270,00:08:14.130
"So nothing new happens
up here.",00:08:14.130,00:08:16.240
"But this super region
is joined at 7",00:08:16.240,00:08:19.440
by two or more links.,00:08:19.440,00:08:21.440
"So it pulls everything
together like so.",00:08:21.440,00:08:25.270
So that worked fine.,00:08:25.270,00:08:26.480
"Well, it didn't work fine.",00:08:26.480,00:08:27.480
"There were lots of examples
of situations",00:08:27.480,00:08:29.620
where it didn't work--,00:08:29.620,00:08:32.850
"in situations that were
considered nonsensical by us",00:08:32.850,00:08:36.230
"humans because it seemed silly,
the kind of conclusions",00:08:36.230,00:08:41.620
that it reached.,00:08:41.620,00:08:44.770
"So when Guzman presented this
work in his Ph.D. thesis",00:08:44.770,00:08:48.870
"defense, it's said--",00:08:48.870,00:08:52.830
"and who knows if it's true--
but it's said that Marvin",00:08:52.830,00:08:54.770
"Minsky thought it was
great work and we",00:08:54.770,00:08:56.630
should make him a professor.,00:08:56.630,00:08:59.250
"It happens that Dave Huffman was
also on the committee and",00:08:59.250,00:09:03.070
"said that it was ad hoc and the
thesis should be rejected.",00:09:03.070,00:09:07.440
"So we had two polar opposites
of impressions there.",00:09:07.440,00:09:10.580
"Dave Huffman, by the way--",00:09:10.580,00:09:11.920
"you've heard that name
before, I imagine.",00:09:11.920,00:09:15.160
"It's the guy who invented
Huffman coating as a term",00:09:15.160,00:09:18.830
"paper in a information theory
course taught by Bob Fano.",00:09:18.830,00:09:22.720
"He got an A, they say.",00:09:22.720,00:09:23.970
So Huffman didn't like it.,00:09:26.720,00:09:27.840
"He thought it was a little
bit too ad hoc.",00:09:27.840,00:09:29.860
It was too heuristic.,00:09:29.860,00:09:31.430
"It didn't take advantage
of anything we",00:09:31.430,00:09:33.365
might know about physics.,00:09:33.365,00:09:35.120
"And so people began to say,
well, why does it work?",00:09:35.120,00:09:37.500
And when does it not work?,00:09:37.500,00:09:39.570
"And that's just about the best
question you can answer in a",00:09:39.570,00:09:42.130
situation like this.,00:09:42.130,00:09:43.832
"And by playing with some more
of Guzman's pictures and",00:09:43.832,00:09:48.300
"reflecting on them, it turned
out that it worked because the",00:09:48.300,00:09:50.870
"world is full of three-face
junctions.",00:09:50.870,00:09:53.670
"Or let me say three-face
vertexes because they're out",00:09:58.350,00:10:01.180
there in the world.,00:10:01.180,00:10:02.940
"We'll reserve the word junction
for something else.",00:10:02.940,00:10:06.950
"And three-face vertexes
generally project into either",00:10:06.950,00:10:12.540
an arrow or a fork.,00:10:12.540,00:10:16.430
"So Guzman's whole program worked
on the weak backward",00:10:16.430,00:10:21.410
"conclusion that if you see one
of those, it probably came",00:10:21.410,00:10:24.700
from one of these.,00:10:24.700,00:10:25.890
So this is in the drawing.,00:10:25.890,00:10:27.320
That's in the world.,00:10:27.320,00:10:29.160
"So by a process that's neither
deduction or induction, but",00:10:29.160,00:10:32.130
"rather abduction, you see
one of those guys.",00:10:32.130,00:10:35.410
"And you say, well, they often
come from three-face vertexes",00:10:35.410,00:10:38.840
"in the world, so if you see one,
it probably came from a",00:10:38.840,00:10:41.610
"three-face vertex
in the world.",00:10:41.610,00:10:42.670
That's abduction.,00:10:42.670,00:10:45.520
"So once Huffman saw all that,
being a mathematician, he",00:10:45.520,00:10:51.670
"began to think about how one
might develop a different and",00:10:51.670,00:10:55.135
better theory.,00:10:55.135,00:10:56.430
"But we have to recognize that
all this work started off with",00:10:56.430,00:11:02.510
"the efforts of Guzman, who
was an experimentalist.",00:11:02.510,00:11:05.496
"And Huffman was a
mathematician.",00:11:13.610,00:11:16.775
"So naturally, they approached
the problem differently.",00:11:20.460,00:11:25.520
"So Huffman says, I'm not going
to concern myself too much",00:11:25.520,00:11:29.140
"with the actual problem that
Guzman was trying to solve.",00:11:29.140,00:11:32.600
"Rather, I'm going to work in a
very simple world, which I can",00:11:32.600,00:11:35.750
deal with mathematically.,00:11:35.750,00:11:38.390
"So he decided that he was going
to work in a world which",00:11:38.390,00:11:41.560
had several characteristics.,00:11:41.560,00:11:44.490
"Characteristic number one was
that the world would be",00:11:44.490,00:11:47.760
presented in general position.,00:11:47.760,00:11:49.550
"That is to say, no
screw cases.",00:11:58.969,00:12:02.190
"So if you see a cube, it's
going to look like this.",00:12:02.190,00:12:05.920
"And it's not going to
look like this.",00:12:09.660,00:12:14.540
So that's out.,00:12:14.540,00:12:15.970
And this is in.,00:12:15.970,00:12:17.360
"And the idea here is that that's
not general position,",00:12:17.360,00:12:19.550
"because if you perturb your
point of view a little bit,",00:12:19.550,00:12:21.930
you'll change those T junctions,00:12:21.930,00:12:23.340
into forks and arrows.,00:12:23.340,00:12:25.810
"So we know it had to deal
with those kinds of",00:12:25.810,00:12:27.430
weird kinds of cases.,00:12:27.430,00:12:31.210
"So that's presumption
number one.",00:12:31.210,00:12:34.820
"Presumption number two is that
we're going to be dealing with",00:12:34.820,00:12:38.760
a world that's trihedral.,00:12:38.760,00:12:40.010
"That means all vertexes out
there are going to be formed",00:12:45.650,00:12:49.080
from three planes.,00:12:49.080,00:12:50.330
"So you're going to have the
intersection of three planes.",00:12:52.770,00:12:55.720
"So how many kinds of junctions
can you see if the world is",00:12:55.720,00:12:58.840
"composed that way is the
question that Huffman sent",00:12:58.840,00:13:04.040
himself upon.,00:13:04.040,00:13:06.225
"The next assumption was that
there are going to be four",00:13:06.225,00:13:10.990
kinds of lines.,00:13:10.990,00:13:11.840
"See, Guzman only recognized
two kinds of lines-- lines",00:13:11.840,00:13:14.820
"that have a length and lines
that don't have a link.",00:13:14.820,00:13:17.350
"And they don't have very much to
do with the physical world.",00:13:17.350,00:13:20.160
"So Huffman says, I want to get
the constraint out of the",00:13:20.160,00:13:22.060
physical world.,00:13:22.060,00:13:23.610
"So I'm going to deal with
four kinds of lines--",00:13:23.610,00:13:26.590
"concave, convex, and boundary.",00:13:26.590,00:13:34.660
"So each of those kinds
of lines is going to",00:13:42.820,00:13:46.030
have its own notation.,00:13:46.030,00:13:47.240
"We'll call the convex lines
plus, the concave lines minus,",00:13:47.240,00:13:52.080
"and a boundary lines are going
to get an arrow on them,",00:13:52.080,00:13:54.600
"depending on which side
of the object--",00:13:54.600,00:14:00.330
"which side you would see the
object if you walk along the",00:14:00.330,00:14:02.510
"direction of this
little arrow.",00:14:02.510,00:14:05.364
STUDENT: Question.,00:14:05.364,00:14:06.614
"Which is concave and
which is convex?",00:14:11.220,00:14:12.684
"You said something and you
wrote the opposite.",00:14:12.684,00:14:14.636
"PATRICK WINSTON: Yeah, sorry.",00:14:14.636,00:14:15.612
Thank you.,00:14:15.612,00:14:18.060
"So concave, convex,
and boundary.",00:14:18.060,00:14:19.480
Thank you.,00:14:19.480,00:14:20.270
"So this down here, that's
a concave line.",00:14:20.270,00:14:23.345
"And that would get
a minus label.",00:14:23.345,00:14:26.550
"Oh, I don't know.",00:14:26.550,00:14:28.190
"These lines you're seeing here,
if there were stuff",00:14:28.190,00:14:31.290
"behind them instead of
me, then all those",00:14:31.290,00:14:33.440
would be convex lines.,00:14:33.440,00:14:36.960
"Many times you see
a boundary line.",00:14:36.960,00:14:38.220
"For example, now you don't see
both sides of that line down",00:14:38.220,00:14:41.720
here at the bottom.,00:14:41.720,00:14:42.370
So that's a boundary line.,00:14:42.370,00:14:43.750
"And the arrow would point in
that direction, so as to keep",00:14:43.750,00:14:46.250
"the stuff of the object on the
right as you walk along a kind",00:14:46.250,00:14:49.330
of mathematical convention.,00:14:49.330,00:14:52.160
"So three kinds of lines,
four kinds of labels.",00:14:52.160,00:14:54.710
"And there's some things
left out.",00:14:54.710,00:14:56.620
"That's because Huffman wanted
to keep his problem simple,",00:14:56.620,00:14:59.860
"something he could
manage by hand.",00:14:59.860,00:15:01.690
What's left out?,00:15:01.690,00:15:02.780
Cracks are left out.,00:15:02.780,00:15:04.060
Shadows are left out.,00:15:04.060,00:15:07.160
"There's a presumption that
there's nothing of interest",00:15:07.160,00:15:10.750
here with respect to that.,00:15:10.750,00:15:12.000
"So let's have a little
vocabulary before I go on.",00:15:14.940,00:15:20.260
And I'll try to stick to it.,00:15:20.260,00:15:21.560
"But there's the stuff out there,
and that consists of",00:15:21.560,00:15:24.100
vertexes and edges.,00:15:24.100,00:15:29.540
"And over here, on the
blackboard, we'll have",00:15:32.570,00:15:35.700
junctions and lines.,00:15:35.700,00:15:42.950
"And I'll try to stick
to that vocabulary.",00:15:42.950,00:15:44.490
All right?,00:15:44.490,00:15:44.870
"Yes, Christopher?",00:15:44.870,00:15:45.660
"STUDENT: Didn't you say there
were four types of lines?",00:15:45.660,00:15:47.590
"PATRICK WINSTON: Yeah, there
are four kinds of--",00:15:47.590,00:15:49.630
"the question is, didn't
I say there were",00:15:49.630,00:15:50.940
four kinds of lines?,00:15:50.940,00:15:51.840
"There are three kinds of lines,
but since we can label",00:15:51.840,00:15:53.860
"a boundary line in
either direction,",00:15:53.860,00:15:55.100
we have four labels.,00:15:55.100,00:15:55.980
OK?,00:15:55.980,00:15:58.010
"It depends on which side of the
object the stuff is on.",00:15:58.010,00:16:01.210
"And that will be clear,
I think, as",00:16:01.210,00:16:02.765
soon as I do an example.,00:16:02.765,00:16:05.670
"So one, two, three
assumptions.",00:16:05.670,00:16:08.650
A little bit of vocabulary.,00:16:08.650,00:16:11.170
"So we have the possibility of
making a complete catalog.",00:16:11.170,00:16:16.280
This is so simple.,00:16:16.280,00:16:17.220
"We have the possibility of
making a complete catalog of",00:16:17.220,00:16:20.200
"all the ways that lines can
come together to form a",00:16:20.200,00:16:22.510
"junction with respect to
these four labels.",00:16:22.510,00:16:26.576
