text,start,stop
"The following content is
provided under a Creative",00:00:00.040,00:00:02.460
Commons license.,00:00:02.460,00:00:03.870
"Your support will help MIT
OpenCourseWare continue to",00:00:03.870,00:00:06.910
"offer high-quality educational
resources for free.",00:00:06.910,00:00:10.560
"To make a donation or view
additional materials from",00:00:10.560,00:00:13.460
"hundreds of MIT courses, visit
MIT OpenCourseWare at",00:00:13.460,00:00:19.290
ocw.mit.edu.,00:00:19.290,00:00:20.540
"PROFESSOR: OK, good morning.",00:00:22.420,00:00:25.310
"So today, we're going to have
a fairly packed lecture.",00:00:25.310,00:00:30.930
"We are going to conclude
with chapter two,",00:00:30.930,00:00:34.060
discrete random variables.,00:00:34.060,00:00:35.560
"And we will be talking
mostly about",00:00:35.560,00:00:37.140
multiple random variables.,00:00:37.140,00:00:39.322
"And this is also the
last lecture as far",00:00:39.322,00:00:43.060
as quiz one is concerned.,00:00:43.060,00:00:44.720
"So it's going to cover the
material until today, and of",00:00:44.720,00:00:48.350
"course the next recitation
and tutorial as well.",00:00:48.350,00:00:52.550
"OK, so we're going to review
quickly what we introduced at",00:00:52.550,00:00:57.170
"the end of last lecture, where
we talked about the joint PMF",00:00:57.170,00:01:01.040
of two random variables.,00:01:01.040,00:01:02.300
"We're going to talk about the
case of more than two random",00:01:02.300,00:01:05.040
variables as well.,00:01:05.040,00:01:07.440
"We're going to talk about
the familiar concepts of",00:01:07.440,00:01:09.910
"conditioning and independence,
but applied to random",00:01:09.910,00:01:14.300
variables instead of events.,00:01:14.300,00:01:16.460
"We're going to look at the
expectations once more, talk",00:01:16.460,00:01:19.320
"about a few properties that they
have, and then solve a",00:01:19.320,00:01:22.720
"couple of problems and calculate
a few things in",00:01:22.720,00:01:25.900
somewhat clever ways.,00:01:25.900,00:01:28.180
"So the first point I want to
make is that, to a large",00:01:28.180,00:01:31.790
"extent, whatever is happening
in our chapter on discrete",00:01:31.790,00:01:34.870
"random variables is just an
exercise in notation.",00:01:34.870,00:01:39.160
"There is stuff and concepts that
you are already familiar",00:01:39.160,00:01:42.850
"with-- probabilities,
probabilities of two things",00:01:42.850,00:01:45.230
"happening, conditional
probabilities.",00:01:45.230,00:01:47.490
"And all that we're doing, to
some extent, is rewriting",00:01:47.490,00:01:51.760
"those familiar concepts
in new notation.",00:01:51.760,00:01:54.840
"So for example, this
is the joint PMF",00:01:54.840,00:01:57.810
of two random variable.,00:01:57.810,00:01:59.020
"It gives us, for any pair or
possible values of those",00:01:59.020,00:02:02.080
"random variables, the
probability that that pair",00:02:02.080,00:02:05.510
occurs simultaneously.,00:02:05.510,00:02:07.270
"So it's the probability that
simultaneously x takes that",00:02:07.270,00:02:10.020
"value, and y takes
that other value.",00:02:10.020,00:02:13.580
"And similarly, we have the
notion of the conditional PMF,",00:02:13.580,00:02:17.210
"which is just a list of the --
condition of -- the various",00:02:17.210,00:02:21.060
"conditional probabilities
of interest, conditional",00:02:21.060,00:02:23.750
"probability that one random
variable takes this value",00:02:23.750,00:02:26.450
"given that the other random
variable takes that value.",00:02:26.450,00:02:30.320
"Now, a remark about conditional
probabilities.",00:02:30.320,00:02:33.640
"Conditional probabilities
generally are like ordinary",00:02:33.640,00:02:36.640
probabilities.,00:02:36.640,00:02:37.370
"You condition on something
particular.",00:02:37.370,00:02:40.170
"So here we condition
on a particular y.",00:02:40.170,00:02:43.230
"So think of little y as
a fixed quantity.",00:02:43.230,00:02:46.580
"And then look at this
as a function of x.",00:02:46.580,00:02:49.800
"So given that y, which we
condition on, given our new",00:02:49.800,00:02:54.430
"universe, we're considering the
various possibilities for",00:02:54.430,00:02:58.990
"x and the probabilities
that they have.",00:02:58.990,00:03:01.290
"Now, the probabilities over
all x's, of course,",00:03:01.290,00:03:04.000
needs to add to 1.,00:03:04.000,00:03:05.830
"So we should have a relation
of this kind.",00:03:05.830,00:03:11.530
"So they're just like ordinary
probabilities over the",00:03:11.530,00:03:14.420
"different x's in a universe
where we are told the value of",00:03:14.420,00:03:18.230
the random variable y.,00:03:18.230,00:03:20.940
"Now, how are these related?",00:03:20.940,00:03:22.335
"So we call these the marginal,
these the joint, these the",00:03:25.200,00:03:28.190
conditional.,00:03:28.190,00:03:29.150
"And there are some relations
between these.",00:03:29.150,00:03:31.510
"For example, to find the
marginal from the joint, it's",00:03:31.510,00:03:35.430
pretty straightforward.,00:03:35.430,00:03:37.730
"The probability that x takes a
particular value is the sum of",00:03:37.730,00:03:41.680
"the probabilities of all of the
different ways that this",00:03:41.680,00:03:45.030
particular value may occur.,00:03:45.030,00:03:47.190
What are the different ways?,00:03:47.190,00:03:48.380
"Well, it may occur together with
a certain y, or together",00:03:48.380,00:03:51.910
"with some other y, or together
with some other y.",00:03:51.910,00:03:55.110
"So you look at all the possible
y's that can go",00:03:55.110,00:03:58.030
"together with this x, and add
the probabilities of all of",00:03:58.030,00:04:01.750
"those pairs for which we get
this particular value of x.",00:04:01.750,00:04:07.220
"And then there's a relation
between that connects these",00:04:07.220,00:04:13.120
"two probabilities with the
conditional probability.",00:04:13.120,00:04:16.230
And it's this relation.,00:04:16.230,00:04:18.630
It's nothing new.,00:04:18.630,00:04:20.279
"It's just new notation for
writing what we already know,",00:04:20.279,00:04:25.160
"that the probability of two
things happening is the",00:04:25.160,00:04:28.130
"probability that the first thing
happens, and then given",00:04:28.130,00:04:31.460
"that the first thing happens,
the probability that the",00:04:31.460,00:04:34.210
second one happened.,00:04:34.210,00:04:36.140
"So how do we go from
one to the other?",00:04:36.140,00:04:39.050
"Think of A as being the event
that X takes the value, little",00:04:39.050,00:04:42.960
"x, and B being the event that
Y takes the value, little y.",00:04:42.960,00:04:49.120
"So the joint probability is the
probability that these two",00:04:49.120,00:04:52.230
things happen simultaneously.,00:04:52.230,00:04:54.220
