text,start,stop
"PROFESSOR: The following content
is provided under a Creative",00:00:00.120,00:00:02.661
Commons license.,00:00:02.661,00:00:03.880
"Your support will help
MIT OpenCourseWare",00:00:03.880,00:00:06.090
"continue to offer high quality
educational resources for free.",00:00:06.090,00:00:10.180
"To make a donation or to
view additional materials",00:00:10.180,00:00:12.720
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.720,00:00:16.680
at ocw.mit.edu.,00:00:16.680,00:00:17.880
So welcome back.,00:00:21.590,00:00:23.240
"So we are now moving
to a new chapter, which",00:00:23.240,00:00:26.180
"is going to have a little
more of a statistical flavor",00:00:26.180,00:00:30.050
"when it comes to designing
methods, all right?",00:00:30.050,00:00:32.720
"Because if you
think about it, OK--",00:00:32.720,00:00:35.090
"some of you have probably
attempted problem number two",00:00:35.090,00:00:39.139
in the problem set.,00:00:39.139,00:00:39.930
"And you realize that maximum
likelihood estimators does not",00:00:39.930,00:00:44.360
"give you super trivial
estimators, right?",00:00:44.360,00:00:48.080
"I mean, when you have an n theta
theta, then the thing you get",00:00:48.080,00:00:50.752
"is not something you could have
guessed before you actually",00:00:50.752,00:00:53.210
attempted to solve that problem.,00:00:53.210,00:00:55.410
"And so, in a way, we've seen
already sophisticated methods.",00:00:55.410,00:00:59.270
"However, in many instances, the
maximum likelihood estimator",00:00:59.270,00:01:02.630
was just an average.,00:01:02.630,00:01:03.710
"And in a way, even if
we had this confirmation",00:01:03.710,00:01:07.010
"for maximum likelihood that
indeed that was the estimator",00:01:07.010,00:01:09.950
"that maximum likelihood
would spit out,",00:01:09.950,00:01:11.960
"and that our intuition
was therefore pretty good,",00:01:11.960,00:01:15.780
"most of the statistical analysis
or use of the central limit",00:01:15.780,00:01:18.560
"theorems, all these
things actually",00:01:18.560,00:01:20.390
"did not come in the
building of estimator,",00:01:20.390,00:01:23.780
"in the design of the
estimator, but really",00:01:23.780,00:01:25.700
"in the analysis
of the estimator.",00:01:25.700,00:01:27.365
"And you could say,
well, if I know already",00:01:27.365,00:01:29.955
"that the best estimator
is the average,",00:01:29.955,00:01:31.580
"I'm just going to
use the average.",00:01:31.580,00:01:32.996
"I don't have to, basically,
quantify how good it is.",00:01:32.996,00:01:35.450
"I just know it's
the best I can do.",00:01:35.450,00:01:37.760
We're going to talk about tests.,00:01:37.760,00:01:39.290
"And we're going to talk about
parametric hypothesis testing.",00:01:39.290,00:01:44.460
"So you should view this
as-- parametric means,",00:01:44.460,00:01:46.880
"well, it's about a parameter,
like we did before.",00:01:46.880,00:01:49.420
"And hypothesis testing is on
the same level as estimation.",00:01:49.420,00:01:54.420
"And on the same
level as estimator",00:01:54.420,00:01:56.510
"will be the word ""test,"" OK?",00:01:56.510,00:01:58.760
"And when we're going
to devise a test,",00:01:58.760,00:02:01.100
"we're going to actually
need to understand",00:02:01.100,00:02:03.200
"random fluctuations that arise
from the central limit theorem",00:02:03.200,00:02:06.090
"better, OK?",00:02:06.090,00:02:06.860
"It's not just going
to be in the analysis.",00:02:06.860,00:02:08.940
"It's also going to
be in the design.",00:02:08.940,00:02:10.610
"And everything we've been
doing before in understanding",00:02:10.610,00:02:12.901
"the behavior of an
estimator is actually",00:02:12.901,00:02:14.720
"going to come in
and be extremely",00:02:14.720,00:02:16.910
"useful in the actual
design of tests, OK?",00:02:16.910,00:02:21.820
"So as an example, I want to talk
to you about some real data.",00:02:21.820,00:02:25.120
I will not study this data.,00:02:28.080,00:02:29.690
But this data actually exist.,00:02:29.690,00:02:31.420
"You can find it
on R. And so, it's",00:02:31.420,00:02:34.330
"the data from the so-called
credit union Cherry Blossom",00:02:34.330,00:02:37.450
"Run, which is a 10 mile race.",00:02:37.450,00:02:38.890
"It takes place
every year in D.C.",00:02:38.890,00:02:40.550
"It seems that some of the
years are pretty nice.",00:02:40.550,00:02:42.550
"In 2009, there were about
15,000 participants.",00:02:42.550,00:02:45.820
Pretty big race.,00:02:45.820,00:02:47.290
"And the average running time
was 103.5 minutes, all right?",00:02:47.290,00:02:52.330
