text,start,stop
"The following content is
provided under a Creative",00:00:00.040,00:00:02.480
Commons license.,00:00:02.480,00:00:04.010
"Your support will help
MIT OpenCourseWare",00:00:04.010,00:00:06.340
"continue to offer high quality
educational resources for free.",00:00:06.340,00:00:10.690
"To make a donation or
view additional materials",00:00:10.690,00:00:13.320
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.320,00:00:17.035
at ocw.mit.edu.,00:00:17.035,00:00:17.660
SRINIVAS DEVADAS: All right.,00:00:21.264,00:00:22.430
"Good morning, everyone.",00:00:22.430,00:00:23.672
And let's get started.,00:00:23.672,00:00:26.060
"Today's lecture is about a
randomized data structure",00:00:26.060,00:00:30.130
called the skip list.,00:00:30.130,00:00:32.200
"And it's a data structure
that, obviously because it's",00:00:32.200,00:00:37.390
"randomized, we'd have to do
a probabilistic analysis for.",00:00:37.390,00:00:41.360
"And we're going to sort of raise
the stakes here a little bit",00:00:41.360,00:00:44.740
"with respect to
our expectation--",00:00:44.740,00:00:48.010
"the pun intended of this
data structure-- in the sense",00:00:48.010,00:00:52.640
"that we're not going to be happy
with just doing an expected",00:00:52.640,00:00:57.410
"value analysis or to get
what the expectation is",00:00:57.410,00:01:01.290
"of the search complexity
in a skip list.",00:01:01.290,00:01:05.129
"We're going to introduce this
notion with high probability,",00:01:05.129,00:01:10.030
"which is a stronger notion than
just giving you the expected",00:01:10.030,00:01:13.630
"value or the expectation for
the complexity of a search",00:01:13.630,00:01:19.020
algorithm.,00:01:19.020,00:01:20.090
"And we're going to prove
that under this notion,",00:01:20.090,00:01:24.690
"that search has a
particular complexity",00:01:24.690,00:01:28.500
with high probability.,00:01:28.500,00:01:30.520
"So we'll get to the with high
probability part a little bit",00:01:30.520,00:01:34.480
"later in the lecture,
but we're just",00:01:34.480,00:01:36.330
"going to start off doing some
cool data structure design,",00:01:36.330,00:01:41.470
"I guess, [INAUDIBLE]
pointing to the skip list.",00:01:41.470,00:01:45.210
"The skip list is a relatively
young data structure",00:01:45.210,00:01:48.810
"invented by a guy called
Bill Pugh in 1989,",00:01:48.810,00:01:54.290
so not much older than you guys.,00:01:54.290,00:01:56.597
"It's relatively easy to
implement as you'll see.",00:01:59.470,00:02:04.240
"I won't really claim
that, but hopefully you'll",00:02:04.240,00:02:07.480
"be convinced by the time you're
done describing the structure.",00:02:07.480,00:02:11.700
"Especially in comparison
to balanced trees.",00:02:11.700,00:02:18.004
"And we can do a comparison after
we do our analysis of the data",00:02:20.670,00:02:24.860
"structure as to what the
complexity comparisons are",00:02:24.860,00:02:30.290
"for search and insert
when you take a skip list",00:02:30.290,00:02:33.920
"and compare it to an
AVL tree, for example,",00:02:33.920,00:02:37.310
"or a red black tree, et cetera.",00:02:37.310,00:02:41.820
"In general, when we
have a data structure,",00:02:41.820,00:02:44.240
we want it to be dynamic.,00:02:44.240,00:02:46.840
"The skip list maintains
a dynamic set.",00:02:46.840,00:02:53.530
"What that means
is not only do you",00:02:53.530,00:02:55.970
"want to search on
it-- obviously it's",00:02:55.970,00:02:58.810
"uninteresting to have a static
data structure and do a search.",00:02:58.810,00:03:03.170
"You want to be able to
change it, want to be",00:03:03.170,00:03:05.750
able to insert values into it.,00:03:05.750,00:03:08.390
"There's a complexity of
insert to worry about.",00:03:08.390,00:03:10.600
"You want to be able
to delete values.",00:03:10.600,00:03:13.170
"And the richness of
the data structure",00:03:13.170,00:03:15.110
"comes from the operations
and the augmentations",00:03:15.110,00:03:17.800
"you can do on it, and the skip
lists are no exception to that.",00:03:17.800,00:03:22.440
"So if you want to maintain
a dynamic set of n elements,",00:03:22.440,00:03:25.870
"and you obviously know a ton
of data structures to do this,",00:03:25.870,00:03:29.320
"each of which has
different characteristics.",00:03:29.320,00:03:32.630
"And this is, if you
ignore hash tables,",00:03:32.630,00:03:37.050
"this is your first real
randomized data structure,",00:03:37.050,00:03:44.280
"if you're just taking
6006 and this class",00:03:44.280,00:03:48.740
"might have seen randomized
structures in other classes.",00:03:48.740,00:03:51.875
"So we're going to try and
do this in order log n time.",00:03:55.050,00:04:00.320
"As you know with
balanced binary trees,",00:04:00.320,00:04:04.190
"you can do things in order
log n time, a ton of things,",00:04:04.190,00:04:07.470
"pretty much everything
that is interesting.",00:04:07.470,00:04:12.070
"And this, given that
it's randomized,",00:04:12.070,00:04:16.010
"it's a relatively
easy analysis to show",00:04:16.010,00:04:19.360
"that the expectation or the
expected value of a search",00:04:19.360,00:04:25.210
"would be order log
n expected time.",00:04:25.210,00:04:28.750
"But we're going to, as I
said, raise the stakes,",00:04:28.750,00:04:31.550
"and we're going to
spend a ton of time",00:04:31.550,00:04:36.020
"the second half of this showing
the with high probability",00:04:36.020,00:04:40.610
"result. And that's
a stronger result",00:04:40.610,00:04:43.850
"than just saying that search
takes expected order log n",00:04:43.850,00:04:47.790
time.,00:04:47.790,00:04:49.120
