text,start,stop
"The following
content is provided",00:00:00.050,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
PROFESSOR: All right.,00:00:21.835,00:00:22.710
Let's get started.,00:00:22.710,00:00:24.980
"Today we start a brand
new section of 006,",00:00:24.980,00:00:27.730
which is hashing.,00:00:27.730,00:00:29.620
Hashing is cool.,00:00:29.620,00:00:30.430
"It is probably the most used
and common and important",00:00:30.430,00:00:34.230
"data structure and all
of computer science.",00:00:34.230,00:00:36.495
"It's in, basically, every system
you've ever used, I think.",00:00:36.495,00:00:41.860
"And in particular,
it's in Python",00:00:41.860,00:00:44.220
"as part of what makes
Python fun to program in.",00:00:44.220,00:00:46.326
"And basically, every modern
programming language has it.",00:00:46.326,00:00:49.740
"So today is about how to
make it actually happen.",00:00:49.740,00:00:53.610
So what is it?,00:00:53.610,00:00:54.660
"It is usually
called a dictionary.",00:00:57.230,00:00:58.690
"So this is an
abstract data if you",00:01:01.960,00:01:04.280
"remember that term from
a couple lectures ago.",00:01:04.280,00:01:07.245
"It's kind of an old term,
not so common anymore,",00:01:13.080,00:01:15.450
but it's useful to think about.,00:01:15.450,00:01:18.340
"So a dictionary is
a data structure,",00:01:18.340,00:01:22.900
"or it's a thing,
that can store items,",00:01:22.900,00:01:26.900
"and it can insert items, delete
items and search for items.",00:01:26.900,00:01:29.395
"So in general, it's going
to be a set of items,",00:01:35.180,00:01:40.230
each item has a key.,00:01:40.230,00:01:41.360
"And you can insert an item,
you can delete an item",00:01:47.720,00:01:56.080
"from the set, and you can
search for a key, not an item.",00:01:56.080,00:02:06.720
"And the interesting
part is the search.",00:02:06.720,00:02:09.143
"I think you know what
insert and delete do.",00:02:09.143,00:02:10.934
"So there are two outcomes
to this kind of search.",00:02:20.360,00:02:23.015
"This is what I call
an exact search.",00:02:23.015,00:02:25.270
"Either you find an item with a
given key, or there isn't one,",00:02:25.270,00:02:29.440
"and then you just say
key error in Python.",00:02:29.440,00:02:32.535
OK.,00:02:41.950,00:02:42.450
"This is a little
different from what",00:02:42.450,00:02:44.149
"we could do with
binary search trees.",00:02:44.149,00:02:45.690
"Binary search trees, if
we didn't find a key,",00:02:45.690,00:02:47.690
"we could find the next
larger and the next smaller",00:02:47.690,00:02:50.900
successor and predecessor.,00:02:50.900,00:02:52.661
"With dictionaries you're
not allowed to do that,",00:02:52.661,00:02:54.660
or you're not able to do that.,00:02:54.660,00:02:56.150
"And you're just
interested in the question",00:02:56.150,00:02:57.900
does the key exist?,00:02:57.900,00:02:58.930
"And if so, give me the
item with that key.",00:02:58.930,00:03:02.090
"So we're assuming here that
the items have unique keys,",00:03:02.090,00:03:04.990
no two items have the same key.,00:03:04.990,00:03:07.362
"And one way to
enforce that is when",00:03:07.362,00:03:08.820
"you insert an item
with an existing key,",00:03:08.820,00:03:11.430
"it overwrites whatever
key was there.",00:03:11.430,00:03:13.140
That's the Python behavior.,00:03:13.140,00:03:15.070
So we'll assume that.,00:03:15.070,00:03:18.550
Overwrite any existing key.,00:03:18.550,00:03:25.650
"And so, it's well
defined what search does.",00:03:31.730,00:03:34.480
"Either there's one
item with that key,",00:03:34.480,00:03:36.116
"or there's no item
with that key,",00:03:36.116,00:03:37.490
"and it tells you what
the situation is.",00:03:37.490,00:03:41.260
OK.,00:03:41.260,00:03:41.760
"So one way to solve
dictionaries is",00:03:41.760,00:03:47.710
"to use a balanced binary
search tree like AVL trees.",00:03:47.710,00:03:51.150
"And so you can do all of these
operations on log n time.",00:03:51.150,00:03:54.710
"I mean, you can ignore the
fact that AVL trees give you",00:04:01.720,00:04:04.220
"more information
when you do a search,",00:04:04.220,00:04:06.200
and still does exact search.,00:04:06.200,00:04:08.540
"So that's one solution, but it
turns out you can do better.",00:04:08.540,00:04:12.690
"And while last class was about,
well, in the comparison model",00:04:12.690,00:04:16.110
"the best way to sort is n log
n and the best way to search",00:04:16.110,00:04:20.120
is log n.,00:04:20.120,00:04:21.570
"Then we saw in the
RAM model, where",00:04:21.570,00:04:23.870
"if you assume your items are
integers we can sort faster,",00:04:23.870,00:04:27.600
"sometimes we can
sort in linear time.",00:04:27.600,00:04:29.440
"Today's lecture is about how to
search faster than log n time.",00:04:29.440,00:04:33.710
"And we're going to get
down to constant time.",00:04:33.710,00:04:37.680
"No-- basically, no
assumptions except, maybe,",00:04:37.680,00:04:41.020
that your keys are integers.,00:04:41.020,00:04:43.110
"We'll be able to get
down to constant time",00:04:43.110,00:04:45.449
with high probability.,00:04:45.449,00:04:46.365
"It's going to be a
randomized data structure.",00:04:48.890,00:04:51.030
"It's one of the few instances
of randomization in 006,",00:04:51.030,00:04:53.490
"but it'll be pretty simple
to analyze, so don't worry.",00:04:53.490,00:04:56.260
"But we're going to use
some probability today.",00:04:56.260,00:04:59.332
Make it a little exciting.,00:04:59.332,00:05:00.415
"I think you know how
dictionaries work in Python.",00:05:03.290,00:05:05.470
"In Python it's the
dict data type.",00:05:05.470,00:05:11.810
"We've used it all
over the place.",00:05:11.810,00:05:14.600
"The key things you can
do are lookup a key",00:05:14.600,00:05:17.760
"and-- so this is the
analog of search--",00:05:17.760,00:05:24.100
you can set a key to a value.,00:05:24.100,00:05:27.970
This is the analog of an insert.,00:05:27.970,00:05:30.960
"It overwrites
whatever was there.",00:05:30.960,00:05:33.170
And what else?,00:05:33.170,00:05:33.810
Delete.,00:05:33.810,00:05:34.610
"So you can delete
a particular key.",00:05:34.610,00:05:38.130
OK.,00:05:42.114,00:05:42.760
"We'll usually use this
notation because it's",00:05:42.760,00:05:44.593
more familiar and intuitive.,00:05:44.593,00:05:46.340
"But the big topic today
is how do you actually",00:05:46.340,00:05:48.690
"implement these operations
for a dictionary, D?",00:05:48.690,00:05:53.070
"The one specific thing
about Python dictionaries",00:05:53.070,00:05:56.360
"is that an item is
basically a pair",00:05:56.360,00:06:01.465
"of two things, a
key and a value.",00:06:01.465,00:06:05.380
"And so, in particular,
when you call d.items",00:06:05.380,00:06:07.410
"you get a whole bunch of ordered
pairs, a key and a value.",00:06:07.410,00:06:11.280
"And so the key is always--
the key of an item",00:06:11.280,00:06:13.220
is always this first part.,00:06:13.220,00:06:15.152
So it's well defined.,00:06:15.152,00:06:16.135
OK.,00:06:20.035,00:06:20.535
So that's Python dictionaries.,00:06:23.070,00:06:28.120
"So one obvious motivation
for building dictionaries",00:06:28.120,00:06:32.530
is you need them in Python.,00:06:32.530,00:06:34.980
"And in fact, people
use them all the time.",00:06:34.980,00:06:37.380
We used them in docdist.,00:06:37.380,00:06:39.830
"All of the fastest versions of
the document distance problem",00:06:39.830,00:06:43.890
"used dictionaries for counting
words, how many times each word",00:06:43.890,00:06:48.080
"occurs in a document, and
for computing inner products,",00:06:48.080,00:06:51.470
"for finding common words
between two documents.",00:06:51.470,00:06:54.640
"And it's just it's the
best way to do things,",00:06:54.640,00:06:57.035
"it's the easiest way to do
things , and the fastest.",00:06:57.035,00:07:00.467
"As a result, dictionaries are
built into basically every",00:07:00.467,00:07:02.800
"modern programming language,
Python, Perl, Ruby, JavaScript,",00:07:02.800,00:07:06.980
"Java, C++, C#.",00:07:06.980,00:07:08.110
"In modern versions, all have
some version of dictionaries.",00:07:08.110,00:07:10.970
"And they all run in,
basically, constant time",00:07:10.970,00:07:13.790
"using the stuff that's in
this lecture and the next two",00:07:13.790,00:07:16.615
lectures.,00:07:16.615,00:07:17.115
Let's see.,00:07:20.130,00:07:21.300
"It's also, in, basically,
every database.",00:07:21.300,00:07:24.085
"There are essentially two kinds
of databases in the world,",00:07:26.894,00:07:29.310
"there are those
that use hashing,",00:07:29.310,00:07:30.684
"and there are those
that use search trees.",00:07:30.684,00:07:32.800
Sometimes you need one.,00:07:32.800,00:07:33.760
Sometimes you need the other.,00:07:33.760,00:07:35.095
"There are a lot of situations
in databases where you just",00:07:35.095,00:07:37.470
need hashing.,00:07:37.470,00:07:39.082
"So if you've ever
used Berkeley DB,",00:07:39.082,00:07:40.540
"there's a hash
type of a database.",00:07:40.540,00:07:44.450
"So if things like, when
you go to Merriam-Webster,",00:07:44.450,00:07:48.460
"and you look up a
word, how do you",00:07:48.460,00:07:51.200
"find the definition
of that word?",00:07:51.200,00:07:53.860
"You use a hash table, you use
a dictionary, I should say.",00:07:53.860,00:07:58.090
"How do you-- when you
spell check your document,",00:07:58.090,00:08:02.100
"how do you tell whether a
word is correctly spelled?",00:08:02.100,00:08:04.360
You look it up in a dictionary.,00:08:04.360,00:08:05.794
"If it's not correctly
spelled, how",00:08:05.794,00:08:07.210
"do you find the closest
related, correct spelling?",00:08:07.210,00:08:11.520
"You try tweaking
one the letters,",00:08:11.520,00:08:12.895
"and look it up in a dictionary
and see if it's there.",00:08:12.895,00:08:15.103
"You do that for all possible
letters, or maybe two letters.",00:08:15.103,00:08:17.600
"That is a state of the art
way to do spelling correction.",00:08:17.600,00:08:21.899
"Just keep looking
up in a dictionary.",00:08:21.899,00:08:23.440
"Because dictionaries
are so fast you",00:08:23.440,00:08:25.446
"can afford to do things like
trial perturbations of letters.",00:08:25.446,00:08:27.945
What else.,00:08:30.820,00:08:32.039
"In the old days, which
means pre-Google,",00:08:32.039,00:08:34.770
"every search engine
on the web would",00:08:34.770,00:08:38.030
"have a dictionary that
says, for given word,",00:08:38.030,00:08:41.260
"give me all of the documents
containing that word.",00:08:41.260,00:08:44.120
"Google doesn't do it that
way, but that's another story.",00:08:44.120,00:08:48.760
"It's less fancy, actually.",00:08:48.760,00:08:50.870
"Or when you log
into a system, you",00:08:50.870,00:08:52.960
type your username and password.,00:08:52.960,00:08:54.940
"You look in a dictionary
that stores a username",00:08:54.940,00:08:57.762
"and, associated
with that username,",00:08:57.762,00:08:59.220
"all the information
of that user.",00:08:59.220,00:09:00.957
"Every time you log into a
web system, or whatever,",00:09:00.957,00:09:03.040
"it is going through
a dictionary.",00:09:03.040,00:09:05.440
So they're all over the place.,00:09:05.440,00:09:07.520
"One of the original
applications is",00:09:07.520,00:09:09.330
"in writing
programming languages.",00:09:09.330,00:09:11.212
"Some of the first
computer programs",00:09:11.212,00:09:12.670
"were programming languages,
so you could actually",00:09:12.670,00:09:15.076
"program them in
a reasonable way.",00:09:15.076,00:09:16.450
"Whenever you type a variable
name the computer doesn't",00:09:21.860,00:09:25.497
"really think about
that variable name,",00:09:25.497,00:09:27.080
"it wants to think about
an address in memory.",00:09:27.080,00:09:29.500
"And so you've got to
translate that variable name",00:09:29.500,00:09:31.820
"into a real, physical address
in the machine, or a position",00:09:31.820,00:09:36.340
"on the stack, or whatever
it is in real life.",00:09:36.340,00:09:39.950
"In the old days
of Python, I guess",00:09:39.950,00:09:41.950
"this is pre-Python
2 or so, 2.1, I",00:09:41.950,00:09:45.550
"don't remember the
exact transition it was.",00:09:45.550,00:09:48.390
"In the interpreter,
there was the dictionary",00:09:48.390,00:09:50.759
"of all your global
variables, there's",00:09:50.759,00:09:52.300
"a dictionary of all
your local variables.",00:09:52.300,00:09:54.420
"And that was-- it
was right there.",00:09:54.420,00:09:58.686
"I mean you could
modify the dictionary,",00:09:58.686,00:10:00.310
you could do crazy things.,00:10:00.310,00:10:01.393
"And all the
variables were there.",00:10:01.393,00:10:03.520
"And so they'd match the
key to the actual value",00:10:03.520,00:10:06.050
stored in the variable.,00:10:06.050,00:10:07.520
"They don't do that anymore
because it's a little slow,",00:10:07.520,00:10:09.920
"but-- and you could
do better in practice.",00:10:09.920,00:10:12.019
"But at the very least, when
you're compiling the thing,",00:10:12.019,00:10:14.310
you need a dictionary.,00:10:14.310,00:10:16.070
"And then, later on, you can
do more efficient lookups.",00:10:16.070,00:10:20.120
Let's see.,00:10:20.120,00:10:20.660
"On the internet there
are hash tables all over,",00:10:23.580,00:10:26.490
like in your router.,00:10:26.490,00:10:28.730
"Router needs to know
all the machines that",00:10:28.730,00:10:30.480
are connected to it.,00:10:30.480,00:10:31.313
"Each machine has an IP address,
so when you get a packet in,",00:10:31.313,00:10:33.875
"and it says, deliver to
this IP address, you see,",00:10:33.875,00:10:36.040
"oh, is it in my dictionary
of all the machines",00:10:36.040,00:10:38.060
"that are directly
connected to me?",00:10:38.060,00:10:39.476
"If so, send it there.",00:10:39.476,00:10:40.949
"If it's not then it has
to find the right subnet.",00:10:40.949,00:10:42.990
"That's not quite a
dictionary problem,",00:10:42.990,00:10:44.573
a little more complicated.,00:10:44.573,00:10:45.820
"But for looking up local
machines, it's a dictionary.",00:10:45.820,00:10:49.310
"Routers use dictionaries because
they need to go really fast.",00:10:49.310,00:10:51.930
"They're getting a billion
packets every second.",00:10:51.930,00:10:55.450
"Also, in the network
stack of a machine,",00:10:55.450,00:10:59.190
"when you come in you
get it packet delivered",00:10:59.190,00:11:01.940
"to a particular port, you need
to say, oh, which application,",00:11:01.940,00:11:04.980
"or which socket is
connected to this port?",00:11:04.980,00:11:06.880
"All of these things
are dictionaries.",00:11:06.880,00:11:08.630
"The point is they're
in, basically,",00:11:08.630,00:11:10.088
"everything you've ever
used, virtual memory,",00:11:10.088,00:11:12.690
"I mean, they're
all over the place.",00:11:12.690,00:11:15.060
"There are also some more
subtle applications,",00:11:15.060,00:11:16.935
"where it is not obvious
that's it a dictionary,",00:11:16.935,00:11:18.893
"but still, we use
this idea of hashing",00:11:18.893,00:11:20.650
we're going to talk about today.,00:11:20.650,00:11:22.230
Like searching in a string.,00:11:22.230,00:11:25.700
"So when you hit-- I don't
know-- in your favorite editor,",00:11:30.350,00:11:34.810
"you do Control-F, or
Control-S, or slash,",00:11:34.810,00:11:36.850
"or whatever your way of
searching for something",00:11:36.850,00:11:39.000
"is, and you type start typing.",00:11:39.000,00:11:41.530
"If your editor is
clever, it will",00:11:41.530,00:11:43.930
"use hashing in order to
search for that string.",00:11:43.930,00:11:46.260
It's a faster way to do it.,00:11:46.260,00:11:49.770
"If you use grep, for example, in
Unix it does it in a fancy way.",00:11:49.770,00:11:54.410
"Every time you do
a Google search",00:11:54.410,00:11:56.240
it's essentially using this.,00:11:56.240,00:11:58.150
It's solving this problem.,00:11:58.150,00:11:59.310
"I don't know what algorithm,
but we could guess.",00:11:59.310,00:12:01.330
"Using the algorithms we'll
cover in next lecture.",00:12:01.330,00:12:04.090
It wouldn't surprise me.,00:12:04.090,00:12:06.650
"Also, if you have
a couple strings",00:12:06.650,00:12:08.660
"and you want to know what they
have in common, how similar",00:12:08.660,00:12:14.540
they are?,00:12:14.540,00:12:15.384
"Example, you have
two DNA strings.",00:12:15.384,00:12:16.800
"You want to see how similar
they are, you use hashing.",00:12:16.800,00:12:20.480
"And you're going to do that
in the next problem set, PS4,",00:12:20.480,00:12:23.830
which goes out on Thursday.,00:12:23.830,00:12:27.000
"Also, for things like file
and directory synchronization.",00:12:27.000,00:12:31.990
"So on Unix, if you rsync
or unison, or, I guess,",00:12:38.870,00:12:42.770
"modern day-- these
days, Dropbox, MIT",00:12:42.770,00:12:46.740
"startup-- Whenever you're
synchronizing files between two",00:12:46.740,00:12:49.580
"locations, you use
hashing to tell",00:12:49.580,00:12:51.010
"whether a file has changed,
or whether a directory has",00:12:51.010,00:12:53.260
changed.,00:12:53.260,00:12:53.920
That's a big idea.,00:12:53.920,00:12:56.940
Fairly modern idea.,00:12:56.940,00:12:59.940
"And also in
cryptography-- this will",00:12:59.940,00:13:02.210
"be a topic of next
Tuesday's lecture.",00:13:02.210,00:13:07.480
"If you're transferring
a file and you",00:13:07.480,00:13:09.520
"want to check that you
actually transferred that file,",00:13:09.520,00:13:12.070
"and there wasn't some person in
the middle corrupting your file",00:13:12.070,00:13:15.672
"and making it look like it
was what you wanted it to be,",00:13:15.672,00:13:18.005
"you use something called
cryptographic hash functions,",00:13:18.005,00:13:21.420
"which [INAUDIBLE] will
talk about on Tuesday.",00:13:21.420,00:13:24.420
"So tons of motivation
for dictionaries.",00:13:24.420,00:13:27.230
"Let's actually do it,
see how they are done.",00:13:27.230,00:13:32.840
"We're going to start with sort
of a very simple straw man,",00:13:35.630,00:13:40.990
"and then we're going to improve
it until, by the end of today,",00:13:40.990,00:13:44.089
"we have a really good way
to solve the dictionary",00:13:44.089,00:13:46.130
"problem in constant
time for operation.",00:13:46.130,00:13:48.645
"So the really simple approach
is called a direct access table.",00:13:54.190,00:13:56.980
"So it's just a big
table, an array.",00:14:00.230,00:14:05.450
"You have-- the index into
the array is the key.",00:14:05.450,00:14:14.340
"So, store items in an
array, indexed by key.",00:14:14.340,00:14:27.530
"And in fact, Python kind
makes you think about this",00:14:31.990,00:14:34.200
"because the Python notation
for accessing dictionaries",00:14:34.200,00:14:36.520
"is identical to the notation
for accessing arrays.",00:14:36.520,00:14:40.120
"But with arrays, the
keys are restricted",00:14:40.120,00:14:41.810
"to be non-negative integers,
0 through n minus 1.",00:14:41.810,00:14:45.157
"So why not just
implement it that way?",00:14:45.157,00:14:46.740
"If your keys happen
to be integers",00:14:46.740,00:14:49.140
"I could just store all my
items in a giant array.",00:14:49.140,00:14:52.410
"So if I just want to store
an item here with key 2,",00:14:52.410,00:14:56.385
"call that, maybe, item
2, I just put that there.",00:14:56.385,00:15:00.130
"If I want to store
something with key 4",00:15:00.130,00:15:03.010
I'll just put it there.,00:15:03.010,00:15:04.560
"Everything else is going to
be null, or none, or whatever.",00:15:04.560,00:15:07.950
So lots of blank entries.,00:15:07.950,00:15:09.290
"Whatever keys I don't use I'll
just put a null value there.",00:15:09.290,00:15:13.380
"Every key that I want to
put into the dictionary",00:15:13.380,00:15:16.000
"I'll just store it at the
corresponding position.",00:15:16.000,00:15:19.620
What's bad about this?,00:15:19.620,00:15:20.720
Yeah.,00:15:25.060,00:15:25.560
