text,start,stop
"The following content is
provided under a Creative",00:00:00.120,00:00:02.460
Commons license.,00:00:02.460,00:00:03.850
"Your support will help
MIT OpenCourseWare",00:00:03.850,00:00:06.090
"continue to offer high-quality
educational resources for free.",00:00:06.090,00:00:10.180
"To make a donation or to
view additional materials",00:00:10.180,00:00:12.720
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:12.720,00:00:16.680
at ocw.mit.edu.,00:00:16.680,00:00:19.535
"PHILIPPE RIGOLLET: We're
talking about tests.",00:00:19.535,00:00:21.410
"And to be fair, we
spend most of our time",00:00:21.410,00:00:24.720
"talking about new
jargon that we're using.",00:00:24.720,00:00:28.470
"The main goal is to take a
binary decision, yes and no.",00:00:28.470,00:00:31.710
"So just so that we're clear
and we make sure that we all",00:00:31.710,00:00:36.360
"speak the same
language, let me just",00:00:36.360,00:00:37.980
"remind you what the key
words are for tests.",00:00:37.980,00:00:42.570
"So the first thing is
that we split theta",00:00:42.570,00:00:48.310
in theta 0 and theta 1.,00:00:48.310,00:00:53.690
"Both are included in theta,
and they are disjoint.",00:00:53.690,00:00:57.610
"So I have my set of
possible parameters.",00:01:00.970,00:01:04.090
"And then I have theta 0
is here, theta 1 is here.",00:01:04.090,00:01:10.770
"And there might be
something that I leave out.",00:01:10.770,00:01:14.170
"And so what we're doing
is, we have two hypotheses.",00:01:14.170,00:01:18.070
"So here's our hypothesis
testing problem.",00:01:18.070,00:01:20.800
"And it's h0 theta belongs
to theta 0 versus h1 theta",00:01:20.800,00:01:27.910
belongs to theta 1.,00:01:27.910,00:01:29.860
"This guy was called
the null, and this guy",00:01:29.860,00:01:32.620
was called the alternative.,00:01:32.620,00:01:36.410
"And why we give
them special names",00:01:36.410,00:01:37.910
"is because we saw that they
have an asymmetric role.",00:01:37.910,00:01:41.230
"The null represents
the status quo,",00:01:41.230,00:01:43.070
"and data is here to bring
evidence against this guy.",00:01:43.070,00:01:46.290
"And we can really never
conclude that h0 is true",00:01:46.290,00:01:49.730
"because all we could conclude is
that h1 is not true, or may not",00:01:49.730,00:01:56.420
be true.,00:01:56.420,00:01:59.030
So that was the first thing.,00:01:59.030,00:02:00.840
"The second thing
was the hypothesis.",00:02:00.840,00:02:03.020
"The third thing
is, what is a test?",00:02:03.020,00:02:05.730
"Well, psi, it's a statistic,
and it takes the data,",00:02:05.730,00:02:17.100
and it maps it into 0 or 1.,00:02:17.100,00:02:21.500
"And I didn't really mention it,
but there's some things such",00:02:21.500,00:02:24.000
"as called randomized
tests, which is, well,",00:02:24.000,00:02:27.390
"if I cannot really
make a decision,",00:02:27.390,00:02:28.920
I might as well flip a coin.,00:02:28.920,00:02:30.870
"That tends to be biased,
but that's really--",00:02:30.870,00:02:32.952
"I mean, think about
it in practice.",00:02:32.952,00:02:34.410
"You probably don't
want to make decisions",00:02:34.410,00:02:36.118
based on flipping a coin.,00:02:36.118,00:02:37.380
"And so what people
typically do--",00:02:37.380,00:02:39.270
"this is happening, typically,
at one specific value.",00:02:39.270,00:02:41.830
"So rather than flipping a coin
for this very specific value,",00:02:41.830,00:02:44.339
"what people typically
do is they say,",00:02:44.339,00:02:45.880
"OK, I'm going to side with
h0 because that's the most",00:02:45.880,00:02:48.088
conservative choice I can make.,00:02:48.088,00:02:50.134
"So in a way, they think
of flipping this coin,",00:02:50.134,00:02:52.050
"but always falling
on heads, say.",00:02:52.050,00:02:55.380
