text,start,stop
"The following content is
provided under a Creative",00:00:00.090,00:00:02.500
Commons license.,00:00:02.500,00:00:04.019
"Your support will help
MIT OpenCourseWare",00:00:04.019,00:00:06.360
"continue to offer high quality
educational resources for free.",00:00:06.360,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.340
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.340,00:00:17.217
at ocw.mit.edu.,00:00:17.217,00:00:17.842
"ERIK DEMAINE: All right,
let's get started.",00:00:22.420,00:00:25.460
"Today we're going to continue
the theme of randomization",00:00:25.460,00:00:29.060
and data structures.,00:00:29.060,00:00:30.320
Last time we saw skip lists.,00:00:30.320,00:00:31.880
"Skip lists solve the
predecessor-successor problem.",00:00:31.880,00:00:36.010
"You can search for an item
and if it's not there,",00:00:36.010,00:00:38.080
"you get the closest item
on either side in log n",00:00:38.080,00:00:41.660
with high probability.,00:00:41.660,00:00:43.840
"But we already knew how to
do that deterministically.",00:00:43.840,00:00:46.650
"Today we're going to solve a
slightly different problem,",00:00:46.650,00:00:49.400
"the dictionary problem
with hash tables.",00:00:49.400,00:00:52.000
"Something you already
think you know.",00:00:52.000,00:00:54.610
"But we're going to show you
how much you didn't know.",00:00:54.610,00:00:57.450
But after today you will know.,00:00:57.450,00:01:00.080
"And we're going to get
constant time and not",00:01:00.080,00:01:04.114
with high probability.,00:01:04.114,00:01:05.030
That's hard.,00:01:05.030,00:01:06.110
"But we'll do constant
expected time.",00:01:06.110,00:01:08.640
So that's in some sense better.,00:01:08.640,00:01:11.709
"It's going to solve
a weaker problem.",00:01:11.709,00:01:13.250
"But we're going to get
tighter bound constant instead",00:01:13.250,00:01:16.230
of logarithmic.,00:01:16.230,00:01:17.940
"So for starters let me remind
you what problem we're solving",00:01:17.940,00:01:22.830
"and the basics of hashing
which you learned in 6006.",00:01:22.830,00:01:30.770
"I'm going to give this problem
a name because it's important",00:01:30.770,00:01:34.600
"and we often forget
to distinguish",00:01:34.600,00:01:37.880
between two types of things.,00:01:37.880,00:01:41.210
"This is kind of an old
term, but I would call this",00:01:44.070,00:01:47.350
an abstract data type.,00:01:47.350,00:01:51.400
"This is just the
problem specification",00:01:51.400,00:01:54.290
of what you're trying to do.,00:01:54.290,00:01:56.580
"You might call this an
interface or something.",00:01:56.580,00:01:58.604
"This is the problem statement
versus the data structure",00:01:58.604,00:02:00.895
is how you actually solve it.,00:02:00.895,00:02:02.220
"The hash tables are
the data structure.",00:02:02.220,00:02:04.330
"The dictionary is the problem
or the abstract data type.",00:02:04.330,00:02:08.300
"So what we're
trying to do today,",00:02:08.300,00:02:11.480
"as in most data
structures, is maintain",00:02:11.480,00:02:13.530
a dynamic set of items.,00:02:13.530,00:02:14.695
"And here I'm going to
distinguish between the items",00:02:18.150,00:02:20.920
and their keys.,00:02:20.920,00:02:21.695
Each item has a key.,00:02:24.310,00:02:25.857
"And normally you'd
think of there also",00:02:25.857,00:02:27.440
being a value like in Python.,00:02:27.440,00:02:29.640
"But we're just
worrying about the keys",00:02:29.640,00:02:31.500
and moving the items around.,00:02:31.500,00:02:33.760
"And we want to support
three operations.",00:02:33.760,00:02:36.990
"We want to be able to insert
an item, delete an item,",00:02:39.770,00:02:53.170
and search for an item.,00:02:53.170,00:02:54.230
"But search is going to
be different from what",00:02:58.920,00:03:02.340
"we know from AVL trees
or skip lists or even",00:03:02.340,00:03:04.770
"Venom [INAUDIBLE] That was a
predecessor-successor search.",00:03:04.770,00:03:08.820
"Here we just want
to know-- sorry,",00:03:08.820,00:03:10.779
your not searching for an item.,00:03:10.779,00:03:12.070
"Usually you're searching
for just a key-- here",00:03:12.070,00:03:17.760
"you just want to know is
there any item with that key,",00:03:17.760,00:03:20.840
and return it.,00:03:20.840,00:03:22.190
"This is often called
an exact search",00:03:28.880,00:03:31.980
"because if the key
is not in there,",00:03:31.980,00:03:33.600
you learn absolutely nothing.,00:03:33.600,00:03:36.310
You can't find the nearest key.,00:03:36.310,00:03:38.400
"And for whatever reason this
is called a dictionary problem",00:03:38.400,00:03:41.480
"though it's unlike
a real dictionary.",00:03:41.480,00:03:43.150
"Usually when you search for a
word you do find its neighbors.",00:03:43.150,00:03:45.820
"Here we're just going to
either-- if the key's there",00:03:45.820,00:03:48.510
"we find that, otherwise not.",00:03:48.510,00:03:50.630
"And this is exactly what a
Python dictionary implements.",00:03:50.630,00:03:55.930
"So I guess that's why Python
dictionaries are called dicts.",00:03:55.930,00:04:00.980
"So today I'm going to assume
all items have distinct keys.",00:04:00.980,00:04:07.540
"So in the insertion I will
assume key is not already",00:04:07.540,00:04:13.480
in the table.,00:04:13.480,00:04:14.240
"With a little bit
of work, you can",00:04:17.760,00:04:21.769
"allow inserting an item
with an existing key,",00:04:21.769,00:04:24.040
"and you just overwrite
that existing item.",00:04:24.040,00:04:27.240
"But I don't want to
worry about that here.",00:04:27.240,00:04:28.990
"So we could, of course,
solve this using an AVL tree",00:04:31.540,00:04:34.300
in log n time.,00:04:34.300,00:04:36.010
"But our goal is to do better
because it's an easier problem.",00:04:36.010,00:04:40.720
"And I'm going to remind you
of the simplest way you learn",00:04:40.720,00:04:44.540
"to do this which was hashing
with chaining in 006.",00:04:44.540,00:04:50.950
"And the catch is you didn't
really analyze this in 006.",00:04:50.950,00:04:57.930
"So we're going make a
constant time per operation.",00:04:57.930,00:05:02.880
"It's going to be expected or
something and linear space.",00:05:06.950,00:05:14.570
"And remember the
variables we care",00:05:18.230,00:05:22.340
"about, there's u, n, and m.",00:05:22.340,00:05:27.330
"So u is the size
of the universe.",00:05:27.330,00:05:28.860
This is the all possible keys.,00:05:28.860,00:05:30.970
The space of all possible keys.,00:05:30.970,00:05:32.490
"n is the size of the set
your currently storing.",00:05:38.900,00:05:42.460
"So that's the number
of items or keys",00:05:42.460,00:05:47.130
currently in the data structure.,00:05:47.130,00:05:49.060
"And then m is the
size of your table.",00:05:54.510,00:05:57.950
"So say it's the number
of slots in the table.",00:05:57.950,00:06:01.390
So you remember the picture.,00:06:04.460,00:06:05.760
You have a table of slots.,00:06:05.760,00:06:10.630
Let's say 0 to m minus 1.,00:06:10.630,00:06:13.340
"Each of them is a
pointer to a linked list.",00:06:13.340,00:06:15.320
"And if you have,
let's say over here",00:06:18.610,00:06:21.140
"is your universe of
all possible keys,",00:06:21.140,00:06:24.660
"then we have a hash function
which maps each universe",00:06:24.660,00:06:28.810
item into one of these slots.,00:06:28.810,00:06:32.950
"And then the linked
list here is storing",00:06:32.950,00:06:35.100
"all of the items that
hash to that slot.",00:06:35.100,00:06:38.720
"So we have a hash function
which maps the universe.",00:06:38.720,00:06:49.810
"I'm going to assume the
universe has already been mapped",00:06:49.810,00:06:52.340
into integers 0 to u minus 1.,00:06:52.340,00:06:54.685
And it maps to slots.,00:06:54.685,00:06:56.390
"And when we do
hashing with chaining,",00:07:02.660,00:07:07.280
"I think I mentioned this
last week, the bounds",00:07:07.280,00:07:09.780
"you get, we achieve
a bound of 1 plus",00:07:09.780,00:07:23.950
"alpha where alpha is
the load factor n/m.",00:07:23.950,00:07:29.450
"The average number of items
you'd expect to hash to a slot",00:07:29.450,00:07:33.300
"is the number of items divided
by the number of slots.",00:07:33.300,00:07:36.710
OK.,00:07:36.710,00:07:38.810
"And you proved this
in 6006 but you",00:07:38.810,00:07:41.770
"assumed something called
simple uniform hashing.",00:07:41.770,00:07:47.200
"Simple uniform hashing
is an assumption,",00:08:05.590,00:08:08.900
I think invented for CLRS.,00:08:08.900,00:08:10.750
"It makes the
analysis very simple,",00:08:10.750,00:08:13.380
"but it's also
basically cheating.",00:08:13.380,00:08:15.480
"So today our goal
is to not cheat.",00:08:15.480,00:08:17.820
It's nice as a warm up.,00:08:17.820,00:08:19.690
But we don't like cheating.,00:08:19.690,00:08:21.520
"So you may recall the assumption
is about the hash function.",00:08:21.520,00:08:34.270
