text,start,stop
"The following
content is provided",00:00:00.060,00:00:01.780
"under a Creative
Commons license.",00:00:01.780,00:00:04.019
"Your support will help MIT
OpenCourseWare continue",00:00:04.019,00:00:06.870
"to offer high-quality
educational resources for free.",00:00:06.870,00:00:10.730
"To make a donation or
view additional materials",00:00:10.730,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.217
at ocw.mit.edu.,00:00:17.217,00:00:17.842
PROFESSOR: OK.,00:00:20.540,00:00:21.840
Let's start.,00:00:21.840,00:00:22.463
"So last time, we started
with kinetic theory.",00:00:26.420,00:00:30.000
"And we will focus for
gas systems mostly.",00:00:36.120,00:00:39.205
"And the question
that we would like",00:00:43.890,00:00:45.730
"to think about and answer
somehow is the following.",00:00:45.730,00:00:50.140
"You start with a gas
that is initially",00:00:50.140,00:00:56.260
confined to one chamber.,00:00:56.260,00:00:57.765
"And you can calculate all of
its thermodynamic properties.",00:01:01.400,00:01:06.180
"You open at time 0 a
hole, allowing the gas",00:01:06.180,00:01:11.560
"to escape into a second
initially empty chamber.",00:01:11.560,00:01:17.290
"And after some time,
the whole system",00:01:17.290,00:01:19.400
"will come to a new
equilibrium position.",00:01:19.400,00:01:22.320
It's a pretty reversible thing.,00:01:22.320,00:01:25.040
"You can do this experiment
many, many times.",00:01:25.040,00:01:27.620
"And you will always get
roughly the same amount of time",00:01:27.620,00:01:31.690
"for the situation to
start from one equilibrium",00:01:31.690,00:01:34.280
and reach another equilibrium.,00:01:34.280,00:01:36.820
So how do we describe that?,00:01:36.820,00:01:38.250
"It's slightly beyond what
we did in thermodynamics,",00:01:38.250,00:01:41.010
"because we want to go
from one equilibrium state",00:01:41.010,00:01:43.990
to another equilibrium state.,00:01:43.990,00:01:46.910
"Now, we said, OK, we know
the equations of motion",00:01:46.910,00:01:50.260
"that governs the particles
that are described by this.",00:01:50.260,00:01:55.200
"So here we can say that we
have, let's say, N particles.",00:01:55.200,00:02:00.970
"They have their own
momenta and coordinates.",00:02:00.970,00:02:05.930
"And we know that these
momenta and coordinates evolve",00:02:05.930,00:02:09.160
"in time, governed
by some Hamiltonian,",00:02:09.160,00:02:12.230
"which is a function of all of
these momenta and coordinates.",00:02:12.230,00:02:17.290
OK?,00:02:17.290,00:02:17.880
Fine.,00:02:17.880,00:02:19.270
"How do we go from
a situation which",00:02:19.270,00:02:21.400
"describes a whole
bunch of things",00:02:21.400,00:02:23.100
"and coordinates that
are changing with time",00:02:23.100,00:02:25.580
"to some microscopic description
of macroscopic variables going",00:02:25.580,00:02:33.400
"from one equilibrium
state to another?",00:02:33.400,00:02:36.850
"So our first attempt
in that direction",00:02:36.850,00:02:39.740
"was to say, well, I could start
with many, many, many examples",00:02:39.740,00:02:46.390
of the same situation.,00:02:46.390,00:02:49.260
"Each one of them would
correspond to a different",00:02:49.260,00:02:52.190
trajectory of p's and q's.,00:02:52.190,00:02:55.500
"And so what we can
do is to construct",00:02:55.500,00:02:59.300
"some kind of an ensemble
average, or ensemble density,",00:02:59.300,00:03:05.720
"first, which is what we did.",00:03:05.720,00:03:08.800
"We can say that the very, very
many examples of this situation",00:03:08.800,00:03:15.255
"that I can have will
correspond to different points",00:03:15.255,00:03:20.300
"at some particular
instant of time,",00:03:20.300,00:03:23.890
"occupying this
6N-dimensional phase space,",00:03:23.890,00:03:28.085
"out of which I can construct
some kind of a density in phase",00:03:28.085,00:03:32.330
space.,00:03:32.330,00:03:34.950
"But then I realize that since
each one of these trajectories",00:03:34.950,00:03:39.320
"is evolving according
to this Hamiltonian,",00:03:39.320,00:03:42.490
"this density could potentially
be a function of time.",00:03:42.490,00:03:45.320
"And we described the
equation for the evolution",00:03:48.030,00:03:52.710
of that density with time.,00:03:52.710,00:03:54.850
"And we could write it in
this form-- V rho by dt",00:03:54.850,00:03:59.980
"is the Poisson bracket of
the Hamiltonian with rho.",00:03:59.980,00:04:05.350
"And this Poisson
bracket was defined",00:04:05.350,00:04:10.120
"as a sum over all
of your coordinates.",00:04:10.120,00:04:13.650
Oops.,00:04:16.339,00:04:16.839
"We had d rho by d vector qi,
dot product with dH by dpi minus",00:04:22.490,00:04:34.660
the other [? way. ?],00:04:34.660,00:04:36.116
"So there are essentially
three N terms-- well,",00:04:42.470,00:04:47.740
"actually, six N terms, but three
N pairs of terms in this sum.",00:04:47.740,00:04:52.920
"I can either use
some index alpha",00:04:52.920,00:04:55.890
"running from one to
three N, or indicate them",00:04:55.890,00:04:59.460
"as contributions of things that
come from individual particles",00:04:59.460,00:05:05.100
"and then use this notation
with three vectors.",00:05:05.100,00:05:08.210
"So this is essentially
a combination",00:05:08.210,00:05:11.280
of sum of three terms.,00:05:11.280,00:05:14.440
OK?,00:05:14.440,00:05:16.900
"So I hope that
somehow this equation",00:05:16.900,00:05:22.910
"can describe the evolution
that goes on over here.",00:05:22.910,00:05:28.420
"And ultimately, when I wait
sufficiently long time,",00:05:28.420,00:05:32.660
"I will reach a situation
where d rho by dt",00:05:32.660,00:05:36.910
does not change anymore.,00:05:36.910,00:05:39.455
"And I will find some density
that is invariant on time.",00:05:39.455,00:05:43.830
I'll call that rho equilibrium.,00:05:43.830,00:05:46.650
"And so we saw that we could have
our rho equilibrium, which then",00:05:46.650,00:05:51.810
"should have zero Poisson bracket
with H to be a function of H",00:05:51.810,00:05:58.620
"and any other
conserved quantity.",00:05:58.620,00:06:00.140
OK?,00:06:05.900,00:06:08.780
"So in principle,
we sort of thought",00:06:08.780,00:06:14.582
"of a way of describing
how the system will evolve",00:06:14.582,00:06:21.030
"in equilibrium--
towards an equilibrium.",00:06:21.030,00:06:24.660
"And indeed, we will find that in
statistical mechanics later on,",00:06:24.660,00:06:30.290
"we are going to rely heavily
on these descriptions",00:06:30.290,00:06:35.340
"of equilibrium
densities, which are",00:06:35.340,00:06:38.370
"governed by only
the Hamiltonian.",00:06:38.370,00:06:41.090
"And if there are any other
conserved quantities,",00:06:41.090,00:06:43.850
typically there are not.,00:06:43.850,00:06:45.150
"So this is the general
form that we'll ultimately",00:06:45.150,00:06:49.650
be using a lot.,00:06:49.650,00:06:52.630
"But we started
with a description",00:06:52.630,00:06:56.730
"of evolution of
these coordinates",00:06:56.730,00:06:58.820
"in time, which is
time-reversible.",00:06:58.820,00:07:01.420
"And we hope to end up
with a situation that",00:07:05.870,00:07:08.835
"is analogous to what we
describe thermodynamically,",00:07:08.835,00:07:12.180
"we describe something that
goes to some particular state,",00:07:12.180,00:07:18.410
"and basically
stays there, as far",00:07:18.410,00:07:20.230
"as the macroscopic
description is concerned.",00:07:20.230,00:07:23.620
"So did we somehow manage to just
look at something else, which",00:07:23.620,00:07:29.550
"is this density, and
achieve this transition",00:07:29.550,00:07:32.470
"from reversibility
to irreversibility?",00:07:32.470,00:07:35.520
And the answer is no.,00:07:35.520,00:07:36.760
"This equation-- also,
if you find, indeed,",00:07:36.760,00:07:40.610
"a rho that goes from here to
here, you can set t to minus t",00:07:40.610,00:07:47.230
"and get a rho that goes
from back here to here.",00:07:47.230,00:07:49.705
"It has the same
time-reversibility.",00:07:49.705,00:07:52.500
"So somehow, we have to
find another solution.",00:07:52.500,00:07:56.400
"And the solution that we
will gradually build upon",00:07:56.400,00:08:00.180
"relies more on
physics rather than",00:08:00.180,00:08:03.150
"the rigorous mathematical
nature of this thing.",00:08:03.150,00:08:06.850
"Physically, we know
that this happens.",00:08:06.850,00:08:09.310
All of us have seen this.,00:08:09.310,00:08:11.560
"So somehow, we should be able
to use physical approximation",00:08:11.560,00:08:16.026
"and assumptions that
are compatible with what",00:08:16.026,00:08:18.860
is observed.,00:08:18.860,00:08:20.260
"And if, during that,
we have to sort of make",00:08:20.260,00:08:24.280
"mathematical
approximations, so be it.",00:08:24.280,00:08:27.450
"In fact, we have to make
mathematical approximations,",00:08:27.450,00:08:30.330
"because otherwise, there is
this very strong reversibility",00:08:30.330,00:08:35.620
condition.,00:08:35.620,00:08:37.000
"So let's see how we are about
to proceed, thinking more",00:08:37.000,00:08:41.030
in terms of physics.,00:08:41.030,00:08:43.820
"Now, the information
that I have over here,",00:08:43.820,00:08:47.840
"either in this
description of ensemble",00:08:47.840,00:08:50.335
"or in this description
in terms of trajectories,",00:08:50.335,00:08:53.220
is just enormous.,00:08:53.220,00:08:55.960
"I can't think of any
physical process which",00:08:55.960,00:09:01.090
"would need to keep track of the
joined positions of coordinates",00:09:01.090,00:09:05.990
