text,start,stop
"The following content is
provided under a Creative",00:00:00.790,00:00:03.190
Commons license.,00:00:03.190,00:00:04.730
"Your support will help
MIT OpenCourseWare",00:00:04.730,00:00:07.030
"continue to offer high-quality
educational resources for free.",00:00:07.030,00:00:11.390
"To make a donation or
view additional materials",00:00:11.390,00:00:13.990
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.990,00:00:17.880
at ocw.mit.edu.,00:00:17.880,00:00:18.840
"ANA BELL: All right,
everyone, let's get started.",00:00:31.789,00:00:33.830
"So today is going to
be the second lecture",00:00:37.670,00:00:40.100
on object-oriented programming.,00:00:40.100,00:00:41.600
"So just a quick recap of
last time-- on Monday,",00:00:41.600,00:00:44.930
"we saw-- we were
introduced to this idea",00:00:44.930,00:00:47.907
"of object-oriented
programming, and we",00:00:47.907,00:00:49.490
"saw these things called
abstract data types.",00:00:49.490,00:00:52.230
"And these abstract data
types we implemented",00:00:52.230,00:00:54.350
through Python classes.,00:00:54.350,00:00:57.170
"And they allowed us to
create our own data types",00:00:57.170,00:01:01.400
"that sort of abstracted a
general object of our choosing,",00:01:01.400,00:01:06.001
right?,00:01:06.001,00:01:06.500
"So we've used lists
before, for example.",00:01:06.500,00:01:09.099
"But with abstract
data types, we were",00:01:09.099,00:01:10.640
"able to create objects
that were of our own types.",00:01:10.640,00:01:15.110
We saw the coordinate example.,00:01:15.110,00:01:16.430
"And then at the
end of the class,",00:01:16.430,00:01:17.804
we saw the fraction example.,00:01:17.804,00:01:19.104
"So today we're going to
talk a little bit more",00:01:19.104,00:01:21.020
"about object-oriented
programming and classes.",00:01:21.020,00:01:23.060
"We're going to see
a few more examples.",00:01:23.060,00:01:25.730
"And we're going to talk about
a few other nuances of classes,",00:01:25.730,00:01:32.000
"talk about information
hiding and class variables.",00:01:32.000,00:01:35.217
"And in the second
half of the lecture,",00:01:35.217,00:01:36.800
"we're going to talk about
the idea of inheritance.",00:01:36.800,00:01:39.480
"So we're going to use
object-oriented programming",00:01:39.480,00:01:42.710
to simulate how real life works.,00:01:42.710,00:01:44.877
"So in real life, you
have inheritance.",00:01:44.877,00:01:46.460
"And in object-oriented
programming,",00:01:46.460,00:01:49.010
you can also simulate that.,00:01:49.010,00:01:52.480
"OK, so the first
few slides are going",00:01:52.480,00:01:54.219
"to be a little bit of recap just
to make sure that everyone's",00:01:54.219,00:01:56.760
"on the same page
before I introduce",00:01:56.760,00:01:58.920
"a couple of new concepts
related to classes.",00:01:58.920,00:02:02.130
"So recall that when--
in the last lecture,",00:02:02.130,00:02:05.010
"we talked about
writing code from two",00:02:05.010,00:02:07.240
"different perspectives, right?",00:02:07.240,00:02:08.490
"The first was from someone who
wanted to implement a class.",00:02:08.490,00:02:12.450
"So implementing the class meant
defining your own object type.",00:02:12.450,00:02:17.810
"So you defined the object type
when you defined the class.",00:02:17.810,00:02:21.210
"And then you decided what
data attributes you wanted",00:02:21.210,00:02:24.680
to define in your object.,00:02:24.680,00:02:26.510
"So what data makes
up the object?",00:02:26.510,00:02:29.180
"What is the object, OK?",00:02:29.180,00:02:32.740
"In addition to data
attributes, we also",00:02:32.740,00:02:34.500
saw these things called methods.,00:02:34.500,00:02:37.800
"And methods were
ways to tell someone",00:02:37.800,00:02:40.110
how to use your data type.,00:02:40.110,00:02:41.827
"So what are ways that someone
can interact with the data",00:02:41.827,00:02:44.160
"type, OK?",00:02:44.160,00:02:45.489
"So that's from the
point of view of someone",00:02:45.489,00:02:47.280
"who wants to write
their own object type.",00:02:47.280,00:02:49.650
So you're implementing a class.,00:02:49.650,00:02:53.470
"And the other perspective
was to write code",00:02:53.470,00:02:56.536
"from the point of
view of someone",00:02:56.536,00:02:57.910
"who wanted to use a class
that was already written, OK?",00:02:57.910,00:03:01.450
