text,start,stop
"The following
content is provided",00:00:00.080,00:00:01.770
"under a Creative
Commons license.",00:00:01.770,00:00:04.010
"Your support will help MIT
OpenCourseWare continue",00:00:04.010,00:00:06.860
"to offer high quality
educational resources for free.",00:00:06.860,00:00:10.720
"To make a donation or
view additional materials",00:00:10.720,00:00:13.330
"from hundreds of MIT courses,
visit MIT OpenCourseWare",00:00:13.330,00:00:17.207
at ocw.mit.edu.,00:00:17.207,00:00:17.832
"PROFESSOR: A trilogy,
if you will, on hashing.",00:00:22.120,00:00:26.120
"We did a lot of
cool hashing stuff.",00:00:26.120,00:00:28.230
"In some sense, we already have
what we want with hashing.",00:00:28.230,00:00:31.320
"Hashing with chaining, we can
do constant expected time,",00:00:31.320,00:00:37.220
"I should say, constant
as long as-- yeah.",00:00:37.220,00:00:43.610
"If we're doing insert,
delete, and exact search.",00:00:43.610,00:00:47.710
Is this key in there?,00:00:47.710,00:00:48.750
"If so, return the item.",00:00:48.750,00:00:49.730
"Otherwise, say no.",00:00:49.730,00:00:52.170
"And we do that with
hashing with chaining.",00:00:52.170,00:00:54.390
"Under the analysis we did was
with simple uniform hashing.",00:00:54.390,00:00:58.760
"An alternative is to use
universal hashing, which",00:00:58.760,00:01:01.140
is not really in this class.,00:01:01.140,00:01:02.360
"But if you find this weird,
then this is less weird.",00:01:02.360,00:01:07.970
"And hashing with
chaining, the idea",00:01:07.970,00:01:10.590
"was we had this giant universe
of all keys, could be actually",00:01:10.590,00:01:13.950
all integers.,00:01:13.950,00:01:14.950
So it's infinite.,00:01:14.950,00:01:17.141
"But then what we actually
are storing in our structure",00:01:17.141,00:01:19.390
is some finite set of n keys.,00:01:19.390,00:01:21.980
"Here, I'm labeling them
k1 through k4, n is four.",00:01:21.980,00:01:25.000
"But in general, you don't
know what they're going to be.",00:01:25.000,00:01:29.490
"We reduce that to
a table of size m",00:01:29.490,00:01:32.970
"by this hash function
h-- stuff drawn in red.",00:01:32.970,00:01:36.260
"And so here I have a
three way collision.",00:01:36.260,00:01:37.980
"These three keys all
map to one, and so I",00:01:37.980,00:01:40.430
"store a linked list
of k1, k4 and k2.",00:01:40.430,00:01:44.560
They're in no particular order.,00:01:44.560,00:01:46.040
"That's the point
of that picture.",00:01:46.040,00:01:47.880
"Here k3 happens to
map to its own slot.",00:01:47.880,00:01:50.719
"And the other slots
are empty, so they just",00:01:50.719,00:01:52.510
"have a null saying there's
an empty linked list there.",00:01:52.510,00:01:57.250
"Total size of this
structure is n plus m.",00:01:57.250,00:02:01.830
There's m to store the table.,00:02:01.830,00:02:04.520
"There's n to store the sum of
the lengths of all the lists",00:02:04.520,00:02:08.280
is going to be n.,00:02:08.280,00:02:10.460
"And then we said the
expected chain length,",00:02:10.460,00:02:15.170
"if everything's uniform,
then the probability",00:02:15.170,00:02:18.210
"of a particular key going
to a particular slot is 1/m.",00:02:18.210,00:02:22.140
"And if everything's
nice and independent",00:02:22.140,00:02:24.650
"or if you use
universal hashing, you",00:02:24.650,00:02:26.570
"can show that the total
expected chain length is n/m.",00:02:26.570,00:02:32.020
"n independent trials,
each probability 1/m",00:02:32.020,00:02:34.520
of falling here.,00:02:34.520,00:02:35.970
"And we call that
alpha, the load factor.",00:02:35.970,00:02:39.500
"And we concluded that
the operation time",00:02:39.500,00:02:42.010
"to do an insert, delete, or
search was order 1 plus alpha.",00:02:42.010,00:02:45.725
So that's n expectation.,00:02:48.820,00:02:50.940
"So that was hashing
with chaining.",00:02:50.940,00:02:52.560
This is good news.,00:02:52.560,00:02:53.680
"As long as alpha is a
constant, we get constant time.",00:02:53.680,00:02:57.540
"And just for
recollection, today we're",00:02:57.540,00:03:01.470
"not really going to be thinking
too much about what the hash",00:03:01.470,00:03:03.970
"function is, but just
remember two of them I talked",00:03:03.970,00:03:06.680
"about-- this one we actually
will use today, where you just",00:03:06.680,00:03:10.890
"take the key and
take it module m.",00:03:10.890,00:03:12.480
"That's one easy way of mapping
all integers into the space",00:03:12.480,00:03:15.480
zero through m minus 1.,00:03:15.480,00:03:17.174
"That's called the
division method.",00:03:17.174,00:03:18.590
"Multiplication
method is more fancy.",00:03:18.590,00:03:20.850
"You multiply by
a random integer,",00:03:20.850,00:03:22.990
"and then you look at the
middle of that multiplication.",00:03:22.990,00:03:26.210
"And that's where lots
of copies of the key k",00:03:26.210,00:03:29.690
"get mixed up together and that's
sort of the name of hashing.",00:03:29.690,00:03:33.980
"And that's a better hash
function in the real world.",00:03:33.980,00:03:39.070
So that's hashing with chaining.,00:03:39.070,00:03:40.750
Cool?,00:03:40.750,00:03:41.610
"Now, it seemed like
a complete picture,",00:03:41.610,00:03:45.430
"but there's one crucial thing
that we're missing here.",00:03:45.430,00:03:48.210
Any suggestions?,00:03:48.210,00:03:50.410
"If I went to go to implement
this data structure,",00:03:50.410,00:03:55.490
what don't I know how to do?,00:03:55.490,00:03:56.930
"And one answer could
be the hash function,",00:04:00.150,00:04:01.930
but we're going to ignore that.,00:04:01.930,00:04:03.755
