text,start,stop
Hi.,00:00:00.000,00:00:01.020
Welcome back.,00:00:01.020,00:00:02.200
"Today, we're going to do a fun
problem called the chess",00:00:02.200,00:00:05.010
tournament problem.,00:00:05.010,00:00:07.280
"Now, it's a very long problem,
so I just want to jump",00:00:07.280,00:00:10.640
straight in.,00:00:10.640,00:00:11.870
"Essentially, the problem
statement describes a very",00:00:11.870,00:00:15.300
"special chess tournament, which
involves players named",00:00:15.300,00:00:20.080
"Al, Bo, and Chi.",00:00:20.080,00:00:22.150
"Now Al is the current reigning
championship, and Bo and Chi",00:00:22.150,00:00:27.510
"are this year's contenders, and,
of course, they're vying",00:00:27.510,00:00:30.550
"with each other to beat out Al
and become the new champion.",00:00:30.550,00:00:35.040
"And so essentially,
the tournament is",00:00:35.040,00:00:38.460
divided into two rounds--,00:00:38.460,00:00:40.490
"a first round, during which Bo
and Chi play against each",00:00:40.490,00:00:43.470
"other, and then a second
round, during which the",00:00:43.470,00:00:46.230
"surviving contender from the
first round plays against Al.",00:00:46.230,00:00:51.390
"And the problem statement also
gives you a bunch of",00:00:51.390,00:00:53.750
"information like what's the
probability that Bo beats Chi",00:00:53.750,00:00:57.760
"in a particular game,
et cetera.",00:00:57.760,00:01:00.820
"So without further ado, let's
get started on part a.",00:01:00.820,00:01:05.040
"In part a, the first thing we're
asked to compute is the",00:01:05.040,00:01:07.910
"probability that a second
round is required.",00:01:07.910,00:01:11.410
"Now, to save myself some
writing, I used the notation",00:01:11.410,00:01:15.530
R2 to denote that event.,00:01:15.530,00:01:17.870
"So we are interested in
probability of R2.",00:01:17.870,00:01:24.300
"Now, I claim that this problem
is very sequential in nature",00:01:24.300,00:01:28.170
"so I would like to draw a tree
to describe what's happening.",00:01:28.170,00:01:32.440
"So in the first part of the
tournament, when Bo and Chi",00:01:32.440,00:01:36.380
"play their first game, exactly
one of two things can happen--",00:01:36.380,00:01:41.060
"either Bo can win
or Chi can win.",00:01:41.060,00:01:44.370
"And we're told by the problem
statement that Bo wins with",00:01:44.370,00:01:47.630
"the probability of 0.6 and,
therefore, Chi must win with",00:01:47.630,00:01:51.610
"the probability of 0.4, right?",00:01:51.610,00:01:53.600
"Because these two possibilities
must sum to 1,",00:01:53.600,00:01:56.580
"because either this must
happen or this happen.",00:01:56.580,00:02:01.190
"Now, let's imagine that the
first game has been played and",00:02:01.190,00:02:04.490
that Bo won.,00:02:04.490,00:02:06.210
"Well, during the second game,
there's still two options for",00:02:06.210,00:02:09.800
the outcome--,00:02:09.800,00:02:10.340
"Bo could win the second
game or Chi could",00:02:10.340,00:02:12.345
win the second game.,00:02:12.345,00:02:14.380
"And because the problem
statement says that in every",00:02:14.380,00:02:17.830
"scenario Bo always wins
against Chi with the",00:02:17.830,00:02:20.310
"probability of 0.6, we can go
ahead and put a 0.6 along this",00:02:20.310,00:02:24.640
branch as well.,00:02:24.640,00:02:26.200
"Similarly, 0.4 here.",00:02:26.200,00:02:28.060
"And similar logic, you've got
a tree that looks like this.",00:02:28.060,00:02:33.290
"And for those of you who haven't
seen trees before,",00:02:33.290,00:02:36.440
"it's just a structure that looks
something like this.",00:02:36.440,00:02:39.650
"And it helps us do better
accounting.",00:02:39.650,00:02:41.920
"It helps us keep straight in our
head what are the various",00:02:41.920,00:02:45.060
"outcomes, so that we
don't get confused.",00:02:45.060,00:02:47.870
"And so very quickly here, you
can see that there's four",00:02:47.870,00:02:51.160
possible outcomes.,00:02:51.160,00:02:53.410
"So each node in this tree
corresponds to an outcome.",00:02:53.410,00:02:56.490
"And the leaves are those nodes
at the furthest stage.",00:02:56.490,00:03:01.170
"And it's convention to draw
the probability of a",00:03:01.170,00:03:04.840
particular--,00:03:04.840,00:03:05.900
"so for instance, the probability
that Bo wins the",00:03:05.900,00:03:09.480
"first game-- it's just
convention to draw that",00:03:09.480,00:03:11.470
"probability over the
corresponding branch.",00:03:11.470,00:03:15.560
"And the reason why such diagrams
are so useful is",00:03:15.560,00:03:19.440
"because to compute the
probability of a particular",00:03:19.440,00:03:21.980
"outcome, if you've designed your
tree correctly, all you",00:03:21.980,00:03:26.070
"have to do is multiply the
probabilities along the",00:03:26.070,00:03:28.650
"branches that get into
that outcome.",00:03:28.650,00:03:31.980
So let's see that in action.,00:03:31.980,00:03:34.530
"When is a second
round required?",00:03:34.530,00:03:36.800
"Well, a second round is
required here, right?",00:03:36.800,00:03:42.670
"Because in this case, Bo would
be the surviving challenger",00:03:42.670,00:03:45.450
"and he'd play the next
round against Al.",00:03:45.450,00:03:47.730
It's also required here.,00:03:47.730,00:03:50.420
"But of course, it's not required
here or here, because",00:03:50.420,00:03:53.400
no second round is played.,00:03:53.400,00:03:56.100
"And so these two outcomes
comprise the event R2.",00:03:56.100,00:04:01.020
"And now, to get the probability
of this outcome,",00:04:01.020,00:04:05.060
"you multiply along
the branches.",00:04:05.060,00:04:06.790
"So 0.6 times 0.6
give you 0.36.",00:04:06.790,00:04:09.980
"And 0.4 times 0.4
gives you 0.16.",00:04:09.980,00:04:13.770
And we're almost done.,00:04:13.770,00:04:15.360
"We know that these two events
are disjoint, because if Bo",00:04:15.360,00:04:22.040
"won the first two games, then,
certainly, Chi could've won",00:04:22.040,00:04:25.180
the first two games.,00:04:25.180,00:04:27.010
"And so you can just sum the
probabilities to get the",00:04:27.010,00:04:29.800
probability of the reunion.,00:04:29.800,00:04:31.930
