text,start,stop
PROFESSOR: Hi there.,00:00:07.065,00:00:07.920
Welcome back to recitation.,00:00:07.920,00:00:09.540
"In lecture, you've been learning
about when vectors are linearly",00:00:09.540,00:00:12.870
"independent, when they span
the space, what a basis is,",00:00:12.870,00:00:17.550
"what a dimension of
a vector space is.",00:00:17.550,00:00:19.790
"And the problem for today
is exactly about that.",00:00:19.790,00:00:23.630
"We have a vector
space that is given.",00:00:23.630,00:00:26.500
"It's spanned by
these four vectors.",00:00:26.500,00:00:28.780
"And we're asked to find the
dimension of that vector space",00:00:28.780,00:00:32.009
and the basis for it.,00:00:32.009,00:00:33.190
"Well, why don't you hit pause
on the video, and work on it",00:00:35.700,00:00:39.270
for a while.,00:00:39.270,00:00:39.770
"And I'll come back in a little
bit to help you out with it.",00:00:39.770,00:00:42.510
We're back.,00:00:51.120,00:00:51.900
Let's work on it.,00:00:51.900,00:00:54.900
"So we need to find the
dimension and the basis.",00:00:54.900,00:01:00.310
Remember what the dimension is?,00:01:00.310,00:01:01.970
"It's simply the
number of vectors",00:01:01.970,00:01:03.570
in a basis for the vector space.,00:01:03.570,00:01:05.590
"So actually, the
problem is backwards.",00:01:05.590,00:01:07.680
"We want to find the
basis for the space",00:01:07.680,00:01:09.460
"first, and then
find the dimension.",00:01:09.460,00:01:11.840
"I'll write ""first""
here and ""second"" here.",00:01:11.840,00:01:19.700
"So we want to find a basis
for the vector space spanned",00:01:19.700,00:01:22.270
by these four vectors.,00:01:22.270,00:01:24.040
"So you might be
tempted to just say",00:01:24.040,00:01:26.040
"that a basis for
this vector space",00:01:26.040,00:01:27.680
"is those four vectors, because
they span the vector space.",00:01:27.680,00:01:31.410
"But there's another thing
that a basis has to satisfy.",00:01:31.410,00:01:34.350
"And it is the elements
of the basis have",00:01:34.350,00:01:36.920
to be linearly independent.,00:01:36.920,00:01:38.760
We don't know that these are.,00:01:38.760,00:01:40.340
So we have to check.,00:01:40.340,00:01:42.636
"How do we check
that four vectors",00:01:42.636,00:01:44.010
are linearly independent?,00:01:44.010,00:01:45.670
"Well, there's a couple
of different ways.",00:01:45.670,00:01:47.800
"But here's what
we're going to do.",00:01:47.800,00:01:50.610
"We're going to put these
vectors as rows of a matrix.",00:01:50.610,00:01:54.340
And then we'll do elimination.,00:01:54.340,00:01:57.070
"And when we get to the end,
the rows that have pivots",00:01:57.070,00:02:00.710
are the independent ones.,00:02:00.710,00:02:02.570
So let's do that.,00:02:02.570,00:02:04.220
"1, 1, -2, 0, -1; 1, 2, 0, -4, 1;
0, 1, 3, -3, 2; 2, 3, 0, -2, 0.",00:02:06.760,00:02:25.740
"By now you must have done
elimination a million times,",00:02:30.480,00:02:32.730
so I'll go a little bit faster.,00:02:32.730,00:02:36.310
"1, 1, -2, 0, -1; 0,
1, 0, +2, -4, 2--",00:02:36.310,00:02:48.864
"this one's already done-- 1,
3, -3, 2; 2 minus 2, 3 minus 2,",00:02:48.864,00:02:56.670
"0 plus 4, -2, and 2.",00:02:56.670,00:03:02.170
One more step.,00:03:05.457,00:03:06.040
