text,start,stop
LINAN CHEN: Hi everyone.,00:00:06.310,00:00:07.350
I'm Linan.,00:00:07.350,00:00:08.300
Welcome back to recitation.,00:00:08.300,00:00:10.300
"In recent lectures, we
have studied the properties",00:00:10.300,00:00:13.090
of the determinant.,00:00:13.090,00:00:14.050
"And we also derived the
formula to compute it.",00:00:14.050,00:00:17.130
"Today we're going to
put what we learned",00:00:17.130,00:00:19.280
"into practice by considering
these two examples.",00:00:19.280,00:00:23.480
"So we want to find out the
determinants of these two 5",00:00:23.480,00:00:27.630
by 5 matrices.,00:00:27.630,00:00:29.880
"And as you can
see, matrix A has x",00:00:29.880,00:00:33.700
"along this diagonal, and in the
first four rows, y to the right",00:00:33.700,00:00:38.990
"of x, except for the last row.",00:00:38.990,00:00:41.750
"And zero entries
everywhere else.",00:00:41.750,00:00:44.730
"And matrix B also has
x along this diagonal",00:00:44.730,00:00:49.040
and y everywhere else.,00:00:49.040,00:00:52.220
"Before starting, let me
help you review what you",00:00:52.220,00:00:55.910
can do to compute determinants.,00:00:55.910,00:00:58.740
"Of course, you can
carry out elimination",00:00:58.740,00:01:01.810
"to transform your original
matrix into upper triangular",00:01:01.810,00:01:05.459
matrix.,00:01:05.459,00:01:07.040
"Or you can use this
big summation formula.",00:01:07.040,00:01:11.570
"Another choice would be
you can do it by cofactors.",00:01:11.570,00:01:16.010
"Namely, you can expand
your original matrix",00:01:16.010,00:01:19.220
"along any row or any column,
and then the determinant",00:01:19.220,00:01:23.090
"is simply given
by the dot product",00:01:23.090,00:01:25.580
"of that row or that
column with its cofactors.",00:01:25.580,00:01:30.150
"Why don't you pause the video
now and try to work on them",00:01:30.150,00:01:33.370
yourself.,00:01:33.370,00:01:34.440
"Whenever you're ready, I'll
come back and show you my way.",00:01:34.440,00:01:37.490
"I hope you just had some
fun with these two problems.",00:01:46.990,00:01:49.850
Now let's look at them together.,00:01:49.850,00:01:52.290
Let's look at matrix A first.,00:01:52.290,00:01:55.110
"As you can see, there are a lot
of zero entries in matrix A.",00:01:55.110,00:01:59.370
"So perhaps you don't need
elimination to introduce more",00:01:59.370,00:02:02.280
0's.,00:02:02.280,00:02:04.270
"Furthermore, we observe
this pattern of A,",00:02:04.270,00:02:07.580
"and you notice that if
I cover the last row",00:02:07.580,00:02:12.640
"and the first column, so
if this column and this row",00:02:12.640,00:02:16.680
"are not here, what is left
over is simply a 4 by 4",00:02:16.680,00:02:20.730
lower triangular matrix.,00:02:20.730,00:02:23.140
"And similarly, if you
cover the first column",00:02:23.140,00:02:27.530
"and the first row, what is
left over here is simply a 4",00:02:27.530,00:02:33.140
by 4 upper triangular matrix.,00:02:33.140,00:02:36.030
"This is telling
us that we should",00:02:36.030,00:02:37.910
"calculate the determinant
of A by the third method.",00:02:37.910,00:02:42.850
"So we should expand along
the first column of A,",00:02:42.850,00:02:46.630
and we calculate the cofactors.,00:02:46.630,00:02:48.920
Let's do it now.,00:02:48.920,00:02:51.020
"So determinant of A,
is equal to the (1, 1)",00:02:51.020,00:03:00.110
"entry of A, which is
x, times the cofactor",00:03:00.110,00:03:06.270
"of that spot, which is the
determinant of the leftover 4",00:03:06.270,00:03:10.690
by 4 matrix.,00:03:10.690,00:03:13.080
"And it's upper triangular,
so its determinant is simply",00:03:13.080,00:03:16.200
given by x to the power 4.,00:03:16.200,00:03:21.450
"Plus, the only other
nonzero entry in that column",00:03:21.450,00:03:26.260
is the y at the very bottom.,00:03:26.260,00:03:28.860
So you put y here.,00:03:28.860,00:03:32.530
"And you multiply
y by the cofactor",00:03:32.530,00:03:35.390
"of that spot, which is the
determinant of the leftover 4",00:03:35.390,00:03:40.290
by 4 matrix again.,00:03:40.290,00:03:42.130
"In this case, it's
lower triangular",00:03:42.130,00:03:44.580
"and its determinant
is y to the power 4.",00:03:44.580,00:03:47.660
So I have a y to the power 4.,00:03:47.660,00:03:51.480
But not quite.,00:03:51.480,00:03:53.520
"In principle, there
should be another factor",00:03:53.520,00:03:56.720
here indicating the sign.,00:03:56.720,00:03:59.150
"And the sign in this
case, well because the y",00:03:59.150,00:04:03.430
"is the entry in the fifth
row and the first column,",00:04:03.430,00:04:08.110
"so this factor
should be negative 1",00:04:08.110,00:04:11.190
to the power 5 plus 1.,00:04:11.190,00:04:14.670
"And of course, it's just 1.",00:04:14.670,00:04:16.839
"So the determinant
of A is simply",00:04:16.839,00:04:20.410
"equal to x to the fifth power
plus y to the fifth power.",00:04:20.410,00:04:29.780
Did you get the correct answer?,00:04:29.780,00:04:32.180
"Well, the determinant
of A is not too bad,",00:04:32.180,00:04:34.700
"because A has a lot
of zero entries.",00:04:34.700,00:04:37.310
"Now let's look at the
determinant of matrix B.",00:04:37.310,00:04:42.060
I have another copy of B here.,00:04:42.060,00:04:45.320
"So B also has a very
clear structure.",00:04:45.320,00:04:48.710
"It has x along its diagonal,
and y everywhere else.",00:04:48.710,00:04:53.080
"But in general, B does
not have any zero entry.",00:04:53.080,00:04:57.520
"So perhaps our first step should
be carrying out elimination",00:04:57.520,00:05:02.630
"to introduce zero
entries into matrix B.",00:05:02.630,00:05:07.000
"Of course, you can do it
by the regular routine.",00:05:07.000,00:05:10.370
"You start with the
first row, find a pivot,",00:05:10.370,00:05:13.080
"and eliminate the second
row and the third row",00:05:13.080,00:05:15.840
and so on and so forth.,00:05:15.840,00:05:17.750
"But in this case,
there's a shortcut.",00:05:17.750,00:05:20.870
"If you compare two rows
that are next to each other,",00:05:20.870,00:05:24.630
"for example, if we compare the
fourth row and the fifth row,",00:05:24.630,00:05:28.920
"you notice that they have
a lot of entries in common.",00:05:28.920,00:05:33.030
"And they're only different
at these two spots.",00:05:33.030,00:05:37.450
"So imagine if I subtract the
fourth row from the fifth row.",00:05:37.450,00:05:42.830
"So if I do the
following operation--",00:05:42.830,00:05:48.360
