text,start,stop
LINAN CHEN: Hello.,00:00:07.030,00:00:07.780
Welcome back to recitation.,00:00:07.780,00:00:09.870
"I'm sure you are
becoming more and more",00:00:09.870,00:00:12.050
"familiar with the
determinants of matrices.",00:00:12.050,00:00:15.220
"In the lecture, we also learned
the geometric interpretation",00:00:15.220,00:00:18.880
of the determinant.,00:00:18.880,00:00:20.780
"The absolute value of the
determinant of a matrix",00:00:20.780,00:00:24.660
"is simply equal to the volume
of the parallelepiped spanned",00:00:24.660,00:00:28.730
"by the row vectors
of that matrix.",00:00:28.730,00:00:32.040
"So today, we're going
to apply this fact",00:00:32.040,00:00:35.600
to solve the following problem.,00:00:35.600,00:00:38.420
"I have a tetrahedron,
T, in this 3D space.",00:00:38.420,00:00:43.990
"And the vertices of T are given
by O, which is the origin, A_1,",00:00:43.990,00:00:50.840
"A_2, and A_3.",00:00:50.840,00:00:54.040
"So I have highlighted
this tetrahedron",00:00:54.040,00:00:56.940
using the blue chalk.,00:00:56.940,00:00:59.190
So this is T.,00:00:59.190,00:01:03.270
"And our first goal is to
compute the volume of T",00:01:03.270,00:01:07.120
using the determinant.,00:01:07.120,00:01:10.330
"And the second part is:
if I fix A_1 and A_2,",00:01:10.330,00:01:15.260
"but move A_3 to another
point, A_3 prime, which",00:01:15.260,00:01:20.130
"is given by this
coordinate, I ask you",00:01:20.130,00:01:23.380
to compute the volume again.,00:01:23.380,00:01:26.370
OK.,00:01:26.370,00:01:27.130
"So since we want to use the fact
that the determinant is related",00:01:27.130,00:01:32.120
"to the volume, we have to
figure out which volume",00:01:32.120,00:01:36.280
we should be looking at.,00:01:36.280,00:01:37.680
"We know that the
determinant is related",00:01:37.680,00:01:40.660
"to the volume of
a parallelepiped.",00:01:40.660,00:01:43.060
"But here, we only
have a tetrahedron.",00:01:43.060,00:01:46.220
"So the first goal should be to
find out which parallelepiped",00:01:46.220,00:01:50.010
you should be working with.,00:01:50.010,00:01:52.230
"OK, why don't you hit pause and
try to work it out yourself.",00:01:52.230,00:01:56.810
