text,start,stop
PROFESSOR: Hi guys.,00:00:07.110,00:00:08.540
"Today, we are going
to play around",00:00:08.540,00:00:10.700
"with the basics of
eigenvalues and eigenvectors.",00:00:10.700,00:00:14.040
"We're going to do the
following problem,",00:00:14.040,00:00:16.940
"we're given this
invertible matrix A,",00:00:16.940,00:00:20.450
"and we'll find the
eigenvalues and eigenvectors",00:00:20.450,00:00:24.350
"not of A, but of A squared and
A inverse minus the identity.",00:00:24.350,00:00:33.630
"So, this problem might seem
daunting at first, squaring a 3",00:00:33.630,00:00:40.250
"by 3 matrix, or taking an
inverse of a 3 by 3 matrix",00:00:40.250,00:00:44.690
"is a fairly computationally
intensive task,",00:00:44.690,00:00:49.880
"but if you've seen
Professor Strang's lecture",00:00:49.880,00:00:52.530
"on eigenvalues and
eigenvectors you",00:00:52.530,00:00:54.540
shouldn't be all too worried.,00:00:54.540,00:00:55.910
"So I'll give you a
few moments to think",00:00:55.910,00:00:59.440
"of your own line of attack
and then you'll see mine.",00:00:59.440,00:01:02.650
"Hi again, OK, so the observation
that makes our life really easy",00:01:11.120,00:01:19.160
is the following one.,00:01:19.160,00:01:20.480
"So say v is an eigenvector with
associated eigenvalue lambda",00:01:20.480,00:01:28.170
"to the matrix A. Then, if we
hit v with A squared, well,",00:01:28.170,00:01:39.070
"this we can write it as A
times A*v, but A*v is lambda*v,",00:01:39.070,00:01:45.621
right?,00:01:45.621,00:01:46.120
So we have A*lambda*v.,00:01:46.120,00:01:50.150
"Lambda is a scalar, so we
can move it in front and get",00:01:50.150,00:01:55.965
"lambda*A*v, and lambda*A*v is,
when we plug in A*v, lambda*v,",00:01:55.965,00:02:03.670
"is just lambda squared v. So,
what we've find out is that",00:02:03.670,00:02:10.235
"if v is an eigenvector for A
then it's also an eigenvector",00:02:10.235,00:02:14.370
for A squared.,00:02:14.370,00:02:15.450
"Just that the eigenvalue
is the eigenvalue squared.",00:02:15.450,00:02:19.840
"Similarly, if we hit A inverse--
if you hit v with A inverse.",00:02:19.840,00:02:28.070
"So in this case we can
write v as A*v over lambda,",00:02:28.070,00:02:36.760
"given that of course,
lambda is non-zero.",00:02:36.760,00:02:41.150
"But the eigenvalues of
an invertible matrix",00:02:41.150,00:02:45.870
"are always non-zero,
which is an exercise",00:02:45.870,00:02:50.065
you should do yourselves.,00:02:50.065,00:02:52.560
